代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10779945.250000000000000
真實報酬,779945.250000000000000

夏普值報酬,0.069294525000000
夏普值風險,0.026842431856197
夏普值,2.581529325332045

預期報酬,14570.863224060816719
風險,92005.631283381022513
趨勢值,0.158369254368594
找到最佳解世代,4059
找到最佳解實驗#,2
找到最佳解次數,25

stock[index](rank)
投資組合檔數,4
DIS[6](6),GS[8](2),MSFT[18](1),PG[21](3),
20140729,2513412.220000000204891,2620932.999999999534339,2631294.879999999888241,2501908.600000000093132,10267548.699999999254942
20140730,2542860.790000000037253,2624217.599999999627471,2612709.759999999310821,2486321.700000000186265,10266109.849999997764826
20140731,2504081.979999999981374,2581069.899999999906868,2587529.919999999459833,2459601.299999999813735,10132283.099999997764826
20140801,2489503.479999999981374,2541953.299999999813735,2569544.319999999366701,2533718.600000000093132,10134719.699999999254942
20140804,2543735.500000000000000,2563452.500000000000000,2600119.839999999385327,2520040.300000000279397,10227348.140000000596046
20140805,2529448.570000000298023,2529561.399999999441206,2582733.759999999310821,2526084.200000000186265,10167827.929999999701977
20140806,2524783.450000000186265,2534339.000000000000000,2562350.079999999608845,2579525.000000000000000,10200997.529999999329448
20140807,2493293.890000000596046,2524783.799999999813735,2591726.559999999590218,2549305.500000000000000,10159109.750000000000000
20140808,2532364.270000000018626,2571962.599999999627471,2589928.000000000000000,2575071.600000000093132,10269326.469999998807907
20140811,2551316.320000000298023,2574948.600000000093132,2589928.000000000000000,2591930.900000000372529,10308123.820000000298023
20140812,2542860.790000000037253,2573007.700000000186265,2609112.639999999664724,2590022.300000000279397,10315003.429999999701977
20140813,2554232.020000000018626,2573604.899999999906868,2642685.759999999310821,2591930.900000000372529,10362453.580000000074506
20140814,2583680.590000000316650,2578979.699999999720603,2654076.639999999664724,2606881.600000000093132,10423618.529999999329448
20140815,2603215.780000000260770,2566587.799999999813735,2685251.679999999701977,2601473.899999999906868,10456529.160000000149012
20140818,2623334.110000000335276,2606152.299999999813735,2704436.319999999366701,2622468.500000000000000,10556391.230000000447035
20140819,2626832.950000000186265,2597343.600000000093132,2717625.759999999310821,2630421.000000000000000,10572223.310000000521541
20140820,2619543.700000000186265,2598388.699999999720603,2694844.000000000000000,2634238.200000000186265,10547014.600000001490116
20140821,2635288.479999999981374,2615110.299999999813735,2711031.039999999571592,2649188.899999999906868,10610618.719999998807907
20140822,2638495.750000000000000,2619887.899999999906868,2706834.399999999441206,2652688.000000000000000,10617906.050000000745058
20140825,2635288.479999999981374,2655719.899999999906868,2708033.439999999944121,2657459.500000000465661,10656501.320000000298023
20140826,2624791.959999999962747,2656167.799999999813735,2698441.119999999646097,2652369.899999999906868,10631770.779999999329448
20140827,2634996.910000000614673,2654824.099999999627471,2690047.839999999385327,2650143.200000000186265,10630012.050000000745058
20140828,2630914.930000000633299,2652435.299999999813735,2690647.359999999869615,2641236.399999999906868,10615233.990000000223517
20140829,2620709.979999999981374,2674233.100000000093132,2723620.959999999497086,2643781.200000000186265,10662345.239999998360872
20140902,2647534.420000000391155,2684086.899999999906868,2703237.279999999795109,2639645.900000000372529,10674504.500000000000000
20140903,2651616.400000000372529,2681548.799999999813735,2695443.519999999552965,2637101.100000000093132,10665709.820000000298023
20140904,2628290.800000000279397,2688715.200000000186265,2713429.119999999646097,2662549.100000000093132,10692984.219999998807907
20140905,2651616.400000000372529,2683788.299999999813735,2752397.919999999459833,2664775.799999999813735,10752578.419999998062849
20140908,2640536.740000000223517,2689163.100000000093132,2785971.039999999571592,2650461.299999999813735,10766132.179999999701977
20140909,2612546.020000000018626,2648702.799999999813735,2803357.119999999646097,2639964.000000000000000,10704569.939999999478459
20140910,2610213.459999999962747,2685579.899999999906868,2808153.279999999795109,2660640.500000000000000,10764587.139999998733401
20140911,2623334.110000000335276,2702450.799999999813735,2817745.599999999627471,2655869.000000000000000,10799399.509999999776483
20140912,2614587.010000000242144,2734848.899999999441206,2799760.000000000000000,2648552.700000000186265,10797748.609999999403954
20140915,2626541.380000000353903,2746942.199999999720603,2772182.079999999608845,2667956.800000000279397,10813622.460000000894070
20140916,2632081.209999999962747,2747837.999999999534339,2803357.119999999646097,2674636.899999999906868,10857913.229999998584390
20140917,2633830.630000000353903,2759483.399999999906868,2788968.639999999664724,2677181.700000000186265,10859464.370000001043081
20140918,2634122.200000000186265,2805318.499999999534339,2798560.959999999497086,2678136.000000000000000,10916137.659999998286366
20140919,2638495.750000000000000,2780086.799999999813735,2848920.639999999664724,2687042.800000000279397,10954545.990000000223517
20140922,2603507.350000000558794,2766500.499999999534339,2821342.719999999739230,2697858.200000000186265,10889208.769999999552965
20140923,2574933.490000000223517,2763514.500000000000000,2791366.719999999739230,2686088.500000000000000,10815903.210000000894070
20140924,2608172.470000000204891,2804124.099999999627471,2822541.759999999310821,2711536.500000000000000,10946374.830000000074506
20140925,2567935.810000000055879,2748584.500000000000000,2760191.679999999701977,2682589.399999999906868,10759301.390000000596046
20140926,2587471.000000000000000,2763962.399999999906868,2782373.919999999459833,2690541.899999999906868,10824349.220000000670552
20140929,2590095.130000000353903,2744702.700000000186265,2784172.479999999515712,2686088.500000000000000,10805058.809999998658895
20140930,2595926.530000000260770,2740820.899999999906868,2779376.319999999366701,2663821.500000000000000,10779945.250000000000000
