代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11312156.900000000372529
真實報酬,1312156.900000000372529

夏普值報酬,0.122515690000000
夏普值風險,0.040491052991205
夏普值,3.025747194734863

預期報酬,23127.583945327151014
風險,70498.783543867219123
趨勢值,0.328056496619353
找到最佳解世代,1607
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,7
AXP[1](4),DD[7](8),KO[14](13),MMM[16](1),MRK[17](12),PFE[20](22),XOM[29](5),
20160303,1551133.180000000167638,1687006.699999999720603,1463186.360000000102445,1507845.800000000046566,1468886.989999999990687,1400459.199999999953434,1512063.500000000000000,10590584.730000000447035
20160304,1556473.580000000074506,1710652.850000000093132,1468178.959999999962747,1514373.199999999953434,1468323.129999999888241,1392025.660000000149012,1510045.000000000000000,10620075.380000000819564
20160307,1575432.000000000000000,1692500.250000000000000,1464850.559999999823049,1519103.199999999953434,1484111.209999999962747,1395773.899999999906868,1549864.500000000000000,10681638.619999999180436
20160308,1586913.860000000102445,1660972.050000000046566,1475168.600000000093132,1515603.000000000000000,1478754.540000000037253,1375627.110000000102445,1516284.000000000000000,10609326.160000000149012
20160309,1576767.099999999860302,1668854.100000000093132,1491477.760000000009313,1514562.400000000139698,1476217.169999999925494,1393431.250000000000000,1512063.500000000000000,10633376.280000001192093
20160310,1568756.500000000000000,1671242.599999999860302,1505457.039999999804422,1512670.399999999906868,1495388.409999999916181,1386403.300000000046566,1508026.500000000232831,10647947.750000000000000
20160311,1587714.919999999925494,1721878.800000000046566,1504458.520000000018626,1531495.800000000046566,1499899.290000000037253,1429039.530000000027940,1508210.000000000000000,10782699.859999999403954
20160314,1590652.139999999897555,1710175.149999999674037,1507454.079999999841675,1530833.600000000093132,1496516.129999999888241,1410298.330000000074506,1512247.000000000000000,10758179.429999999701977
20160315,1581573.459999999962747,1707308.949999999953434,1505789.880000000121072,1536509.599999999860302,1477908.750000000000000,1384060.649999999906868,1519770.499999999767169,10712924.789999999105930
20160316,1594123.400000000139698,1723073.049999999813735,1499465.919999999925494,1541050.399999999906868,1464376.109999999869615,1360634.149999999906868,1520688.000000000000000,10703414.029999999329448
20160317,1604270.159999999916181,1748391.149999999906868,1523430.400000000139698,1549186.000000000000000,1452816.979999999981374,1374690.050000000046566,1543258.500000000000000,10796046.240000000223517
20160318,1634710.439999999944121,1757228.599999999860302,1517772.120000000111759,1564132.800000000046566,1473115.939999999944121,1379843.879999999888241,1545093.500000000000000,10871900.280000001192093
20160321,1634443.419999999925494,1753168.150000000139698,1520102.000000000000000,1559497.400000000139698,1488622.089999999850988,1408892.739999999990687,1534450.500000000000000,10899179.300000000745058
20160322,1618422.219999999972060,1743136.449999999953434,1514443.719999999972060,1560159.599999999860302,1495106.479999999981374,1423417.169999999925494,1543625.500000000000000,10898314.139999998733401
20160323,1618956.260000000009313,1740986.799999999813735,1513112.360000000102445,1554105.200000000186265,1496516.129999999888241,1414515.100000000093132,1536836.000000000000000,10875030.849999999627471
20160324,1614683.939999999944121,1745524.949999999953434,1517106.439999999944121,1555902.600000000093132,1496234.199999999953434,1409361.270000000018626,1541056.500000000000000,10879872.900000000372529
20160328,1609610.560000000055879,1753884.699999999953434,1524428.919999999925494,1573119.800000000046566,1489467.879999999888241,1395305.370000000111759,1545460.500000000000000,10891280.730000000447035
20160329,1618155.199999999953434,1738837.149999999906868,1547062.039999999804422,1555240.399999999906868,1503282.449999999953434,1407955.680000000167638,1551149.000000000000000,10921684.919999999925494
20160330,1609877.580000000074506,1751018.500000000000000,1550390.439999999944121,1577566.000000000000000,1500463.149999999906868,1408892.739999999990687,1550965.500000000000000,10949176.910000000149012
20160331,1639516.800000000046566,1729999.699999999953434,1544066.479999999981374,1576430.800000000046566,1491723.319999999832362,1388745.949999999953434,1533900.000000000000000,10904386.049999998882413
20160401,1631506.199999999953434,1739553.699999999953434,1558711.439999999944121,1584944.800000000046566,1513995.790000000037253,1407487.149999999906868,1522339.500000000000000,10958541.580000000074506
20160404,1618689.239999999990687,1737165.199999999953434,1560708.479999999981374,1574255.000000000000000,1533730.889999999897555,1439347.189999999944121,1526009.500000000000000,10989908.500000000000000
20160405,1607207.379999999888241,1725939.250000000000000,1548726.239999999990687,1568673.600000000093132,1529220.010000000009313,1469333.110000000102445,1508577.000000000000000,10957679.589999999850988
20160406,1598929.760000000009313,1732388.199999999953434,1554717.360000000102445,1578133.600000000093132,1568408.280000000027940,1542892.320000000065193,1528762.000000000000000,11104234.519999999552965
20160407,1571693.719999999972060,1715668.699999999953434,1543067.959999999962747,1581444.599999999860302,1562487.750000000000000,1534927.309999999823049,1511513.000000000000000,11020806.039999999105930
20160408,1588783.000000000000000,1726894.649999999906868,1560042.799999999813735,1576430.800000000046566,1560796.169999999925494,1522745.530000000027940,1526927.000000000000000,11062622.949999999254942
20160411,1596793.599999999860302,1726655.800000000046566,1545730.679999999934807,1576052.400000000139698,1552056.339999999850988,1494165.199999999953434,1528945.499999999767169,11020402.519999999552965
20160412,1620291.360000000102445,1755795.500000000000000,1552720.319999999832362,1589674.800000000046566,1560232.310000000055879,1497444.910000000149012,1547846.000000000000000,11124008.199999999254942
20160413,1659810.319999999832362,1775858.899999999674037,1532417.079999999841675,1594972.400000000139698,1577711.969999999972060,1524619.649999999906868,1556654.000000000000000,11222047.320000000298023
20160414,1669156.020000000018626,1781113.599999999860302,1525427.439999999944121,1590904.599999999860302,1591526.540000000037253,1529773.479999999981374,1567664.000000000232831,11255568.679999999701977
20160415,1659276.280000000027940,1781352.449999999953434,1534414.120000000111759,1596769.800000000046566,1582786.709999999962747,1522745.530000000027940,1559223.000000000000000,11236570.889999998733401
20160418,1671292.180000000167638,1787084.849999999860302,1538408.199999999953434,1604054.000000000000000,1593218.119999999878928,1527899.360000000102445,1574086.500000000000000,11296046.210000000894070
20160419,1697460.139999999897555,1804520.899999999906868,1551056.120000000111759,1605000.000000000000000,1603085.669999999925494,1541018.199999999953434,1581977.000000000000000,11384121.029999999329448
20160420,1736178.039999999804422,1766782.599999999860302,1476832.799999999813735,1598283.399999999906868,1595191.629999999888241,1556948.219999999972060,1592803.500000000000000,11323023.189999999478459
20160421,1751932.219999999972060,1767976.849999999860302,1453201.159999999916181,1595634.599999999860302,1595755.489999999990687,1557416.750000000232831,1592620.000000000000000,11314540.070000000298023
20160422,1760476.860000000102445,1789473.349999999860302,1482491.079999999841675,1595634.599999999860302,1599702.510000000009313,1558822.340000000083819,1606199.000000000000000,11392802.740000000223517
20160425,1754335.400000000139698,1787084.849999999860302,1488149.360000000102445,1592985.800000000046566,1585042.149999999906868,1556011.160000000149012,1602529.000000000000000,11366140.720000000670552
20160426,1767686.400000000139698,1825539.699999999953434,1482158.239999999990687,1572173.800000000046566,1579967.409999999916181,1548514.679999999934807,1608034.000000000000000,11384077.230000000447035
20160427,1768487.460000000195578,1823151.199999999953434,1487150.839999999850988,1587120.599999999860302,1587579.520000000018626,1546172.030000000027940,1623264.500000000000000,11422929.149999998509884
20160428,1758073.680000000167638,1816941.099999999860302,1485486.640000000130385,1579931.000000000000000,1571509.510000000009313,1541955.259999999776483,1615374.000000000000000,11369274.189999999478459
20160429,1747125.860000000102445,1789473.349999999860302,1491144.919999999925494,1583525.800000000046566,1546135.810000000055879,1532584.660000000149012,1622163.500000000000000,11312156.900000000372529
