代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11035930.109999999403954
真實報酬,1035930.109999999403954

夏普值報酬,0.094893011000000
夏普值風險,0.031495960296051
夏普值,3.012862922991957

預期報酬,17956.092517441858945
風險,105512.321005834775860
趨勢值,0.170180054293838
找到最佳解世代,2088
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](8),HD[9](7),NKE[19](5),PFE[20](15),UNH[23](2),V[25](1),VZ[26](16),
20180412,1482720.040000000037253,1389462.679999999934807,1457167.330000000074506,1461980.159999999916181,1496923.000000000000000,1445886.899999999906868,1426181.159999999916181,10160324.269999999552965
20180413,1487743.300000000046566,1384974.840000000083819,1445986.810000000055879,1461980.159999999916181,1497190.000000000000000,1442065.459999999962747,1423791.319999999832362,10143734.890000000596046
20180416,1497023.560000000055879,1398037.659999999916181,1441901.620000000111759,1470433.080000000074506,1537507.000000000000000,1455559.919999999925494,1445598.609999999869615,10246064.449999999254942
20180417,1517627.440000000176951,1401884.379999999888241,1451577.070000000065193,1462382.679999999934807,1592442.250000000000000,1478488.559999999823049,1459340.189999999944121,10363745.570000000298023
20180418,1514221.840000000083819,1441473.539999999804422,1423410.760000000009313,1468823.000000000000000,1578091.000000000000000,1478488.559999999823049,1452469.399999999906868,10356981.099999999627471
20180419,1471311.280000000260770,1419274.760000000009313,1413305.290000000037253,1470433.080000000074506,1573819.000000000000000,1480399.279999999795109,1446793.529999999795109,10275339.219999998807907
20180420,1411032.160000000149012,1418713.779999999795109,1421045.650000000139698,1474458.280000000027940,1569146.500000000000000,1483265.360000000102445,1430960.839999999850988,10208625.570000000298023
20180423,1406945.440000000176951,1423922.879999999888241,1438031.439999999944121,1481301.119999999878928,1564340.500000000000000,1486370.279999999795109,1453664.319999999832362,10254578.980000000447035
20180424,1387363.239999999990687,1412703.279999999795109,1439966.530000000027940,1491766.640000000130385,1563539.500000000000000,1448275.299999999813735,1483836.050000000046566,10227453.539999999105930
20180425,1393408.180000000167638,1421759.099999999860302,1433516.229999999981374,1476470.880000000121072,1563539.500000000000000,1447558.779999999795109,1496681.439999999944121,10232937.109999999403954
20180426,1398261.160000000149012,1488515.719999999972060,1463187.610000000102445,1483313.719999999972060,1582296.250000000000000,1517658.319999999832362,1486524.619999999878928,10419760.399999998509884
20180427,1382084.560000000055879,1494446.080000000074506,1495654.120000000111759,1489351.520000000018626,1603322.500000000000000,1504880.380000000121072,1540594.750000000000000,10510336.910000000149012
20180430,1407115.719999999972060,1481142.840000000083819,1470497.949999999953434,1473653.239999999990687,1578091.000000000000000,1515269.919999999925494,1474276.689999999944121,10400050.359999999403954
20180501,1439809.479999999981374,1479780.459999999962747,1464262.659999999916181,1424948.320000000065193,1581094.750000000000000,1522793.380000000121072,1458444.000000000000000,10371136.050000000745058
20180502,1503409.060000000055879,1490038.379999999888241,1467702.820000000065193,1404419.800000000046566,1558466.500000000000000,1509298.919999999925494,1426479.889999999897555,10359818.370000001043081
20180503,1506133.540000000037253,1468240.299999999813735,1438461.460000000195578,1399187.040000000037253,1563072.250000000000000,1518852.520000000018626,1429168.459999999962747,10323118.570000000298023
20180504,1565220.700000000186265,1482986.059999999823049,1464262.659999999916181,1402407.200000000186265,1574753.500000000000000,1530555.679999999934807,1439624.009999999776483,10459812.810000000521541
20180507,1576544.320000000065193,1471205.479999999981374,1490923.900000000139698,1406029.880000000121072,1560602.500000000000000,1543691.879999999888241,1425882.429999999701977,10474883.390000000596046
20180508,1584121.780000000260770,1483066.199999999720603,1472003.020000000018626,1408042.479999999981374,1548921.250000000000000,1551334.760000000009313,1404672.600000000093132,10452165.089999999850988
20180509,1595275.120000000111759,1493644.679999999934807,1461037.510000000009313,1415690.360000000102445,1530097.750000000000000,1562560.239999999990687,1385553.879999999888241,10443862.539999999105930
20180510,1618092.639999999897555,1500055.879999999888241,1460392.479999999981374,1410457.600000000093132,1560135.250000000000000,1562560.239999999990687,1410049.739999999990687,10521746.830000000074506
20180511,1605747.340000000083819,1525299.979999999981374,1471357.990000000223517,1428973.520000000018626,1590640.000000000000000,1574263.399999999906868,1452469.399999999906868,10648754.630000000819564
20180514,1602001.180000000167638,1531470.760000000009313,1480173.400000000139698,1443464.239999999990687,1621478.500000000000000,1566978.780000000027940,1448585.909999999916181,10694155.770000001415610
20180515,1587442.239999999990687,1506627.359999999869615,1494364.060000000055879,1436621.399999999906868,1598783.500000000000000,1565665.159999999916181,1427674.809999999823049,10617181.530000001192093
20180516,1602256.600000000093132,1493804.959999999962747,1533925.900000000139698,1436218.880000000121072,1613602.000000000000000,1563157.339999999850988,1429765.919999999925494,10672734.599999999627471
20180517,1592124.940000000176951,1485390.260000000009313,1525325.500000000000000,1437426.439999999944121,1621879.000000000000000,1551693.020000000018626,1429467.189999999944121,10643309.349999999627471
20180518,1586335.420000000158325,1502139.519999999785796,1533495.879999999888241,1434608.800000000046566,1633093.000000000000000,1551693.020000000018626,1426181.159999999916181,10667549.800000000745058
20180521,1597573.900000000139698,1521132.699999999720603,1534785.939999999944121,1441049.119999999878928,1654853.500000000000000,1560410.679999999934807,1446793.529999999795109,10756602.369999999180436
20180522,1593572.320000000065193,1497731.819999999832362,1533280.870000000111759,1437828.959999999962747,1636697.500000000000000,1561007.780000000027940,1458145.270000000018626,10718267.519999999552965
20180523,1603789.120000000111759,1496129.019999999785796,1533925.900000000139698,1447891.959999999962747,1630556.500000000000000,1574979.919999999925494,1451573.209999999962747,10738848.629999998956919
20180524,1602001.180000000167638,1499975.739999999990687,1551986.740000000223517,1444671.800000000046566,1620343.750000000000000,1575099.339999999850988,1453066.859999999869615,10747148.410000000149012
20180525,1605662.200000000186265,1497571.539999999804422,1553491.810000000055879,1436218.880000000121072,1635162.250000000000000,1567814.719999999972060,1449482.100000000093132,10745406.500000000000000
20180529,1599872.680000000167638,1482745.639999999897555,1524895.479999999981374,1437023.920000000158325,1616605.750000000000000,1548826.939999999944121,1439922.739999999990687,10649896.150000000372529
20180530,1596467.080000000074506,1499494.899999999906868,1553061.790000000037253,1451112.119999999878928,1635095.500000000000000,1560171.839999999850988,1451871.939999999944121,10747278.169999999925494
20180531,1591103.260000000009313,1495167.340000000083819,1543816.360000000102445,1446281.880000000121072,1612200.250000000000000,1561127.199999999953434,1424090.050000000046566,10673789.339999999850988
20180601,1619795.440000000176951,1501578.539999999804422,1564457.320000000065193,1459162.520000000018626,1624482.250000000000000,1562679.659999999916181,1428272.270000000018626,10760431.000000000000000
20180604,1633332.700000000186265,1533714.679999999934807,1587463.390000000130385,1467212.920000000158325,1633026.250000000000000,1589190.899999999906868,1428571.000000000000000,10872514.839999999850988
20180605,1645933.420000000158325,1538362.799999999813735,1592193.610000000102445,1466810.399999999906868,1631691.250000000000000,1595042.479999999981374,1433051.949999999953434,10903088.910000000149012
20180606,1651637.800000000046566,1551585.899999999906868,1607244.310000000055879,1464395.280000000027940,1659859.750000000000000,1627524.719999999972060,1446196.069999999832362,11008446.830000000074506
20180607,1647210.520000000251457,1572262.019999999785796,1607459.320000000065193,1468823.000000000000000,1662062.500000000000000,1598386.239999999990687,1464119.869999999878928,11020326.469999998807907
20180608,1632225.879999999888241,1589572.260000000009313,1610469.460000000195578,1476068.360000000102445,1673410.000000000000000,1609134.040000000037253,1469198.279999999795109,11060081.279999999329448
20180611,1628224.300000000046566,1600070.599999999860302,1603804.150000000139698,1461175.119999999878928,1694102.500000000000000,1599222.179999999934807,1472783.039999999804422,11059384.889999998733401
20180612,1637164.000000000000000,1613453.979999999981374,1597353.850000000093132,1461175.119999999878928,1692767.500000000000000,1610567.080000000074506,1458145.270000000018626,11070629.800000000745058
20180613,1623711.879999999888241,1605439.979999999981374,1593483.670000000158325,1457954.959999999962747,1688028.250000000000000,1605073.760000000009313,1416024.339999999850988,10989719.839999999850988
20180614,1624563.280000000260770,1600311.019999999785796,1606169.260000000009313,1455539.839999999850988,1704448.750000000000000,1612238.959999999962747,1428571.000000000000000,11031845.109999999403954
20180615,1607875.840000000083819,1607283.199999999720603,1630680.400000000139698,1463590.239999999990687,1708787.500000000000000,1613433.159999999916181,1435740.520000000018626,11067393.859999999403954
20180618,1607024.440000000176951,1608485.299999999813735,1625735.170000000158325,1455539.839999999850988,1701378.250000000000000,1626569.359999999869615,1417816.719999999972060,11042552.080000000074506
20180619,1581056.739999999990687,1596624.580000000074506,1596708.820000000065193,1457954.959999999962747,1689029.500000000000000,1613552.580000000074506,1448884.639999999897555,10983814.820000000298023
20180620,1587953.080000000074506,1595582.760000000009313,1606599.280000000027940,1467615.439999999944121,1687627.750000000000000,1618209.959999999962747,1436636.709999999962747,11000227.980000000447035
20180621,1579098.520000000251457,1605439.979999999981374,1589828.500000000000000,1461175.119999999878928,1681486.750000000000000,1606626.219999999972060,1452768.129999999888241,10976426.219999998807907
20180622,1574500.959999999962747,1582199.379999999888241,1578862.990000000223517,1469628.040000000037253,1698040.750000000000000,1616179.820000000065193,1486524.619999999878928,11005939.559999998658895
20180625,1551087.459999999962747,1573944.959999999962747,1555641.909999999916181,1464395.280000000027940,1673610.250000000000000,1563635.020000000018626,1481744.939999999944121,10864062.820000000298023
20180626,1570329.100000000093132,1573784.679999999934807,1560157.120000000111759,1464395.280000000027940,1667335.750000000000000,1582981.060000000055879,1472783.039999999804422,10891769.029999999329448
20180627,1568030.320000000065193,1563045.919999999925494,1534140.909999999916181,1457552.439999999944121,1656655.750000000000000,1564709.800000000046566,1473081.770000000018626,10817219.910000000149012
20180628,1579439.080000000074506,1564568.580000000074506,1541666.260000000009313,1463590.239999999990687,1634828.500000000000000,1585250.040000000037253,1519384.919999999925494,10888730.619999999180436
20180629,1576118.620000000111759,1563687.039999999804422,1713244.240000000223517,1460370.080000000074506,1637765.500000000000000,1581786.859999999869615,1502954.770000000018626,11035930.109999999403954
