代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11003928.650000000372529
真實報酬,1003928.650000000372529

夏普值報酬,0.091692865000000
夏普值風險,0.034657722489835
夏普值,2.645669086504251

預期報酬,16493.027536598270672
風險,135611.954507968388498
趨勢值,0.121619274616599
找到最佳解世代,2036
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DD[7](4),JNJ[12](7),MRK[17](1),
20140130,3401865.100000000558794,3257269.540000000037253,3563769.000000000000000,10222904.640000000596046
20140131,3416625.860000000335276,3219783.720000000204891,3527805.000000000000000,10164215.580000000074506
20140203,3354946.970000000204891,3158277.859999999869615,3468531.000000000000000,9981756.830000000074506
20140204,3375506.600000000558794,3152454.820000000298023,3563769.000000000000000,10091731.420000001788139
20140205,3367071.880000000353903,3176474.859999999869615,3565101.000000000000000,10108648.740000000223517
20140206,3422424.730000000447035,3229974.040000000037253,3581085.000000000000000,10233484.769999999552965
20140207,3423479.070000000298023,3276922.300000000279397,3647685.000000000000000,10348087.370000001043081
20140210,3441402.850000000558794,3314408.119999999646097,3655677.000000000000000,10411488.970000000670552
20140211,3516260.990000000689179,3383556.720000000204891,3709623.000000000000000,10609441.710000000894070
20140212,3481467.770000000484288,3363540.020000000018626,3663003.000000000000000,10508011.790000000968575
20140213,3476196.070000000298023,3368635.180000000167638,3669663.000000000000000,10514495.250000000000000
20140214,3506771.930000000167638,3375913.980000000447035,3692307.000000000000000,10574993.910000000149012
20140218,3512043.630000000353903,3354441.520000000018626,3708957.000000000000000,10575443.150000000372529
20140219,3486212.300000000279397,3335152.700000000186265,3665667.000000000000000,10487033.000000000000000
20140220,3538929.300000000279397,3362084.259999999776483,3716949.000000000000000,10617963.560000000521541
20140221,3525750.050000000279397,3330785.419999999925494,3731601.000000000000000,10588137.470000000670552
20140224,3524695.710000000428408,3315863.879999999888241,3741591.000000000000000,10582151.589999999850988
20140225,3545255.340000000316650,3315863.879999999888241,3723609.000000000000000,10584729.220000000670552
20140226,3590591.960000000428408,3315863.879999999888241,3747585.000000000000000,10654041.839999999850988
20140227,3641727.450000000186265,3324962.379999999888241,3773559.000000000000000,10740249.830000000074506
20140228,3657015.380000000353903,3352621.820000000298023,3795537.000000000000000,10805175.200000001117587
20140303,3636455.750000000465661,3332241.180000000167638,3757575.000000000000000,10726272.929999999701977
20140304,3713422.570000000298023,3397022.500000000000000,3800199.000000000000000,10910645.070000000298023
20140305,3747161.450000000186265,3369727.000000000000000,3788211.000000000000000,10905100.449999999254942
20140306,3737145.220000000204891,3380645.200000000186265,3813519.000000000000000,10931310.419999999925494
20140307,3717112.760000000707805,3396294.619999999646097,3827505.000000000000000,10940913.380000000819564
20140310,3740835.410000000149012,3401025.840000000316650,3817515.000000000000000,10959377.250000000000000
20140311,3698134.640000000596046,3402481.599999999627471,3775557.000000000000000,10876174.240000000223517
20140312,3680738.029999999795109,3406484.939999999944121,3783549.000000000000000,10870772.969999998807907
20140313,3659124.060000000055879,3384648.540000000037253,3715617.000000000000000,10759390.599999999627471
20140314,3652270.850000000558794,3377733.680000000167638,3709623.000000000000000,10739628.530000001192093
20140317,3678629.350000000558794,3418494.960000000428408,3746919.000000000000000,10844044.310000000521541
20140318,3728710.500000000465661,3418858.899999999906868,3753579.000000000000000,10901149.400000000372529
20140319,3724493.140000000596046,3406121.000000000000000,3728937.000000000000000,10859552.140000000596046
20140320,3771938.439999999944121,3425409.820000000298023,3702297.000000000000000,10899646.259999999776483
20140321,3769302.590000000316650,3491282.960000000428408,3640359.000000000000000,10900945.550000000745058
20140324,3765612.400000000838190,3464715.340000000316650,3581751.000000000000000,10812079.740000002086163
20140325,3801987.130000000353903,3544054.259999999776483,3675657.000000000000000,11021699.390000000596046
20140326,3710786.720000000204891,3532044.239999999757856,3730935.000000000000000,10973766.960000000894070
20140327,3602716.870000000577420,3540414.859999999869615,3711621.000000000000000,10854753.730000000447035
20140328,3618531.970000000204891,3546237.899999999906868,3728271.000000000000000,10893041.870000001043081
20140331,3648053.490000000689179,3574989.160000000149012,3780885.000000000000000,11003928.650000000372529
