代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10655220.809999998658895
真實報酬,655220.809999998658895

夏普值報酬,0.056822081000000
夏普值風險,0.027249286463693
夏普值,2.085268584030966

預期報酬,13412.801753466017544
風險,89502.335335502240923
趨勢值,0.149859796430872
找到最佳解世代,2116
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](4),MCD[15](1),MRK[17](9),UNH[23](3),
20190717,2658988.959999999962747,2704219.419999999925494,2601956.020000000018626,2860179.080000000074506,10825343.480000000447035
20190718,2651345.260000000242144,2732056.020000000018626,2626412.759999999776483,2795286.780000000260770,10805100.820000000298023
20190719,2618732.140000000130385,2706243.899999999906868,2585122.160000000149012,2752919.080000000074506,10663017.280000001192093
20190722,2610069.279999999795109,2720541.790000000037253,2579405.000000000000000,2738653.500000000000000,10648669.570000000298023
20190723,2768548.660000000149012,2711811.220000000204891,2605449.839999999850988,2735328.439999999944121,10821138.160000000149012
20190724,2740521.760000000242144,2692452.129999999888241,2596556.479999999981374,2693711.560000000055879,10723241.930000001564622
20190725,2704341.580000000074506,2713456.109999999869615,2596556.479999999981374,2667647.379999999888241,10682001.550000000745058
20190726,2760395.379999999888241,2727880.530000000260770,2586392.640000000130385,2713125.620000000111759,10787794.170000001788139
20190729,2751222.939999999944121,2720288.729999999981374,2620060.359999999869615,2722564.500000000000000,10814136.529999999329448
20190730,2737464.279999999795109,2686884.810000000055879,2644834.719999999739230,2734470.360000000335276,10803654.169999999925494
20190731,2681920.060000000055879,2666386.950000000186265,2635941.359999999869615,2670972.439999999944121,10655220.809999998658895
