代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10489434.810000000521541
真實報酬,489434.810000000521541

夏普值報酬,0.040243481000000
夏普值風險,0.014513737172596
夏普值,2.772785570072561

預期報酬,26612.308710801393318
風險,22251.591199073453026
趨勢值,1.195973288953355
找到最佳解世代,3061
找到最佳解實驗#,1
找到最佳解次數,15

stock[index](rank)
投資組合檔數,11
BA[2](4),CVX[5](19),DIS[6](3),IBM[10](21),JNJ[12](13),JPM[13](8),MRK[17](25),TRV[22](2),UNH[23](7),V[25](17),VZ[26](23),
20191113,969495.659999999916181,957147.780000000027940,1040633.600000000093132,914187.750000000000000,903789.320000000065193,934996.119999999995343,889788.400000000023283,930383.519999999902211,912219.390000000013970,911885.099999999976717,893155.019999999902211,10257691.660000000149012
20191114,982705.219999999855645,954643.139999999897555,1029648.310000000172295,910925.190000000060536,901655.280000000027940,935869.359999999986030,886956.100000000093132,929135.039999999920838,920348.610000000102445,913612.979999999981374,892102.710000000079162,10257611.940000001341105
20191115,994042.979999999981374,944311.500000000000000,1012295.750000000000000,913643.990000000107102,929053.599999999976717,942636.970000000088476,890627.600000000209548,926499.359999999869615,969159.900000000023283,913714.619999999995343,894658.319999999948777,10330654.589999999850988
20191118,988106.699999999837019,927953.069999999948777,1033146.810000000172295,913032.260000000125729,928296.360000000102445,950568.900000000023283,882550.300000000046566,931493.279999999911524,981857.310000000172295,913155.599999999976717,893606.010000000009313,10343776.599999999627471
20191119,981528.659999999916181,911516.369999999995343,1038254.620000000111759,914459.630000000121072,928227.520000000018626,950277.820000000181608,888005.100000000209548,939608.400000000023283,986533.410000000149012,928960.619999999995343,894507.989999999990687,10361890.140000000596046
20191120,991984.000000000000000,918482.400000000023283,1028108.970000000204891,905487.589999999967404,935937.599999999976717,943364.670000000041910,894508.900000000023283,939400.320000000065193,991317.420000000158325,923319.599999999976717,894207.329999999958090,10366128.800000000745058
20191121,980031.219999999855645,929675.009999999892898,1027899.060000000172295,909837.670000000041910,939379.599999999976717,945547.770000000135042,896502.000000000000000,934267.679999999934807,994878.450000000186265,914324.459999999962747,896161.619999999995343,10368514.540000000968575
20191122,993133.819999999832362,928579.229999999981374,1037624.890000000013970,913236.170000000041910,950600.520000000018626,951805.989999999990687,896397.100000000093132,937319.519999999902211,995921.579999999958090,912190.020000000018626,898266.239999999990687,10415085.080000000074506
20191125,997920.279999999911524,926622.479999999981374,1047420.690000000060536,924315.280000000027940,944473.760000000009313,956899.890000000130385,899019.600000000093132,936625.919999999925494,1016892.090000000200234,919813.020000000018626,892704.030000000027940,10462717.039999997243285
20191126,998936.399999999906868,922004.550000000046566,1061064.839999999850988,918333.920000000041910,944404.919999999925494,958209.749999999883585,916223.200000000186265,948070.320000000065193,1012323.900000000023283,927842.580000000074506,900370.859999999986030,10507795.240000000223517
20191127,984202.659999999916181,924196.109999999869615,1059945.319999999832362,909361.880000000121072,948397.640000000013970,961047.780000000027940,919055.500000000116415,949180.079999999958090,1009698.090000000200234,937091.819999999948777,903527.790000000037253,10505714.670000001788139
20191129,979335.979999999981374,916838.729999999981374,1060645.020000000018626,913983.839999999967404,946607.800000000046566,958864.679999999934807,914544.800000000162981,948347.760000000009313,1006820.490000000107102,937803.299999999930151,905632.410000000032596,10489434.810000000521541
