代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12638098.099999999627471
真實報酬,2638098.099999999627471

夏普值報酬,0.255109810000000
夏普值風險,0.066194631925722
夏普值,3.853935018269487

二次趨勢線,-124.768995376443030 x^2 + 36187.539107118558604 x + 10000000.000000000000000
二次平均預期報酬,20341.876694310285529
風險,239424.208379710908048
二次平均趨勢值,0.084961653760799
一次趨勢線,24350.265605060241796 x + 10000000.000000000000000
一次預期報酬,24350.265605060241796
一次風險,327634.785520570701919
一次趨勢值,0.074321368429701
找到最佳解世代,2519
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MRK[17](1),
FS( 67 ),11779682.480000000447035,11779682.480000000447035
FS( 68 ),11748256.859999999403954,11748256.859999999403954
FS( 69 ),11819377.999999998137355,11819377.999999998137355
FS( 70 ),11964928.240000000223517,11964928.240000000223517
FS( 71 ),11652326.019999999552965,11652326.019999999552965
FS( 72 ),11308298.180000001564622,11308298.180000001564622
FS( 73 ),11546471.300000000745058,11546471.300000000745058
FS( 74 ),11488581.999999998137355,11488581.999999998137355
FS( 75 ),11779682.480000000447035,11779682.480000000447035
FS( 76 ),11878921.279999999329448,11878921.279999999329448
FS( 77 ),11943426.499999998137355,11943426.499999998137355
FS( 78 ),11966582.219999998807907,11966582.219999998807907
FS( 79 ),12002969.779999999329448,12002969.779999999329448
FS( 80 ),11925232.719999998807907,11925232.719999998807907
FS( 81 ),11667211.840000001713634,11667211.840000001713634
FS( 82 ),11571280.999999998137355,11571280.999999998137355
FS( 83 ),11644056.120000001043081,11644056.120000001043081
FS( 84 ),11817724.019999999552965,11817724.019999999552965
FS( 85 ),12052589.180000001564622,12052589.180000001564622
FS( 86 ),12174983.699999999254942,12174983.699999999254942
FS( 87 ),12093938.680000001564622,12093938.680000001564622
FS( 88 ),11953350.379999998956919,11953350.379999998956919
FS( 89 ),12093938.680000001564622,12093938.680000001564622
FS( 90 ),12125364.300000000745058,12125364.300000000745058
FS( 91 ),12418118.759999999776483,12418118.759999999776483
FS( 92 ),12484277.960000000894070,12484277.960000000894070
FS( 93 ),12381731.199999999254942,12381731.199999999254942
FS( 94 ),12353613.539999999105930,12353613.539999999105930
FS( 95 ),12340381.699999999254942,12340381.699999999254942
FS( 96 ),12254374.740000000223517,12254374.740000000223517
FS( 97 ),12378423.240000000223517,12378423.240000000223517
FS( 98 ),12580208.800000000745058,12580208.800000000745058
FS( 99 ),12628174.219999998807907,12628174.219999998807907
FS( 100 ),12368499.359999999403954,12368499.359999999403954
FS( 101 ),12370153.340000001713634,12370153.340000001713634
FS( 102 ),12350305.580000000074506,12350305.580000000074506
FS( 103 ),12477662.039999999105930,12477662.039999999105930
FS( 104 ),12626520.240000000223517,12626520.240000000223517
FS( 105 ),12773724.460000000894070,12773724.460000000894070
FS( 106 ),12886195.099999999627471,12886195.099999999627471
FS( 107 ),13122714.240000000223517,13122714.240000000223517
FS( 108 ),13102866.480000000447035,13102866.480000000447035
FS( 109 ),12935814.499999998137355,12935814.499999998137355
FS( 110 ),12962278.180000001564622,12962278.180000001564622
FS( 111 ),12689371.480000000447035,12689371.480000000447035
FS( 112 ),12805150.080000000074506,12805150.080000000074506
FS( 113 ),12753876.699999999254942,12753876.699999999254942
FS( 114 ),12902734.900000000372529,12902734.900000000372529
FS( 115 ),13068132.900000000372529,13068132.900000000372529
FS( 116 ),12649675.960000000894070,12649675.960000000894070
FS( 117 ),12442928.460000000894070,12442928.460000000894070
FS( 118 ),12294070.259999999776483,12294070.259999999776483
FS( 119 ),12201447.379999998956919,12201447.379999998956919
FS( 120 ),12155135.939999999478459,12155135.939999999478459
FS( 121 ),12057551.120000001043081,12057551.120000001043081
FS( 122 ),11768104.620000001043081,11768104.620000001043081
FS( 123 ),12239488.919999999925494,12239488.919999999925494
FS( 124 ),12467738.159999998286366,12467738.159999998286366
FS( 125 ),12466084.180000001564622,12466084.180000001564622
FS( 126 ),12638098.099999999627471,12638098.099999999627471
