代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15702153.560000000521541
真實報酬,5702153.560000000521541

夏普值報酬,0.561515356000000
夏普值風險,0.175828022879899
夏普值,3.193548711990847

二次趨勢線,345.578242013959994 x^2 + 9825.444421043901457 x + 10000000.000000000000000
二次平均預期報酬,53022.724672788899625
風險,729343.220219802460633
二次平均趨勢值,0.072699276832668
一次趨勢線,42093.292319937805587 x + 10000000.000000000000000
一次預期報酬,42093.292319937805587
一次風險,944455.963402998400852
一次趨勢值,0.044568824753110
找到最佳解世代,2841
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
FS( 54 ),11195986.199999999254942,11195986.199999999254942
FS( 55 ),11867281.680000001564622,11867281.680000001564622
FS( 56 ),11736109.000000000000000,11736109.000000000000000
FS( 57 ),11736109.000000000000000,11736109.000000000000000
FS( 58 ),12114194.959999999031425,12114194.959999999031425
FS( 59 ),11774689.199999999254942,11774689.199999999254942
FS( 60 ),11520059.880000000819564,11520059.880000000819564
FS( 61 ),11589504.240000000223517,11589504.240000000223517
FS( 62 ),11983022.279999999329448,11983022.279999999329448
FS( 63 ),12422836.560000000521541,12422836.560000000521541
FS( 64 ),12785490.439999999478459,12785490.439999999478459
FS( 65 ),13055551.840000001713634,13055551.840000001713634
FS( 66 ),12677465.880000000819564,12677465.880000000819564
FS( 67 ),12824070.640000000596046,12824070.640000000596046
FS( 68 ),13179008.479999998584390,13179008.479999998584390
FS( 69 ),13248452.840000001713634,13248452.840000001713634
FS( 70 ),13040119.759999999776483,13040119.759999999776483
FS( 71 ),12970675.399999998509884,12970675.399999998509884
FS( 72 ),13387341.560000000521541,13387341.560000000521541
FS( 73 ),13603390.679999999701977,13603390.679999999701977
FS( 74 ),13279317.000000000000000,13279317.000000000000000
FS( 75 ),13418205.720000000670552,13418205.720000000670552
FS( 76 ),13395057.599999999627471,13395057.599999999627471
FS( 77 ),13819439.800000000745058,13819439.800000000745058
FS( 78 ),13657402.959999999031425,13657402.959999999031425
FS( 79 ),13749995.439999999478459,13749995.439999999478459
FS( 80 ),13657402.959999999031425,13657402.959999999031425
FS( 81 ),13796291.679999999701977,13796291.679999999701977
FS( 82 ),13873452.080000000074506,13873452.080000000074506
FS( 83 ),14027772.880000000819564,14027772.880000000819564
FS( 84 ),14560179.640000000596046,14560179.640000000596046
FS( 85 ),14629624.000000000000000,14629624.000000000000000
FS( 86 ),14606475.880000000819564,14606475.880000000819564
FS( 87 ),14228389.920000001788139,14228389.920000001788139
FS( 88 ),14243822.000000000000000,14243822.000000000000000
FS( 89 ),14282402.200000001117587,14282402.200000001117587
FS( 90 ),13711415.240000000223517,13711415.240000000223517
FS( 91 ),13171292.439999999478459,13171292.439999999478459
FS( 92 ),13549378.399999998509884,13549378.399999998509884
FS( 93 ),13495366.119999999180436,13495366.119999999180436
FS( 94 ),13958328.519999999552965,13958328.519999999552965
FS( 95 ),14050921.000000000000000,14050921.000000000000000
FS( 96 ),13873452.080000000074506,13873452.080000000074506
FS( 97 ),13688267.119999999180436,13688267.119999999180436
FS( 98 ),13503082.160000000149012,13503082.160000000149012
FS( 99 ),14413574.880000000819564,14413574.880000000819564
FS( 100 ),14668204.200000001117587,14668204.200000001117587
FS( 101 ),14891969.360000001266599,14891969.360000001266599
FS( 102 ),14969129.759999999776483,14969129.759999999776483
FS( 103 ),15362647.800000000745058,15362647.800000000745058
FS( 104 ),15378079.880000000819564,15378079.880000000819564
FS( 105 ),15540116.720000000670552,15540116.720000000670552
FS( 106 ),15841042.280000001192093,15841042.280000001192093
FS( 107 ),15949066.840000001713634,15949066.840000001713634
FS( 108 ),15856474.360000001266599,15856474.360000001266599
FS( 109 ),15733017.720000000670552,15733017.720000000670552
FS( 110 ),15462956.320000000298023,15462956.320000000298023
FS( 111 ),15424376.119999999180436,15424376.119999999180436
FS( 112 ),15100302.439999999478459,15100302.439999999478459
FS( 113 ),14999993.920000001788139,14999993.920000001788139
FS( 114 ),15030858.080000000074506,15030858.080000000074506
FS( 115 ),14945981.640000000596046,14945981.640000000596046
FS( 116 ),14976845.800000000745058,14976845.800000000745058
FS( 117 ),15378079.880000000819564,15378079.880000000819564
FS( 118 ),15138882.640000000596046,15138882.640000000596046
FS( 119 ),14768512.720000000670552,14768512.720000000670552
FS( 120 ),15015426.000000000000000,15015426.000000000000000
FS( 121 ),15416660.080000000074506,15416660.080000000074506
FS( 122 ),15702153.560000000521541,15702153.560000000521541
FS( 123 ),15648141.280000001192093,15648141.280000001192093
FS( 124 ),15702153.560000000521541,15702153.560000000521541
