代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12367268.190000001341105
真實報酬,2367268.190000001341105

夏普值報酬,0.228026819000000
夏普值風險,0.064293834899899
夏普值,3.546635837713242

二次趨勢線,117.263012931214817 x^2 + 4370.026237979483994 x + 10000000.000000000000000
二次平均預期報酬,19379.691893174971483
風險,177743.742840855265968
二次平均趨勢值,0.109031640627298
一次趨勢線,15583.129403919636388 x + 10000000.000000000000000
一次預期報酬,15583.129403919636388
一次風險,277828.208321897720452
一次趨勢值,0.056089082883422
找到最佳解世代,2368
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,4
AAPL[0](9),BA[2](3),CVX[5](4),JPM[13](1),
FS( 46 ),2807898.510000000242144,2563610.800000000279397,2458714.839999999850988,2752199.620000000111759,10582423.769999999552965
FS( 47 ),2825105.370000000111759,2556864.199999999720603,2469516.189999999478459,2740773.100000000093132,10592258.859999999403954
FS( 48 ),2751063.729999999981374,2561875.959999999962747,2499279.910000000149012,2744445.910000000149012,10556665.509999999776483
FS( 49 ),2688754.040000000037253,2477639.839999999850988,2430871.359999999869615,2719960.510000000242144,10317225.750000000000000
FS( 50 ),2748978.049999999813735,2508288.680000000167638,2454394.299999999813735,2736692.200000000186265,10448353.230000000447035
FS( 51 ),2814416.260000000242144,2482073.319999999832362,2386705.839999999850988,2715063.430000000167638,10398258.849999999627471
FS( 52 ),2914007.479999999981374,2461062.479999999981374,2362462.810000000055879,2709758.260000000242144,10447291.029999999329448
FS( 53 ),3013077.279999999795109,2462990.080000000074506,2388386.049999999813735,2719552.420000000391155,10584005.830000000074506
FS( 54 ),2996131.129999999888241,2442364.760000000242144,2348541.069999999832362,2686089.040000000037253,10473126.000000000000000
FS( 55 ),2961195.990000000223517,2457400.040000000037253,2353341.669999999925494,2701188.370000000111759,10473126.070000000298023
FS( 56 ),2960935.279999999795109,2463375.600000000093132,2345180.649999999906868,2712206.799999999813735,10481698.329999998211861
FS( 57 ),2960413.859999999869615,2516770.120000000111759,2391506.439999999478459,2727714.220000000204891,10596404.640000000596046
FS( 58 ),2988309.830000000074506,2542021.680000000167638,2399907.489999999757856,2750159.170000000391155,10680398.169999999925494
FS( 59 ),2938514.219999999739230,2540286.839999999850988,2381665.209999999962747,2744445.910000000149012,10604912.179999999701977
FS( 60 ),2942946.290000000037253,2516962.879999999888241,2371103.889999999664724,2684456.680000000167638,10515469.740000000223517
FS( 61 ),2948421.200000000186265,2531419.879999999888241,2375904.489999999757856,2708125.899999999906868,10563871.470000000670552
FS( 62 ),2970842.260000000242144,2548961.040000000037253,2451994.000000000000000,2722409.049999999813735,10694206.350000001490116
FS( 63 ),2924696.590000000316650,2525829.839999999850988,2430871.359999999869615,2679151.510000000242144,10560549.299999998882413
FS( 64 ),2947378.359999999869615,2539515.800000000279397,2470476.310000000055879,2717511.970000000204891,10674882.440000001341105
FS( 65 ),2933560.729999999981374,2551852.439999999944121,2459194.899999999906868,2714247.250000000465661,10658855.320000000298023
FS( 66 ),2946074.810000000055879,2549346.560000000055879,2430871.359999999869615,2717920.060000000055879,10644212.790000000968575
FS( 67 ),2947378.359999999869615,2595801.720000000204891,2453914.239999999757856,2762401.870000000111759,10759496.190000001341105
FS( 68 ),2969278.000000000000000,2591175.479999999981374,2452714.089999999850988,2769747.490000000223517,10782915.060000000521541
FS( 69 ),2973710.070000000298023,2580188.160000000149012,2454874.359999999869615,2779541.649999999906868,10788314.240000000223517
FS( 70 ),3025591.359999999869615,2618547.399999999906868,2495919.489999999757856,2801170.420000000391155,10941228.669999999925494
FS( 71 ),3032109.109999999869615,2578067.800000000279397,2473356.669999999925494,2787703.450000000186265,10871237.030000001192093
FS( 72 ),3059222.950000000186265,2566887.720000000204891,2451994.000000000000000,2780357.830000000074506,10858462.500000000000000
FS( 73 ),3049837.390000000130385,2571128.439999999944121,2419349.919999999925494,2764442.319999999832362,10804758.070000000298023
FS( 74 ),3066783.540000000037253,2573441.560000000055879,2426310.789999999571592,2755464.339999999850988,10822000.229999998584390
FS( 75 ),3064697.859999999869615,2583079.560000000055879,2433031.629999999888241,2741181.190000000409782,10821990.240000000223517
FS( 76 ),3062612.180000000167638,2604283.160000000149012,2443352.919999999925494,2762809.960000000428408,10873058.220000000670552
FS( 77 ),3053487.330000000074506,2625101.240000000223517,2454874.359999999869615,2789335.810000000055879,10922798.740000000223517
FS( 78 ),3051923.070000000298023,2618547.399999999906868,2445273.160000000149012,2785663.000000000465661,10901406.630000000819564
FS( 79 ),3039930.409999999683350,2614499.439999999944121,2431591.449999999720603,2795049.069999999832362,10881070.369999999180436
FS( 80 ),3067304.960000000428408,2649581.759999999776483,2416229.529999999795109,2810556.490000000223517,10943672.740000000223517
FS( 81 ),3082947.560000000055879,2679845.080000000074506,2418869.859999999869615,2807699.859999999869615,10989362.359999999403954
FS( 82 ),3013598.700000000186265,2805524.600000000093132,2428951.119999999646097,2821166.830000000074506,11069241.250000000000000
FS( 83 ),2984659.890000000130385,2762539.120000000111759,2398467.310000000055879,2825247.730000000447035,10970914.050000000745058
FS( 84 ),2964845.930000000167638,2756756.319999999832362,2492079.009999999776483,2820350.649999999906868,11034031.910000000149012
FS( 85 ),2960153.150000000372529,2745576.240000000223517,2514401.799999999813735,2826472.000000000465661,11046603.190000001341105
FS( 86 ),2906707.600000000093132,2745190.720000000204891,2555926.989999999757856,2814637.390000000130385,11022462.700000001117587
FS( 87 ),2909314.700000000186265,2713192.560000000055879,2529763.719999999739230,2802802.780000000260770,10955073.759999999776483
FS( 88 ),2863429.740000000223517,2699121.080000000074506,2529763.719999999739230,2790560.080000000074506,10882874.620000001043081
FS( 89 ),2837619.450000000186265,2689868.600000000093132,2515121.889999999664724,2765258.500000000465661,10807868.440000001341105
FS( 90 ),2878550.919999999925494,2757141.839999999850988,2564808.099999999627471,2851773.580000000074506,11052274.439999999478459
FS( 91 ),2895497.070000000298023,2741142.759999999776483,2575369.419999999925494,2857894.930000000167638,11069904.179999999701977
FS( 92 ),2890804.290000000037253,2796850.399999999906868,2583770.469999999739230,2989299.910000000149012,11260725.070000000298023
FS( 93 ),2810244.900000000372529,2846968.000000000000000,2587370.919999999925494,3128050.510000000242144,11372634.330000000074506
FS( 94 ),2826930.340000000316650,2862967.080000000074506,2559767.469999999739230,3129682.870000000111759,11379347.759999999776483
FS( 95 ),2756017.219999999739230,2891302.800000000279397,2558567.319999999832362,3244764.250000000465661,11450651.589999999850988
FS( 96 ),2792516.620000000111759,2855063.920000000391155,2615454.429999999701977,3238642.899999999906868,11501677.870000001043081
FS( 97 ),2867601.100000000093132,2822873.000000000000000,2600812.599999999627471,3158657.260000000242144,11449943.959999999031425
FS( 98 ),2866558.260000000242144,2801476.640000000130385,2595291.910000000149012,3183958.839999999850988,11447285.650000000372529
FS( 99 ),2869426.070000000298023,2821138.160000000149012,2621215.149999999906868,3171308.049999999813735,11483087.429999999701977
FS( 100 ),2912964.640000000130385,2834053.080000000074506,2644738.089999999850988,3185183.109999999869615,11576938.919999999925494
FS( 101 ),2914789.609999999869615,2882243.080000000074506,2655299.410000000149012,3204771.430000000167638,11657103.529999999329448
FS( 102 ),2899929.140000000130385,2886483.800000000279397,2664420.549999999813735,3218238.399999999906868,11669071.890000000596046
FS( 103 ),2914528.900000000372529,2892266.600000000093132,2664420.549999999813735,3217014.129999999888241,11688230.179999999701977
FS( 104 ),2908793.279999999795109,2887062.080000000074506,2652419.049999999813735,3196201.540000000037253,11644475.949999999254942
FS( 105 ),2905925.469999999739230,2923108.199999999720603,2624575.569999999832362,3220686.940000000409782,11674296.179999999701977
FS( 106 ),2881418.729999999981374,2902290.120000000111759,2677862.229999999981374,3271698.190000000409782,11733269.269999999552965
FS( 107 ),2854565.600000000093132,2937565.199999999720603,2719387.419999999925494,3337808.770000000484288,11849326.989999998360872
FS( 108 ),2865254.710000000428408,2934866.560000000055879,2712426.549999999813735,3330055.060000000055879,11842602.880000000819564
FS( 109 ),2844658.620000000111759,2933131.720000000204891,2718427.299999999813735,3397798.000000000465661,11894015.640000000596046
FS( 110 ),2866558.260000000242144,2934673.800000000279397,2706665.830000000074506,3415345.870000000111759,11923243.760000001639128
FS( 111 ),2894714.939999999944121,2971298.199999999720603,2746990.869999999646097,3430853.290000000037253,12043857.300000000745058
FS( 112 ),2923132.330000000074506,2995393.199999999720603,2764513.060000000055879,3473702.740000000223517,12156741.330000000074506
FS( 113 ),2970842.260000000242144,3016596.800000000279397,2779874.979999999981374,3488802.069999999832362,12256116.110000001266599
FS( 114 ),2953896.109999999869615,3029511.720000000204891,2812039.000000000000000,3457787.230000000447035,12253234.060000000521541
FS( 115 ),3003170.299999999813735,3019873.720000000204891,2818519.810000000055879,3459011.500000000465661,12300575.330000000074506
FS( 116 ),3003170.299999999813735,2977659.280000000260770,2783475.429999999701977,3457787.230000000447035,12222092.240000000223517
FS( 117 ),3019595.029999999795109,2964166.080000000074506,2809638.699999999720603,3509614.660000000149012,12303014.469999998807907
FS( 118 ),3023505.680000000167638,2978237.560000000055879,2834361.789999999571592,3466357.120000000111759,12302462.149999998509884
FS( 119 ),3040973.250000000000000,3010621.240000000223517,2824040.500000000000000,3486353.530000000260770,12361988.519999999552965
FS( 120 ),3049055.260000000242144,3014669.199999999720603,2831241.399999999906868,3531243.430000000167638,12426209.289999999105930
FS( 121 ),3051923.070000000298023,3035680.040000000037253,2830281.279999999795109,3540221.410000000149012,12458105.800000000745058
FS( 122 ),3031848.400000000372529,3035294.520000000018626,2850923.859999999869615,3545934.670000000391155,12464001.449999999254942
FS( 123 ),3037844.729999999981374,3042041.120000000111759,2842522.810000000055879,3552464.109999999869615,12474872.769999999552965
FS( 124 ),3057137.270000000018626,3035680.040000000037253,2837722.209999999962747,3555728.830000000074506,12486268.349999999627471
FS( 125 ),3044101.770000000018626,3009079.160000000149012,2830281.279999999795109,3530019.160000000149012,12413481.369999999180436
FS( 126 ),3043319.640000000130385,3001176.000000000000000,2828121.009999999776483,3505125.670000000391155,12377742.320000000298023
FS( 127 ),3019595.029999999795109,3000983.240000000223517,2825240.649999999906868,3521449.270000000484288,12367268.190000001341105
