代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13320390.350000001490116
真實報酬,3320390.350000001490116

夏普值報酬,0.323339035000000
夏普值風險,0.093665481949608
夏普值,3.452061829713930

二次趨勢線,47.246586141992857 x^2 + 1560.789116582693623 x + 10000000.000000000000000
二次加權預期報酬,17467.139784386956308
風險,256125.209547121252399
二次加權趨勢值,0.068197659321674
一次趨勢線,10508.076283123971734 x + 10000000.000000000000000
一次預期報酬,10508.076283123971734
一次風險,423371.255297298834193
一次趨勢值,0.024820004078324
找到最佳解世代,2002
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),KO[14](2),VZ[26](6),WMT[28](7),
FS( 50 ),2767124.719999999739230,2546989.439999999944121,2331350.650000000372529,2421043.200000000186265,10066508.010000001639128
FS( 51 ),2801279.979999999981374,2536710.500000000000000,2347884.900000000372529,2410297.600000000558794,10096172.980000000447035
FS( 52 ),2834925.459999999962747,2561673.640000000130385,2354498.600000000558794,2438796.800000000279397,10189894.500000000000000
FS( 53 ),2861943.799999999813735,2607194.660000000149012,2393519.430000000167638,2453280.000000000000000,10315937.890000000596046
FS( 54 ),2916490.259999999776483,2615270.970000000204891,2428572.040000000502914,2459820.800000000279397,10420154.070000002160668
FS( 55 ),2997545.279999999795109,2587370.990000000223517,2399471.760000000242144,2450476.800000000279397,10434864.830000000074506
FS( 56 ),3010799.560000000055879,2593978.879999999888241,2408069.570000000298023,2443001.600000000093132,10455849.609999999403954
FS( 57 ),3001623.520000000018626,2543318.390000000130385,2370371.480000000447035,2397683.200000000186265,10312996.589999999850988
FS( 58 ),2926176.079999999608845,2489721.060000000055879,2353837.230000000447035,2349094.400000000372529,10118828.769999999552965
FS( 59 ),2944528.159999999683350,2475036.860000000335276,2373016.960000000428408,2373388.800000000279397,10165970.780000001192093
FS( 60 ),2936371.680000000167638,2524228.930000000167638,2404762.720000000204891,2421510.400000000372529,10286873.730000000447035
FS( 61 ),2907824.000000000000000,2553597.330000000074506,2439815.330000000540167,2430854.400000000372529,10332091.060000000521541
FS( 62 ),2891511.040000000037253,2498531.580000000074506,2436508.480000000447035,2397216.000000000465661,10223767.100000001490116
FS( 63 ),2844611.279999999795109,2535242.080000000074506,2457010.950000000186265,2426182.400000000372529,10263046.710000000894070
FS( 64 ),2776810.540000000037253,2480176.330000000074506,2433863.000000000000000,2424780.800000000279397,10115630.669999999925494
FS( 65 ),2727871.659999999683350,2401615.860000000335276,2403439.980000000447035,2427584.000000000465661,9960511.500000000000000
FS( 66 ),2712578.259999999776483,2395007.970000000204891,2407408.200000000186265,2470566.400000000372529,9985560.830000001937151
FS( 67 ),2754890.000000000000000,2406021.120000000577420,2365741.890000000596046,2459820.800000000279397,9986473.810000002384186
FS( 68 ),2748262.859999999869615,2400881.650000000372529,2375001.070000000298023,2464492.800000000279397,9988638.380000000819564
FS( 69 ),2693206.619999999646097,2419236.900000000372529,2391535.320000000298023,2508876.800000000279397,10012855.640000000596046
FS( 70 ),2831357.000000000000000,2455947.400000000372529,2440476.700000000186265,2560736.000000000465661,10288517.100000001490116
FS( 71 ),2914960.919999999925494,2452276.350000000093132,2414021.900000000372529,2556531.200000000186265,10337790.370000001043081
FS( 72 ),2929234.759999999776483,2477239.490000000223517,2425265.190000000409782,2578956.800000000279397,10410696.240000000223517
FS( 73 ),2974605.180000000167638,2474302.650000000372529,2448413.140000000596046,2570547.200000000651926,10467868.170000001788139
FS( 74 ),3073502.500000000000000,2490455.270000000484288,2468915.610000000335276,2591104.000000000465661,10623977.380000000819564
FS( 75 ),3058718.879999999888241,2459618.450000000186265,2443122.180000000167638,2559334.400000000372529,10520793.910000000149012
FS( 76 ),3075031.839999999850988,2450073.720000000204891,2462963.280000000726432,2611193.600000000093132,10599262.440000001341105
FS( 77 ),2903235.979999999981374,2461086.870000000577420,2450397.250000000000000,2628012.800000000279397,10442732.900000000372529
FS( 78 ),2878766.540000000037253,2464023.710000000428408,2453704.100000000558794,2633619.200000000186265,10430113.550000000745058
FS( 79 ),2860924.239999999757856,2503671.050000000279397,2474867.940000000409782,2659315.200000000186265,10498778.429999999701977
FS( 80 ),2955233.540000000037253,2491923.689999999944121,2442460.810000000521541,2652774.400000000372529,10542392.440000001341105
FS( 81 ),2896608.839999999850988,2458150.029999999795109,2393519.430000000167638,2649504.000000000465661,10397782.299999998882413
FS( 82 ),2917509.819999999832362,2477239.490000000223517,2434524.370000000577420,2680339.200000000186265,10509612.880000002682209
FS( 83 ),2947077.060000000055879,2516886.830000000074506,2490740.820000000298023,2700896.000000000465661,10655600.710000000894070
FS( 84 ),2949116.180000000167638,2530836.820000000298023,2488756.710000000428408,2670060.800000000279397,10638770.510000001639128
FS( 85 ),2948096.619999999646097,2508076.310000000055879,2445767.660000000149012,2649971.200000000186265,10551911.789999999105930
FS( 86 ),2887432.799999999813735,2461086.870000000577420,2412037.790000000502914,2627078.399999999906868,10387635.860000001266599
FS( 87 ),2894059.939999999944121,2488252.640000000130385,2433863.000000000000000,2656512.000000000465661,10472687.580000000074506
FS( 88 ),2935352.119999999646097,2520557.879999999888241,2476852.050000000745058,2682675.200000000186265,10615437.250000000000000
FS( 89 ),2914960.919999999925494,2488252.640000000130385,2458333.690000000409782,2686412.800000000279397,10547960.050000000745058
FS( 90 ),2910882.680000000167638,2503671.050000000279397,2469576.980000000447035,2706969.600000000093132,10591100.310000000521541
FS( 91 ),2958292.219999999739230,2520557.879999999888241,2481481.640000000596046,2771443.200000000186265,10731774.940000001341105
FS( 92 ),2878766.540000000037253,2461086.870000000577420,2439815.330000000540167,2712108.800000000279397,10491777.540000000968575
FS( 93 ),2805358.219999999739230,2474302.650000000372529,2468915.610000000335276,2715846.400000000372529,10464422.880000000819564
FS( 94 ),2801279.979999999981374,2500734.210000000428408,2481481.640000000596046,2765836.800000000279397,10549332.630000000819564
FS( 95 ),2762026.919999999925494,2488986.850000000093132,2447090.400000000372529,2751353.600000000093132,10449457.769999999552965
FS( 96 ),2831866.779999999795109,2496328.950000000186265,2462963.280000000726432,2684544.000000000465661,10475703.010000001639128
FS( 97 ),2802299.540000000037253,2460352.660000000149012,2423942.450000000186265,2648102.400000000372529,10334697.050000000745058
FS( 98 ),2748772.640000000130385,2445668.460000000428408,2427249.300000000745058,2650438.399999999906868,10272128.800000000745058
FS( 99 ),2730420.560000000055879,2474302.650000000372529,2411376.420000000391155,2673798.399999999906868,10289898.030000001192093
FS( 100 ),2687599.040000000037253,2421439.529999999795109,2385582.990000000223517,2647168.000000000000000,10141789.560000000521541
FS( 101 ),2742145.500000000000000,2422173.740000000223517,2393519.430000000167638,2656044.800000000279397,10213883.470000000670552
FS( 102 ),2672815.419999999925494,2381792.189999999944121,2337964.350000000558794,2646233.600000000093132,10038805.560000000521541
FS( 103 ),2647836.199999999720603,2376652.720000000204891,2337964.350000000558794,2657913.600000000093132,10020366.870000001043081
FS( 104 ),2739086.819999999832362,2392805.340000000316650,2397487.650000000372529,2674732.800000000279397,10204112.610000001266599
FS( 105 ),2717676.060000000055879,2430250.050000000279397,2422619.710000000428408,2717715.200000000186265,10288261.019999999552965
FS( 106 ),2783437.680000000167638,2468428.970000000204891,2495370.410000000149012,2751820.800000000279397,10499057.860000001266599
FS( 107 ),2825239.640000000130385,2453744.770000000484288,2498015.890000000596046,2738272.000000000465661,10515272.300000000745058
FS( 108 ),2837984.140000000130385,2436857.939999999944121,2503306.850000000558794,2713977.600000000558794,10492126.530000001192093
FS( 109 ),2861943.799999999813735,2434655.310000000055879,2516534.250000000000000,2725657.600000000558794,10538790.960000000894070
FS( 110 ),2847160.180000000167638,2447871.090000000316650,2534391.240000000223517,2746214.400000000372529,10575636.910000000149012
FS( 111 ),2833396.119999999646097,2451542.140000000130385,2533729.870000000577420,2733600.000000000000000,10552268.130000000819564
FS( 112 ),2845121.060000000055879,2450073.720000000204891,2500661.370000000577420,2708838.399999999906868,10504694.550000000745058
FS( 113 ),2866531.819999999832362,2480176.330000000074506,2541666.310000000521541,2724723.200000000186265,10613097.660000000149012
FS( 114 ),2853787.319999999832362,2455947.400000000372529,2536375.350000000558794,2713977.600000000558794,10560087.670000001788139
FS( 115 ),2831357.000000000000000,2440528.990000000223517,2530423.020000000018626,2691084.800000000279397,10493393.810000000521541
FS( 116 ),2768654.060000000055879,2432452.680000000167638,2530423.020000000018626,2693420.800000000279397,10424950.560000000521541
FS( 117 ),2759478.020000000018626,2455947.400000000372529,2541004.940000000409782,2707436.800000000279397,10463867.160000000149012
FS( 118 ),2774771.419999999925494,2475771.070000000298023,2564814.260000000242144,2722387.200000000651926,10537743.950000001117587
FS( 119 ),2783437.680000000167638,2473568.439999999944121,2554893.710000000428408,2699494.400000000372529,10511394.230000000447035
FS( 120 ),2883354.560000000055879,2511013.150000000372529,2593253.170000000391155,2765369.600000000093132,10752990.480000000447035
FS( 121 ),2887432.799999999813735,2553597.330000000074506,2594575.910000000149012,2774713.600000000093132,10810319.640000000596046
FS( 122 ),2902726.199999999720603,2540381.550000000279397,2598544.130000000353903,2765369.600000000093132,10807021.480000000447035
FS( 123 ),2937391.239999999757856,2567547.320000000298023,2644178.660000000149012,2802745.600000000558794,10951862.820000000298023
FS( 124 ),2960841.119999999646097,2565344.689999999944121,2644840.030000000726432,2795270.400000000372529,10966296.240000000223517
FS( 125 ),2932293.439999999944121,2552128.910000000149012,2629628.520000000018626,2790598.399999999906868,10904649.269999999552965
FS( 126 ),2950135.739999999757856,2575623.629999999888241,2648808.250000000000000,2802745.600000000558794,10977313.219999998807907
FS( 127 ),2949625.959999999962747,2569015.740000000223517,2653437.840000000316650,2792000.000000000000000,10964079.540000000968575
FS( 128 ),2994996.379999999888241,2574889.420000000391155,2627644.410000000149012,2818630.400000000372529,11016160.610000001266599
FS( 129 ),3010799.560000000055879,2558736.800000000279397,2593253.170000000391155,2789664.000000000465661,10952453.530000001192093
FS( 130 ),3044445.040000000037253,2546989.439999999944121,2575396.180000000167638,2776115.200000000186265,10942945.859999999403954
FS( 131 ),3076051.399999999906868,2530836.820000000298023,2535052.610000000335276,2756492.800000000279397,10898433.630000000819564
FS( 132 ),3071463.379999999888241,2530836.820000000298023,2537698.090000000316650,2764902.400000000372529,10904900.690000001341105
FS( 133 ),3082168.759999999776483,2545521.020000000484288,2550925.490000000223517,2758361.600000000093132,10936976.870000001043081
FS( 134 ),3077070.959999999962747,2498531.580000000074506,2572750.700000000186265,2775180.800000000279397,10923534.040000000968575
FS( 135 ),3068914.479999999981374,2480176.330000000074506,2574073.440000000409782,2779852.800000000279397,10903017.050000000745058
FS( 136 ),3057189.540000000037253,2458884.240000000223517,2574073.440000000409782,2781721.600000000093132,10871868.820000000298023
FS( 137 ),3092874.140000000130385,2472100.020000000484288,2580687.140000000596046,2796204.800000000279397,10941866.100000001490116
FS( 138 ),3124990.279999999795109,2481644.750000000000000,2580025.770000000018626,2803680.000000000000000,10990340.799999998882413
FS( 139 ),3115304.459999999962747,2476505.279999999795109,2579364.400000000372529,2831712.000000000465661,11002886.140000000596046
FS( 140 ),3060758.000000000000000,2500000.000000000000000,2577380.290000000502914,2850400.000000000000000,10988538.290000000968575
FS( 141 ),3112755.560000000055879,2516152.620000000577420,2539682.200000000186265,2845728.000000000000000,11014318.380000000819564
FS( 142 ),3061777.560000000055879,2492657.900000000372529,2499338.630000000353903,2868153.600000000093132,10921927.690000001341105
FS( 143 ),3252945.060000000055879,2512481.570000000298023,2492724.930000000167638,2871891.200000000186265,11130042.760000001639128
FS( 144 ),3238161.439999999944121,2497063.160000000149012,2469576.980000000447035,2848531.200000000186265,11053332.780000001192093
FS( 145 ),3257533.079999999608845,2475771.070000000298023,2460979.170000000391155,2836384.000000000465661,11030667.320000000298023
FS( 146 ),3299335.040000000037253,2476505.279999999795109,2487433.970000000204891,2863948.800000000279397,11127223.090000001713634
FS( 147 ),3324314.259999999776483,2479442.120000000577420,2490740.820000000298023,2866752.000000000465661,11161249.200000001117587
FS( 148 ),3322275.140000000130385,2490455.270000000484288,2500000.000000000000000,2905062.400000000372529,11217792.810000000521541
FS( 149 ),3314628.439999999478459,2490455.270000000484288,2484127.120000000577420,2893849.600000000093132,11183060.429999999701977
FS( 150 ),3347764.140000000130385,2499265.790000000037253,2502645.480000000447035,2898054.400000000372529,11247729.810000000521541
FS( 151 ),3378860.719999999739230,2497797.370000000577420,2522486.580000000540167,2891046.400000000372529,11290191.070000000298023
FS( 152 ),3414545.320000000298023,2516886.830000000074506,2507936.440000000409782,2882169.600000000093132,11321538.189999999478459
FS( 153 ),3471640.679999999701977,2508810.520000000484288,2507936.440000000409782,2878899.200000000186265,11367286.839999999850988
FS( 154 ),3591438.979999999981374,2495594.740000000223517,2507936.440000000409782,2894784.000000000465661,11489754.160000000149012
FS( 155 ),3593478.099999999627471,2494126.320000000298023,2492724.930000000167638,2891980.800000000279397,11472310.150000000372529
FS( 156 ),3660259.279999999795109,2512481.570000000298023,2521825.210000000428408,2886841.600000000093132,11581407.660000000149012
FS( 157 ),3710217.719999999739230,2529368.400000000372529,2515872.880000000353903,2906931.200000000186265,11662390.199999999254942
FS( 158 ),3624574.679999999701977,2511013.150000000372529,2501984.110000000335276,2885440.000000000000000,11523011.940000001341105
FS( 159 ),3657200.599999999627471,2527899.979999999981374,2516534.250000000000000,2898521.600000000093132,11600156.429999999701977
FS( 160 ),3656690.820000000298023,2535242.080000000074506,2543650.420000000391155,2919078.399999999906868,11654661.720000000670552
FS( 161 ),3749470.779999999795109,2526431.560000000055879,2545634.530000000726432,2806483.200000000186265,11628020.070000000298023
FS( 162 ),3736216.500000000000000,2542584.180000000167638,2527116.170000000391155,2737804.800000000279397,11543721.650000000372529
FS( 163 ),3760685.939999999478459,2539647.340000000316650,2521825.210000000428408,2735001.600000000093132,11557160.089999999850988
FS( 164 ),3804527.019999999552965,2533039.450000000186265,2522486.580000000540167,2746681.600000000093132,11606734.650000000372529
FS( 165 ),3828996.459999999962747,2527165.770000000484288,2521825.210000000428408,2731264.000000000465661,11609251.440000001341105
FS( 166 ),3899346.099999999627471,2527165.770000000484288,2523147.950000000186265,2753222.400000000372529,11702882.220000000670552
FS( 167 ),3950324.099999999627471,2564610.479999999981374,2520502.470000000204891,2760230.400000000372529,11795667.450000001117587
FS( 168 ),3965107.719999999739230,2555065.750000000000000,2541666.310000000521541,2748083.200000000186265,11809922.980000000447035
FS( 169 ),3970205.519999999552965,2539647.340000000316650,2557539.190000000409782,2756960.000000000000000,11824352.050000000745058
FS( 170 ),3883033.140000000130385,2541849.970000000204891,2579364.400000000372529,2775180.800000000279397,11779428.310000002384186
FS( 171 ),3861622.379999999888241,2524228.930000000167638,2558861.930000000167638,2755091.200000000186265,11699804.440000001341105
FS( 172 ),3864681.060000000055879,2525697.350000000093132,2570766.590000000316650,2796672.000000000465661,11757817.000000000000000
FS( 173 ),3947265.420000000391155,2543318.390000000130385,2593914.540000000502914,2792467.200000000651926,11876965.550000002607703
FS( 174 ),3970205.519999999552965,2552128.910000000149012,2585978.100000000558794,2806950.400000000372529,11915262.930000001564622
FS( 175 ),4020163.959999999962747,2575623.629999999888241,2600528.240000000223517,2834982.400000000372529,12031298.230000000447035
FS( 176 ),4137413.359999999869615,2579294.680000000167638,2611110.160000000149012,2849932.800000000279397,12177751.000000000000000
FS( 177 ),4293915.820000000298023,2577826.260000000242144,2610448.790000000502914,2853670.400000000372529,12335861.270000001415610
FS( 178 ),4264348.580000000074506,2582231.520000000484288,2615078.380000000353903,2860678.399999999906868,12322336.880000000819564
FS( 179 ),4264348.580000000074506,2575623.629999999888241,2617062.490000000223517,2842457.600000000558794,12299492.300000000745058
FS( 180 ),4377519.740000000223517,2584434.150000000372529,2622353.450000000186265,2837785.600000000558794,12422092.940000001341105
FS( 181 ),4413204.339999999850988,2591776.250000000000000,2621030.710000000428408,2831244.800000000279397,12457256.100000001490116
FS( 182 ),4387715.339999999850988,2610865.710000000428408,2630951.260000000242144,2829376.000000000465661,12458908.310000000521541
FS( 183 ),4364775.240000000223517,2621878.860000000335276,2623014.820000000298023,2833580.800000000279397,12443249.720000002533197
FS( 184 ),4340815.580000000074506,2624081.490000000223517,2607141.940000000409782,2838252.800000000279397,12410291.810000002384186
FS( 185 ),4420341.259999999776483,2639499.900000000372529,2601189.610000000335276,2859276.800000000279397,12520307.570000000298023
FS( 186 ),4474887.719999999739230,2638765.689999999944121,2556877.820000000298023,2854137.600000000558794,12524668.830000001937151
FS( 187 ),4497827.820000000298023,2667399.879999999888241,2530423.020000000018626,2858809.600000000093132,12554460.320000000298023
FS( 188 ),4441242.240000000223517,2709984.060000000055879,2517856.990000000223517,2841523.200000000186265,12510606.490000002086163
FS( 189 ),4366304.580000000074506,2717326.160000000149012,2528438.910000000149012,2859276.800000000279397,12471346.450000001117587
FS( 190 ),4505474.519999999552965,2721731.420000000391155,2547618.640000000596046,2866752.000000000465661,12641576.580000000074506
FS( 191 ),4582961.080000000074506,2707781.430000000167638,2543650.420000000391155,2833580.800000000279397,12667973.730000000447035
FS( 192 ),4546766.700000000186265,2696768.279999999795109,2539020.830000000540167,2815360.000000000000000,12597915.810000000521541
FS( 193 ),4615077.219999999739230,2697502.490000000223517,2490740.820000000298023,2834515.200000000186265,12637835.730000000447035
FS( 194 ),4633429.299999999813735,2675476.189999999944121,2477513.420000000391155,2809286.400000000372529,12595705.310000000521541
FS( 195 ),4576843.719999999739230,2643905.160000000149012,2433863.000000000000000,2799942.400000000372529,12454554.279999999329448
FS( 196 ),4560530.759999999776483,2647576.210000000428408,2472222.460000000428408,2793868.800000000279397,12474198.230000002309680
FS( 197 ),4535551.540000000037253,2651247.260000000242144,2483465.750000000000000,2809753.600000000093132,12480018.150000000372529
FS( 198 ),4407596.759999999776483,2640968.320000000298023,2464286.020000000018626,2792467.200000000651926,12305318.300000000745058
FS( 199 ),4225095.519999999552965,2659323.570000000298023,2475529.310000000521541,2830310.400000000372529,12190258.800000000745058
FS( 200 ),4440222.679999999701977,2715123.529999999795109,2496031.780000000726432,2890579.200000000186265,12541957.190000001341105
FS( 201 ),4430536.859999999403954,2723199.840000000316650,2490740.820000000298023,2899456.000000000465661,12543933.519999999552965
FS( 202 ),4278112.639999999664724,2709984.060000000055879,2523147.950000000186265,2884972.800000000279397,12396217.449999999254942
FS( 203 ),4172588.179999999701977,2721731.420000000391155,2561507.410000000149012,2917676.800000000279397,12373503.810000000521541
FS( 204 ),4163412.140000000130385,2705578.800000000279397,2550925.490000000223517,2781721.600000000093132,12201638.029999999329448
FS( 205 ),4080318.000000000000000,2720997.210000000428408,2612432.900000000372529,2699027.200000000651926,12112775.310000002384186
FS( 206 ),4442261.799999999813735,2751099.820000000298023,2611110.160000000149012,2679872.000000000465661,12484343.780000001192093
FS( 207 ),4425439.059999999590218,2778999.800000000279397,2654760.580000000540167,2754156.800000000279397,12613356.240000000223517
FS( 208 ),4391283.799999999813735,2813507.670000000391155,2660712.910000000149012,2757894.400000000372529,12623398.780000001192093
FS( 209 ),4253133.419999999925494,2801760.310000000055879,2670633.460000000428408,2752288.000000000000000,12477815.190000001341105
FS( 210 ),4239369.359999999403954,2824520.820000000298023,2682538.120000000577420,2759763.200000000186265,12506191.500000000000000
FS( 211 ),4267407.259999999776483,2832597.129999999888241,2685183.600000000558794,2756960.000000000000000,12542147.990000000223517
FS( 212 ),4237330.240000000223517,2842876.070000000298023,2687829.080000000540167,2756025.600000000558794,12524060.990000002086163
FS( 213 ),4116512.379999999888241,2826723.450000000186265,2662697.020000000018626,2742476.800000000279397,12348409.650000000372529
FS( 214 ),4147099.179999999701977,2837002.390000000130385,2680554.010000000242144,2765369.600000000093132,12430025.179999999701977
FS( 215 ),4137923.140000000130385,2831862.920000000391155,2681876.750000000000000,2758828.800000000279397,12410491.610000001266599
FS( 216 ),4145060.060000000055879,2818647.140000000130385,2662035.650000000372529,2757894.400000000372529,12383637.250000001862645
FS( 217 ),4154745.879999999888241,2842141.860000000335276,2681876.750000000000000,2765369.600000000093132,12444134.089999999850988
FS( 218 ),4127217.759999999776483,2844344.490000000223517,2722220.320000000298023,2776115.200000000186265,12469897.769999999552965
FS( 219 ),4065534.379999999888241,2822318.189999999944121,2704363.330000000540167,2759763.200000000186265,12351979.100000001490116
FS( 220 ),4028320.439999999478459,2810570.830000000074506,2714945.250000000000000,2772844.800000000279397,12326681.320000000298023
FS( 221 ),3976832.660000000149012,2802494.520000000484288,2703701.960000000428408,2765369.600000000093132,12248398.740000000223517
FS( 222 ),3860602.820000000298023,2757707.710000000428408,2736109.090000000316650,2881702.400000000372529,12236122.020000001415610
FS( 223 ),3862641.939999999478459,2718794.580000000074506,2746691.010000000242144,2916742.400000000372529,12244869.929999999701977
FS( 224 ),4087454.920000000391155,2735681.410000000149012,2734124.980000000447035,2945241.600000000093132,12502502.910000000149012
FS( 225 ),4056358.339999999385327,2723934.050000000279397,2737431.830000000540167,2977478.399999999906868,12495202.620000001043081
