代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12952173.069999998435378
真實報酬,2952173.069999998435378

夏普值報酬,0.286517307000000
夏普值風險,0.091727943680716
夏普值,3.123555325706414

二次趨勢線,4.161575675243174 x^2 + 27220.841003071414889 x + 10000000.000000000000000
二次加權預期報酬,27911.662565161779639
風險,277810.303126607555896
二次加權趨勢值,0.100470221050230
一次趨勢線,27609.421864314033883 x + 10000000.000000000000000
一次預期報酬,27609.421864314033883
一次風險,277904.262588489684276
一次趨勢值,0.099348680754843
找到最佳解世代,2255
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),CSCO[4](1),INTC[11](7),
FS( 31 ),3417058.030000000260770,3353086.000000000465661,3906246.220000000204891,10676391.250000001862645
FS( 32 ),3408464.169999999925494,3361974.850000000093132,3915638.240000000223517,10686078.259999999776483
FS( 33 ),3422787.270000000018626,3368888.399999999906868,3881485.440000000409782,10673162.109999999403954
FS( 34 ),3433724.909999999683350,3543702.450000000186265,3897708.020000000018626,10875136.379999998956919
FS( 35 ),3414974.669999999925494,3545677.750000000000000,3810618.380000000353903,10771271.800000000745058
FS( 36 ),3445834.439999999944121,3604936.750000000000000,3809764.560000000055879,10860536.750000000000000
FS( 37 ),3476564.000000000000000,3619751.500000000000000,3837086.799999999813735,10933403.300000000745058
FS( 38 ),3452605.359999999869615,3599998.500000000465661,3812326.020000000018626,10864930.880000000819564
FS( 39 ),3462110.689999999944121,3603949.100000000093132,3820864.220000000204891,10886925.009999999776483
FS( 40 ),3458204.389999999664724,3641479.799999999813735,3798664.900000000372529,10898350.089999999850988
FS( 41 ),3489585.000000000000000,3726417.699999999720603,3819156.580000000074506,11035160.279999999329448
FS( 42 ),3506642.510000000242144,3701726.449999999720603,3752558.620000000577420,10960928.580000000074506
FS( 43 ),3604300.010000000242144,3683948.749999999534339,3828548.600000000558794,11116798.359999999403954
FS( 44 ),3533726.189999999944121,3713578.250000000000000,3814887.479999999981374,11062192.919999999925494
FS( 45 ),3619534.580000000540167,3725430.049999999813735,3798664.900000000372529,11143630.530000001192093
FS( 46 ),3587893.550000000279397,3684936.400000000372529,3709013.799999999813735,10981844.750000000000000
FS( 47 ),3623440.879999999888241,3694812.899999999441206,3709867.620000000577420,11028122.400000000372529
FS( 48 ),3671618.580000000540167,3693825.250000000000000,3678276.280000000260770,11043721.109999999403954
FS( 49 ),3722791.109999999869615,3714565.899999999906868,3701329.420000000391155,11138687.429999999701977
FS( 50 ),3687113.570000000298023,3749133.649999999906868,3727797.839999999850988,11164046.060000000521541
FS( 51 ),3775395.949999999720603,3744195.399999999441206,3699621.780000000260770,11219214.129999998956919
FS( 52 ),3800135.849999999627471,3767899.000000000000000,3700475.600000000558794,11268511.449999999254942
FS( 53 ),3826698.689999999944121,3743207.750000000000000,3693645.040000000037253,11263552.480000000447035
FS( 54 ),3827479.949999999720603,3771849.599999999627471,3804641.640000000596046,11403972.189999999478459
FS( 55 ),3856126.149999999906868,3800491.449999999720603,3949791.040000000037253,11606409.640000000596046
FS( 56 ),3870579.459999999962747,3782713.749999999534339,4016389.000000000000000,11669683.209999999031425
FS( 57 ),3879043.109999999869615,3826170.350000000093132,4060787.640000000596046,11766002.100000001490116
FS( 58 ),3841672.839999999385327,3805429.700000000186265,3992482.040000000037253,11639585.579999998211861
FS( 59 ),3842584.310000000055879,3807404.999999999534339,3987359.120000000577420,11637349.429999999701977
FS( 60 ),3845969.770000000018626,3800491.449999999720603,3934422.280000000260770,11580884.500000000000000
FS( 61 ),3849355.229999999981374,3808392.650000000372529,3936983.740000000223517,11594732.620000001043081
FS( 62 ),3858860.560000000055879,3811355.600000000558794,3946375.760000000242144,11616592.919999999925494
FS( 63 ),3840110.320000000298023,3782713.749999999534339,3941252.839999999850988,11564077.910000000149012
FS( 64 ),3865240.849999999627471,3838022.149999999906868,4000166.420000000391155,11703430.419999999925494
FS( 65 ),3877741.010000000242144,3868639.300000000279397,3864409.040000000037253,11610790.350000001490116
FS( 66 ),3863027.280000000260770,3850861.600000000093132,3793541.979999999981374,11507431.860000001266599
FS( 67 ),4021492.849999999627471,3904194.700000000186265,3820010.400000000372529,11745698.949999999254942
FS( 68 ),4038550.359999999869615,3944688.349999999627471,3820010.400000000372529,11803250.109999999403954
FS( 69 ),4146364.240000000223517,3919997.099999999627471,3724382.560000000055879,11790744.900000000372529
FS( 70 ),4170192.669999999925494,3941725.399999999441206,3628754.720000000204891,11740673.789999999105930
FS( 71 ),4272537.730000000447035,3960490.750000000000000,3706452.339999999850988,11939481.820000000298023
FS( 72 ),4377877.620000000111759,4036539.799999999813735,3691937.400000000372529,12106355.820000000298023
FS( 73 ),4364205.570000000298023,4003947.350000000093132,3683399.200000000186265,12051553.120000001043081
FS( 74 ),4570588.419999999925494,4069132.250000000465661,3790126.700000000186265,12429848.370000001043081
FS( 75 ),4429310.570000000298023,4079008.749999999534339,3797811.080000000074506,12306131.400000000372529
FS( 76 ),4397669.540000000037253,4078021.100000000093132,3826840.960000000428408,12302532.600000001490116
FS( 77 ),4401185.209999999962747,4114564.149999999441206,3906246.220000000204891,12421996.580000000074506
FS( 78 ),4369804.599999999627471,4158020.750000000000000,3932714.640000000596046,12460540.990000000223517
FS( 79 ),4358085.700000000186265,4164934.300000000279397,3885754.540000000037253,12408775.539999999105930
FS( 80 ),4467722.520000000484288,4138267.750000000000000,3867824.319999999832362,12473815.589999999850988
FS( 81 ),4469154.830000000074506,4203452.650000000372529,4275950.279999999329448,12948558.759999999776483
FS( 82 ),4437904.429999999701977,4232094.500000000000000,4267412.080000000074506,12937412.009999999776483
FS( 83 ),4397409.120000000111759,4172835.500000000000000,4165807.500000000000000,12736053.120000001043081
FS( 84 ),4614338.980000000447035,4102712.350000000093132,4110309.200000000186265,12827361.530000001192093
FS( 85 ),4647802.950000000186265,4118514.750000000465661,4068472.020000000018626,12834790.720000000670552
FS( 86 ),4543244.320000000298023,4042465.700000000186265,3940399.020000000018626,12526110.039999999105930
FS( 87 ),4282433.689999999478459,3830120.950000000186265,3801226.360000000335276,11913782.000000000000000
FS( 88 ),4439076.320000000298023,3967404.300000000279397,3834525.339999999850988,12241006.960000000894070
FS( 89 ),4532957.730000000447035,3984194.350000000558794,3859286.120000000577420,12376439.200000002980232
FS( 90 ),4292590.070000000298023,3829133.300000000279397,3650100.220000000204891,11771824.590000001713634
FS( 91 ),4333866.639999999664724,3904194.700000000186265,3752558.620000000577420,11990620.960000000894070
FS( 92 ),4476707.009999999776483,4009873.250000000000000,3827694.780000000260770,12314276.039999999105930
FS( 93 ),4468373.570000000298023,4072095.199999999720603,3796103.440000000409782,12336573.210000000894070
FS( 94 ),4490379.060000000521541,4157033.100000000558794,3874654.880000000353903,12522068.040000000968575
FS( 95 ),4641552.870000000111759,4353575.450000000186265,3920761.160000000149012,12915890.480000000447035
FS( 96 ),4623063.049999999813735,4378266.700000000186265,3890023.640000000596046,12891354.390000000596046
FS( 97 ),4601057.560000000521541,4351600.150000000372529,3954913.960000000428408,12907572.670000001788139
FS( 98 ),4588296.980000000447035,4277526.400000000372529,3922468.799999999813735,12788293.179999999701977
FS( 99 ),4634521.530000000260770,4240983.349999999627471,3910515.319999999832362,12786021.199999999254942
FS( 100 ),4644157.070000000298023,4345674.250000000000000,4075302.580000000074506,13065134.900000000372529
FS( 101 ),4732960.290000000037253,4479994.650000000372529,4193129.740000000223517,13406085.680000001564622
FS( 102 ),4748064.649999999441206,4448389.849999999627471,4261435.339999999850988,13457890.839999999850988
FS( 103 ),4716423.620000000111759,4422710.950000000186265,4208498.500000000000000,13347634.070000000298023
FS( 104 ),4553400.700000000186265,4325921.250000000000000,4084694.600000000558794,12964017.550000000745058
FS( 105 ),4488035.280000000260770,4351600.150000000372529,4182030.080000000074506,13021666.509999999776483
FS( 106 ),4593244.959999999962747,4397032.050000000745058,4247774.220000000670552,13238052.230000002309680
FS( 107 ),4543374.530000000260770,4374316.099999999627471,4329740.939999999478459,13247432.569999998435378
FS( 108 ),4518895.049999999813735,4365427.250000000000000,4381823.960000000894070,13266147.260000001639128
FS( 109 ),4540900.540000000037253,4379254.350000000558794,4332302.400000000372529,13252458.290000000968575
FS( 110 ),4616292.129999999888241,4480982.299999999813735,4456106.300000000745058,13553381.730000000447035
FS( 111 ),4481785.200000000186265,4498760.000000000000000,4398900.360000001266599,13379446.560000000521541
FS( 112 ),4409909.280000000260770,4460241.649999999441206,4421099.679999999701977,13291251.609999999403954
FS( 113 ),4300402.669999999925494,4472093.450000000186265,4427930.240000000223517,13200427.360000001266599
FS( 114 ),4296756.790000000037253,4477031.700000000186265,4344255.880000000819564,13118045.370000001043081
FS( 115 ),4303137.080000000074506,4445426.899999999441206,4369016.660000000149012,13117581.640000000596046
FS( 116 ),4319934.169999999925494,4372340.800000000745058,4339986.779999999329448,13032262.750000000000000
FS( 117 ),4396367.439999999478459,4382217.299999999813735,4401461.820000000298023,13180047.559999998658895
FS( 118 ),4389466.310000000521541,4376291.400000000372529,4402315.640000000596046,13168074.350000001490116
FS( 119 ),4161729.020000000018626,4253822.799999999813735,4339986.779999999329448,12755539.599999999627471
FS( 120 ),4179828.209999999962747,4189625.550000000279397,4214475.240000000223517,12583930.000000000000000
FS( 121 ),4283605.580000000074506,4351600.150000000372529,4480867.080000000074506,13116073.810000000521541
FS( 122 ),4181390.729999999981374,4215304.450000000186265,4370724.300000000745058,12767420.480000000447035
FS( 123 ),4167067.629999999888241,4114564.149999999441206,4234966.919999999925494,12516599.699999999254942
FS( 124 ),4269412.689999999478459,4236045.099999999627471,4446714.279999999329448,12952173.069999998435378
