代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15966107.040000002831221
真實報酬,5966107.040000002831221

夏普值報酬,0.587910704000000
夏普值風險,0.135373251615099
夏普值,4.342886774054764

二次趨勢線,210.403663884319940 x^2 + 22697.808834428189584 x + 10000000.000000000000000
二次加權預期報酬,57905.355257737748616
風險,334050.704939125105739
二次加權趨勢值,0.173343011709225
一次趨勢線,42501.739349436546036 x + 10000000.000000000000000
一次預期報酬,42501.739349436546036
一次風險,499395.396363817038946
一次趨勢值,0.085106389964543
找到最佳解世代,2107
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),HD[9](2),
FS( 83 ),6093248.000000000000000,7025945.600000000558794,13119193.600000001490116
FS( 84 ),6089510.400000000372529,7038607.759999999776483,13128118.160000000149012
FS( 85 ),6075494.400000000372529,7037024.990000000223517,13112519.390000000596046
FS( 86 ),6136230.400000000372529,7149401.660000000149012,13285632.060000000521541
FS( 87 ),6193228.800000000745058,7154149.970000000670552,13347378.770000001415610
FS( 88 ),6258636.800000000745058,7195301.990000000223517,13453938.790000000968575
FS( 89 ),6363289.599999999627471,7149401.660000000149012,13512691.259999999776483
FS( 90 ),6582873.600000000558794,7165229.360000000335276,13748102.960000000894070
FS( 91 ),6586611.200000000186265,7174725.980000000447035,13761337.179999999701977
FS( 92 ),6709017.600000000558794,7269692.180000000633299,13978709.780000001192093
FS( 93 ),6800588.800000000745058,7290268.190000000409782,14090856.990000002086163
FS( 94 ),6643609.599999999627471,7234871.240000000223517,13878480.839999999850988
FS( 95 ),6703411.200000000186265,7269692.180000000633299,13973103.380000000819564
FS( 96 ),6702476.800000000745058,7393148.240000000223517,14095625.040000000968575
FS( 97 ),6872537.600000000558794,7426386.410000000149012,14298924.010000001639128
FS( 98 ),6848243.200000001117587,7370989.459999999962747,14219232.660000000149012
FS( 99 ),6893094.400000000372529,7431134.720000000670552,14324229.120000001043081
FS( 100 ),6973452.799999999813735,7435883.030000000260770,14409335.830000000074506
FS( 101 ),7018304.000000000931323,7427969.180000000633299,14446273.180000001564622
FS( 102 ),7147251.200000000186265,7475452.280000000260770,14622703.480000000447035
FS( 103 ),7240691.200000000186265,7529266.459999999962747,14769957.660000000149012
FS( 104 ),7267788.800000000745058,7511855.990000000223517,14779644.790000000968575
FS( 105 ),7277132.799999999813735,7503942.139999999664724,14781074.939999999478459
FS( 106 ),7117350.400000000372529,7500776.600000000558794,14618127.000000000000000
FS( 107 ),7078105.600000000558794,7342499.600000000558794,14420605.200000001117587
FS( 108 ),7083712.000000000931323,7500776.600000000558794,14584488.600000001490116
FS( 109 ),7235084.800000000745058,7568835.709999999962747,14803920.510000001639128
FS( 110 ),7277132.799999999813735,7613153.270000000484288,14890286.070000000298023
FS( 111 ),7368704.000000000931323,7690709.000000000931323,15059413.000000001862645
FS( 112 ),7583616.000000000000000,7777761.350000000558794,15361377.350000001490116
FS( 113 ),7870476.800000000745058,7829992.759999999776483,15700469.560000000521541
FS( 114 ),7816281.600000001490116,7787257.970000000670552,15603539.570000002160668
FS( 115 ),7816281.600000001490116,7763516.419999999925494,15579798.020000001415610
FS( 116 ),8023718.400000001303852,7728695.480000000447035,15752413.880000002682209
FS( 117 ),8089126.400000000372529,7815747.830000001005828,15904874.230000000447035
FS( 118 ),8042406.400000000372529,7880641.400000000372529,15923047.800000000745058
FS( 119 ),8000358.400000001303852,7863230.930000000633299,15863589.330000001937151
FS( 120 ),7956441.600000001490116,7841072.150000000372529,15797513.750000001862645
FS( 121 ),8102208.000000000000000,7934455.580000001005828,16036663.580000001937151
FS( 122 ),8202188.800000000745058,7920210.650000000372529,16122399.450000001117587
FS( 123 ),8244236.800000000745058,7899634.639999999664724,16143871.440000001341105
FS( 124 ),8140518.400000001303852,7899634.639999999664724,16040153.040000000968575
FS( 125 ),8003161.600000001490116,7962945.440000000409782,15966107.040000002831221
