代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11164605.219999998807907
真實報酬,1164605.219999998807907

夏普值報酬,0.107760522000000
夏普值風險,0.042594354922778
夏普值,2.529924967648057

二次趨勢線,105.679728066582243 x^2 + -3126.052137420477720 x + 10000000.000000000000000
二次加權預期報酬,14980.407937987283731
風險,149245.336285637924448
二次加權趨勢值,0.100374378930787
一次趨勢線,7058.677453058538049 x + 10000000.000000000000000
一次預期報酬,7058.677453058538049
一次風險,245929.433829633169807
一次趨勢值,0.028702044091023
找到最佳解世代,1852
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](1),MRK[17](3),PG[21](2),V[25](8),
FS( 10 ),2449923.350000000093132,2628023.500000000000000,2454507.919999999925494,2588282.799999999813735,10120737.570000000298023
FS( 11 ),2423729.409999999683350,2613591.759999999776483,2463187.329999999608845,2580227.799999999813735,10080736.300000000745058
FS( 12 ),2438367.199999999720603,2630816.739999999757856,2479049.699999999720603,2624369.199999999720603,10172602.839999997988343
FS( 13 ),2434515.149999999906868,2647110.639999999664724,2492517.750000000000000,2601815.199999999720603,10175958.739999998360872
FS( 14 ),2465331.549999999813735,2634075.519999999552965,2440740.579999999608845,2614703.199999999720603,10154850.849999997764826
FS( 15 ),2463020.319999999832362,2635006.599999999627471,2418293.829999999608845,2603104.000000000000000,10119424.750000000000000
FS( 16 ),2437596.790000000037253,2641524.159999999683350,2422783.180000000167638,2548974.399999999906868,10050878.529999999329448
FS( 17 ),2418336.540000000037253,2617316.079999999608845,2436550.520000000018626,2517720.999999999534339,9989924.139999998733401
FS( 18 ),2419106.949999999720603,2608936.359999999869615,2380882.579999999608845,2530286.799999999813735,9939212.689999997615814
FS( 19 ),2446071.299999999813735,2621505.939999999944121,2391058.439999999944121,2537697.399999999906868,9996333.080000000074506
FS( 20 ),2396765.059999999590218,2594970.159999999683350,2387167.669999999925494,2502899.799999999813735,9881802.689999997615814
FS( 21 ),2332821.029999999795109,2553071.560000000055879,2397942.109999999869615,2488722.999999999534339,9772557.699999999254942
FS( 22 ),2358244.559999999590218,2574486.399999999441206,2423381.759999999776483,2528031.399999999441206,9884144.119999997317791
FS( 23 ),2338984.309999999590218,2564244.519999999552965,2427272.529999999795109,2487111.999999999534339,9817613.359999999403954
FS( 24 ),2299693.399999999906868,2551674.939999999944121,2442237.029999999795109,2487111.999999999534339,9780717.369999999180436
FS( 25 ),2303545.449999999720603,2518156.060000000055879,2433258.329999999608845,2492589.399999999906868,9747549.240000000223517
FS( 26 ),2314331.189999999944121,2495344.599999999627471,2458099.399999999906868,2504188.599999999627471,9771963.789999999105930
FS( 27 ),2295841.350000000093132,2518621.599999999627471,2457800.109999999869615,2520298.599999999627471,9792561.659999998286366
FS( 28 ),2322035.290000000037253,2545622.919999999925494,2468574.549999999813735,2551874.199999999720603,9888106.959999999031425
FS( 29 ),2315872.009999999776483,2528397.939999999944121,2458697.979999999981374,2490656.199999999720603,9793624.129999998956919
FS( 30 ),2292759.709999999962747,2519552.679999999701977,2466479.520000000018626,2509665.999999999534339,9788457.910000000149012
FS( 31 ),2304315.859999999869615,2508379.719999999739230,2431163.299999999813735,2475512.799999999813735,9719371.679999999701977
FS( 32 ),2341295.540000000037253,2544226.299999999813735,2443134.899999999906868,2506766.199999999720603,9835422.939999999478459
FS( 33 ),2309708.729999999981374,2528863.479999999515712,2412906.609999999869615,2474224.000000000000000,9725702.819999998435378
FS( 34 ),2310479.139999999664724,2545157.379999999888241,2389861.279999999795109,2494844.799999999813735,9740342.599999997764826
FS( 35 ),2282744.379999999888241,2540967.519999999552965,2400037.139999999664724,2477123.799999999348074,9700872.839999997988343
FS( 36 ),2322805.699999999720603,2565641.139999999664724,2394949.209999999962747,2502577.599999999627471,9785973.649999998509884
FS( 37 ),2328968.979999999981374,2556795.879999999888241,2400336.430000000167638,2487756.399999999441206,9773857.689999997615814
FS( 38 ),2392913.009999999776483,2588452.599999999627471,2423381.759999999776483,2557673.799999999348074,9962421.169999998062849
FS( 39 ),2418336.540000000037253,2633609.979999999515712,2438645.549999999813735,2547363.399999999906868,10037955.469999998807907
FS( 40 ),2426040.639999999664724,2625230.259999999776483,2430864.009999999776483,2545430.199999999720603,10027565.109999999403954
FS( 41 ),2432203.919999999925494,2629420.119999999646097,2437149.100000000093132,2566695.399999999441206,10065468.539999999105930
FS( 42 ),2433744.739999999757856,2619178.239999999757856,2425476.790000000037253,2543496.999999999534339,10021896.769999999552965
FS( 43 ),2439137.609999999869615,2622437.019999999552965,2447923.540000000037253,2552518.599999999627471,10062016.769999999552965
FS( 44 ),2446841.709999999962747,2645248.479999999515712,2452712.180000000167638,2576039.199999999720603,10120841.569999998435378
FS( 45 ),2436055.969999999739230,2636868.759999999776483,2468275.259999999776483,2575716.999999999534339,10116916.989999998360872
FS( 46 ),2440678.429999999701977,2661542.379999999888241,2477253.959999999962747,2595049.000000000000000,10174523.769999999552965
FS( 47 ),2456086.629999999888241,2653628.199999999720603,2463785.909999999683350,2596982.199999999720603,10170482.939999999478459
FS( 48 ),2456857.040000000037253,2682491.679999999701977,2473662.479999999981374,2630813.199999999720603,10243824.399999998509884
FS( 49 ),2460709.089999999850988,2662007.919999999925494,2489225.560000000055879,2618247.399999999906868,10230189.970000000670552
FS( 50 ),2468413.189999999944121,2644782.939999999944121,2490123.430000000167638,2583449.799999999813735,10186769.359999999403954
FS( 51 ),2478428.520000000018626,2612195.139999999664724,2471268.159999999683350,2526098.199999999720603,10087990.019999999552965
FS( 52 ),2476117.290000000037253,2618712.699999999720603,2494612.779999999795109,2531575.599999999627471,10121018.369999999180436
FS( 53 ),2435285.559999999590218,2611264.060000000055879,2482641.180000000167638,2518687.599999999627471,10047878.399999998509884
FS( 54 ),2441448.839999999850988,2676905.199999999720603,2496408.520000000018626,2524487.199999999720603,10139249.759999997913837
FS( 55 ),2446841.709999999962747,2601953.259999999776483,2488028.399999999906868,2480667.999999999534339,10017491.369999999180436
FS( 56 ),2478428.520000000018626,2613591.759999999776483,2485334.790000000037253,2491945.000000000000000,10069300.070000000298023
FS( 57 ),2489984.669999999925494,2618712.699999999720603,2496408.520000000018626,2491622.799999999813735,10096728.689999997615814
FS( 58 ),2487673.439999999944121,2655490.359999999869615,2501197.159999999683350,2465846.799999999813735,10110207.759999997913837
FS( 59 ),2541602.140000000130385,2685284.919999999925494,2520351.719999999739230,2520620.799999999813735,10267859.580000000074506
FS( 60 ),2430663.100000000093132,2601487.719999999739230,2461990.169999999925494,2418161.199999999720603,9912302.189999999478459
FS( 61 ),2366719.069999999832362,2574951.939999999944121,2431163.299999999813735,2363065.000000000000000,9735899.309999998658895
FS( 62 ),2402928.339999999850988,2587521.519999999552965,2467975.969999999739230,2421705.399999999441206,9880131.229999998584390
FS( 63 ),2459938.679999999701977,2655955.899999999441206,2511373.020000000018626,2472612.999999999534339,10099880.599999999627471
FS( 64 ),2526964.349999999627471,2682026.139999999664724,2534119.060000000055879,2389807.599999999627471,10132917.149999998509884
FS( 65 ),2523112.299999999813735,2697388.959999999497086,2537411.250000000000000,2399795.799999999813735,10157708.309999998658895
FS( 66 ),2517719.429999999701977,2700182.199999999720603,2557164.389999999664724,2405917.599999999627471,10180983.619999997317791
FS( 67 ),2540061.319999999832362,2754184.839999999385327,2544893.500000000000000,2386263.399999999906868,10225403.059999998658895
FS( 68 ),2557780.750000000000000,2736494.319999999832362,2538907.699999999720603,2386263.399999999906868,10219446.169999999925494
FS( 69 ),2619413.549999999813735,2763030.099999999627471,2567040.959999999962747,2462302.599999999627471,10411787.209999999031425
FS( 70 ),2648689.129999999888241,2762564.560000000055879,2566442.379999999888241,2465524.599999999627471,10443220.669999998062849
FS( 71 ),2691832.089999999850988,2774668.599999999627471,2566442.379999999888241,2496455.799999999813735,10529398.869999999180436
FS( 72 ),2697224.959999999497086,2772340.899999999441206,2570632.439999999944121,2495811.399999999441206,10536009.699999999254942
FS( 73 ),2711862.750000000000000,2776996.299999999813735,2570033.859999999869615,2517720.999999999534339,10576613.910000000149012
FS( 74 ),2701847.419999999925494,2776065.219999999739230,2574223.919999999925494,2522876.199999999720603,10575012.759999999776483
FS( 75 ),2700306.599999999627471,2747667.279999999795109,2571829.600000000093132,2523198.399999999906868,10543001.879999998956919
FS( 76 ),2708010.699999999720603,2730907.839999999385327,2579012.560000000055879,2536408.599999999627471,10554339.699999999254942
FS( 77 ),2749612.839999999850988,2736959.859999999869615,2553572.909999999683350,2557029.399999999906868,10597175.009999999776483
FS( 78 ),2640214.620000000111759,2736959.859999999869615,2551777.169999999925494,2538664.000000000000000,10467615.650000000372529
FS( 79 ),2670260.609999999403954,2738356.479999999515712,2565544.509999999776483,2574750.399999999441206,10548911.999999998137355
FS( 80 ),2672571.839999999850988,2726252.439999999944121,2567938.829999999608845,2543496.999999999534339,10510260.109999999403954
FS( 81 ),2703388.240000000223517,2716941.639999999664724,2552076.459999999962747,2528997.999999999534339,10501404.339999999850988
FS( 82 ),2683357.579999999608845,2728114.599999999627471,2527833.969999999739230,2530286.799999999813735,10469592.949999999254942
FS( 83 ),2678735.120000000111759,2720200.419999999925494,2538309.120000000111759,2551551.999999999534339,10488796.660000000149012
FS( 84 ),2685668.809999999590218,2730907.839999999385327,2561653.739999999757856,2514821.199999999720603,10493051.589999997988343
FS( 85 ),2684898.399999999906868,2730907.839999999385327,2586195.520000000018626,2521587.399999999906868,10523589.160000000149012
FS( 86 ),2662556.509999999776483,2715545.019999999552965,2596670.669999999925494,2522231.799999999813735,10497004.000000000000000
FS( 87 ),2638673.799999999813735,2683888.299999999813735,2573026.759999999776483,2536086.399999999441206,10431675.259999997913837
FS( 88 ),2664097.329999999608845,2692733.560000000055879,2575421.079999999608845,2560895.799999999813735,10493147.769999999552965
FS( 89 ),2694913.729999999515712,2972988.639999999664724,2567340.250000000000000,2582160.999999999534339,10817403.619999999180436
FS( 90 ),2699536.189999999944121,2926434.639999999664724,2566741.669999999925494,2576039.199999999720603,10768751.699999999254942
FS( 91 ),2690291.270000000018626,2909209.659999999683350,2573625.339999999850988,2579583.399999999906868,10752709.669999999925494
FS( 92 ),2660245.279999999795109,2916192.759999999776483,2583202.620000000111759,2567339.799999999813735,10726980.459999999031425
FS( 93 ),2671801.429999999701977,2962281.219999999739230,2595772.799999999813735,2581516.600000000093132,10811372.049999998882413
FS( 94 ),2663326.919999999925494,2949246.099999999627471,2605050.790000000037253,2578294.599999999627471,10795918.410000000149012
FS( 95 ),2689520.859999999403954,2947849.479999999515712,2604452.209999999962747,2606970.399999999441206,10848792.949999999254942
FS( 96 ),2712633.159999999683350,2934814.359999999869615,2591283.449999999720603,2603748.399999999906868,10842479.369999999180436
FS( 97 ),2697995.370000000111759,2946452.859999999869615,2602656.469999999739230,2604715.000000000000000,10851819.699999999254942
FS( 98 ),2694143.319999999832362,2962281.219999999739230,2617022.389999999664724,2586349.599999999627471,10859796.529999997466803
FS( 99 ),2714944.390000000130385,2949711.639999999664724,2613131.620000000111759,2592793.599999999627471,10870581.250000000000000
FS( 100 ),2724189.309999999590218,2958556.899999999441206,2599364.279999999795109,2611803.399999999906868,10893913.889999998733401
FS( 101 ),2727270.949999999720603,2959953.519999999552965,2615825.229999999981374,2603426.199999999720603,10906475.899999998509884
FS( 102 ),2708010.699999999720603,2920382.619999999646097,2613131.620000000111759,2586994.000000000000000,10828518.939999999478459
FS( 103 ),2703388.240000000223517,2901295.479999999515712,2630789.729999999981374,2587960.599999999627471,10823434.049999998882413
FS( 104 ),2716485.209999999497086,2925969.099999999627471,2621212.449999999720603,2596015.599999999627471,10859682.359999997541308
FS( 105 ),2738827.099999999627471,2933417.739999999757856,2642761.329999999608845,2605681.600000000093132,10920687.769999999552965
FS( 106 ),2750383.250000000000000,2919451.539999999571592,2620015.290000000037253,2615347.599999999627471,10905197.679999999701977
FS( 107 ),2765021.040000000037253,2923175.859999999869615,2613131.620000000111759,2606648.199999999720603,10907976.720000000670552
FS( 108 ),2775036.370000000111759,2928296.799999999813735,2643060.620000000111759,2619536.199999999720603,10965929.990000000223517
FS( 109 ),2779658.829999999608845,2932021.119999999646097,2639768.430000000167638,2642090.199999999720603,10993538.579999998211861
FS( 110 ),2817408.919999999925494,2944125.159999999683350,2652937.189999999944121,2659166.799999999813735,11073638.070000000298023
FS( 111 ),2808934.409999999683350,2926900.179999999701977,2632286.180000000167638,2682042.999999999534339,11050163.769999999552965
FS( 112 ),2807393.589999999850988,2944125.159999999683350,2627198.250000000000000,2673343.599999999627471,11052060.599999999627471
FS( 113 ),2730352.589999999850988,2909209.659999999683350,2581107.589999999850988,2620502.799999999813735,10841172.640000000596046
FS( 114 ),2779658.829999999608845,2941797.459999999497086,2641264.879999999888241,2673343.599999999627471,11036064.769999999552965
FS( 115 ),2743449.559999999590218,2877552.939999999944121,2605350.079999999608845,2638545.999999999534339,10864898.580000000074506
FS( 116 ),2744219.969999999739230,2856138.099999999627471,2604152.919999999925494,2625657.999999999534339,10830168.989999998360872
FS( 117 ),2816638.509999999776483,2904088.719999999739230,2635578.370000000111759,2642412.399999999906868,10998718.000000000000000
FS( 118 ),2902154.020000000018626,2899433.319999999832362,2635279.079999999608845,2644345.599999999627471,11081212.019999999552965
FS( 119 ),2862863.109999999403954,2855207.019999999552965,2644856.359999999869615,2658522.399999999906868,11021448.889999998733401
FS( 120 ),2861322.290000000037253,2883604.959999999497086,2651141.449999999720603,2657555.799999999813735,11053624.500000000000000
FS( 121 ),2885205.000000000000000,2918986.000000000000000,2627796.829999999608845,2681398.599999999627471,11113386.429999999701977
FS( 122 ),2892909.099999999627471,2933883.279999999795109,2663412.339999999850988,2685909.399999999906868,11176114.119999999180436
FS( 123 ),2865174.339999999850988,2931090.039999999571592,2626599.669999999925494,2659489.000000000000000,11082353.049999998882413
FS( 124 ),2823572.199999999720603,2893381.299999999813735,2629293.279999999795109,2635968.399999999906868,10982215.179999999701977
FS( 125 ),2864403.929999999701977,2912933.979999999515712,2644557.069999999832362,2647245.399999999441206,11069140.379999998956919
FS( 126 ),2884434.589999999850988,2946918.399999999441206,2677478.969999999739230,2673343.599999999627471,11182175.559999998658895
FS( 127 ),2875189.669999999925494,2882208.339999999385327,2640666.299999999813735,2639512.599999999627471,11037576.909999998286366
FS( 128 ),2908317.299999999813735,2905485.339999999385327,2686158.379999999888241,2664644.199999999720603,11164605.219999998807907
