代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12630499.470000000670552
真實報酬,2630499.470000000670552

夏普值報酬,0.254349947000000
夏普值風險,0.068416364825738
夏普值,3.717677015548093

二次趨勢線,85.087691974701002 x^2 + 9417.275616086290029 x + 10000000.000000000000000
二次加權預期報酬,23768.732995819198550
風險,127239.474923588757520
二次加權趨勢值,0.186803136448756
一次趨勢線,17489.844274065548234 x + 10000000.000000000000000
一次預期報酬,17489.844274065548234
一次風險,198627.947737529175356
一次趨勢值,0.088053289948789
找到最佳解世代,2376
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](2),CVX[5](1),KO[14](19),PFE[20](3),UNH[23](5),
FS( 25 ),2126817.280000000260770,2077851.949999999953434,2112988.859999999869615,2023282.799999999813735,2077335.129999999888241,10418276.019999999552965
FS( 26 ),2136021.760000000242144,2073947.150000000139698,2117048.339999999850988,2000000.000000000000000,2080722.069999999832362,10407739.320000000298023
FS( 27 ),2125283.200000000186265,2069554.250000000000000,2112988.859999999869615,1984866.180000000167638,2095398.809999999823049,10388091.300000000745058
FS( 28 ),2094345.919999999925494,2039292.050000000046566,2119078.080000000074506,1977881.339999999850988,2087495.949999999720603,10318093.339999999850988
FS( 29 ),2108408.319999999832362,2078584.100000000093132,2116371.760000000242144,1959255.099999999860302,2097656.769999999552965,10360276.049999998882413
FS( 30 ),2107896.959999999962747,2101036.700000000186265,2124490.719999999739230,1976717.199999999953434,2115155.959999999962747,10425297.539999999105930
FS( 31 ),2072101.760000000242144,2085173.449999999953434,2128550.200000000186265,1961583.380000000121072,2069996.760000000009313,10317405.550000000745058
FS( 32 ),2092044.799999999813735,2071018.550000000046566,2129903.359999999869615,1949941.979999999981374,2002257.959999999962747,10245166.649999998509884
FS( 33 ),2054971.200000000186265,2012934.650000000139698,2100133.839999999850988,1932479.880000000121072,1976291.419999999925494,10076810.990000000223517
FS( 34 ),2075425.600000000093132,2012446.549999999813735,2115018.600000000093132,1918510.199999999953434,1994355.099999999860302,10115756.050000000745058
FS( 35 ),2125027.520000000018626,2045637.349999999860302,2159672.880000000353903,1959255.099999999860302,2011289.800000000046566,10300882.650000000372529
FS( 36 ),2147016.000000000000000,2048565.949999999953434,2175910.799999999813735,1955762.680000000167638,2032175.929999999934807,10359431.359999999403954
FS( 37 ),2147783.040000000037253,2036607.500000000000000,2174557.640000000130385,1935972.299999999813735,2058142.469999999972060,10353062.949999999254942
FS( 38 ),2112754.879999999888241,1995119.000000000000000,2152230.500000000000000,1928987.459999999962747,2034998.379999999888241,10224090.219999998807907
FS( 39 ),2165424.959999999962747,2023916.900000000139698,2186059.500000000000000,1942957.140000000130385,2042336.750000000000000,10360695.250000000000000
FS( 40 ),2151106.879999999888241,2002440.500000000000000,2169145.000000000000000,1919674.339999999850988,2025402.050000000046566,10267768.769999999552965
FS( 41 ),2139345.600000000093132,1993654.699999999953434,2144788.120000000111759,1927823.319999999832362,2065480.840000000083819,10271092.580000000074506
FS( 42 ),2163123.839999999850988,1976083.099999999860302,2137345.740000000223517,1897555.680000000167638,2061529.410000000149012,10235637.769999999552965
FS( 43 ),2235992.640000000130385,2018303.750000000000000,2188765.820000000298023,1944121.279999999795109,2126445.759999999776483,10513629.250000000000000
FS( 44 ),2265907.200000000186265,2062232.750000000000000,2195531.620000000111759,1942957.140000000130385,2147896.379999999888241,10614525.089999999850988
FS( 45 ),2285338.879999999888241,2071750.699999999953434,2182000.020000000018626,1946449.559999999823049,2134913.110000000335276,10620452.269999999552965
FS( 46 ),2280736.640000000130385,2073215.000000000000000,2165085.520000000018626,1956926.819999999832362,2104995.139999999664724,10580959.120000001043081
FS( 47 ),2310139.839999999850988,2106161.750000000000000,2169821.580000000074506,1952270.260000000009313,2075641.660000000149012,10614035.089999999850988
FS( 48 ),2291475.200000000186265,2102256.950000000186265,2178617.120000000111759,1946449.559999999823049,2079593.090000000083819,10598391.919999999925494
FS( 49 ),2292753.600000000093132,2114703.500000000000000,2193501.880000000353903,1951106.120000000111759,2068867.779999999795109,10620932.880000000819564
FS( 50 ),2299656.959999999962747,2123977.399999999906868,2187412.659999999683350,1981373.760000000009313,2069996.760000000009313,10662417.539999999105930
FS( 51 ),2342866.879999999888241,2156680.100000000093132,2193501.880000000353903,2001164.140000000130385,2082980.029999999795109,10777193.030000001192093
FS( 52 ),2354628.160000000149012,2156924.149999999906868,2161702.620000000111759,1991851.020000000018626,2060400.429999999934807,10725506.380000000819564
FS( 53 ),2380963.200000000186265,2147894.300000000279397,2190118.979999999981374,1988358.599999999860302,2001128.979999999981374,10708464.060000000521541
FS( 54 ),2383008.640000000130385,2173519.550000000279397,2210416.380000000353903,2004656.559999999823049,2010160.819999999832362,10781761.950000001117587
FS( 55 ),2367412.160000000149012,2159608.699999999720603,2222594.820000000298023,1982537.900000000139698,1978549.379999999888241,10710702.960000000894070
FS( 56 ),2385565.439999999944121,2167174.250000000000000,2209739.799999999813735,1998835.860000000102445,1985887.750000000000000,10747203.099999999627471
FS( 57 ),2419570.879999999888241,2177668.399999999906868,2215152.439999999944121,2023282.799999999813735,1994355.099999999860302,10830029.619999999180436
FS( 58 ),2418036.799999999813735,2194507.850000000093132,2219211.919999999925494,2044237.319999999832362,2023144.090000000083819,10899137.980000000447035
FS( 59 ),2414968.640000000130385,2213055.650000000372529,2218535.339999999850988,2050058.020000000018626,2019192.660000000149012,10915810.310000000521541
FS( 60 ),2405252.799999999813735,2199388.850000000093132,2200944.260000000242144,2036088.339999999850988,2006209.389999999897555,10847883.640000000596046
FS( 61 ),2395536.959999999962747,2225502.199999999720603,2211092.959999999962747,2047729.739999999990687,2016370.209999999962747,10896232.070000000298023
FS( 62 ),2397838.080000000074506,2229895.100000000093132,2214475.859999999869615,2048893.880000000121072,2027095.519999999785796,10918198.439999999478459
FS( 63 ),2400139.200000000186265,2235508.250000000000000,2215829.020000000018626,2036088.339999999850988,2028788.989999999757856,10916353.800000000745058
FS( 64 ),2394769.919999999925494,2226966.500000000000000,2225301.140000000130385,2038416.620000000111759,2038385.319999999832362,10923839.500000000000000
FS( 65 ),2407298.240000000223517,2243805.949999999720603,2206356.899999999906868,2058207.000000000000000,2095963.300000000046566,11011631.390000000596046
FS( 66 ),2396048.319999999832362,2235508.250000000000000,2161026.040000000037253,2094295.339999999850988,2115155.959999999962747,11002033.910000000149012
FS( 67 ),2416758.399999999906868,2231603.449999999720603,2148171.020000000018626,2108265.020000000018626,2121929.839999999850988,11026727.729999998584390
FS( 68 ),2391701.760000000242144,2213299.699999999720603,2132609.680000000167638,2116414.000000000000000,2165960.059999999590218,11019985.199999999254942
FS( 69 ),2396559.680000000167638,2225502.199999999720603,2128550.200000000186265,2135040.239999999757856,2170475.980000000447035,11056128.300000000745058
FS( 70 ),2387866.560000000055879,2206466.299999999813735,2133286.260000000242144,2125727.120000000111759,2170475.980000000447035,11023822.219999998807907
FS( 71 ),2402184.640000000130385,2241121.399999999906868,2121107.820000000298023,2121070.560000000055879,2206038.849999999627471,11091523.269999999552965
FS( 72 ),2390423.359999999869615,2256252.500000000000000,2132609.680000000167638,2138532.660000000149012,2193620.070000000298023,11111438.269999999552965
FS( 73 ),2407042.560000000055879,2249663.150000000372529,2144788.120000000111759,2121070.560000000055879,2235392.330000000074506,11157956.720000000670552
FS( 74 ),2403718.720000000204891,2265526.399999999906868,2135992.580000000074506,2135040.239999999757856,2301437.660000000149012,11241715.599999999627471
FS( 75 ),2460479.680000000167638,2278217.000000000000000,2147494.439999999944121,2139696.799999999813735,2307647.049999999813735,11333534.969999998807907
FS( 76 ),2442837.760000000242144,2268943.100000000093132,2145464.700000000186265,2132711.959999999962747,2289583.370000000111759,11279540.890000000596046
FS( 77 ),2393491.520000000018626,2262597.799999999813735,2129226.779999999795109,2123398.839999999850988,2275471.120000000111759,11184186.059999998658895
FS( 78 ),2371503.040000000037253,2288711.149999999906868,2123814.140000000130385,2137368.520000000018626,2281116.019999999552965,11202512.869999999180436
FS( 79 ),2418036.799999999813735,2296520.750000000000000,2140052.060000000055879,2147845.779999999795109,2247246.620000000111759,11249702.009999997913837
FS( 80 ),2413434.560000000055879,2296032.649999999906868,2129903.359999999869615,2150174.060000000055879,2292970.309999999590218,11282514.940000001341105
FS( 81 ),2448207.040000000037253,2309699.450000000186265,2129903.359999999869615,2137368.520000000018626,2272084.179999999701977,11297262.549999998882413
FS( 82 ),2470706.879999999888241,2312384.000000000000000,2121107.820000000298023,2151338.200000000186265,2387240.139999999664724,11442777.039999999105930
FS( 83 ),2446417.280000000260770,2278705.100000000093132,2104869.899999999906868,2112921.579999999608845,2310469.500000000000000,11253383.360000001266599
FS( 84 ),2480422.720000000204891,2316776.900000000372529,2126520.459999999962747,2121070.560000000055879,2317243.379999999888241,11362034.019999999552965
FS( 85 ),2505990.720000000204891,2348259.350000000093132,2133286.260000000242144,2237484.560000000055879,2374821.360000000335276,11599842.250000000000000
FS( 86 ),2533604.160000000149012,2354604.649999999906868,2126520.459999999962747,2207216.919999999925494,2368047.480000000447035,11589993.670000001788139
FS( 87 ),2529513.280000000260770,2374860.800000000279397,2117048.339999999850988,2231663.860000000335276,2429576.889999999664724,11682663.170000001788139
FS( 88 ),2546388.160000000149012,2369979.799999999813735,2116371.760000000242144,2246797.680000000167638,2398529.940000000409782,11678067.339999999850988
FS( 89 ),2568888.000000000000000,2383402.549999999813735,2115018.600000000093132,2216530.040000000037253,2360144.620000000111759,11643983.810000002384186
FS( 90 ),2572467.520000000018626,2385354.949999999720603,2127197.040000000037253,2230499.720000000204891,2369176.459999999962747,11684695.690000001341105
FS( 91 ),2551501.760000000242144,2348747.449999999720603,2136669.159999999683350,2217694.180000000167638,2374821.360000000335276,11629433.910000000149012
FS( 92 ),2572211.839999999850988,2359973.750000000000000,2149524.180000000167638,2215365.899999999906868,2395143.000000000000000,11692218.669999999925494
FS( 93 ),2647381.760000000242144,2353872.500000000000000,2150877.339999999850988,2192083.099999999627471,2392320.549999999813735,11736535.250000000000000
FS( 94 ),2640222.720000000204891,2366075.000000000000000,2135992.580000000074506,2217694.180000000167638,2396836.469999999739230,11756820.949999999254942
FS( 95 ),2633575.040000000037253,2351187.950000000186265,2138022.320000000298023,2217694.180000000167638,2372563.400000000372529,11713042.890000000596046
FS( 96 ),2647637.439999999944121,2358997.549999999813735,2144788.120000000111759,2244469.399999999906868,2399094.429999999701977,11794986.939999999478459
FS( 97 ),2642779.520000000018626,2371444.100000000093132,2184029.760000000242144,2254946.660000000149012,2404174.839999999850988,11857374.880000000819564
FS( 98 ),2706699.520000000018626,2409271.850000000093132,2184029.760000000242144,2233992.140000000130385,2418287.089999999850988,11952280.360000001266599
FS( 99 ),2608262.720000000204891,2448319.849999999627471,2156966.560000000055879,2199067.939999999944121,2425060.969999999739230,11837678.039999999105930
FS( 100 ),2557382.399999999906868,2495909.600000000093132,2162379.200000000186265,2183934.120000000111759,2422238.519999999552965,11821843.839999999850988
FS( 101 ),2571444.799999999813735,2490052.399999999906868,2161026.040000000037253,2200232.079999999608845,2413206.679999999701977,11835961.999999998137355
FS( 102 ),2608007.040000000037253,2491760.750000000000000,2175910.799999999813735,2195575.520000000018626,2400223.410000000149012,11871477.519999999552965
FS( 103 ),2631785.280000000260770,2532029.000000000000000,2162379.200000000186265,2239812.839999999850988,2403610.349999999627471,11969616.669999999925494
FS( 104 ),2553291.520000000018626,2511284.750000000000000,2196208.200000000186265,2228171.439999999944121,2396271.980000000447035,11885227.890000000596046
FS( 105 ),2581672.000000000000000,2525195.600000000093132,2179970.279999999795109,2233992.140000000130385,2458930.370000000111759,11979760.390000000596046
FS( 106 ),2665535.040000000037253,2542767.199999999720603,2217858.760000000242144,2301512.259999999776483,2528362.639999999664724,12256035.899999998509884
FS( 107 ),2634597.760000000242144,2532029.000000000000000,2205680.320000000298023,2288706.720000000204891,2509169.980000000447035,12170183.780000001192093
FS( 108 ),2611330.879999999888241,2513969.300000000279397,2206356.899999999906868,2282886.020000000018626,2458930.370000000111759,12073473.469999998807907
FS( 109 ),2662466.879999999888241,2532517.100000000093132,2220565.080000000074506,2291035.000000000000000,2474171.599999999627471,12180755.660000000149012
FS( 110 ),2617211.520000000018626,2492736.950000000186265,2219888.500000000000000,2288706.720000000204891,2511427.940000000409782,12129971.630000002682209
FS( 111 ),2515706.560000000055879,2418057.649999999906868,2209063.219999999739230,2253782.520000000018626,2471913.639999999664724,11868523.589999999850988
FS( 112 ),2557382.399999999906868,2438801.900000000372529,2192825.299999999813735,2266588.060000000055879,2460623.839999999850988,11916221.500000000000000
FS( 113 ),2610563.839999999850988,2460034.250000000000000,2163055.779999999795109,2306168.819999999832362,2436350.769999999552965,11976173.459999999031425
FS( 114 ),2576047.040000000037253,2470528.399999999906868,2132609.680000000167638,2300348.120000000111759,2415464.639999999664724,11894997.879999998956919
FS( 115 ),2567098.240000000223517,2428551.800000000279397,2083895.920000000158325,2246797.680000000167638,2362967.070000000298023,11689310.710000000894070
FS( 116 ),2636643.200000000186265,2495177.449999999720603,2106899.640000000130385,2314317.799999999813735,2386111.160000000149012,11939149.250000000000000
FS( 117 ),2686245.120000000111759,2508844.250000000000000,2121107.820000000298023,2349242.000000000000000,2404739.330000000074506,12070178.520000001415610
FS( 118 ),2750932.160000000149012,2567172.199999999720603,2150877.339999999850988,2325959.200000000186265,2438044.240000000223517,12232985.139999998733401
FS( 119 ),2730477.760000000242144,2568148.399999999906868,2148847.600000000093132,2321302.640000000130385,2412642.190000000409782,12181418.589999999850988
FS( 120 ),2729710.720000000204891,2574249.649999999906868,2174557.640000000130385,2318974.360000000335276,2413206.679999999701977,12210699.050000000745058
FS( 121 ),2770875.200000000186265,2571809.149999999906868,2188765.820000000298023,2363211.680000000167638,2472478.129999999888241,12367139.980000000447035
FS( 122 ),2789284.160000000149012,2605976.149999999906868,2206356.899999999906868,2369032.380000000353903,2469655.679999999701977,12440305.270000001415610
FS( 123 ),2797210.240000000223517,2587916.450000000186265,2200267.680000000167638,2359719.259999999776483,2476429.559999999590218,12421543.190000001341105
FS( 124 ),2826357.760000000242144,2620375.100000000093132,2223271.399999999906868,2372524.799999999813735,2510863.450000000186265,12553392.509999997913837
FS( 125 ),2851670.080000000074506,2635994.300000000279397,2234096.680000000167638,2367868.239999999757856,2562796.530000000260770,12652425.830000001937151
FS( 126 ),2847067.839999999850988,2623303.699999999720603,2244245.380000000353903,2364375.819999999832362,2551506.730000000447035,12630499.470000000670552
