代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11085566.280000001192093
真實報酬,1085566.280000001192093

夏普值報酬,0.099856628000000
夏普值風險,0.050507059337571
夏普值,1.977082596169272

二次趨勢線,233.227428736793939 x^2 + -19143.837428149865445 x + 10000000.000000000000000
二次加權預期報酬,20504.825457105111127
風險,159706.262427374342224
二次加權趨勢值,0.128390866741557
一次趨勢線,3158.192463293198216 x + 10000000.000000000000000
一次預期報酬,3158.192463293198216
一次風險,453734.102362370234914
一次趨勢值,0.006960447642904
找到最佳解世代,2376
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](4),VZ[26](1),
FS( 42 ),4909737.080000000074506,4350207.600000000558794,9259944.679999999701977
FS( 43 ),5014057.339999999850988,4410056.900000000372529,9424114.240000000223517
FS( 44 ),5019976.219999999739230,4418606.800000000745058,9438583.019999999552965
FS( 45 ),4934892.320000000298023,4350207.600000000558794,9285099.920000001788139
FS( 46 ),4938591.620000000111759,4329687.840000000782311,9268279.460000000894070
FS( 47 ),5059188.799999999813735,4425446.720000000670552,9484635.519999999552965
FS( 48 ),5050310.480000000447035,4440836.540000000037253,9491147.019999999552965
FS( 49 ),5132434.940000000409782,4531465.480000000447035,9663900.420000001788139
FS( 50 ),5145012.560000000521541,4565665.080000000074506,9710677.640000000596046
FS( 51 ),5127255.919999999925494,4577634.940000000409782,9704890.859999999403954
FS( 52 ),5208640.520000000484288,4654584.040000000037253,9863224.560000000521541
FS( 53 ),5200502.060000000521541,4664843.920000000856817,9865345.980000000447035
FS( 54 ),5182745.419999999925494,4651164.080000000074506,9833909.500000000000000
FS( 55 ),5170167.799999999813735,4656294.020000000484288,9826461.820000000298023
FS( 56 ),5173127.240000000223517,4646034.140000000596046,9819161.380000000819564
FS( 57 ),5078425.160000000149012,4646034.140000000596046,9724459.300000000745058
FS( 58 ),5077685.299999999813735,4688783.640000000596046,9766468.940000001341105
FS( 59 ),5011097.900000000372529,4630644.320000000298023,9641742.220000000670552
FS( 60 ),4988162.240000000223517,4563955.100000000558794,9552117.339999999850988
FS( 61 ),4981503.500000000000000,4589604.800000000745058,9571108.300000000745058
FS( 62 ),4917135.679999999701977,4575924.960000000894070,9493060.640000000596046
FS( 63 ),4873483.940000000409782,4480166.080000000074506,9353650.019999999552965
FS( 64 ),4935632.179999999701977,4497265.880000000819564,9432898.060000000521541
FS( 65 ),4893460.160000000149012,4584474.860000000335276,9477935.019999999552965
FS( 66 ),4891240.580000000074506,4550275.260000000707805,9441515.839999999850988
FS( 67 ),4980023.780000000260770,4534885.440000000409782,9514909.220000000670552
FS( 68 ),5106539.839999999850988,4579344.920000000856817,9685884.760000001639128
FS( 69 ),5121337.040000000037253,4557115.180000000633299,9678452.220000000670552
FS( 70 ),5174606.959999999962747,4529755.500000000000000,9704362.460000000894070
FS( 71 ),5241194.360000000335276,4598154.700000000186265,9839349.060000000521541
FS( 72 ),5245633.520000000484288,4589604.800000000745058,9835238.320000000298023
FS( 73 ),5277447.500000000000000,4582764.880000000819564,9860212.380000000819564
FS( 74 ),5174606.959999999962747,4563955.100000000558794,9738562.060000000521541
FS( 75 ),5172387.379999999888241,4569085.040000000037253,9741472.419999999925494
FS( 76 ),5243413.940000000409782,4560535.140000000596046,9803949.080000001937151
FS( 77 ),5187184.580000000074506,4534885.440000000409782,9722070.019999999552965
FS( 78 ),5282626.520000000484288,4616964.480000000447035,9899591.000000000000000
FS( 79 ),5171647.520000000484288,4791382.440000000409782,9963029.960000000894070
FS( 80 ),5243413.940000000409782,4835841.920000000856817,10079255.860000001266599
FS( 81 ),5208640.520000000484288,4888851.300000000745058,10097491.820000000298023
FS( 82 ),5162029.339999999850988,4943570.660000000149012,10105600.000000000000000
FS( 83 ),5133174.799999999813735,4938440.720000000670552,10071615.519999999552965
FS( 84 ),5159069.900000000372529,4969220.360000000335276,10128290.260000001639128
FS( 85 ),5197542.620000000111759,5054719.360000000335276,10252261.980000000447035
FS( 86 ),5212339.820000000298023,5051299.400000000372529,10263639.220000000670552
FS( 87 ),5230096.459999999962747,5027359.680000000633299,10257456.140000000596046
FS( 88 ),5212339.820000000298023,5053009.380000000819564,10265349.200000001117587
FS( 89 ),5307781.759999999776483,5053009.380000000819564,10360791.140000000596046
FS( 90 ),5395085.240000000223517,5106018.760000000707805,10501104.000000000000000
FS( 91 ),5389166.360000000335276,5133378.440000000409782,10522544.800000000745058
FS( 92 ),5295204.139999999664724,5054719.360000000335276,10349923.500000000000000
FS( 93 ),5331457.280000000260770,5184677.840000000782311,10516135.120000001043081
FS( 94 ),5318879.660000000149012,5135088.420000000856817,10453968.080000001937151
FS( 95 ),5311481.060000000521541,5123118.560000000521541,10434599.620000001043081
FS( 96 ),5417281.040000000037253,5159028.140000000596046,10576309.179999999701977
FS( 97 ),5419500.620000000111759,5155608.180000000633299,10575108.800000000745058
FS( 98 ),5398784.540000000037253,5064979.240000000223517,10463763.780000001192093
FS( 99 ),5406923.000000000000000,5022229.740000000223517,10429152.740000000223517
FS( 100 ),5426159.360000000335276,5029069.660000000149012,10455229.019999999552965
FS( 101 ),5380288.040000000037253,5039329.540000000037253,10419617.580000000074506
FS( 102 ),5415061.459999999962747,5071819.160000000149012,10486880.620000001043081
FS( 103 ),5412841.879999999888241,5044459.480000000447035,10457301.359999999403954
FS( 104 ),5474250.259999999776483,5102598.800000000745058,10576849.060000000521541
FS( 105 ),5381767.759999999776483,5034199.600000000558794,10415967.359999999403954
FS( 106 ),5405443.280000000260770,5049589.420000000856817,10455032.700000001117587
FS( 107 ),5514942.560000000521541,5174417.960000000894070,10689360.520000001415610
FS( 108 ),5550455.839999999850988,5148768.260000000707805,10699224.100000001490116
FS( 109 ),5555634.860000000335276,5164158.080000000074506,10719792.940000001341105
FS( 110 ),5608164.919999999925494,5167578.040000000037253,10775742.960000000894070
FS( 111 ),5628881.000000000000000,5208617.560000000521541,10837498.560000000521541
FS( 112 ),5502364.940000000409782,5273596.800000000745058,10775961.740000002086163
FS( 113 ),5549715.980000000447035,5270176.840000000782311,10819892.820000000298023
FS( 114 ),5517162.139999999664724,5283856.680000000633299,10801018.820000000298023
FS( 115 ),5470550.959999999962747,5285566.660000000149012,10756117.620000001043081
FS( 116 ),5527520.179999999701977,5333446.100000000558794,10860966.280000001192093
FS( 117 ),5534178.919999999925494,5372775.640000000596046,10906954.560000000521541
FS( 118 ),5498665.639999999664724,5417235.120000000111759,10915900.759999999776483
FS( 119 ),5557114.580000000074506,5487344.300000000745058,11044458.880000000819564
FS( 120 ),5586708.980000000447035,5526673.840000000782311,11113382.820000000298023
FS( 121 ),5558594.299999999813735,5538643.700000000186265,11097238.000000000000000
FS( 122 ),5522341.160000000149012,5501024.140000000596046,11023365.300000000745058
FS( 123 ),5556374.719999999739230,5581393.200000000186265,11137767.919999999925494
FS( 124 ),5531219.480000000447035,5619012.760000000707805,11150232.240000002086163
FS( 125 ),5521601.299999999813735,5595073.040000000037253,11116674.339999999850988
FS( 126 ),5508283.820000000298023,5584813.160000000149012,11093096.980000000447035
FS( 127 ),5512722.980000000447035,5572843.300000000745058,11085566.280000001192093
