代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11886605.012750000000
真實報酬,1886605.012749999800

夏普值報酬,0.179960501275
夏普值風險,0.054749925260
夏普值,3.286954282065

預期報酬,7869.602298193076
風險,247481.263738182720
起點值,0.031798780155
找到最佳解世代,4643
找到最佳解實驗#,2
找到最佳解次數,38

投資組合檔數,4
1303(4),2412(24),3045(41),4904(45),
Stock#,1303(4),2412(24),3045(41),4904(45),
張數,45,39,47,83,
FS( 181 ),2420280.452500000100,2929131.566500000200,2823794.479749999900,2918511.522499999500,11091718.021250000000
FS( 182 ),2398776.032499999700,2943497.713750000600,2823794.479749999900,2868931.887499999700,11035000.113499999000
FS( 183 ),2416696.382499999800,2957863.860999999600,2823794.479749999900,2828441.852249999500,11026796.575500000000
FS( 184 ),2395191.962499999900,2957863.860999999600,2823794.479749999900,2890416.395999999300,11067266.699250000000
FS( 185 ),2363383.341250000100,2971841.733999999200,2823794.479749999900,2954869.921499999700,11113889.476499999000
FS( 186 ),2359799.271250000200,2929131.566500000200,2823794.479749999900,2927601.122250000000,11040326.439750001000
FS( 187 ),2466873.362499999800,2971841.733999999200,2823794.479749999900,2878021.487249999800,11140531.063499998000
FS( 188 ),2523770.473749999900,2914765.419249999800,2823794.479749999900,2896200.686749998900,11158531.059499998000
FS( 189 ),2530938.613750000000,2889139.318749999600,2823794.479749999900,2878021.487249999800,11121893.899499999000
FS( 190 ),2466873.362499999800,2886421.399000000700,2823794.479749999900,2859842.287749999700,11036931.529000001000
FS( 191 ),2456121.152499999900,2883315.204999999600,2888367.474250000000,2831747.161250000400,11059550.993000001000
FS( 192 ),2459705.222500000100,2872055.251750000300,2874797.787000000500,2862321.269499999900,11068879.530750001000
FS( 193 ),2527354.543750000200,2894963.432500000600,2888367.474250000000,2878021.487249999800,11188706.937750001000
FS( 194 ),2495097.913749999800,2886421.399000000700,2888367.474250000000,2906116.613749999600,11176003.400750000000
FS( 195 ),2527354.543750000200,2900399.272000000300,2867778.983249999600,2952390.939749999400,11247923.738750000000
FS( 196 ),2509434.193750000100,2897681.352250000000,2867778.983249999600,2918511.522499999500,11193406.051749999000
FS( 197 ),2488377.782499999700,2906223.385749999900,2881816.590750000000,2989575.666000000200,11265993.425000001000
FS( 198 ),2520186.403750000100,2943497.713750000600,2926269.014499999600,3007754.865499999800,11397707.997499999000
FS( 199 ),2488377.782499999700,2929131.566500000200,2973996.879999999900,3013539.156249999500,11405045.385249998000
FS( 200 ),2481209.642500000100,2929131.566500000200,2973996.879999999900,3041634.282749999800,11425972.371750001000
FS( 201 ),2463289.292500000000,2900399.272000000300,2939838.701750000000,3041634.282749999800,11345161.549000001000
FS( 202 ),2477625.572500000200,2903505.466000000000,2963702.634500000200,3023455.083250000100,11368288.756250001000
FS( 203 ),2474041.502499999900,2929131.566500000200,2963702.634500000200,3072208.390999999800,11439084.094500002000
FS( 204 ),2445368.942499999900,2914765.419249999800,3008155.058249999800,3155667.443249999500,11523956.863249999000
FS( 205 ),2402360.102500000000,2929131.566500000200,3004879.616500000000,3230036.895750000100,11566408.181249999000
FS( 206 ),2377719.621249999900,2914765.419249999800,3004879.616500000000,3340764.747250000000,11638129.404250000000
FS( 207 ),2405944.172500000300,2908941.305500000200,3151806.574999999700,3334980.456499999900,11801672.509499999000
FS( 208 ),2405944.172500000300,2912047.499499999900,3165376.262250000100,3420918.490499999800,11904286.424750000000
FS( 209 ),2427448.592500000300,2929131.566500000200,3155082.016750000000,3525862.051249999600,12037524.227000000000
FS( 210 ),2431032.662500000100,2929131.566500000200,3155082.016750000000,3427529.108499999200,11942775.354249999000
FS( 211 ),2427448.592500000300,2929131.566500000200,3144787.771250000700,3402739.291000000200,11904107.221250001000
FS( 212 ),2431032.662500000100,2929131.566500000200,3120923.838500000100,3322585.547750000400,11803673.615250001000
FS( 213 ),2431032.662500000100,2943497.713750000600,3141512.329500000000,3372165.182749999700,11888207.888499999000
FS( 214 ),2434616.732499999900,2957863.860999999600,3264575.355250000500,3433313.399249999300,12090369.347999999000
FS( 215 ),2398776.032499999700,2971841.733999999200,3329616.269999999600,3501072.233749999700,12201306.270250000000
FS( 216 ),2374135.551250000000,3014940.175749999900,3350204.761000000400,3643200.520750000100,12382481.008749999000
FS( 217 ),2231220.760000000200,2971841.733999999200,3298733.533499999900,3532472.669249999800,12034268.696750000000
FS( 218 ),2173875.640000000100,2914765.419249999800,3223398.373250000200,3415134.199749999700,11727173.632250000000
FS( 219 ),2166707.500000000000,2929131.566500000200,3206553.244250000000,3477108.743499999900,11779501.054250000000
FS( 220 ),2052913.277500000300,2914765.419249999800,3162100.820499999400,3477108.743499999900,11606888.260749999000
FS( 221 ),2134898.878749999700,2929131.566500000200,3144787.771250000700,3587836.594999999700,11796654.811500002000
FS( 222 ),2038576.997500000300,2900399.272000000300,3104078.709499999900,3575441.686250000300,11618496.665250000000
FS( 223 ),2042161.067499999900,2914765.419249999800,3138236.887750000200,3662206.047499999400,11757369.421999998000
FS( 224 ),2059633.408749999900,2903505.466000000000,3230417.176999999700,3612626.412499999600,11806182.464249998000
FS( 225 ),2020656.647500000000,2903505.466000000000,3305752.337249999900,3538256.959999999500,11768171.410750000000
FS( 226 ),2113394.458749999800,2957863.860999999600,3316046.582750000100,3612626.412499999600,11999931.314999999000
FS( 227 ),2052913.277500000300,2943497.713750000600,3264575.355250000500,3674600.956249999300,11935587.302750001000
FS( 228 ),2099058.178750000000,2929131.566500000200,3257556.551500000100,3674600.956249999300,11960347.252999999000
FS( 229 ),2049329.207499999800,2914765.419249999800,3274869.600750000200,3600231.503749999700,11839195.731249999000
FS( 230 ),2156403.298750000100,2957863.860999999600,3285163.846250000400,3655595.429500000100,12055026.435500002000
FS( 231 ),2163571.438749999700,2957863.860999999600,3254281.109750000300,3692780.155749999900,12068496.565249998000
FS( 232 ),2088305.968750000500,2943497.713750000600,3209828.686000000200,3692780.155749999900,11934412.524250001000
FS( 233 ),2149235.158749999900,2957863.860999999600,3199534.440500000000,3649811.138749999900,11956444.598999999000
FS( 234 ),2152819.228750000200,2943497.713750000600,3230417.176999999700,3662206.047499999400,11988940.166999999000
FS( 235 ),2145651.088749999600,2943497.713750000600,3254281.109750000300,3649811.138749999900,11993241.051000001000
FS( 236 ),2066801.548749999600,2914765.419249999800,3230417.176999999700,3637416.230000000400,11849400.375000000000
FS( 237 ),2031408.857499999900,2929131.566500000200,3247730.226249999400,3606015.794499999800,11814286.444750000000
FS( 238 ),2009904.437500000500,2929131.566500000200,3247730.226249999400,3402739.291000000200,11589505.521250000000
FS( 239 ),1988400.017499999600,2943497.713750000600,3261299.913500000300,3372165.182749999700,11565362.827500001000
FS( 240 ),2088305.968750000500,2957863.860999999600,3247730.226249999400,3470498.125499999600,11764398.181499999000
FS( 241 ),2099058.178750000000,2943497.713750000600,3247730.226249999400,3563046.777499999400,11853332.896249998000
FS( 242 ),2149235.158749999900,2929131.566500000200,3213104.127749999500,3538256.959999999500,11829727.812999999000
FS( 243 ),2184627.850000000100,2906223.385749999900,3172395.066000000100,3507682.851750000400,11770929.153500002000
FS( 244 ),2206132.270000000000,2929131.566500000200,3185964.753250000100,3520077.760499999900,11841306.350250000000
FS( 245 ),2206132.270000000000,2914765.419249999800,3209828.686000000200,3538256.959999999500,11868983.335250000000
FS( 246 ),2181043.780000000300,2929131.566500000200,3243986.864249999600,3550651.868749999400,11904814.079499999000
