代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11229799.359999999000
真實報酬,1229799.359999999400

夏普值報酬,0.114279936000
夏普值風險,0.032136277774
夏普值,3.556103690744

預期報酬,4423.848797435977
風險,156605.826351298080
起點值,0.028248302764
找到最佳解世代,5081
找到最佳解實驗#,3
找到最佳解次數,4

投資組合檔數,1
2412(24),
FS( 45 ),10221481.000000000000,10221481.000000000000
FS( 46 ),10170109.330000000000,10170109.330000000000
FS( 47 ),10190419.060000001000,10190419.060000001000
FS( 48 ),10210728.789999999000,10210728.789999999000
FS( 49 ),10210728.789999999000,10210728.789999999000
FS( 50 ),10294357.090000000000,10294357.090000000000
FS( 51 ),10356480.970000001000,10356480.970000001000
FS( 52 ),10345728.760000000000,10345728.760000000000
FS( 53 ),10345728.760000000000,10345728.760000000000
FS( 54 ),10356480.970000001000,10356480.970000001000
FS( 55 ),10314666.820000000000,10314666.820000000000
FS( 56 ),10314666.820000000000,10314666.820000000000
FS( 57 ),10345728.760000000000,10345728.760000000000
FS( 58 ),10356480.970000001000,10356480.970000001000
FS( 59 ),10283604.880000001000,10283604.880000001000
FS( 60 ),10303914.609999999000,10303914.609999999000
FS( 61 ),10325419.029999999000,10325419.029999999000
FS( 62 ),10325419.029999999000,10325419.029999999000
FS( 63 ),10283604.880000001000,10283604.880000001000
FS( 64 ),10252542.939999999000,10252542.939999999000
FS( 65 ),10252542.939999999000,10252542.939999999000
FS( 66 ),10252542.939999999000,10252542.939999999000
FS( 67 ),10314666.820000000000,10314666.820000000000
FS( 68 ),10263295.150000000000,10263295.150000000000
FS( 69 ),10170109.330000000000,10170109.330000000000
FS( 70 ),10232233.209999999000,10232233.209999999000
FS( 71 ),10210728.789999999000,10210728.789999999000
FS( 72 ),10190419.060000001000,10190419.060000001000
FS( 73 ),10190419.060000001000,10190419.060000001000
FS( 74 ),10139047.389999997000,10139047.389999997000
FS( 75 ),10107985.450000003000,10107985.450000003000
FS( 76 ),10117542.970000001000,10117542.970000001000
FS( 77 ),10097233.239999998000,10097233.239999998000
FS( 78 ),10066171.300000001000,10066171.300000001000
FS( 79 ),9982543.000000000000,9982543.000000000000
FS( 80 ),10004047.420000000000,10004047.420000000000
FS( 81 ),10179666.850000001000,10179666.850000001000
FS( 82 ),10107985.450000003000,10107985.450000003000
FS( 83 ),10107985.450000003000,10107985.450000003000
FS( 84 ),10159357.119999999000,10159357.119999999000
FS( 85 ),10107985.450000003000,10107985.450000003000
FS( 86 ),10066171.300000001000,10066171.300000001000
FS( 87 ),10004047.420000000000,10004047.420000000000
FS( 88 ),9972985.480000000400,9972985.480000000400
FS( 89 ),9993295.209999999000,9993295.209999999000
FS( 90 ),10076923.510000000000,10076923.510000000000
FS( 91 ),10107985.450000003000,10107985.450000003000
FS( 92 ),10128295.180000002000,10128295.180000002000
FS( 93 ),10159357.119999999000,10159357.119999999000
FS( 94 ),10159357.119999999000,10159357.119999999000
FS( 95 ),10159357.119999999000,10159357.119999999000
FS( 96 ),10252542.939999999000,10252542.939999999000
FS( 97 ),10210728.789999999000,10210728.789999999000
FS( 98 ),10221481.000000000000,10221481.000000000000
FS( 99 ),10241790.730000000000,10241790.730000000000
FS( 100 ),10241790.730000000000,10241790.730000000000
FS( 101 ),10283604.880000001000,10283604.880000001000
FS( 102 ),10210728.789999999000,10210728.789999999000
FS( 103 ),10179666.850000001000,10179666.850000001000
FS( 104 ),10232233.209999999000,10232233.209999999000
FS( 105 ),10232233.209999999000,10232233.209999999000
FS( 106 ),10232233.209999999000,10232233.209999999000
FS( 107 ),10401879.189999999000,10401879.189999999000
FS( 108 ),10423383.609999999000,10423383.609999999000
FS( 109 ),10412631.400000000000,10412631.400000000000
FS( 110 ),10423383.609999999000,10423383.609999999000
FS( 111 ),10444888.029999999000,10444888.029999999000
FS( 112 ),10455640.239999998000,10455640.239999998000
FS( 113 ),10466392.450000003000,10466392.450000003000
FS( 114 ),10521348.189999999000,10521348.189999999000
FS( 115 ),10466392.450000003000,10466392.450000003000
FS( 116 ),10521348.189999999000,10521348.189999999000
FS( 117 ),10576303.930000002000,10576303.930000002000
FS( 118 ),10738781.770000000000,10738781.770000000000
FS( 119 ),10717277.350000001000,10717277.350000001000
FS( 120 ),10837941.039999999000,10837941.039999999000
FS( 121 ),10880949.880000001000,10880949.880000001000
FS( 122 ),10804489.720000001000,10804489.720000001000
FS( 123 ),10738781.770000000000,10738781.770000000000
FS( 124 ),10761480.880000001000,10761480.880000001000
FS( 125 ),10815241.930000002000,10815241.930000002000
FS( 126 ),10848693.250000000000,10848693.250000000000
FS( 127 ),10782985.300000001000,10782985.300000001000
FS( 128 ),10685020.720000001000,10685020.720000001000
FS( 129 ),10674268.510000000000,10674268.510000000000
FS( 130 ),10782985.300000001000,10782985.300000001000
FS( 131 ),10782985.300000001000,10782985.300000001000
FS( 132 ),10728029.560000001000,10728029.560000001000
FS( 133 ),10685020.720000001000,10685020.720000001000
FS( 134 ),10423383.609999999000,10423383.609999999000
FS( 135 ),10444888.029999999000,10444888.029999999000
FS( 136 ),10423383.609999999000,10423383.609999999000
FS( 137 ),10532100.400000000000,10532100.400000000000
FS( 138 ),10532100.400000000000,10532100.400000000000
FS( 139 ),10825994.139999997000,10825994.139999997000
FS( 140 ),10674268.510000000000,10674268.510000000000
FS( 141 ),10630064.980000000000,10630064.980000000000
FS( 142 ),10663516.300000001000,10663516.300000001000
FS( 143 ),10685020.720000001000,10685020.720000001000
FS( 144 ),10685020.720000001000,10685020.720000001000
FS( 145 ),10576303.930000002000,10576303.930000002000
FS( 146 ),10685020.720000001000,10685020.720000001000
FS( 147 ),10685020.720000001000,10685020.720000001000
FS( 148 ),10738781.770000000000,10738781.770000000000
FS( 149 ),10738781.770000000000,10738781.770000000000
FS( 150 ),10782985.300000001000,10782985.300000001000
FS( 151 ),10782985.300000001000,10782985.300000001000
FS( 152 ),10793737.510000000000,10793737.510000000000
FS( 153 ),10793737.510000000000,10793737.510000000000
FS( 154 ),10685020.720000001000,10685020.720000001000
FS( 155 ),10772233.090000000000,10772233.090000000000
FS( 156 ),10706525.139999997000,10706525.139999997000
FS( 157 ),10750728.670000000000,10750728.670000000000
FS( 158 ),10738781.770000000000,10738781.770000000000
FS( 159 ),10825994.139999997000,10825994.139999997000
FS( 160 ),10815241.930000002000,10815241.930000002000
FS( 161 ),10848693.250000000000,10848693.250000000000
FS( 162 ),10804489.720000001000,10804489.720000001000
FS( 163 ),10804489.720000001000,10804489.720000001000
FS( 164 ),10793737.510000000000,10793737.510000000000
FS( 165 ),10793737.510000000000,10793737.510000000000
FS( 166 ),10848693.250000000000,10848693.250000000000
FS( 167 ),10837941.039999999000,10837941.039999999000
FS( 168 ),10837941.039999999000,10837941.039999999000
FS( 169 ),10880949.880000001000,10880949.880000001000
FS( 170 ),10815241.930000002000,10815241.930000002000
FS( 171 ),10935905.619999999000,10935905.619999999000
FS( 172 ),10957410.039999999000,10957410.039999999000
FS( 173 ),10935905.619999999000,10935905.619999999000
FS( 174 ),10946657.830000000000,10946657.830000000000
FS( 175 ),10957410.039999999000,10957410.039999999000
FS( 176 ),11011171.090000000000,11011171.090000000000
FS( 177 ),11011171.090000000000,11011171.090000000000
FS( 178 ),11011171.090000000000,11011171.090000000000
FS( 179 ),11011171.090000000000,11011171.090000000000
FS( 180 ),10923958.720000001000,10923958.720000001000
FS( 181 ),11011171.090000000000,11011171.090000000000
FS( 182 ),10957410.039999999000,10957410.039999999000
FS( 183 ),10957410.039999999000,10957410.039999999000
FS( 184 ),10957410.039999999000,10957410.039999999000
FS( 185 ),10848693.250000000000,10848693.250000000000
FS( 186 ),10870197.670000000000,10870197.670000000000
FS( 187 ),10793737.510000000000,10793737.510000000000
FS( 188 ),10793737.510000000000,10793737.510000000000
FS( 189 ),10848693.250000000000,10848693.250000000000
FS( 190 ),10750728.670000000000,10750728.670000000000
FS( 191 ),10663516.300000001000,10663516.300000001000
FS( 192 ),10902454.300000001000,10902454.300000001000
FS( 193 ),10825994.139999997000,10825994.139999997000
FS( 194 ),10957410.039999999000,10957410.039999999000
FS( 195 ),10880949.880000001000,10880949.880000001000
FS( 196 ),10891702.090000000000,10891702.090000000000
FS( 197 ),10848693.250000000000,10848693.250000000000
FS( 198 ),10848693.250000000000,10848693.250000000000
FS( 199 ),10880949.880000001000,10880949.880000001000
FS( 200 ),10848693.250000000000,10848693.250000000000
FS( 201 ),10935905.619999999000,10935905.619999999000
FS( 202 ),10946657.830000000000,10946657.830000000000
FS( 203 ),10859445.459999999000,10859445.459999999000
FS( 204 ),10815241.930000002000,10815241.930000002000
FS( 205 ),10848693.250000000000,10848693.250000000000
FS( 206 ),10848693.250000000000,10848693.250000000000
FS( 207 ),10804489.720000001000,10804489.720000001000
FS( 208 ),10782985.300000001000,10782985.300000001000
FS( 209 ),10793737.510000000000,10793737.510000000000
FS( 210 ),10738781.770000000000,10738781.770000000000
FS( 211 ),10717277.350000001000,10717277.350000001000
FS( 212 ),10738781.770000000000,10738781.770000000000
FS( 213 ),10738781.770000000000,10738781.770000000000
FS( 214 ),10782985.300000001000,10782985.300000001000
FS( 215 ),10793737.510000000000,10793737.510000000000
FS( 216 ),10761480.880000001000,10761480.880000001000
FS( 217 ),10891702.090000000000,10891702.090000000000
FS( 218 ),10891702.090000000000,10891702.090000000000
FS( 219 ),10891702.090000000000,10891702.090000000000
FS( 220 ),10902454.300000001000,10902454.300000001000
FS( 221 ),10902454.300000001000,10902454.300000001000
FS( 222 ),10848693.250000000000,10848693.250000000000
FS( 223 ),10859445.459999999000,10859445.459999999000
FS( 224 ),10859445.459999999000,10859445.459999999000
FS( 225 ),10761480.880000001000,10761480.880000001000
FS( 226 ),10825994.139999997000,10825994.139999997000
FS( 227 ),10815241.930000002000,10815241.930000002000
FS( 228 ),10870197.670000000000,10870197.670000000000
FS( 229 ),10891702.090000000000,10891702.090000000000
FS( 230 ),10957410.039999999000,10957410.039999999000
FS( 231 ),11066126.830000000000,11066126.830000000000
FS( 232 ),11121082.570000000000,11121082.570000000000
FS( 233 ),11229799.359999999000,11229799.359999999000
FS( 234 ),11066126.830000000000,11066126.830000000000
FS( 235 ),10957410.039999999000,10957410.039999999000
FS( 236 ),11121082.570000000000,11121082.570000000000
FS( 237 ),11121082.570000000000,11121082.570000000000
FS( 238 ),11011171.090000000000,11011171.090000000000
FS( 239 ),11011171.090000000000,11011171.090000000000
FS( 240 ),11174843.619999999000,11174843.619999999000
FS( 241 ),11174843.619999999000,11174843.619999999000
FS( 242 ),11174843.619999999000,11174843.619999999000
FS( 243 ),11229799.359999999000,11229799.359999999000
FS( 244 ),11284755.100000001000,11284755.100000001000
FS( 245 ),11229799.359999999000,11229799.359999999000
