代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12266726.899000000000
真實報酬,2266726.899000000200

夏普值報酬,0.217972689900
夏普值風險,0.064759474405
夏普值,3.365881083835

預期報酬,9911.273799933806
風險,97538.494280351239
起點值,0.101613971725
找到最佳解世代,4280
找到最佳解實驗#,2
找到最佳解次數,32

投資組合檔數,14
1102(1),2227(11),2408(23),2801(28),2882(31),2884(33),2885(34),2886(35),2891(38),2892(39),2912(40),3008(41),3481(43),5880(46),
FS( 27 ),713863.033000000050,702796.468499999960,772840.557000000030,736345.037500000090,849580.721999999830,721555.978000000120,694729.688500000050,766216.941249999920,732881.435749999950,740537.073250000020,714631.582499999900,714285.000000000000,729289.127999999910,717822.874999999880,10307385.520250002000
FS( 28 ),723958.163499999910,705544.255499999970,772840.557000000030,749446.804499999970,852089.571000000000,737325.886000000170,712630.127000000090,774231.320000000070,743155.769749999740,751299.238999999940,718962.333749999870,714285.000000000000,732474.967999999990,730416.898749999930,10418670.893750001000
FS( 29 ),723958.163499999910,705544.255499999970,790223.296499999940,744767.602000000070,858182.489999999870,741268.363000000130,724975.257000000100,782594.150000000260,747008.644999999790,751299.238999999940,714631.582499999900,714285.000000000000,722917.447999999860,733154.729999999980,10454820.221999999000
FS( 30 ),725252.410999999960,701422.574999999840,819971.077499999900,742895.920999999970,858182.489999999870,737325.886000000170,718802.692000000160,782594.150000000260,743155.769749999740,748959.637749999990,701609.461499999980,714285.000000000000,726103.287999999940,733154.729999999980,10453725.089500001000
FS( 31 ),717745.775499999870,700018.814249999940,816387.007499999950,749446.804499999970,862483.373999999950,741268.363000000130,728061.539500000190,780851.893750000050,747008.644999999790,757850.122499999940,700145.966249999940,714285.000000000000,722917.447999999860,733154.729999999980,10471635.483749997000
FS( 32 ),721369.668500000030,701422.574999999840,826960.013999999850,742895.920999999970,845279.837999999870,731631.197000000040,724975.257000000100,771095.258750000040,741015.283499999900,751299.238999999940,707403.707999999980,714285.000000000000,726103.287999999940,728226.633749999920,10433972.881500000000
FS( 33 ),723958.163499999910,700018.814249999940,828572.845500000050,742895.920999999970,864992.222999999880,735573.674000000000,721888.974500000130,771095.258750000040,747008.644999999790,747087.956750000010,698712.338249999910,714285.000000000000,741395.319999999950,728226.633749999920,10465721.768250000000
FS( 34 ),711533.387500000070,702796.468499999960,846134.788499999910,744767.602000000070,868397.089499999890,731631.197000000040,724975.257000000100,782594.150000000260,747008.644999999790,744748.355500000060,694351.719749999930,714285.000000000000,741395.319999999950,720560.706249999930,10475189.686500002000
FS( 35 ),698849.761999999990,700018.814249999940,832156.915500000000,740556.319750000020,851193.553499999810,723746.243000000020,718802.692000000160,771095.258750000040,741015.283499999900,740537.073250000020,692918.091750000020,714285.000000000000,735660.807999999960,717822.874999999880,10378668.690250000000
FS( 36 ),701438.256999999980,697271.027250000160,832156.915500000000,744767.602000000070,851193.553499999810,725498.455000000190,718802.692000000160,767610.746249999970,738874.797250000060,738197.472000000070,692918.091750000020,714285.000000000000,744581.160000000030,717822.874999999880,10385428.644499999000
FS( 37 ),692637.374000000070,701422.574999999840,827676.827999999980,744767.602000000070,843487.802999999840,723746.243000000020,712630.127000000090,762732.428750000080,734593.824749999910,736325.791000000080,692918.091750000020,714285.000000000000,757324.520000000020,715085.043749999950,10359643.251999998000
FS( 38 ),682542.243499999980,700018.814249999940,845238.771000000070,736345.037500000090,813381.614999999870,719803.766000000060,707074.818500000170,757854.111250000190,728600.463250000030,729774.907499999970,692918.091750000020,714285.000000000000,754138.679999999930,712894.778750000170,10294881.098250000000
FS( 39 ),677624.103000000000,698644.920750000050,864413.545500000010,731665.834999999960,816786.481499999880,715861.288999999870,707074.818500000170,754369.598750000000,724747.587999999990,727435.306249999910,688587.340499999930,714285.000000000000,747767.000000000000,710156.947500000010,10279429.774249999000
FS( 40 ),678918.350499999940,700018.814249999940,850435.672499999870,740556.319750000020,834886.034999999800,721555.978000000120,710161.101000000140,757854.111250000190,728600.463250000030,733986.189750000140,690020.968499999840,714285.000000000000,744581.160000000030,715085.043749999950,10320955.207500000000
FS( 41 ),680212.598000000000,697271.027250000160,837353.816999999810,740556.319750000020,827180.284499999830,718051.554000000000,707074.818500000170,752975.793750000070,726459.976999999960,733986.189750000140,687123.845250000010,714285.000000000000,738846.647999999930,712894.778750000170,10274282.651500002000
FS( 42 ),683836.490999999920,700018.814249999940,851331.689999999940,744767.602000000070,845279.837999999870,723746.243000000020,715716.409500000180,757854.111250000190,730740.949500000100,742876.674500000080,692918.091750000020,714285.000000000000,747767.000000000000,720560.706249999930,10371709.620999999000
FS( 43 ),677624.103000000000,697271.027250000160,841654.700999999880,744767.602000000070,832377.185999999870,719803.766000000060,712630.127000000090,751233.537500000090,728600.463250000030,738197.472000000070,687123.845250000010,714285.000000000000,741395.319999999950,715085.043749999950,10302059.194000000000
FS( 44 ),681247.996000000040,700018.814249999940,842550.718499999960,751318.485500000070,837574.087499999790,727688.719999999860,724975.257000000100,757854.111250000190,732881.435749999950,744748.355500000060,695815.214999999850,714285.000000000000,744581.160000000030,720560.706249999930,10376110.062500002000
FS( 45 ),685130.738499999980,704170.361999999960,824271.961499999980,749446.804499999970,833990.017499999730,729440.932000000150,721888.974500000130,760990.172500000100,734593.824749999910,742876.674500000080,701609.461499999980,714285.000000000000,776439.559999999940,720560.706249999930,10399705.190000001000
FS( 46 ),681247.996000000040,705544.255499999970,831260.897999999930,744767.602000000070,832377.185999999870,729440.932000000150,721888.974500000130,772489.063750000090,738874.797250000060,747087.956750000010,688587.340499999930,714285.000000000000,779625.400000000020,720560.706249999930,10408048.108500002000
FS( 47 ),685130.738499999980,706918.148999999980,844342.753499999990,749446.804499999970,840978.953999999790,731631.197000000040,728061.539500000190,779109.637500000070,747008.644999999790,753638.840250000010,695815.214999999850,714285.000000000000,805112.120000000000,725488.802499999990,10506978.396249998000
FS( 48 ),685130.738499999980,706918.148999999980,850435.672499999870,751318.485500000070,846892.669499999840,733383.409000000100,728061.539500000190,780851.893750000050,747008.644999999790,753638.840250000010,684226.721999999950,714285.000000000000,830598.839999999970,725488.802499999990,10538249.407000000000
FS( 49 ),680212.598000000000,702796.468499999960,848643.637499999950,749446.804499999970,851193.553499999810,725498.455000000190,724975.257000000100,769353.002499999830,747008.644999999790,751299.238999999940,685690.217249999870,714285.000000000000,824227.160000000030,725488.802499999990,10500128.840249998000
FS( 50 ),677624.103000000000,701422.574999999840,833052.933000000080,751318.485500000070,854777.623499999870,723746.243000000020,728061.539500000190,777715.832500000020,747008.644999999790,753638.840250000010,688587.340499999930,714285.000000000000,821041.319999999950,728226.633749999920,10500517.114499997000
FS( 51 ),688754.631499999900,697271.027250000160,834665.764499999930,755997.687999999970,851193.553499999810,729440.932000000150,733616.848000000110,780851.893750000050,747008.644999999790,755510.521249999990,688587.340499999930,714285.000000000000,817855.479999999980,730416.898749999930,10525466.223999999000
FS( 52 ),702732.504499999920,701422.574999999840,822479.926499999940,766759.853750000130,846175.855499999830,735573.674000000000,751517.286500000050,787472.467500000030,747008.644999999790,757850.122499999940,701609.461499999980,714285.000000000000,824227.160000000030,733154.729999999980,10592279.262249999000
FS( 53 ),703767.902499999970,704170.361999999960,808681.256999999980,766759.853750000130,840978.953999999790,733383.409000000100,751517.286500000050,787472.467500000030,744868.158749999940,757850.122499999940,695815.214999999850,714285.000000000000,833784.679999999930,733154.729999999980,10576499.398499999000
FS( 54 ),695225.868999999950,700018.814249999940,811190.105999999910,764420.252500000060,821983.382999999680,725498.455000000190,742875.695500000260,777715.832500000020,734593.824749999910,753638.840250000010,690020.968499999840,714285.000000000000,821041.319999999950,728226.633749999920,10480744.994999997000
FS( 55 ),697555.514500000050,701422.574999999840,832156.915500000000,760208.970250000010,825388.249499999920,733383.409000000100,745961.978000000240,774231.320000000070,736734.310999999990,755510.521249999990,707403.707999999980,714285.000000000000,824227.160000000030,725488.802499999990,10533968.434500000000
FS( 56 ),686424.985999999920,704170.361999999960,835561.782000000010,760208.970250000010,816069.667499999750,733383.409000000100,745961.978000000240,767610.746249999970,734593.824749999910,753638.840250000010,694351.719749999930,714285.000000000000,845890.871999999970,725488.802499999990,10517650.960250000000
FS( 57 ),680212.598000000000,701422.574999999840,840758.683500000040,757869.369000000060,814277.632499999830,725498.455000000190,745961.978000000240,771095.258750000040,728600.463250000030,748959.637749999990,691454.596499999870,714285.000000000000,842705.031999999890,725488.802499999990,10488600.081750000000
FS( 58 ),677624.103000000000,698644.920750000050,833769.746999999970,760208.970250000010,819474.533999999870,731631.197000000040,736703.130500000090,767610.746249999970,728600.463250000030,748959.637749999990,685690.217249999870,714285.000000000000,839519.191999999920,728226.633749999920,10470958.492749998000
FS( 59 ),683836.490999999920,700018.814249999940,828572.845500000050,762548.571500000080,823775.417999999830,733383.409000000100,748431.004000000190,775973.576250000040,734593.824749999910,755510.521249999990,697248.842999999990,714285.000000000000,839519.191999999920,733154.729999999980,10530862.240500001000
FS( 60 ),691343.126500000010,704170.361999999960,837353.816999999810,760208.970250000010,825388.249499999920,731631.197000000040,748431.004000000190,767610.746249999970,738874.797250000060,755510.521249999990,703043.089500000120,714285.000000000000,845890.871999999970,733154.729999999980,10556906.482500000000
FS( 61 ),693931.621499999890,704170.361999999960,842550.718499999960,760208.970250000010,815173.649999999790,723746.243000000020,739789.413000000060,767610.746249999970,741015.283499999900,755510.521249999990,694351.719749999930,714285.000000000000,909607.671999999900,728226.633749999920,10590188.554749999000
FS( 62 ),697555.514500000050,701422.574999999840,814774.175999999860,764420.252500000060,810872.765999999830,723746.243000000020,739789.413000000060,764474.685000000060,741015.283499999900,757850.122499999940,697248.842999999990,714285.000000000000,893678.471999999950,730416.898749999930,10551560.244749999000
FS( 63 ),703767.902499999970,702796.468499999960,812086.123499999990,768631.534749999990,837574.087499999790,729440.932000000150,769417.725000000210,777715.832500000020,747008.644999999790,766272.687000000030,691454.596499999870,714285.000000000000,890492.631999999980,740820.657499999970,10651774.824250000000
FS( 64 ),706356.397499999850,705544.255499999970,812982.141000000060,775182.418249999990,833990.017499999730,729440.932000000150,769417.725000000210,780851.893750000050,753002.006500000130,772823.570500000030,695815.214999999850,714285.000000000000,868191.751999999980,748486.585000000080,10666379.909500003000
FS( 65 ),702732.504499999920,709665.935999999750,799900.285499999880,775182.418249999990,831481.168499999800,727688.719999999860,766331.442500000240,777715.832500000020,747008.644999999790,770951.889500000050,691454.596499999870,714285.000000000000,836333.351999999960,750676.849999999980,10601418.640749998000
FS( 66 ),711533.387500000070,717939.164250000030,802588.337999999990,775182.418249999990,828972.319499999870,729440.932000000150,769417.725000000210,772489.063750000090,759423.465250000120,772823.570500000030,690020.968499999840,714285.000000000000,855448.391999999880,750676.849999999980,10650251.594500000000
FS( 67 ),740265.681999999910,728960.179499999970,798108.250499999970,781733.301749999980,839186.918999999880,737325.886000000170,781762.855000000210,780851.893750000050,765416.826750000010,777034.852749999960,685690.217249999870,714285.000000000000,833784.679999999930,753414.681249999790,10717831.225500001000
FS( 68 ),740265.681999999910,734455.753499999990,821583.908999999990,784072.902999999930,838290.901499999800,741268.363000000130,778676.572500000130,787472.467500000030,773550.674499999960,779374.454000000030,682793.094000000040,714285.000000000000,792368.760000000010,753414.681249999790,10721883.215750000000
FS( 69 ),740265.681999999910,731707.966499999980,813878.158500000020,786412.504250000000,844383.820499999680,741268.363000000130,778676.572500000130,785730.211250000170,771410.188249999890,779374.454000000030,676998.847500000030,714285.000000000000,789182.919999999930,756152.512499999950,10709737.200749999000
FS( 70 ),749066.564999999940,735829.647000000000,813878.158500000020,794835.068749999980,849580.721999999830,749153.317000000160,784849.137500000190,797229.102500000040,771410.188249999890,783585.736249999960,681329.598749999890,714285.000000000000,801926.279999999910,763270.873750000030,10790239.395249998000
FS( 71 ),750101.962999999870,739981.194749999910,814774.175999999860,807936.835749999970,852089.571000000000,753095.794000000110,784849.137500000190,787472.467500000030,775691.160750000040,785925.337499999910,685690.217249999870,714285.000000000000,805112.120000000000,763270.873750000030,10820285.848749999000
FS( 72 ),747772.317500000120,745476.768749999930,809398.071000000110,806065.154750000100,855494.437499999880,745210.840000000080,784849.137500000190,777715.832500000020,775691.160750000040,783585.736249999960,681329.598749999890,714285.000000000000,795554.599999999980,761080.608750000010,10783519.264000000000
FS( 73 ),747772.317500000120,742728.981750000040,810294.088499999840,812616.038249999980,851193.553499999810,749153.317000000160,784849.137500000190,785730.211250000170,775691.160750000040,783585.736249999960,681329.598749999890,714285.000000000000,792368.760000000010,763270.873750000030,10794878.774749998000
FS( 74 ),762785.588499999950,737203.540499999890,794703.383999999960,810276.437000000030,851193.553499999810,743458.628000000140,778676.572500000130,787472.467500000030,771410.188249999890,783585.736249999960,687123.845250000010,714285.000000000000,782811.239999999870,758342.777500000080,10763338.958750000000
FS( 75 ),764079.835999999890,735829.647000000000,808681.256999999980,810276.437000000030,854777.623499999870,741268.363000000130,787318.163500000140,792350.784999999920,765416.826750000010,783585.736249999960,682793.094000000040,714285.000000000000,795554.599999999980,758342.777500000080,10794570.146499999000
FS( 76 ),770292.224000000050,734455.753499999990,806889.221999999950,807936.835749999970,847788.686999999920,741268.363000000130,784849.137500000190,795835.297500000100,765416.826750000010,783585.736249999960,678432.475500000060,714285.000000000000,801926.279999999910,761080.608750000010,10794052.447500002000
FS( 77 ),776504.611999999960,733081.859999999990,797212.233000000010,801385.952249999970,844383.820499999680,737325.886000000170,772504.007500000180,794093.041249999890,765416.826750000010,777034.852749999960,678432.475500000060,714285.000000000000,792368.760000000010,753414.681249999790,10737454.008749999000
FS( 78 ),782717.000000000000,733081.859999999990,793807.366499999890,803725.553500000040,838290.901499999800,739516.151000000070,784849.137500000190,787472.467500000030,761135.854250000090,785925.337499999910,679895.970750000090,714285.000000000000,801926.279999999910,750676.849999999980,10757315.729999999000
FS( 79 ),787635.140499999980,733081.859999999990,785922.412499999980,799514.271250000110,831481.168499999800,739516.151000000070,772504.007500000180,792350.784999999920,763276.340500000170,785925.337499999910,674101.724249999970,714285.000000000000,782811.239999999870,750676.849999999980,10713092.288500000000
FS( 80 ),794106.377999999910,731707.966499999980,791119.313999999900,803725.553500000040,846892.669499999840,727688.719999999860,781762.855000000210,785730.211250000170,769269.701999999820,788264.938749999860,678432.475500000060,714285.000000000000,792368.760000000010,756152.512499999950,10761517.056499999000
FS( 81 ),794106.377999999910,727586.285999999850,804201.169499999960,801385.952249999970,840978.953999999790,718051.554000000000,775590.290000000150,780851.893750000050,767557.313000000080,788264.938749999860,675535.352249999880,714285.000000000000,785997.079999999960,756152.512499999950,10730554.673999999000
FS( 82 ),791517.883000000030,722060.844749999930,812086.123499999990,801385.952249999970,851193.553499999810,718051.554000000000,778676.572500000130,789214.723750000000,769269.701999999820,788264.938749999860,675535.352249999880,714285.000000000000,785997.079999999960,756152.512499999950,10753701.792749999000
FS( 83 ),796436.023499999890,723434.738250000050,812982.141000000060,797174.670000000040,851193.553499999810,725498.455000000190,775590.290000000150,790608.528750000060,769269.701999999820,788264.938749999860,678432.475500000060,714285.000000000000,798740.439999999940,758342.777500000080,10780263.733749999000
FS( 84 ),795400.625499999970,723434.738250000050,812982.141000000060,799514.271250000110,865888.240499999840,727688.719999999860,775590.290000000150,787472.467500000030,771410.188249999890,788264.938749999860,678432.475500000060,714285.000000000000,798740.439999999940,756152.512499999950,10795267.048999999000
FS( 85 ),792812.130499999970,717939.164250000030,812086.123499999990,790623.786499999930,864096.205499999810,725498.455000000190,769417.725000000210,780851.893750000050,771410.188249999890,792476.221000000020,675535.352249999880,714285.000000000000,785997.079999999960,756152.512499999950,10749191.838000000000
FS( 86 ),767703.729000000050,717939.164250000030,774632.591999999830,792963.387749999990,868397.089499999890,721555.978000000120,772504.007500000180,785730.211250000170,775691.160750000040,790136.619749999950,672668.096249999940,714285.000000000000,776439.559999999940,753414.681249999790,10684071.277250001000
FS( 87 ),785305.495000000000,717939.164250000030,778933.475999999910,797174.670000000040,882195.758999999850,721555.978000000120,778676.572500000130,782594.150000000260,779544.035999999850,796687.503250000070,697248.842999999990,714285.000000000000,766882.039999999920,758342.777500000080,10757375.464499999000
FS( 88 ),785305.495000000000,726212.392499999960,787714.447499999890,797174.670000000040,885600.625499999850,727688.719999999860,802749.576000000120,783987.955000000190,773550.674499999960,805110.067750000160,713168.087249999870,714285.000000000000,779625.400000000020,758342.777500000080,10840525.888499999000
FS( 89 ),776504.611999999960,722060.844749999930,776424.626999999980,797174.670000000040,889184.695499999680,723746.243000000020,793490.728500000080,785730.211250000170,783825.008500000000,805110.067750000160,714631.582499999900,714285.000000000000,779625.400000000020,761080.608750000010,10822884.299500002000
FS( 90 ),792812.130499999970,723434.738250000050,793807.366499999890,799514.271250000110,885600.625499999850,723746.243000000020,793490.728500000080,789214.723750000000,785537.397500000200,809789.270249999940,731984.454749999920,714285.000000000000,789182.919999999930,763270.873750000030,10895680.743500000000
FS( 91 ),791517.883000000030,723434.738250000050,809398.071000000110,801385.952249999970,885600.625499999850,727688.719999999860,802749.576000000120,795835.297500000100,791958.856249999950,803238.386749999950,727653.703499999950,714285.000000000000,789182.919999999930,763270.873750000030,10927210.603750000000
FS( 92 ),791517.883000000030,727586.285999999850,823375.943999999900,806065.154750000100,887392.660499999880,725498.455000000190,796577.011000000170,798971.358750000010,789818.369999999880,800898.785499999880,736345.073249999780,714285.000000000000,789182.919999999930,761080.608750000010,10948605.510500001000
FS( 93 ),797730.271000000070,722060.844749999930,826063.996500000010,810276.437000000030,878790.892499999730,729440.932000000150,796577.011000000170,802107.420000000040,789818.369999999880,803238.386749999950,749367.194250000060,714285.000000000000,792368.760000000010,763270.873750000030,10975406.389499998000
FS( 94 ),800318.765999999830,723434.738250000050,822479.926499999940,807936.835749999970,870189.124499999920,731631.197000000040,790404.446000000110,798971.358750000010,783825.008500000000,799027.104500000020,737778.701249999930,714285.000000000000,782811.239999999870,763270.873750000030,10926374.320749998000
FS( 95 ),792812.130499999970,719313.057749999920,828572.845500000050,806065.154750000100,878790.892499999730,729440.932000000150,793490.728500000080,795835.297500000100,787677.883750000040,803238.386749999950,736345.073249999780,714285.000000000000,782811.239999999870,763270.873750000030,10931959.496500000000
FS( 96 ),779093.106999999960,726212.392499999960,852944.521499999920,807936.835749999970,871981.159499999830,725498.455000000190,793490.728500000080,794093.041249999890,787677.883750000040,799027.104500000020,742139.319749999910,714285.000000000000,770067.879999999890,763270.873750000030,10927728.302750001000
FS( 97 ),777798.859500000020,724808.631750000060,828572.845500000050,810276.437000000030,868397.089499999890,723746.243000000020,787318.163500000140,792350.784999999920,781684.522250000150,800898.785499999880,739242.196499999960,714285.000000000000,770067.879999999890,763270.873750000030,10882728.312749999000
FS( 98 ),788929.387999999920,737203.540499999890,832156.915500000000,810276.437000000030,863379.391499999790,725498.455000000190,778676.572500000130,794093.041249999890,773550.674499999960,800898.785499999880,745006.575749999960,714285.000000000000,776439.559999999940,770936.801249999900,10911341.138250001000
FS( 99 ),772621.869499999910,737203.540499999890,830364.880499999970,812616.038249999980,861587.356499999880,725498.455000000190,778676.572500000130,808727.993750000260,777403.549750000010,805110.067750000160,746470.070999999880,714285.000000000000,827413.000000000000,778602.728750000010,10976591.123749999000
FS( 100 ),772621.869499999910,737203.540499999890,849539.655000000140,812616.038249999980,851193.553499999810,727688.719999999860,781762.855000000210,813954.762500000070,777403.549750000010,805110.067750000160,747903.698999999910,714285.000000000000,801926.279999999910,776412.463749999880,10969632.054499999000
FS( 101 ),787635.140499999980,741355.088250000030,844342.753499999990,810276.437000000030,846175.855499999830,731631.197000000040,772504.007500000180,807334.188750000090,777403.549750000010,800898.785499999880,750800.822249999970,714285.000000000000,805112.120000000000,773674.632499999950,10963439.578000000000
