代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12866438.483250001000
真實報酬,2866438.483250001400

夏普值報酬,0.277943848325
夏普值風險,0.076569078481
夏普值,3.629975100097

預期報酬,11733.674723739314
風險,255753.474140332140
起點值,0.045878847836
找到最佳解世代,3057
找到最佳解實驗#,2
找到最佳解次數,31

投資組合檔數,4
1326(5),2912(40),3045(41),8046(47),
Stock#,1326(5),2912(40),3045(41),8046(47),
張數,62,41,68,27,
FS( 86 ),2990538.389000000000,2459319.615499999400,2971607.573999999600,2701641.433750000300,11123107.012249999000
FS( 87 ),2973872.463500000100,2459319.615499999400,2995302.258999999100,2723145.853750000700,11151640.191750001000
FS( 88 ),2981896.798000000000,2472381.559500000000,2995302.258999999100,2712393.643750000300,11161974.260250000000
FS( 89 ),2960910.077000000000,2469116.073499999900,3010196.060999999800,2723145.853750000700,11163368.065250002000
FS( 90 ),2990538.389000000000,2478912.531500000000,3014934.998000000600,2885235.419500000300,11369621.338000001000
FS( 91 ),3189912.238500000000,2482178.017499999600,3000718.186999999900,2960769.694750000300,11633578.137750000000
FS( 92 ),3164604.721999999600,2491566.289750000000,2910001.392999999700,2906739.839500000700,11472912.244250000000
FS( 93 ),3092385.711499999700,2501362.747749999600,2910001.392999999700,3004047.340000000300,11507797.192249998000
FS( 94 ),3134976.409999999700,2504628.233749999700,2947912.889000000000,3111838.245250000200,11699355.777999999000
FS( 95 ),3092385.711499999700,2472381.559500000000,2971607.573999999600,3187372.520500000600,11723747.365499999000
FS( 96 ),3037449.882999999900,2469116.073499999900,2933696.077999999700,3111838.245250000200,11552100.279749999000
FS( 97 ),3033129.087499999900,2482178.017499999600,2952651.825999999900,3165868.100500000200,11633827.031500001000
FS( 98 ),3049795.012999999800,2462585.101499999900,2990563.322000000600,3068829.405250000300,11571772.841750000000
FS( 99 ),3020166.700999999900,2469116.073499999900,2990563.322000000600,3068829.405250000300,11548675.501750000000
FS( 100 ),3007204.314500000300,2456054.129499999800,3000718.186999999900,3004047.340000000300,11468023.971000001000
FS( 101 ),3007204.314500000300,2449523.157500000200,2976346.510999999900,2950017.484750000300,11383091.467750002000
FS( 102 ),3020166.700999999900,2440134.885249999400,3005457.123999999800,3068829.405250000300,11534588.115499999000
FS( 103 ),3011525.109999999400,2430338.427250000200,2971607.573999999600,2928513.064750000400,11341984.175999999000
FS( 104 ),2990538.389000000000,2423807.455249999600,2966868.637000000100,2874483.209500000300,11255697.690749999000
FS( 105 ),2947947.690499999600,2349109.463000000000,2928957.140999999800,2744919.079000000400,10970933.373500001000
FS( 106 ),2986217.593500000000,2371967.864999999800,2962129.699999999700,2928513.064750000400,11248828.223250000000
FS( 107 ),2960910.077000000000,2371967.864999999800,2914740.330000000100,2917492.049500000200,11165110.321500000000
FS( 108 ),2977576.002499999900,2388295.294999999900,2971607.573999999600,2993026.324750000100,11330505.196249999000
FS( 109 ),2922640.174000000100,2410745.511249999500,2924218.203999999900,2809701.144250000400,11067305.033499999000
FS( 110 ),2901653.452999999700,2436869.399249999800,2895784.581999999900,2755671.289000000300,10989978.723250000000
FS( 111 ),2897332.657500000200,2436869.399249999800,2928957.140999999800,2777175.709000000700,11040334.906750001000
FS( 112 ),2960910.077000000000,2427072.941249999700,2966868.637000000100,2787927.919000000200,11142779.574250000000
FS( 113 ),2922640.174000000100,2358905.921000000100,2928957.140999999800,2723145.853750000700,10933649.089750001000
FS( 114 ),2926960.969500000100,2375233.350999999800,2962129.699999999700,2690889.223750000800,10955213.244250000000
FS( 115 ),2884370.271000000200,2355640.435000000100,2895784.581999999900,2701641.433750000300,10837436.721750000000
FS( 116 ),2909677.787500000100,2355640.435000000100,2881567.771000000200,2734166.868999999900,10881052.862500001000
FS( 117 ),2922640.174000000100,2355640.435000000100,2881567.771000000200,2723145.853750000700,10882994.233750001000
FS( 118 ),2999179.980000000000,2459319.615499999400,2847718.220999999900,2755671.289000000300,11061889.105500000000
FS( 119 ),3092385.711499999700,2440134.885249999400,2871412.906000000000,2787927.919000000200,11191861.421749998000
FS( 120 ),3041153.421999999800,2462585.101499999900,2861935.032000000100,2798948.934250000400,11164622.489750000000
FS( 121 ),3075102.529499999700,2456054.129499999800,2871412.906000000000,2723145.853750000700,11125715.418749999000
FS( 122 ),3113372.432500000100,2449523.157500000200,2886306.707999999200,2787927.919000000200,11237130.216999998000
FS( 123 ),3122014.023499999700,2469116.073499999900,2900523.518999999900,2734166.868999999900,11225820.484999999000
FS( 124 ),3109051.636999999600,2472381.559500000000,2947912.889000000000,2798948.934250000400,11328295.019750001000
FS( 125 ),3122014.023499999700,2472381.559500000000,2905262.456000000200,2787927.919000000200,11287585.958000001000
FS( 126 ),3151642.335500000000,2475647.045500000500,2866673.969000000000,2712393.643750000300,11206356.993750002000
FS( 127 ),3176949.852000000000,2475647.045500000500,2900523.518999999900,2712393.643750000300,11265514.060250001000
FS( 128 ),3210898.959499999900,2475647.045500000500,2886306.707999999200,2841957.774250000200,11414810.487250000000
FS( 129 ),3210898.959499999900,2472381.559500000000,2910001.392999999700,2841957.774250000200,11435239.686249999000
FS( 130 ),3189912.238500000000,2433603.913250000200,2905262.456000000200,2766423.499000000300,11295202.106750000000
FS( 131 ),3185591.442999999500,2472381.559500000000,2881567.771000000200,2766423.499000000300,11305964.272499999000
FS( 132 ),3181270.647499999500,2475647.045500000500,2895784.581999999900,2787927.919000000200,11340630.194000000000
