代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12765331.417750001000
真實報酬,2765331.417750001000

夏普值報酬,0.267833141775
夏普值風險,0.073738208545
夏普值,3.632216554474

預期報酬,11438.927549633994
風險,148797.059166277900
起點值,0.076876032455
找到最佳解世代,4446
找到最佳解實驗#,2
找到最佳解次數,24

投資組合檔數,7
2325(18),2412(26),2474(28),2882(33),2891(38),2912(40),3008(41),
Stock#,2325(18),2412(26),2474(28),2882(33),2891(38),2912(40),3008(41),
張數,57,19,12,50,126,9,1,
FS( 39 ),1544021.593000000100,1445699.704250000000,1512883.468000000100,1440266.174999999800,1423997.672499999600,1565207.580250000100,1349202.998000000100,10281282.191000000000
FS( 40 ),1552533.759250000100,1451563.640999999800,1533432.136000000400,1451217.500000000000,1431524.219499999700,1557412.228000000100,1396383.297250000100,10374069.781000001000
FS( 41 ),1533239.515750000500,1441349.041500000100,1569511.774000000000,1480586.962499999900,1440305.190999999900,1557412.228000000100,1413955.196000000000,10436362.908750001000
FS( 42 ),1511107.883500000500,1458940.851749999900,1584923.274999999900,1506471.912499999900,1455358.284999999700,1569060.455500000200,1419510.504500000000,10505376.167749999000
FS( 43 ),1530969.604750000200,1461967.399749999900,1584923.274999999900,1511947.575000000000,1460375.982999999800,1623627.921250000400,1417658.735000000100,10591473.493750000000
FS( 44 ),1544021.593000000100,1460454.125749999700,1677392.281000000000,1479093.599999999900,1464139.256499999700,1608037.216750000100,1447257.179750000100,10680398.252749998000
FS( 45 ),1522457.438500000200,1460454.125749999700,1605471.943000000200,1473617.937500000000,1460375.982999999800,1619685.444250000200,1445405.410250000000,10587471.282250000000
FS( 46 ),1524159.871750000200,1469344.610500000000,1641432.112000000000,1482578.112499999800,1467902.529999999300,1627480.796500000400,1447257.179750000100,10660158.213000000000
FS( 47 ),1554803.670250000200,1473884.432500000100,1646569.279000000100,1482578.112499999800,1460375.982999999800,1611890.092000000200,1454664.257750000100,10684768.827000001000
FS( 48 ),1533239.515750000500,1473884.432500000100,1677392.281000000000,1495520.587499999900,1464139.256499999700,1650866.853250000200,1450034.834000000000,10745080.760500003000
FS( 49 ),1546291.504000000000,1472371.158500000100,1682529.448000000100,1495520.587499999900,1467902.529999999300,1615832.569000000100,1433388.820000000100,10713839.617000001000
FS( 50 ),1557073.581250000300,1473884.432500000100,1651706.446000000200,1486062.625000000000,1455358.284999999700,1608037.216750000100,1454664.257750000100,10686789.844250001000
FS( 51 ),1554803.670250000200,1491476.242750000000,1667117.947000000200,1524890.049999999800,1464139.256499999700,1623627.921250000400,1501844.557000000000,10827902.644750001000
FS( 52 ),1567855.658500000400,1496016.064750000100,1692803.782000000100,1539325.887500000000,1487973.321999999700,1666457.557750000200,1553644.324250000100,11004079.596750000000
FS( 53 ),1554803.670250000200,1496016.064750000100,1708334.752000000100,1513938.724999999900,1491736.595499999800,1643071.500999999900,1546247.202000000000,10954151.510499999000
FS( 54 ),1557073.581250000300,1496016.064750000100,1697940.949000000000,1561726.325000000000,1504280.840499999700,1627480.796500000400,1542543.663000000200,10987065.220000003000
FS( 55 ),1578637.735750000000,1504906.549500000000,1697940.949000000000,1524890.049999999800,1508044.113999999600,1643071.500999999900,1575845.646750000100,11033339.545999998000
FS( 56 ),1610983.967500000000,1506419.823499999900,1667117.947000000200,1524890.049999999800,1511807.387499999700,1643071.500999999900,1559199.632750000100,11023493.309250001000
FS( 57 ),1576367.824750000100,1497529.338750000100,1641432.112000000000,1482578.112499999800,1487973.321999999700,1584651.160000000100,1528665.347500000100,10799200.217500001000
FS( 58 ),1541751.682000000300,1481261.643250000000,1661980.780000000000,1488053.774999999900,1484210.048499999800,1553469.750999999900,1551792.554750000100,10762523.234499998000
FS( 59 ),1550263.848250000000,1488638.854000000100,1687666.615000000200,1479093.599999999900,1500517.566999999300,1592446.512250000100,1561967.331250000000,10860597.327750001000
FS( 60 ),1547993.937250000000,1488638.854000000100,1687666.615000000200,1477102.450000000000,1487973.321999999700,1576855.807750000200,1593427.501250000200,10859661.487250000000
FS( 61 ),1546291.504000000000,1490152.128000000000,1728883.419999999900,1486062.625000000000,1524351.632499999800,1580798.284750000300,1584168.653750000100,10940711.248000000000
FS( 62 ),1550263.848250000000,1467831.336500000000,1728883.419999999900,1466151.125000000000,1516825.085499999800,1573002.932500000100,1576771.531500000000,10879732.279250000000
FS( 63 ),1535509.426750000300,1466507.221750000000,1769980.755999999800,1455199.799999999800,1540659.150999999600,1580798.284750000300,1568448.524500000100,10917106.164749999000
FS( 64 ),1533239.515750000500,1458940.851749999900,1723746.253000000300,1438275.024999999900,1516825.085499999800,1557412.228000000100,1555496.093750000000,10783938.052750001000
FS( 65 ),1524159.871750000200,1457616.737000000000,1692803.782000000100,1427323.700000000000,1508044.113999999600,1565207.580250000100,1584168.653750000100,10759327.438750001000
FS( 66 ),1528699.693750000100,1451563.640999999800,1656843.612999999900,1466151.125000000000,1496754.293499999700,1580798.284750000300,1585094.538500000000,10765908.189500000000
FS( 67 ),1500325.806250000100,1451563.640999999800,1667117.947000000200,1445741.837499999900,1467902.529999999300,1553469.750999999900,1576771.531500000000,10662896.044250000000
FS( 68 ),1537211.860000000300,1458940.851749999900,1620883.443999999900,1445741.837499999900,1467902.529999999300,1569060.455500000200,1564744.985500000000,10664488.964249998000
FS( 69 ),1552533.759250000100,1461967.399749999900,1646569.279000000100,1473617.937500000000,1504280.840499999700,1549616.875750000100,1625803.600250000100,10814392.692000000000
FS( 70 ),1554803.670250000200,1461967.399749999900,1631157.778000000200,1499005.099999999900,1516825.085499999800,1573002.932500000100,1593427.501250000200,10830192.467250001000
FS( 71 ),1537211.860000000300,1451563.640999999800,1636294.945000000100,1479093.599999999900,1487973.321999999700,1557412.228000000100,1548098.971500000000,10697651.567500001000
FS( 72 ),1530969.604750000200,1453076.914999999800,1667117.947000000200,1475111.299999999800,1511807.387499999700,1580798.284750000300,1573993.877249999900,10792878.316250000000
FS( 73 ),1565585.747500000300,1461967.399749999900,1677392.281000000000,1499005.099999999900,1511807.387499999700,1588593.637000000100,1593427.501250000200,10897782.054000000000
FS( 74 ),1620063.611500000100,1473884.432500000100,1703197.585000000400,1480586.962499999900,1516825.085499999800,1588593.637000000100,1579549.185750000200,10962703.499750001000
FS( 75 ),1624035.955750000200,1469344.610500000000,1687666.615000000200,1493529.437500000000,1508044.113999999600,1592446.512250000100,1580475.070500000100,10955545.315500000000
FS( 76 ),1602471.801250000500,1463480.673749999800,1651706.446000000200,1504480.762500000000,1480446.774999999700,1580798.284750000300,1570300.294000000000,10853688.037250001000
FS( 77 ),1584879.991000000200,1458940.851749999900,1615746.277000000200,1515432.087499999900,1467902.529999999300,1584651.160000000100,1521268.225250000100,10748824.122500001000
FS( 78 ),1600201.890250000400,1460454.125749999700,1595197.608999999900,1535841.375000000000,1451595.011500000000,1643071.500999999900,1537914.239250000100,10824278.751750000000
FS( 79 ),1576367.824750000100,1466507.221750000000,1512883.468000000100,1491538.287499999900,1431524.219499999700,1643071.500999999900,1520342.340499999900,10642237.862999998000
FS( 80 ),1620063.611500000100,1463480.673749999800,1600334.776000000100,1495520.587499999900,1440305.190999999900,1658662.205500000200,1519416.455750000200,10797786.500999998000
FS( 81 ),1641627.766000000100,1472371.158500000100,1615746.277000000200,1506471.912499999900,1460375.982999999800,1643071.500999999900,1530517.117000000100,10870184.715000000000
FS( 82 ),1650139.932250000300,1562600.120750000000,1636294.945000000100,1524890.049999999800,1491736.595499999800,1670400.034750000300,1556421.978500000200,11092486.656750001000
FS( 83 ),1706320.229499999900,1503393.275500000000,1677392.281000000000,1515432.087499999900,1496754.293499999700,1674252.910000000100,1578623.301000000000,11152171.377999999000
FS( 84 ),1678513.819750000300,1501880.001500000200,1626020.611000000500,1506471.912499999900,1487973.321999999700,1685990.739249999900,1571226.178750000000,11058079.584750000000
FS( 85 ),1654679.754250000200,1500366.727499999800,1564374.607000000100,1462168.825000000000,1455358.284999999700,1693786.091500000100,1549940.785250000000,10880678.075500000000
FS( 86 ),1633115.599750000100,1504906.549500000000,1523157.802000000100,1484569.262500000000,1440305.190999999900,1689843.614499999900,1516638.801500000100,10792539.820750000000
FS( 87 ),1654679.754250000200,1521174.245000000100,1595197.608999999900,1499005.099999999900,1455358.284999999700,1713229.671250000400,1542543.663000000200,10981191.327500001000
FS( 88 ),1617793.700500000300,1513797.034250000000,1538569.303000000100,1491538.287499999900,1451595.011500000000,1763854.660000000100,1519416.455750000200,10896567.452500001000
FS( 89 ),1663191.920500000500,1524011.633749999800,1528294.968999999800,1550775.000000000000,1496754.293499999700,1763854.660000000100,1527739.462749999900,11054624.939500000000
FS( 90 ),1628575.777750000400,1524011.633749999800,1538569.303000000100,1556250.662499999900,1524351.632499999800,1760001.784750000300,1547173.086750000200,11078936.881000001000
FS( 91 ),1670001.653500000200,1530064.729749999900,1554100.273000000000,1598562.599999999900,1551948.971499999800,1806773.898250000100,1584168.653750000100,11295623.779750001000
FS( 92 ),1645600.110249999900,1532902.118499999900,1569511.774000000000,1618474.099999999900,1540659.150999999600,1802831.421250000400,1565670.870250000200,11275652.545249999000
FS( 93 ),1578070.258000000400,1531578.003749999900,1554100.273000000000,1605531.625000000000,1548185.697999999600,1837955.307249999800,1571226.178750000000,11226650.343750000000
FS( 94 ),1591122.246250000300,1530064.729749999900,1559237.440000000200,1620465.250000000000,1548185.697999999600,1841808.182500000100,1577697.416250000200,11268583.962750001000
FS( 95 ),1532672.038000000200,1544819.151250000100,1564374.607000000100,1655310.375000000000,1587072.857499999700,1798978.546000000100,1561967.331250000000,11245197.906000001000
FS( 96 ),1512242.839000000400,1549548.132500000100,1523157.802000000100,1655310.375000000000,1587072.857499999700,1814569.250500000100,1530517.117000000100,11172421.373500003000
FS( 97 ),1475924.263000000300,1546332.425250000100,1420414.462000000100,1626936.487499999800,1594599.404499999500,1834012.830250000100,1470384.387000000100,10968607.259500001000
FS( 98 ),1489543.729000000100,1562032.642999999900,1430688.796000000100,1674226.299999999800,1615924.620999999600,1876842.466750000100,1475939.695500000100,11125201.251249999000
FS( 99 ),1521322.483000000500,1565248.350249999900,1430688.796000000100,1664768.337499999900,1653557.355999999700,1865194.239249999900,1477791.465000000100,11178574.026999999000
FS( 100 ),1521322.483000000500,1551061.406500000000,1425551.629000000000,1647843.562499999800,1657320.629499999300,1853546.011750000300,1491659.824750000100,11148308.547000000000
FS( 101 ),1512242.839000000400,1548034.858500000100,1451237.464000000200,1621460.825000000200,1624705.592499999300,1779445.364499999900,1533294.771250000000,11070424.714750001000
FS( 102 ),1519052.572000000400,1548034.858500000100,1451237.464000000200,1623451.974999999900,1649794.082499999800,1763854.660000000100,1593427.501250000200,11148856.113250000000
FS( 103 ),1532672.038000000200,1549548.132500000100,1430688.796000000100,1636394.450000000000,1644776.384499999700,1760001.784750000300,1625803.600250000100,11179888.186000001000
FS( 104 ),1580340.169000000000,1546332.425250000100,1456374.631000000100,1670244.000000000000,1657320.629499999300,1814569.250500000100,1662809.123000000100,11387993.228250001000
FS( 105 ),1595662.068250000200,1552763.839750000000,1368923.323000000100,1659292.674999999800,1653557.355999999700,1880784.943750000100,1630423.068250000000,11341410.274000000000
FS( 106 ),1557641.059000000400,1537063.622000000200,1430688.796000000100,1626936.487499999800,1653557.355999999700,1853546.011750000300,1635052.492000000100,11294488.824250001000
FS( 107 ),1566720.703000000200,1538576.896000000200,1425551.629000000000,1664768.337499999900,1657320.629499999300,1853546.011750000300,1625803.600250000100,11332290.807000000000
FS( 108 ),1548561.415000000300,1541792.603250000200,1461511.798000000200,1666759.487499999800,1644776.384499999700,1814569.250500000100,1648930.807500000100,11326904.746250000000
FS( 109 ),1534941.949000000000,1529308.092750000100,1512883.468000000100,1628927.637500000000,1612161.347499999700,1779445.364499999900,1630423.068250000000,11228093.927500000000
