代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13353851.322749998000
真實報酬,3353851.322749998400

夏普值報酬,0.326685132275
夏普值風險,0.075144796512
夏普值,4.347408569062

預期報酬,12521.176600303364
風險,142903.070057433330
起點值,0.087620067191
找到最佳解世代,4104
找到最佳解實驗#,4
找到最佳解次數,5

投資組合檔數,12
1301(3),1303(4),1326(5),2227(11),2317(16),2357(20),2408(23),2474(27),2801(28),2882(31),2885(34),2892(39),
Stock#,1301(3),1303(4),1326(5),2227(11),2317(16),2357(20),2408(23),2474(27),2801(28),2882(31),2885(34),2892(39),
張數,11,15,11,4,12,3,23,3,57,24,85,58,
FS( 29 ),877790.049999999930,892007.123749999910,893614.891999999990,886430.102999999890,896227.420999999970,860741.084000000030,841444.064999999830,747506.119249999990,876780.266750000070,887148.350000000330,967277.912499999740,898411.537499999980,10525382.924749998000
FS( 30 ),877790.049999999930,893500.486249999840,896681.262999999920,889894.703999999910,863373.446000000000,853722.280250000070,841444.064999999830,757212.975500000060,873942.878000000030,895272.242000000090,983356.448749999860,895524.370000000110,10521719.208749998000
FS( 31 ),877790.049999999930,896337.875000000000,896681.262999999920,891607.092999999880,873289.373000000020,860741.084000000030,853580.124249999990,773878.901000000070,873942.878000000030,892882.862000000310,979125.254999999770,885130.567000000040,10554991.325249998000
FS( 32 ),875709.298249999760,884988.319999999950,893614.891999999990,889894.703999999910,863373.446000000000,856529.801750000100,857014.857999999890,772505.007500000070,871672.966999999950,891688.172000000140,974894.061249999800,890327.468500000080,10522216.996249998000
FS( 33 ),872642.927249999830,882300.267499999840,886387.017499999960,889894.703999999910,851426.545999999970,860741.084000000030,844649.816499999960,771101.246750000050,881887.566499999960,899812.064000000250,967277.912499999740,893214.636000000060,10501339.788499998000
FS( 34 ),876804.430749999940,879462.878749999920,885291.885000000010,891607.092999999880,858355.748000000020,869163.648499999890,843504.905250000190,790544.826500000080,879617.655499999990,897422.684000000120,974894.061249999800,890327.468500000080,10537001.285000000000
FS( 35 ),858077.664999999800,868113.323749999980,876092.772000000000,891607.092999999880,854413.271000000070,874778.691499999960,843504.905250000190,782211.863750000020,865998.189499999980,884758.970000000200,942736.988749999900,882243.399500000290,10424541.133000001000
FS( 36 ),858077.664999999800,868113.323749999980,869850.516749999950,886430.102999999890,855369.023000000040,870567.409249999790,844649.816499999960,783615.624499999920,858053.501000000160,873289.946000000230,954584.331249999930,874159.330500000160,10396764.590500001000
FS( 37 ),870562.175499999900,872444.074999999950,884306.265750000020,886430.102999999890,859430.968999999810,876182.452250000090,846939.639000000080,784989.518000000040,873942.878000000030,891688.172000000140,954584.331249999930,879356.232000000080,10480860.810750002000
FS( 38 ),865305.539500000070,868113.323749999980,878064.010499999970,896823.905999999960,868391.143999999740,870567.409249999790,840299.153750000060,797503.895750000030,868835.578250000140,891688.172000000140,942736.988749999900,874159.330500000160,10462492.452000000000
FS( 39 ),867386.291249999890,880806.904999999910,874012.020250000060,896823.905999999960,886311.493999999830,884575.149500000060,843504.905250000190,803059.204249999840,879617.655499999990,913431.530000000260,963046.718749999880,887440.301000000090,10580020.080750002000
FS( 40 ),869467.042999999950,883644.293749999950,874012.020250000060,902319.479999999980,886311.493999999830,887382.671000000090,863655.343250000030,793322.480749999990,876780.266750000070,928484.624000000190,963046.718749999880,887440.301000000090,10615870.736500001000
FS( 41 ),873628.546499999820,879462.878749999920,874997.639499999820,893120.367000000090,894315.916999999900,877586.213000000220,864800.254500000160,801655.443499999940,865998.189499999980,933024.446000000230,938505.794999999810,885130.567000000040,10582230.257250000000
FS( 42 ),870562.175499999900,876625.489999999990,872916.887749999880,894952.225000000090,891329.191999999920,881767.627999999790,870295.828500000060,807210.751999999980,868835.578250000140,957157.184000000120,946121.943749999740,887440.301000000090,10625219.185750000000
FS( 43 ),860158.416749999970,865275.934999999940,866784.145749999790,893120.367000000090,881293.795999999970,869163.648499999890,861365.520749999910,798877.789250000150,855783.590000000080,944493.470000000200,925812.213750000000,882243.399500000290,10504376.292250000000
FS( 44 ),846578.773749999820,858257.131249999980,846086.141499999910,887624.793000000060,875320.346000000020,873374.930750000060,850374.372749999980,793322.480749999990,865998.189499999980,927289.934000000120,913964.871249999970,877046.498000000140,10415242.462500000000
FS( 45 ),856982.532499999860,861094.520000000140,861637.022999999930,882129.219000000040,891329.191999999920,877586.213000000220,855869.946750000000,786393.278750000060,863728.278500000130,929679.314000000250,913964.871249999970,890327.468500000080,10470725.857250001000
FS( 46 ),864319.920250000080,873788.101249999950,867769.764999999780,883961.077000000050,902798.215999999900,881767.627999999790,867090.076999999930,801655.443499999940,871672.966999999950,942104.089999999970,934274.601249999950,890327.468500000080,10581533.354750000000
FS( 47 ),874723.679000000000,882300.267499999840,879159.143000000160,885792.935000000060,921196.441999999920,891593.953250000020,871440.739749999950,808614.512750000110,876780.266750000070,952617.362000000310,938505.794999999810,898411.537499999980,10681140.633500000000
FS( 48 ),878885.182499999880,890663.097499999920,897666.882250000020,893120.367000000090,917731.840999999900,885978.910249999960,879226.136249999980,837764.948749999980,876780.266750000070,960502.316000000220,942736.988749999900,906495.606499999990,10767556.543499999000
FS( 49 ),873628.546499999820,886481.682500000000,898762.014749999860,894952.225000000090,906262.816999999920,887382.671000000090,892507.106750000150,863868.925250000090,879617.655499999990,970776.650000000370,946121.943749999740,911692.508000000150,10812058.745999999000
FS( 50 ),855996.913249999870,869606.686249999910,886387.017499999960,894952.225000000090,897063.703999999910,884575.149500000060,890446.266499999910,865302.553250000000,871672.966999999950,952617.362000000310,921581.019999999900,908805.340500000050,10699011.204750001000
FS( 51 ),851835.409749999880,869606.686249999910,878064.010499999970,887624.793000000060,900528.304999999930,878989.973750000120,869150.917249999940,842125.567249999960,863728.278500000130,936369.577999999980,918196.064999999940,895524.370000000110,10591747.954250000000
