代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11941038.552500000000
真實報酬,1941038.552500000200

夏普值報酬,0.185403855250
夏普值風險,0.050201837641
夏普值,3.693168695888

預期報酬,7979.180693627194
風險,116687.139137442910
起點值,0.068380977995
找到最佳解世代,4232
找到最佳解實驗#,3
找到最佳解次數,13

投資組合檔數,8
2002(7),2354(20),2412(24),2881(30),2884(33),2912(40),3008(41),3045(42),
Stock#,2002(7),2354(20),2412(24),2881(30),2884(33),2912(40),3008(41),3045(42),
張數,56,22,16,35,104,7,0,17,
FS( 62 ),1213759.068000000000,1288099.110500000000,1305988.496000000000,1276278.927500000000,1309007.259999999800,1593797.902000000000,1250000.000000000000,1370077.111500000100,10607007.875499999000
FS( 63 ),1194245.798000000400,1269919.910999999800,1299457.524000000200,1277672.732499999900,1335927.608000000000,1634078.866500000000,1250000.000000000000,1371431.093500000000,10632733.533500001000
FS( 64 ),1213759.068000000000,1271891.149500000100,1305988.496000000000,1276278.927500000000,1315219.647999999800,1565852.111749999900,1250000.000000000000,1377016.269249999900,10576005.670000000000
FS( 65 ),1203723.672000000000,1269919.910999999800,1292767.260000000000,1268961.451249999900,1298653.280000000000,1565852.111749999900,1250000.000000000000,1372785.075500000000,10522662.761500001000
FS( 66 ),1206511.282000000100,1288099.110500000000,1286236.287999999900,1276278.927500000000,1315219.647999999800,1547244.814999999900,1250000.000000000000,1359245.255500000000,10528835.326500000000
FS( 67 ),1208741.369999999900,1282623.447999999900,1291492.924000000100,1273491.317499999900,1309007.259999999800,1556583.308500000000,1250000.000000000000,1357722.025750000000,10529661.653749999000
FS( 68 ),1203723.672000000000,1279119.024000000000,1299457.524000000200,1268961.451249999900,1309007.259999999800,1572054.544000000200,1250000.000000000000,1363307.201500000000,10545630.676750001000
FS( 69 ),1208741.369999999900,1288099.110500000000,1307262.832000000200,1283596.403749999800,1315219.647999999800,1575190.605250000000,1250000.000000000000,1372785.075500000000,10600895.045000000000
FS( 70 ),1208741.369999999900,1279119.024000000000,1305988.496000000000,1282202.598749999900,1315219.647999999800,1553447.247249999800,1250000.000000000000,1371431.093500000000,10566149.477499999000
FS( 71 ),1206511.282000000100,1286346.898499999900,1300731.860000000100,1282202.598749999900,1309007.259999999800,1522435.085999999900,1250000.000000000000,1370077.111500000100,10527312.096750000000
FS( 72 ),1213759.068000000000,1284594.686499999800,1302006.196000000000,1273491.317499999900,1301759.473999999900,1528637.518250000000,1250000.000000000000,1368723.129500000000,10522971.389749998000
FS( 73 ),1206511.282000000100,1280871.235999999800,1304714.160000000100,1277672.732499999900,1301759.473999999900,1537976.011749999800,1250000.000000000000,1371431.093500000000,10530935.989750000000
FS( 74 ),1206511.282000000100,1280871.235999999800,1302006.196000000000,1280808.793749999500,1309007.259999999800,1528637.518250000000,1250000.000000000000,1371431.093500000000,10529273.379499998000
FS( 75 ),1228254.640000000100,1290070.348999999900,1305988.496000000000,1282202.598749999900,1309007.259999999800,1559649.679500000100,1250000.000000000000,1381078.215249999900,10606251.238500001000
FS( 76 ),1237732.514000000200,1284594.686499999800,1311245.132000000200,1289520.074999999500,1312113.453999999700,1547244.814999999900,1250000.000000000000,1393433.301000000000,10625883.977499999000
FS( 77 ),1237732.514000000200,1290070.348999999900,1304714.160000000100,1282202.598749999900,1295547.085999999900,1565852.111749999900,1250000.000000000000,1385140.161249999900,10611258.980749998000
FS( 78 ),1230484.728000000100,1293574.772999999800,1304714.160000000100,1289868.526250000300,1288299.300000000000,1556583.308500000000,1250000.000000000000,1383786.179250000000,10597310.975000000000
FS( 79 ),1232714.815999999900,1297298.223499999800,1304714.160000000100,1295792.197500000000,1295547.085999999900,1575190.605250000000,1250000.000000000000,1386494.143250000000,10637751.231500000000
FS( 80 ),1218219.244000000200,1288099.110500000000,1300731.860000000100,1313911.662499999900,1285193.105999999900,1568988.173000000000,1250000.000000000000,1378370.251250000200,10603513.407250000000
FS( 81 ),1225467.030000000000,1335408.834500000100,1299457.524000000200,1312169.406249999800,1292440.892000000000,1559649.679500000100,1250000.000000000000,1374308.305250000200,10648901.671500001000
FS( 82 ),1215989.156000000000,1322705.297500000100,1305988.496000000000,1304851.930000000200,1292440.892000000000,1568988.173000000000,1250000.000000000000,1369907.863750000000,10630871.808249999000
FS( 83 ),1218219.244000000200,1328180.960000000200,1302006.196000000000,1322971.395000000000,1292440.892000000000,1578256.976250000100,1250000.000000000000,1358229.769000000100,10650305.432249999000
FS( 84 ),1221006.853999999800,1355559.272500000200,1300731.860000000100,1318441.528749999800,1292440.892000000000,1578256.976250000100,1250000.000000000000,1349598.133750000300,10666035.517250001000
