代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13030638.118749999000
真實報酬,3030638.118749998500

夏普值報酬,0.294363811875
夏普值風險,0.078213907657
夏普值,3.763573777259

預期報酬,12487.677100804744
風險,144870.500806260100
起點值,0.086198895091
找到最佳解世代,3504
找到最佳解實驗#,1
找到最佳解次數,43

投資組合檔數,10
1326(5),2317(16),2354(19),2408(23),2474(27),2882(31),2886(35),2892(39),3008(41),3481(43),
FS( 8 ),1021250.680749999900,965941.506250000210,962084.399999999910,1010145.251250000200,980397.969999999970,960477.812500000120,986102.860000000100,972397.568499999940,1000000.000000000000,968298.746000000040,9827096.795250000400
FS( 9 ),1006107.985000000000,979531.105000000100,976739.264000000080,1059515.815500000300,960048.417000000020,949426.930000000050,996616.132000000100,972397.568499999940,1000000.000000000000,936201.407999999940,9836584.625000000000
FS( 10 ),995624.580250000000,974603.008750000150,998721.560000000060,1062114.266249999900,976694.430999999980,949426.930000000050,990403.744000000060,976031.417250000060,1000000.000000000000,932059.816000000110,9855679.753499999600
FS( 11 ),1015426.567000000000,978336.415000000150,1032332.172000000000,1046523.561750000100,997083.807000000030,956296.397499999960,990403.744000000060,978938.496249999970,1000000.000000000000,931024.417999999950,9926365.578500000800
FS( 12 ),1031734.085500000000,979531.105000000100,1058615.352000000000,1028334.406500000000,1004490.885000000000,955101.707500000020,998527.636000000060,987659.733250000050,1000000.000000000000,921705.835999999890,9965700.746749999000
FS( 13 ),982811.529999999910,977141.725000000210,1052880.839999999900,1017940.603500000000,995212.126000000050,964360.555000000050,986102.860000000100,978938.496249999970,1000000.000000000000,920670.438000000080,9876059.173750001900
FS( 14 ),994459.757499999950,974603.008750000150,1051287.920000000200,1038728.209500000200,1035951.055000000100,963165.864999999990,990403.744000000060,978938.496249999970,1000000.000000000000,933095.214000000040,9960633.270000001400
FS( 15 ),992130.111999999960,1017014.503750000100,1068969.331999999900,1054318.914000000100,1119300.594000000000,1006473.377499999900,1009518.784000000100,981845.575250000110,1000000.000000000000,989006.706000000010,10238577.898499999000
FS( 16 ),1002613.516750000100,1004470.258750000200,1076137.471999999800,1047967.145499999900,1102654.580000000100,998409.220000000200,1000917.015999999900,984752.654249999910,1000000.000000000000,958980.164000000110,10176902.027249999000
FS( 17 ),1000283.871250000100,1029409.412500000200,1083464.904000000100,1030932.857250000100,1072986.444999999800,1019913.640000000000,1009518.784000000100,987659.733250000050,1000000.000000000000,968298.746000000040,10202468.393250000000
FS( 18 ),989800.466499999860,1025676.006250000200,1080597.648000000000,1033531.308000000000,1074858.126000000200,1014537.534999999900,1013819.668000000100,987659.733250000050,1000000.000000000000,973475.735999999920,10193956.227000000000
FS( 19 ),1002613.516750000100,1029409.412500000200,1086491.452000000000,1056917.364749999900,1091543.963000000000,1030964.522499999800,1013819.668000000100,997107.739999999990,1000000.000000000000,992112.899999999910,10300980.539500002000
FS( 20 ),1003778.339499999900,1043148.347500000100,1090792.335999999900,1079148.554500000100,1097079.359999999900,1042911.422500000100,1020032.056000000200,1005828.977000000000,1000000.000000000000,976581.930000000050,10359301.322999999000
FS( 21 ),1010767.276000000000,1050615.160000000100,1106880.828000000000,1054318.914000000100,1098951.041000000000,1033652.575000000000,1028633.824000000100,1009462.825750000100,1000000.000000000000,980723.522000000000,10374005.965750001000
FS( 22 ),1007272.807750000000,1056887.282500000200,1106880.828000000000,1050565.596250000200,1110061.657999999800,1041716.732499999900,1039147.096000000100,1018184.062750000200,1000000.000000000000,1011785.462000000100,10442501.525750000000
FS( 23 ),1011932.098749999900,1040609.631250000200,1096686.139999999900,1059515.815500000300,1087800.601000000000,1041716.732499999900,1045359.484000000200,1015276.983750000000,1000000.000000000000,989006.706000000010,10387904.192750001000
FS( 24 ),1008437.630500000100,1049420.470000000200,1106880.828000000000,1037573.342500000000,1100782.899000000200,1040223.370000000200,1043447.980000000000,1018184.062750000200,1000000.000000000000,984865.114000000060,10389815.696750002000
FS( 25 ),1008437.630500000100,1051809.850000000100,1105447.200000000000,1040171.793250000000,1097079.359999999900,1033652.575000000000,1041058.600000000200,1015276.983750000000,1000000.000000000000,981758.919999999930,10374692.912500001000
FS( 26 ),1009602.453249999900,1051809.850000000100,1105447.200000000000,1030932.857250000100,1078561.665000000000,1030964.522499999800,1041058.600000000200,1015276.983750000000,1000000.000000000000,990042.103999999930,10353696.235750001000
FS( 27 ),1037558.199250000100,1063010.068750000100,1114208.260000000000,1050565.596250000200,1095247.501999999900,1040223.370000000200,1053961.252000000100,1030539.148499999900,1000000.000000000000,990042.103999999930,10475355.500750002000
FS( 28 ),1027074.794500000100,1065548.785000000100,1115641.888000000000,1047967.145499999900,1095247.501999999900,1033652.575000000000,1064474.524000000200,1039260.385499999900,1000000.000000000000,982794.317999999970,10471661.917500000000
FS( 29 ),996789.402999999930,1031948.128750000100,1096686.139999999900,955289.068750000210,1095247.501999999900,1030964.522499999800,1047748.863999999900,1021091.141749999800,1000000.000000000000,950696.980000000100,10226461.750750000000
FS( 30 ),996789.402999999930,1048076.443750000200,1120102.064000000000,955289.068750000210,1111893.515999999800,1037535.317500000000,1052049.748000000100,1027632.069499999900,1000000.000000000000,958980.164000000110,10308347.794500001000
FS( 31 ),1013096.921500000100,1051809.850000000100,1130296.751999999900,964239.288000000060,1097079.359999999900,1041716.732499999900,1052049.748000000100,1027632.069499999900,1000000.000000000000,946555.388000000040,10324476.109500002000
FS( 32 ),989800.466499999860,1034337.508750000200,1112774.632000000000,957887.519500000050,1060043.970000000000,1009161.430000000100,1021943.560000000100,1018184.062750000200,1000000.000000000000,939307.601999999840,10143440.751500001000
FS( 33 ),987470.821000000000,1040609.631250000200,1092225.963999999900,983872.027000000000,1065579.367000000100,1022601.692500000000,1039147.096000000100,1027632.069499999900,1000000.000000000000,942413.795999999970,10201552.464249998000
FS( 34 ),997954.225750000100,1055543.256250000100,1102579.943999999900,1003504.766000000100,1084097.061999999900,1030964.522499999800,1049660.368000000000,1027632.069499999900,1000000.000000000000,966227.949999999840,10318164.163999999000
FS( 35 ),997954.225750000100,1058081.972500000100,1096686.139999999900,1024292.372000000200,1084097.061999999900,1039028.680000000100,1056350.632000000200,1039260.385499999900,1000000.000000000000,968298.746000000040,10364050.215750000000
FS( 36 ),1007272.807750000000,1068087.501250000200,1114208.260000000000,1015342.152750000100,1097079.359999999900,1039028.680000000100,1053961.252000000100,1039260.385499999900,1000000.000000000000,973475.735999999920,10407716.135250000000
FS( 37 ),1006107.985000000000,1085559.842500000000,1120102.064000000000,1011300.118250000200,1097079.359999999900,1032159.212500000000,1045359.484000000200,1036353.306500000200,1000000.000000000000,970369.542000000020,10404390.914750000000
FS( 38 ),979317.061750000110,1068087.501250000200,1084898.531999999900,1016497.019750000100,1065579.367000000100,998409.220000000200,1024332.940000000300,1012369.904750000000,1000000.000000000000,950696.980000000100,10200188.526500002000
FS( 39 ),983976.352750000080,1074359.623750000000,1082031.275999999800,1020539.054250000000,1048933.353000000100,1002590.635000000000,1009518.784000000100,1018184.062750000200,1000000.000000000000,964157.153999999860,10204290.295499999000
FS( 40 ),996789.402999999930,1080482.410000000100,1083464.904000000100,1023137.505000000000,1052636.892000000000,995422.495000000110,1034846.212000000200,1018184.062750000200,1000000.000000000000,974511.133999999960,10259475.017750001000
FS( 41 ),995624.580250000000,1080482.410000000100,1090792.335999999900,1038728.209500000200,1067451.048000000000,998409.220000000200,1043447.980000000000,1030539.148499999900,1000000.000000000000,1064590.760000000200,10410065.692250000000
FS( 42 ),996789.402999999930,1080482.410000000100,1120102.064000000000,1046523.561750000100,1060043.970000000000,1015433.552500000000,1045359.484000000200,1033446.227500000000,1000000.000000000000,1094617.301999999900,10492797.974749999000
FS( 43 ),1010767.276000000000,1083021.126250000200,1114208.260000000000,1029489.273500000100,1065579.367000000100,1016926.915000000000,1045359.484000000200,1033446.227500000000,1000000.000000000000,1089440.312000000200,10488238.241250003000
FS( 44 ),1010767.276000000000,1090487.938750000200,1114208.260000000000,1034974.891750000100,1065579.367000000100,1019913.640000000000,1049660.368000000000,1033446.227500000000,1000000.000000000000,1110148.272000000100,10529186.241000000000
FS( 45 ),1009602.453249999900,1086754.532500000200,1102579.943999999900,1034974.891750000100,1037822.736000000000,1015433.552500000000,1045359.484000000200,1036353.306500000200,1000000.000000000000,1115325.262000000100,10484206.162500001000
FS( 46 ),999895.596999999950,1068087.501250000200,1084898.531999999900,1017940.603500000000,998915.665000000040,989747.717500000030,1024332.940000000300,1027632.069499999900,1000000.000000000000,1085298.720000000000,10296749.345750002000
FS( 47 ),999895.596999999950,1075554.313750000200,1090792.335999999900,1017940.603500000000,993380.267999999920,989747.717500000030,1024332.940000000300,1023998.220750000000,1000000.000000000000,1104971.282000000100,10320613.278500000000
FS( 48 ),1016850.239250000000,1080482.410000000100,1100987.024000000000,1033531.308000000000,995212.126000000050,991241.079999999960,1034846.212000000200,1039260.385499999900,1000000.000000000000,1094617.301999999900,10387028.086749999000
FS( 49 ),1053477.443500000100,1090487.938750000200,1121535.692000000000,1037573.342500000000,1019305.041000000000,998409.220000000200,1034846.212000000200,1039260.385499999900,1000000.000000000000,1089440.312000000200,10484335.587250002000
FS( 50 ),1053477.443500000100,1093026.655000000000,1136190.555999999900,1056917.364749999900,1030415.657999999900,1018420.277500000100,1053961.252000000100,1048708.392249999800,1000000.000000000000,1094617.301999999900,10585734.900999999000
FS( 51 ),1053477.443500000100,1093026.655000000000,1136190.555999999900,1062114.266249999900,1030415.657999999900,1034249.919999999900,1058262.135999999900,1048708.392249999800,1000000.000000000000,1104971.282000000100,10621416.308999998000
FS( 52 ),1055936.513749999900,1105421.563750000000,1150845.419999999900,1068754.751500000000,1069282.906000000000,1058442.392500000100,1071164.788000000200,1057429.629250000000,1000000.000000000000,1104971.282000000100,10742249.246749999000
FS( 53 ),1062019.477000000000,1124088.595000000000,1163907.363999999800,1059515.815500000300,1084097.061999999900,1071285.309999999800,1071164.788000000200,1066877.635999999900,1000000.000000000000,1125679.242000000100,10828635.289500000000
FS( 54 ),1066937.617499999900,1126627.311250000000,1162473.736000000000,1066156.300750000200,1078561.665000000000,1081440.175000000300,1073076.292000000100,1069784.714999999900,1000000.000000000000,1187803.122000000200,10912860.934500000000
FS( 55 ),1068102.440250000200,1124088.595000000000,1150845.419999999900,1059515.815500000300,1065579.367000000100,1068597.257499999800,1073076.292000000100,1069784.714999999900,1000000.000000000000,1161918.172000000300,10841508.074250000000
FS( 56 ),1071726.333249999900,1141560.936250000000,1166933.912000000000,1107442.795999999900,1069282.906000000000,1072778.672500000100,1079766.556000000600,1069784.714999999900,1000000.000000000000,1212652.674000000100,10991929.501000002000
FS( 57 ),1070561.510500000100,1144099.652500000100,1163907.363999999800,1100224.877249999900,1063747.509000000100,1064117.169999999700,1073076.292000000100,1066877.635999999900,1000000.000000000000,1228183.644000000100,10974795.655250000000
FS( 58 ),1073020.580750000000,1144099.652500000100,1152279.048000000000,1101668.461000000400,1050765.211000000100,1055754.339999999900,1077377.176000000200,1069784.714999999900,1000000.000000000000,1197121.704000000100,10921870.888250001000
FS( 59 ),1073020.580750000000,1146489.032500000000,1158013.559999999800,1129673.985750000200,1034119.196999999900,1054260.977500000000,1075465.672000000300,1069784.714999999900,1000000.000000000000,1207475.684000000100,10948303.404500000000
FS( 60 ),1075479.651000000100,1161571.993750000100,1161040.108000000000,1112928.414249999900,1039654.594000000000,1048586.200000000000,1075465.672000000300,1069784.714999999900,1000000.000000000000,1223006.654000000100,10967518.002000000000
FS( 61 ),1081562.614250000100,1161571.993750000100,1169801.167999999800,1073662.936249999800,1011897.963000000000,1054260.977500000000,1075465.672000000300,1075598.872999999900,1000000.000000000000,1238537.624000000100,10942359.821750000000
FS( 62 ),1064478.547250000100,1147833.058750000100,1147818.872000000000,1076550.103750000000,1002619.204000000000,1039924.697500000100,1075465.672000000300,1082139.800749999700,1000000.000000000000,1217829.664000000100,10854659.620000001000
FS( 63 ),1068102.440250000200,1159033.277500000100,1153712.676000000000,1082035.722000000300,1013729.821000000000,1047092.837500000000,1075465.672000000300,1085046.879749999800,1000000.000000000000,1217829.664000000100,10902048.990000002000
FS( 64 ),1074185.403500000200,1155299.871250000100,1152279.048000000000,1068177.318000000000,1013729.821000000000,1041418.059999999800,1071164.788000000200,1082139.800749999700,1000000.000000000000,1223006.654000000100,10881400.764500000000
FS( 65 ),1074185.403500000200,1142755.626250000000,1158013.559999999800,1054030.197250000200,1010026.282000000000,1038431.334999999800,1073076.292000000100,1075598.872999999900,1000000.000000000000,1207475.684000000100,10833593.253000000000
FS( 66 ),1075479.651000000100,1149027.748750000000,1161040.108000000000,1056917.364749999900,993380.267999999920,1047092.837500000000,1075465.672000000300,1072691.794000000000,1000000.000000000000,1223006.654000000100,10854102.098000001000
FS( 67 ),1070561.510500000100,1154105.181250000100,1158013.559999999800,1073662.936249999800,989676.728999999930,1058442.392500000100,1090279.828000000400,1097401.965499999900,1000000.000000000000,1233360.634000000100,10925504.737000000000
FS( 68 ),1075479.651000000100,1173966.902500000100,1169801.167999999800,1052586.613500000200,997083.807000000030,1079946.812500000000,1096492.216000000200,1117751.518499999800,1000000.000000000000,1254068.594000000000,11017177.283000000000
FS( 69 ),1080268.366750000000,1172772.212500000100,1175694.971999999800,1039883.076500000100,985973.190000000060,1095776.454999999800,1109394.868000000200,1117751.518499999800,1000000.000000000000,1238537.624000000100,11016052.283250002000
FS( 70 ),1079103.544000000000,1173966.902500000100,1179995.855999999900,1060959.399250000200,971159.033999999990,1101451.232499999700,1113695.752000000100,1127926.294999999900,1000000.000000000000,1217829.664000000100,11026087.679250002000
FS( 71 ),1087645.577499999900,1167694.780000000000,1174102.051999999900,1045657.411500000000,956344.878000000030,1090101.677500000000,1117996.635999999900,1121385.367249999900,1000000.000000000000,1191944.714000000200,10952873.093750000000
FS( 72 ),1091269.470500000100,1126627.311250000000,1185889.659999999900,1045657.411500000000,969287.353000000000,1100256.542499999500,1117996.635999999900,1117751.518499999800,1000000.000000000000,1182626.132000000000,10937362.035249999000
FS( 73 ),1091269.470500000100,1139022.220000000000,1250243.628000000000,1060959.399250000200,991508.586999999940,1097269.817499999900,1102226.728000000400,1104669.662999999900,1000000.000000000000,1172272.152000000000,11009441.665250001000
FS( 74 ),1087645.577499999900,1126627.311250000000,1238456.020000000000,1065290.150500000200,989676.728999999930,1095776.454999999800,1102226.728000000400,1111210.590749999700,1000000.000000000000,1202298.693999999900,11019208.256000001000
FS( 75 ),1079103.544000000000,1111693.686250000000,1238456.020000000000,1049699.446000000000,987805.047999999950,1105931.319999999800,1106527.612000000200,1114844.439499999900,1000000.000000000000,1172272.152000000000,10966333.267750001000
FS( 76 ),1077809.296499999900,1120355.188750000000,1250243.628000000000,1048255.862250000100,1013729.821000000000,1102944.595000000000,1110828.496000000300,1111210.590749999700,1000000.000000000000,1182626.132000000000,11018003.610249998000
FS( 77 ),1066937.617499999900,1115427.092500000000,1255978.139999999900,1048255.862250000100,1002619.204000000000,1087114.952499999900,1085978.944000000100,1101035.814250000100,1000000.000000000000,1202298.693999999900,10965646.321000000000
FS( 78 ),1059560.406750000100,1116621.782500000000,1251677.255999999800,1049699.446000000000,1004490.885000000000,1072778.672500000100,1018598.428000000200,1090861.037749999900,1000000.000000000000,1197121.704000000100,10861409.618500000000
FS( 79 ),1076644.473750000100,1121699.215000000100,1248810.000000000000,1052586.613500000200,1006322.742999999900,1095776.454999999800,1016209.048000000100,1097401.965499999900,1000000.000000000000,1202298.693999999900,10917749.207750002000
FS( 80 ),1069267.263000000000,1132899.433750000100,1285287.867999999800,1044213.827750000200,1023008.580000000100,1095776.454999999800,991359.496000000160,1090861.037749999900,1000000.000000000000,1197121.704000000100,10929795.665250000000
FS( 81 ),1064478.547250000100,1155299.871250000100,1318898.480000000000,1048255.862250000100,1030415.657999999900,1122955.652499999900,1009518.784000000100,1107576.742000000100,1000000.000000000000,1217829.664000000100,11075229.261250000000
FS( 82 ),1064478.547250000100,1155299.871250000100,1321765.736000000000,1073662.936249999800,1017433.360000000000,1141772.019999999800,1007129.404000000000,1107576.742000000100,1000000.000000000000,1202298.693999999900,11091417.310750000000
FS( 83 ),1065643.370000000100,1165305.400000000100,1329093.167999999800,1075106.520000000000,1028543.977000000000,1147446.797500000100,1004740.024000000200,1104669.662999999900,1000000.000000000000,1177449.142000000200,11097998.061500002000
FS( 84 ),1063184.299750000000,1161571.993750000100,1324792.284000000000,1082035.722000000300,1035951.055000000100,1177612.720000000000,1002828.520000000000,1107576.742000000100,1000000.000000000000,1177449.142000000200,11133002.478500001000
FS( 85 ),1055936.513749999900,1149027.748750000000,1318898.480000000000,1070775.768750000500,1024840.438000000000,1161783.077499999900,987058.612000000200,1101035.814250000100,1000000.000000000000,1156741.182000000000,11026097.635000000000
FS( 86 ),1031475.235999999900,1141560.936250000000,1291181.671999999800,1056917.364749999900,1017433.360000000000,1140278.657500000000,971288.704000000030,1094494.886500000300,1000000.000000000000,1136033.222000000300,10880664.039000001000
FS( 87 ),1049853.550499999900,1161571.993750000100,1293252.467999999900,1063846.566750000000,1008194.424000000000,1143265.382499999800,977978.968000000110,1111210.590749999700,1000000.000000000000,1104971.282000000100,10914145.226249998000
FS( 88 ),1057101.336500000000,1175908.273749999900,1317783.436000000000,1077993.687500000500,1028543.977000000000,1158796.352499999800,1007129.404000000000,1111210.590749999700,1000000.000000000000,1151564.192000000000,11086031.250000000000
FS( 89 ),1070561.510500000100,1198906.056250000100,1352986.967999999900,1083479.305750000100,1037822.736000000000,1171937.942499999900,1011908.164000000100,1121385.367249999900,1000000.000000000000,1156741.182000000000,11205729.232249999000
FS( 90 ),1092434.293250000100,1194575.304999999900,1342155.112000000000,1093295.675249999900,1076689.984000000200,1181794.135000000000,1016209.048000000100,1131560.143750000000,1000000.000000000000,1146387.202000000000,11275100.898249999000
FS( 91 ),1093728.540749999900,1180239.025000000100,1342155.112000000000,1110041.246750000200,1111495.286000000100,1194637.052500000000,1031978.956000000400,1138101.071500000100,1000000.000000000000,1146387.202000000000,11348763.492500000000
FS( 92 ),1079103.544000000000,1168740.133750000000,1333075.467999999900,1107442.795999999900,1113406.790000000000,1171937.942499999900,1022899.312000000200,1134467.222750000000,1000000.000000000000,1130856.232000000100,11261929.441000000000
FS( 93 ),1069267.263000000000,1173070.885000000200,1310137.419999999900,1080592.138250000100,1082504.142000000000,1151628.212499999900,1011908.164000000100,1117751.518499999800,1000000.000000000000,1094617.301999999900,11091477.045249999000
FS( 94 ),1044935.410000000000,1165902.745000000100,1262668.404000000100,1107442.795999999900,1101818.296999999800,1150433.522500000000,1000439.140000000200,1121385.367249999900,1000000.000000000000,1073909.342000000200,11028935.023750002000
FS( 95 ),1048559.303000000000,1161571.993750000100,1250402.919999999900,1096182.842750000100,1103769.624000000100,1134603.879999999900,1007129.404000000000,1111210.590749999700,1000000.000000000000,1084263.322000000200,10997693.880250001000
FS( 96 ),1032769.483500000000,1164409.382499999800,1294845.388000000000,1108597.662999999900,1153986.427000000100,1138785.294999999700,998049.760000000130,1111210.590749999700,1000000.000000000000,1073909.342000000200,11076563.331750000000
FS( 97 ),1071726.333249999900,1207567.558750000100,1381978.112000000000,1128519.118750000400,1223517.385000000000,1164769.802500000000,1025288.692000000200,1138101.071500000100,1000000.000000000000,1099794.292000000100,11441262.365750000000
FS( 98 ),1066937.617499999900,1204580.833750000000,1386597.579999999800,1125631.951250000200,1200340.399000000200,1158796.352499999800,1027678.072000000200,1134467.222750000000,1000000.000000000000,1125679.242000000100,11430709.270750001000
FS( 99 ),1081562.614250000100,1201743.444999999800,1389624.128000000000,1118702.749250000100,1208066.061000000000,1173132.632499999800,1027678.072000000200,1138101.071500000100,1000000.000000000000,1136033.222000000300,11474643.995500000000
FS( 100 ),1090104.647750000000,1196068.667500000000,1389624.128000000000,1127075.535000000100,1190663.409999999900,1176119.357499999700,1018598.428000000200,1138101.071500000100,1000000.000000000000,1125679.242000000100,11452034.487250002000
FS( 101 ),1091269.470500000100,1198906.056250000100,1389624.128000000000,1135448.320750000000,1211928.892000000000,1177612.720000000000,1027678.072000000200,1141734.920249999700,1000000.000000000000,1125679.242000000100,11499881.821750002000
FS( 102 ),1083892.259750000200,1185913.802500000000,1375925.016000000100,1152193.892250000300,1175212.086000000100,1168951.217499999800,1013819.668000000100,1131560.143750000000,1000000.000000000000,1099794.292000000100,11387262.377750000000
FS( 103 ),1092434.293250000100,1198906.056250000100,1418774.564000000000,1155081.059750000200,1181026.243999999900,1179106.082499999800,1020987.808000000100,1138101.071500000100,1000000.000000000000,1104971.282000000100,11489388.461250000000
FS( 104 ),1079103.544000000000,1187407.165000000000,1421801.112000000000,1119857.616250000000,1163623.592999999900,1161783.077499999900,1007129.404000000000,1124292.446249999800,1000000.000000000000,1094617.301999999900,11359615.259999998000
FS( 105 ),1090104.647750000000,1190244.553750000000,1412562.176000000000,1125631.951250000200,1167486.424000000100,1160289.714999999900,1002828.520000000000,1124292.446249999800,1000000.000000000000,1125679.242000000100,11399119.675999999000
FS( 106 ),1090104.647750000000,1194575.304999999900,1440119.692000000000,1140933.939000000000,1192614.737000000000,1171937.942499999900,998049.760000000130,1138101.071500000100,1000000.000000000000,1120502.252000000100,11486939.346750000000
FS( 107 ),1087645.577499999900,1196068.667500000000,1447765.708000000100,1149306.724750000100,1173300.581999999900,1161783.077499999900,998049.760000000130,1134467.222750000000,1000000.000000000000,1120502.252000000100,11468889.572000001000
FS( 108 ),1087645.577499999900,1204580.833750000000,1446172.788000000200,1140933.939000000000,1136583.776000000100,1165964.492499999700,1002828.520000000000,1138101.071500000100,1000000.000000000000,1136033.222000000300,11458844.220249999000
FS( 109 ),1094893.363500000200,1201743.444999999800,1434066.596000000100,1139490.355250000000,1126946.609999999900,1163276.439999999900,998049.760000000130,1131560.143750000000,1000000.000000000000,1104971.282000000100,11394997.995500000000
FS( 110 ),1094893.363500000200,1217573.087500000100,1450792.255999999800,1145264.690250000200,1130809.441000000100,1158796.352499999800,996138.256000000170,1127926.294999999900,1000000.000000000000,1084263.322000000200,11406457.063750001000
FS( 111 ),1109518.360249999900,1224741.227500000000,1434066.596000000100,1148151.857750000000,1146260.765000000100,1177612.720000000000,998049.760000000130,1121385.367249999900,1000000.000000000000,1094617.301999999900,11454403.955750000000
FS( 112 ),1120519.464000000200,1227578.616250000000,1409535.628000000000,1145264.690250000200,1138535.103000000100,1157601.662500000100,988970.115999999920,1117751.518499999800,1000000.000000000000,1084263.322000000200,11390020.120500002000
FS( 113 ),1120519.464000000200,1219066.450000000400,1409535.628000000000,1121301.200000000400,1121132.452000000000,1150433.522500000000,988970.115999999920,1111210.590749999700,1000000.000000000000,1084263.322000000200,11326432.745250002000
FS( 114 ),1120519.464000000200,1229071.978750000200,1424827.659999999900,1124188.367499999700,1123083.779000000100,1157601.662500000100,987058.612000000200,1111210.590749999700,1000000.000000000000,1079086.331999999900,11356648.446500000000
FS( 115 ),1136309.283499999900,1231909.367499999900,1438526.771999999900,1125631.951250000200,1134672.271999999900,1173132.632499999800,996138.256000000170,1114844.439499999900,1000000.000000000000,1084263.322000000200,11435428.296249999000
FS( 116 ),1172936.487750000100,1236240.118750000100,1478349.771999999900,1140933.939000000000,1144309.438000000100,1176119.357499999700,998049.760000000130,1117751.518499999800,1000000.000000000000,1094617.301999999900,11559307.693499999000
FS( 117 ),1185102.414249999900,1252069.761250000000,1478349.771999999900,1153637.476000000000,1148172.268999999900,1171937.942499999900,998049.760000000130,1117751.518499999800,1000000.000000000000,1094617.301999999900,11599688.215499997000
FS( 118 ),1179019.451000000100,1263568.652500000100,1492048.884000000100,1150750.308500000000,1146260.765000000100,1167457.854999999500,1004740.024000000200,1114844.439499999900,1000000.000000000000,1125679.242000000100,11644369.621500002000
FS( 119 ),1179019.451000000100,1262075.290000000000,1469110.835999999900,1167784.596750000000,1130809.441000000100,1165964.492499999700,996138.256000000170,1114844.439499999900,1000000.000000000000,1136033.222000000300,11621780.024750000000
FS( 120 ),1191185.377499999900,1283729.046250000100,1467677.208000000100,1156524.643500000000,1150123.595999999900,1170444.579999999800,1004740.024000000200,1124292.446249999800,1000000.000000000000,1156741.182000000000,11705458.103499999000
FS( 121 ),1203351.304000000000,1282235.683750000100,1441712.612000000000,1176157.382500000100,1136583.776000000100,1173132.632499999800,998049.760000000130,1111210.590749999700,1000000.000000000000,1161918.172000000300,11684351.913500000000
FS( 122 ),1187561.484500000000,1279398.294999999900,1426420.579999999800,1166341.013000000000,1130809.441000000100,1177612.720000000000,991359.496000000160,1107576.742000000100,1000000.000000000000,1141210.212000000100,11608289.983500000000
FS( 123 ),1202186.481250000000,1270736.792500000000,1417181.643999999900,1157968.227250000000,1130809.441000000100,1181794.135000000000,988970.115999999920,1117751.518499999800,1000000.000000000000,1120502.252000000100,11587900.607500000000
FS( 124 ),1196103.518000000400,1277904.932500000100,1418774.564000000000,1167784.596750000000,1136583.776000000100,1186274.222499999900,987058.612000000200,1117751.518499999800,1000000.000000000000,1099794.292000000100,11588030.032250000000
FS( 125 ),1197268.340750000000,1267899.403750000100,1409535.628000000000,1160566.678000000100,1121132.452000000000,1181794.135000000000,984669.232000000190,1107576.742000000100,1000000.000000000000,1141210.212000000100,11571652.823499998000
