代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11020969.209999999031425
真實報酬,1020969.209999999031425

夏普值報酬,0.093396921000000
夏普值風險,0.030994836649865
夏普值,3.013305798480672

二次趨勢線,96.664946542211794 x^2 + 11393.914885828426122 x + 10000000.000000000000000
二次平均預期報酬,17580.471464529979130
風險,48316.183426565163245
二次平均趨勢值,0.363863000297824
一次趨勢線,15997.297536909445625 x + 10000000.000000000000000
一次預期報酬,15997.297536909445625
一次風險,65173.731033428979572
一次趨勢值,0.245456218068965
找到最佳解世代,1639
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CSCO[4](8),INTC[11](3),MCD[15](14),TRV[22](1),
FS( 37 ),2638528.000000000000000,2515390.400000000372529,2616188.799999999813735,2755358.880000000353903,10525466.080000000074506
FS( 38 ),2653679.500000000000000,2528857.000000000465661,2604697.599999999627471,2750915.280000000260770,10538149.379999998956919
FS( 39 ),2674242.250000000000000,2569256.800000000279397,2613890.559999999590218,2769578.399999999906868,10626968.009999999776483
FS( 40 ),2686147.000000000000000,2585609.100000000093132,2586822.399999999441206,2768689.680000000167638,10627268.179999999701977
FS( 41 ),2670995.500000000000000,2593304.300000000279397,2587843.839999999850988,2787649.040000000037253,10639792.679999999701977
FS( 42 ),2664502.000000000000000,2627932.700000000186265,2590142.079999999608845,2768393.440000000409782,10650970.219999998807907
FS( 43 ),2681818.000000000000000,2622161.300000000745058,2605463.679999999701977,2776095.680000000167638,10685538.660000000149012
FS( 44 ),2670995.500000000000000,2660637.300000000279397,2590652.799999999813735,2767208.479999999981374,10689494.080000000074506
FS( 45 ),2651515.000000000000000,2654865.900000000372529,2615933.439999999478459,2804534.720000000204891,10726849.060000000521541
FS( 46 ),2673160.000000000000000,2660637.300000000279397,2616188.799999999813735,2813421.919999999925494,10763408.019999999552965
FS( 47 ),2687229.250000000000000,2709694.200000000651926,2603676.159999999683350,2795351.280000000260770,10795950.890000000596046
FS( 48 ),2683982.500000000000000,2684684.800000000279397,2588865.279999999329448,2804238.479999999981374,10761771.060000000521541
FS( 49 ),2705627.500000000000000,2716427.500000000000000,2576097.279999999329448,2817273.040000000037253,10815425.320000000298023
FS( 50 ),2709956.500000000000000,2686608.600000000558794,2564350.719999999739230,2811348.240000000223517,10772264.060000000521541
FS( 51 ),2668831.000000000000000,2689494.300000000279397,2547496.959999999962747,2814310.640000000130385,10720132.900000000372529
FS( 52 ),2673160.000000000000000,2873217.200000000651926,2566138.239999999292195,2826456.479999999981374,10938971.919999999925494
FS( 53 ),2654761.750000000000000,2886683.800000000745058,2581715.199999999254942,2827937.680000000167638,10951098.429999999701977
FS( 54 ),2651515.000000000000000,2880912.400000000372529,2586056.319999999366701,2820827.919999999925494,10939311.640000000596046
FS( 55 ),2665584.250000000000000,2878988.600000000558794,2588099.199999999254942,2826160.240000000223517,10958832.289999999105930
FS( 56 ),2674242.250000000000000,2894379.000000000465661,2602399.359999999403954,2832085.040000000037253,11003105.649999998509884
FS( 57 ),2687229.250000000000000,2904959.900000000372529,2602654.719999999739230,2802164.800000000279397,10997008.669999999925494
FS( 58 ),2673160.000000000000000,2907845.600000000558794,2602399.359999999403954,2812829.440000000409782,10996234.400000000372529
FS( 59 ),2654761.750000000000000,2933816.900000000372529,2591163.519999999552965,2804534.720000000204891,10984276.890000000596046
FS( 60 ),2675324.500000000000000,2970369.100000000093132,2594738.559999999590218,2810163.280000000260770,11050595.439999999478459
FS( 61 ),2667748.750000000000000,2960750.100000000558794,2592184.959999999962747,2796832.479999999981374,11017516.290000000968575
FS( 62 ),2673160.000000000000000,2975178.600000000558794,2590908.159999999683350,2782316.720000000204891,11021563.480000000447035
FS( 63 ),2689393.750000000000000,2972292.900000000372529,2572522.239999999292195,2786760.319999999832362,11020969.209999999031425
