代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11251875.890000000596046
真實報酬,1251875.890000000596046

夏普值報酬,0.116487589000000
夏普值風險,0.036699056798943
夏普值,3.174130322699573

二次趨勢線,-214.938331313982729 x^2 + 34518.358916653181950 x + 10000000.000000000000000
二次平均預期報酬,20762.305712558289088
風險,60679.868270271217625
二次平均趨勢值,0.342161351110420
一次趨勢線,24282.555548251777509 x + 10000000.000000000000000
一次預期報酬,24282.555548251777509
一次風險,114634.037869838561164
一次趨勢值,0.211826748838974
找到最佳解世代,2377
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](5),HD[9](4),NKE[19](10),PG[21](1),WBA[27](11),WMT[28](19),
FS( 11 ),1707223.279999999795109,1594668.400000000139698,1740206.179999999934807,1779971.919999999925494,1713551.439999999944121,1756786.000000000000000,10292411.219999998807907
FS( 12 ),1705254.479999999748543,1600642.000000000000000,1775475.449999999953434,1765536.309999999823049,1728621.760000000009313,1750778.000000000000000,10326312.000000000000000
FS( 13 ),1727895.679999999934807,1602214.000000000232831,1787482.010000000009313,1768260.010000000009313,1932350.159999999916181,1719055.760000000009313,10537261.619999999180436
FS( 14 ),1699741.839999999850988,1594039.600000000093132,1746209.459999999962747,1763084.979999999981374,1931233.840000000083819,1736358.800000000046566,10470672.520000001415610
FS( 15 ),1698363.679999999934807,1602214.000000000232831,1741707.000000000000000,1753824.399999999906868,1893278.960000000195578,1726746.000000000000000,10416138.040000000968575
FS( 16 ),1690291.599999999627471,1608816.400000000139698,1743958.229999999748543,1743746.709999999962747,1903884.000000000000000,1733715.280000000027940,10424416.219999998807907
FS( 17 ),1617249.119999999878928,1605672.400000000139698,1754463.969999999739230,1743746.709999999962747,1934024.639999999897555,1732273.360000000102445,10387434.199999999254942
FS( 18 ),1617052.239999999757856,1663522.000000000000000,1812245.539999999804422,1758454.689999999944121,1951885.760000000009313,1770484.239999999990687,10573648.469999998807907
FS( 19 ),1645796.719999999972060,1688674.000000000232831,1820500.050000000046566,1772890.300000000046566,1993747.760000000009313,1790911.439999999944121,10712524.269999999552965
FS( 20 ),1673556.799999999813735,1674211.600000000093132,1797987.750000000000000,1773162.669999999925494,2024446.560000000055879,1801966.160000000149012,10745335.540000000968575
FS( 21 ),1717854.799999999813735,1640570.800000000046566,1751462.329999999841675,1757909.950000000186265,2029470.000000000000000,1788748.560000000288710,10686020.439999999478459
FS( 22 ),1706829.519999999785796,1624850.800000000046566,1744708.639999999897555,1743474.340000000083819,2024446.560000000055879,1769282.640000000130385,10613596.500000000000000
FS( 23 ),1709585.839999999850988,1615733.200000000186265,1736454.129999999888241,1729855.839999999850988,1995422.239999999990687,1779616.399999999906868,10566671.650000000372529
FS( 24 ),1731833.279999999795109,1644029.199999999953434,1773974.629999999888241,1784057.469999999972060,1998213.039999999804422,1791632.399999999906868,10723744.019999999552965
FS( 25 ),1751127.519999999785796,1634911.600000000093132,1791984.469999999739230,1792500.939999999944121,1997654.879999999888241,1785143.760000000009313,10753327.169999999925494
FS( 26 ),1746402.399999999906868,1647487.600000000093132,1803991.029999999795109,1803668.109999999869615,2011050.719999999972060,1778174.479999999981374,10790778.339999999850988
FS( 27 ),1743449.199999999720603,1659749.199999999953434,1799488.569999999832362,1817286.609999999869615,2022772.080000000074506,1785864.720000000204891,10828614.379999998956919
FS( 28 ),1746008.639999999897555,1671067.600000000093132,1783729.959999999962747,1817558.979999999981374,2014399.680000000167638,1774810.000000000000000,10807578.859999999403954
FS( 29 ),1748568.079999999841675,1668238.000000000232831,1773224.219999999739230,1818648.459999999962747,2018864.960000000195578,1770724.560000000288710,10798272.280000001192093
FS( 30 ),1771996.799999999813735,1660692.400000000139698,1797987.750000000000000,1810749.729999999981374,2007701.760000000009313,1763995.600000000093132,10813128.039999999105930
FS( 31 ),1776721.919999999692664,1720114.000000000232831,1780728.319999999832362,1817558.979999999981374,1993189.600000000093132,1778655.120000000111759,10866971.940000001341105
FS( 32 ),1774359.359999999869615,1729231.600000000093132,1767971.349999999860302,1815107.649999999906868,1984817.200000000186265,1789229.200000000186265,10860720.359999999403954
FS( 33 ),1789912.879999999655411,1770418.000000000232831,1778477.089999999850988,1824912.969999999972060,1982584.560000000055879,1733955.600000000093132,10880265.099999999627471
FS( 34 ),1822988.719999999972060,1783622.800000000046566,1806242.260000000009313,1824912.969999999972060,2000445.680000000167638,1730110.479999999981374,10968326.910000000149012
FS( 35 ),1870830.559999999823049,1778592.400000000139698,1796486.929999999934807,1818103.719999999972060,2011050.719999999972060,1737560.399999999906868,11012628.730000000447035
FS( 36 ),1845236.159999999683350,1770732.400000000139698,1797987.750000000000000,1818648.459999999962747,1989840.639999999897555,1716652.560000000288710,10939101.970000000670552
FS( 37 ),1881265.199999999720603,1780793.200000000186265,1796486.929999999934807,1820827.419999999925494,1984259.039999999804422,1724823.439999999944121,10988459.229999998584390
FS( 38 ),1863742.879999999655411,1777963.600000000093132,1790483.649999999906868,1816197.130000000121072,1990398.799999999813735,1719776.720000000204891,10958566.779999999329448
FS( 39 ),1865514.799999999813735,1790854.000000000232831,1817498.409999999916181,1825457.709999999962747,1989840.639999999897555,1732994.320000000065193,11022163.880000000819564
FS( 40 ),1900559.439999999944121,1781736.400000000139698,1809243.899999999906868,1827909.040000000037253,1987049.840000000083819,1742366.800000000046566,11048869.420000001788139
FS( 41 ),1898000.000000000000000,1777334.800000000046566,1855018.909999999916181,1824640.599999999860302,1975886.639999999897555,1740203.919999999925494,11071088.869999999180436
FS( 42 ),1894259.279999999795109,1787081.200000000186265,1851266.860000000102445,1821372.160000000149012,1970305.039999999804422,1748855.439999999944121,11073143.979999998584390
FS( 43 ),1867286.719999999972060,1780164.399999999906868,1834007.429999999934807,1821644.529999999795109,1965281.600000000093132,1736358.800000000046566,11004747.480000000447035
FS( 44 ),1871027.439999999944121,1784251.600000000093132,1826503.329999999841675,1830088.000000000000000,1995980.399999999906868,1744770.000000000000000,11052624.769999999552965
FS( 45 ),1898393.759999999776483,1785509.199999999953434,1825002.510000000009313,1835807.770000000018626,1992631.440000000176951,1766639.120000000111759,11103987.800000000745058
FS( 46 ),1885202.799999999813735,1777649.199999999953434,1826503.329999999841675,1832811.700000000186265,2002678.320000000065193,1767600.399999999906868,11092449.750000000000000
FS( 47 ),1902134.479999999748543,1812547.600000000093132,1866275.060000000055879,1858686.849999999860302,1964723.440000000176951,1797880.720000000204891,11202252.150000000372529
FS( 48 ),1913947.279999999795109,1800286.000000000000000,1862523.010000000009313,1866313.209999999962747,1950211.279999999795109,1774089.039999999804422,11167373.819999998435378
FS( 49 ),1864136.639999999897555,1801543.600000000093132,1876780.800000000046566,1866040.840000000083819,1961374.479999999981374,1766639.120000000111759,11136519.480000000447035
FS( 50 ),1858033.359999999869615,1783308.400000000139698,1870027.110000000102445,1859231.590000000083819,1959700.000000000000000,1779856.720000000204891,11110161.180000001564622
FS( 51 ),1883824.639999999897555,1793683.600000000093132,1891789.000000000000000,1854873.669999999925494,1973654.000000000000000,1780097.039999999804422,11177925.949999999254942
FS( 52 ),1921034.959999999729916,1832983.600000000093132,1861022.189999999944121,1876935.639999999897555,2010492.560000000055879,1805811.280000000027940,11308284.229999998584390
FS( 53 ),1944266.799999999813735,1869454.000000000232831,1812995.949999999953434,1883744.889999999897555,2010492.560000000055879,1790430.800000000046566,11311389.000000000000000
FS( 54 ),1968286.159999999683350,1852162.000000000000000,1837759.479999999748543,1886196.219999999972060,1992631.440000000176951,1778174.479999999981374,11315213.779999999329448
FS( 55 ),1974192.559999999823049,1850590.000000000000000,1833257.019999999785796,1885379.109999999869615,1990398.799999999813735,1777213.200000000186265,11311034.689999997615814
FS( 56 ),1974783.199999999720603,1869768.400000000139698,1832506.610000000102445,1886468.590000000083819,1998771.200000000186265,1787306.640000000130385,11349608.640000000596046
FS( 57 ),1965136.079999999841675,1863794.800000000046566,1814496.769999999785796,1894639.689999999944121,1984259.039999999804422,1796438.800000000046566,11318769.179999999701977
FS( 58 ),1969073.679999999934807,1868196.400000000139698,1810744.719999999739230,1890826.510000000009313,1959700.000000000000000,1789229.200000000186265,11287774.509999997913837
FS( 59 ),1942888.639999999897555,1867253.200000000186265,1788232.419999999692664,1900087.090000000083819,1990956.960000000195578,1796198.479999999981374,11285620.790000000968575
FS( 60 ),1894456.159999999683350,1877628.400000000139698,1783729.959999999962747,1895456.800000000046566,2013283.360000000102445,1784663.120000000111759,11249221.800000000745058
FS( 61 ),1871027.439999999944121,1860336.400000000139698,1791234.060000000055879,1887558.069999999832362,1999329.360000000102445,1782980.879999999888241,11192470.210000000894070
FS( 62 ),1916309.839999999850988,1882658.800000000279397,1800989.389999999897555,1887558.069999999832362,2042865.840000000083819,1777934.160000000149012,11308320.099999999627471
FS( 63 ),1876343.199999999720603,1898064.399999999906868,1780728.319999999832362,1889192.290000000037253,2033935.279999999795109,1773608.399999999906868,11251875.890000000596046
