代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12045096.930000001564622
真實報酬,2045096.930000001564622

夏普值報酬,0.195809693000000
夏普值風險,0.058561156419628
夏普值,3.343678727873777

二次趨勢線,148.754296955650574 x^2 + 24345.255622331114864 x + 10000000.000000000000000
二次平均預期報酬,33865.530627492749773
風險,145238.252544542250689
二次平均趨勢值,0.233172253412418
一次趨勢線,31429.239779715047916 x + 10000000.000000000000000
一次預期報酬,31429.239779715047916
一次風險,160077.225757635664195
一次趨勢值,0.196337983938455
找到最佳解世代,2797
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](4),MSFT[18](1),PFE[20](20),
FS( 43 ),4277740.200000000186265,3694112.979999999981374,3569215.350000000093132,11541069.529999999329448
FS( 44 ),4322814.180000000633299,3751078.240000000223517,3547771.500000000000000,11621664.920000001788139
FS( 45 ),4406523.000000000931323,3768340.439999999944121,3488205.250000000000000,11663069.690000001341105
FS( 46 ),4436572.320000000298023,3821853.260000000242144,3457230.799999999813735,11715657.379999998956919
FS( 47 ),4410815.760000000707805,3806317.280000000260770,3409577.799999999813735,11626711.839999999850988
FS( 48 ),4376473.680000000633299,3811495.939999999944121,3366690.100000000093132,11554660.720000000670552
FS( 49 ),4301350.379999999888241,3892628.280000000260770,3347628.899999999906868,11541608.560000000521541
FS( 50 ),4290618.480000000447035,3940962.439999999944121,3485822.600000000093132,11717404.519999999552965
FS( 51 ),4200470.520000000484288,4027273.439999999944121,3516797.049999999813735,11744542.010000001639128
FS( 52 ),4172567.580000000540167,4042809.420000000391155,3366690.100000000093132,11582068.100000001490116
FS( 53 ),4181153.100000000558794,4047988.080000000074506,3373838.049999999813735,11602980.230000000447035
FS( 54 ),4157542.920000000391155,4087691.140000000130385,3473909.350000000093132,11719144.410000000149012
FS( 55 ),4166128.440000000409782,4056619.180000000167638,3554919.449999999720603,11777668.070000000298023
FS( 56 ),4277740.200000000186265,4155013.720000000204891,3573980.649999999906868,12006735.570000000298023
FS( 57 ),4211202.420000000856817,4018642.340000000316650,3523944.999999999534339,11753790.760000001639128
FS( 58 ),4108176.180000000633299,4028999.660000000149012,3509649.100000000093132,11646825.940000001341105
FS( 59 ),4176860.340000000316650,4051440.520000000018626,3507266.450000000186265,11735568.310000000521541
FS( 60 ),4288472.100000000558794,4106679.560000000055879,3652608.100000000093132,12047760.759999999776483
FS( 61 ),4367888.160000001080334,4030725.880000000353903,3619251.000000000000000,12017866.040000000968575
FS( 62 ),4352863.500000000931323,4118763.100000000093132,3635929.549999999813735,12107557.150000002235174
FS( 63 ),4367888.160000001080334,4103227.120000000111759,3573980.649999999906868,12045096.930000001564622
