代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10913979.890000000596046
真實報酬,913979.890000000596046

夏普值報酬,0.082697989000000
夏普值風險,0.026624755794821
夏普值,3.106056244695581

二次趨勢線,-50.062616759812528 x^2 + 17739.759729386558320 x + 10000000.000000000000000
二次平均預期報酬,14585.814873518367676
風險,48023.499318230155041
二次平均趨勢值,0.303722450062723
一次趨勢線,15393.224756620582411 x + 10000000.000000000000000
一次預期報酬,15393.224756620582411
一次風險,52800.443081668468949
一次趨勢值,0.291535901181952
找到最佳解世代,2156
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),DIS[6](6),KO[14](18),MCD[15](2),MSFT[18](12),
FS( 10 ),2066293.149999999906868,2035632.169999999925494,1972249.320000000065193,2052330.469999999972060,1998402.050000000046566,10124907.160000000149012
FS( 11 ),2066120.959999999729916,2039214.239999999990687,1975598.540000000037253,2051661.709999999962747,1997443.280000000027940,10130038.730000000447035
FS( 12 ),2062504.969999999972060,2022623.600000000093132,1968421.640000000130385,2042800.640000000130385,1991051.479999999981374,10087402.330000001937151
FS( 13 ),2066293.149999999906868,2029787.739999999990687,1977033.920000000158325,2044138.160000000149012,2005113.440000000176951,10122366.410000000149012
FS( 14 ),2067670.669999999925494,2019607.120000000111759,1982296.980000000214204,2029425.439999999944121,2012144.420000000158325,10111144.630000000819564
FS( 15 ),2065776.579999999841675,2034312.460000000195578,2004784.600000000093132,2023908.169999999925494,2030041.460000000195578,10158823.270000001415610
FS( 16 ),2098664.869999999646097,2036951.880000000121072,2015310.719999999972060,2036280.229999999981374,2035154.899999999906868,10222362.599999999627471
FS( 17 ),2099698.009999999776483,2037328.939999999944121,2000478.460000000195578,2037784.939999999944121,2054010.709999999962747,10229301.059999998658895
FS( 18 ),2099870.200000000186265,2060706.659999999916181,1983253.900000000372529,2054169.560000000055879,2102268.799999999813735,10300269.120000001043081
FS( 19 ),2094360.119999999878928,2091625.580000000074506,1979904.680000000400469,2056844.599999999860302,2081495.449999999953434,10304230.429999999701977
FS( 20 ),2089538.799999999813735,2086158.210000000195578,1988995.420000000158325,2049321.049999999813735,2066155.130000000121072,10280168.609999999403954
FS( 21 ),2216959.399999999906868,2098412.660000000149012,1974163.160000000149012,2046813.199999999953434,2031959.000000000000000,10368307.420000001788139
FS( 22 ),2213171.219999999739230,2085404.090000000083819,1980861.600000000093132,2060188.399999999906868,2018855.810000000055879,10358481.120000001043081
FS( 23 ),2222641.669999999925494,2079559.659999999916181,1987560.040000000037253,2077241.779999999795109,2035154.899999999906868,10402158.050000000745058
FS( 24 ),2243476.659999999683350,2065796.969999999972060,1988516.960000000195578,2080752.770000000018626,2033876.540000000037253,10412419.899999998509884
FS( 25 ),2264828.219999999739230,2055050.760000000009313,2004784.600000000093132,2083093.429999999934807,2027165.149999999906868,10434922.160000000149012
FS( 26 ),2273609.909999999683350,2055050.760000000009313,2010526.120000000344589,2084430.949999999953434,2024288.840000000083819,10447906.580000000074506
FS( 27 ),2280153.129999999888241,2064288.729999999981374,1973684.700000000186265,2081254.340000000083819,2047299.320000000065193,10446680.220000000670552
FS( 28 ),2274987.430000000167638,2059952.540000000037253,1941627.880000000121072,2103657.799999999813735,2045381.780000000027940,10425607.429999999701977
FS( 29 ),2295133.659999999683350,2067305.210000000195578,1943541.719999999972060,2098976.480000000447035,2068392.260000000009313,10473349.330000000074506
FS( 30 ),2324922.530000000260770,2080125.250000000000000,1939235.580000000307336,2103490.610000000335276,2063598.409999999916181,10511372.380000000819564
FS( 31 ),2333359.839999999850988,2077297.300000000046566,1934929.440000000176951,2114692.339999999850988,2062320.050000000046566,10522598.970000000670552
FS( 32 ),2330604.799999999813735,2087289.389999999897555,1971292.400000000372529,2118370.520000000484288,2062000.459999999962747,10569557.570000000298023
FS( 33 ),2336975.830000000074506,2075034.939999999944121,1972727.780000000027940,2136761.419999999925494,2065196.360000000102445,10586696.329999998211861
FS( 34 ),2353850.449999999720603,2074092.290000000037253,1983732.360000000335276,2140773.979999999515712,2061041.689999999944121,10613490.769999999552965
FS( 35 ),2360910.240000000223517,2076166.120000000111759,1990430.800000000279397,2137597.370000000111759,2056887.020000000018626,10621991.550000000745058
FS( 36 ),2350923.219999999739230,2068813.450000000186265,1993301.560000000055879,2144619.350000000558794,2065196.360000000102445,10622853.940000001341105
FS( 37 ),2353161.689999999944121,2079936.719999999972060,1999043.080000000307336,2150972.570000000298023,2065196.360000000102445,10648310.419999999925494
FS( 38 ),2357810.819999999832362,2078239.950000000186265,1993780.020000000251457,2123219.030000000260770,2052732.350000000093132,10605782.169999999925494
FS( 39 ),2358843.959999999962747,2075600.530000000027940,2007655.360000000335276,2134253.570000000298023,2044742.599999999860302,10621096.020000001415610
FS( 40 ),2407057.159999999683350,2093510.880000000121072,2017224.560000000055879,2157660.169999999925494,2075423.239999999990687,10750876.009999999776483
FS( 41 ),2392765.390000000130385,2085027.030000000027940,2032056.820000000065193,2143950.589999999850988,2045701.370000000111759,10699501.199999999254942
FS( 42 ),2406884.969999999739230,2097281.479999999515712,2032535.280000000027940,2138433.320000000298023,2053371.530000000027940,10728506.580000000074506
FS( 43 ),2399308.609999999869615,2086535.270000000018626,2018181.480000000214204,2140606.790000000037253,2054010.709999999962747,10698642.859999999403954
FS( 44 ),2402408.030000000260770,2090117.340000000083819,2009090.740000000223517,2141275.549999999813735,2058165.380000000121072,10701057.040000000968575
FS( 45 ),2393454.149999999906868,2089740.280000000027940,2009090.740000000223517,2141609.929999999701977,2077021.189999999944121,10710916.289999999105930
FS( 46 ),2387944.069999999832362,2093322.350000000093132,2011004.580000000307336,2142445.879999999888241,2068711.850000000093132,10703428.729999998584390
FS( 47 ),2395864.809999999590218,2091248.520000000018626,2023444.540000000037253,2139770.839999999850988,2075103.650000000139698,10725432.360000001266599
FS( 48 ),2396897.949999999720603,2102560.320000000298023,2011004.580000000307336,2133584.809999999590218,2068072.669999999925494,10712120.330000000074506
FS( 49 ),2393281.959999999962747,2117454.190000000409782,2008133.820000000065193,2136761.419999999925494,2058484.969999999972060,10714116.360000001266599
FS( 50 ),2418593.890000000130385,2109158.870000000111759,2015310.719999999972060,2138098.939999999478459,2069351.030000000027940,10750513.449999997392297
FS( 51 ),2422554.259999999776483,2106142.389999999664724,2021530.700000000186265,2139770.839999999850988,2065835.540000000037253,10755833.730000000447035
FS( 52 ),2410500.959999999962747,2107085.040000000037253,2011004.580000000307336,2150805.379999999888241,2073186.110000000102445,10752582.070000000298023
FS( 53 ),2435812.890000000130385,2124995.389999999664724,2018181.480000000214204,2153146.040000000037253,2075103.650000000139698,10807239.450000001117587
FS( 54 ),2407918.109999999869615,2106896.509999999776483,2033492.200000000186265,2148799.100000000558794,2052093.169999999925494,10749199.089999999850988
FS( 55 ),2435124.129999999888241,2113118.000000000000000,2027750.680000000400469,2158496.120000000111759,2078299.550000000046566,10812788.480000000447035
FS( 56 ),2426514.629999999888241,2116134.479999999515712,2017703.020000000251457,2156824.219999999739230,2073186.110000000102445,10790362.459999999031425
FS( 57 ),2421693.309999999590218,2114249.179999999701977,2015310.719999999972060,2162508.679999999701977,2076701.600000000093132,10790463.489999998360872
FS( 58 ),2425825.869999999646097,2118773.900000000372529,2024879.920000000158325,2165016.530000000260770,2080536.679999999934807,10815032.899999998509884
FS( 59 ),2476105.350000000093132,2131405.410000000149012,2030142.980000000214204,2164347.769999999552965,2086608.890000000130385,10888610.400000000372529
FS( 60 ),2481615.430000000167638,2121601.849999999627471,2029664.520000000251457,2154149.179999999701977,2092361.510000000009313,10879392.490000000223517
FS( 61 ),2478343.819999999832362,2133856.299999999813735,2038276.800000000279397,2162174.299999999813735,2100031.669999999925494,10912682.889999998733401
FS( 62 ),2473694.689999999944121,2137815.429999999701977,2030621.440000000176951,2167022.810000000521541,2104825.519999999552965,10913979.890000000596046
