訓練日期,20100805 - 20101104
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11172518.570000002160668
真實報酬,1172518.570000002160668

夏普值報酬,0.108551857000000
夏普值風險,0.028910916401220
夏普值,3.754701355485939

預期報酬,16055.058014519841890
風險,75181.345012549776584
趨勢值,0.213551087864148
找到最佳解世代,1899
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](1),PG[21](4),VZ[26](2),
20101015,3653508.660000000614673,3513012.750000000000000,3676868.340000000316650,10843390.750000000000000
20101018,3645964.020000000018626,3546038.000000000000000,3695008.820000000763685,10887011.839999999850988
20101019,3630403.200000000186265,3536522.250000000000000,3646256.279999999795109,10813182.730000000447035
20101020,3650207.879999999888241,3547157.500000000000000,3700677.720000000204891,10898044.099999999627471
20101021,3698776.500000000000000,3554994.000000000000000,3687072.360000000800937,10940843.860000001266599
20101022,3703963.439999999944121,3548836.750000000000000,3638319.820000000763685,10891121.009999999776483
20101025,3711036.540000000502914,3556673.250000000000000,3667798.100000000558794,10935508.890000000596046
20101026,3713865.780000000260770,3518610.250000000000000,3684804.800000000279397,10917281.830000000074506
20101027,3653508.660000000614673,3530924.750000000000000,3685938.580000000074506,10870372.990000000223517
20101028,3653508.660000000614673,3537082.000000000000000,3674600.779999999795109,10865192.439999999478459
20101029,3667183.319999999832362,3558352.500000000000000,3682537.239999999757856,10908074.060000000521541
20101101,3672370.259999999776483,3561151.250000000000000,3673467.000000000000000,10906989.509999999776483
20101102,3696890.340000000316650,3583541.250000000000000,3718818.200000000186265,10999250.789999999105930
20101103,3701605.740000000223517,3599774.000000000000000,3740360.020000000484288,11041740.760000001639128
20101104,3733670.460000000428408,3638396.750000000000000,3800450.360000000800937,11172518.570000002160668
