訓練日期,20190301 - 20190603
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10800813.729999998584390
真實報酬,800813.729999998584390

夏普值報酬,0.071381373000000
夏普值風險,0.028629835800180
夏普值,2.493251218700741

預期報酬,15298.217065499382443
風險,85766.158819036092609
趨勢值,0.178371251273805
找到最佳解世代,1669
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](1),PG[21](5),TRV[22](3),V[25](2),
20190515,2709342.000000000000000,2709770.960000000428408,2753504.080000000074506,2722777.000000000000000,10895394.040000000968575
20190516,2731377.999999999534339,2745579.320000000298023,2770228.959999999497086,2757565.000000000000000,11004751.279999999329448
20190517,2710443.799999999813735,2728817.960000000428408,2771732.319999999832362,2744519.500000000000000,10955513.580000000074506
20190520,2691162.299999999813735,2725770.440000000409782,2784510.879999999422580,2734150.000000000000000,10935593.619999999180436
20190521,2677389.799999999813735,2701390.280000000260770,2771356.479999999515712,2740672.750000000000000,10890809.309999998658895
20190522,2735234.299999999813735,2710278.880000000353903,2780564.560000000055879,2747028.250000000000000,10973105.990000000223517
20190523,2746252.299999999813735,2711294.720000000204891,2761396.719999999739230,2701369.000000000000000,10920312.739999998360872
20190524,2733030.699999999720603,2709517.000000000000000,2780188.719999999739230,2720268.250000000000000,10943004.669999998062849
20190528,2704934.799999999813735,2652883.919999999925494,2748994.000000000000000,2738164.000000000000000,10844976.719999998807907
20190529,2677940.699999999720603,2646027.000000000000000,2726255.679999999701977,2721773.500000000000000,10771996.879999998956919
20190530,2713198.299999999813735,2674978.440000000409782,2738658.399999999441206,2722275.250000000000000,10849110.390000000596046
20190531,2706587.500000000000000,2613520.120000000111759,2735651.679999999701977,2698358.500000000000000,10754117.800000000745058
20190603,2753413.999999999534339,2636122.560000000055879,2758577.919999999459833,2652699.250000000000000,10800813.729999998584390
