代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,14107929.025500001000
真實報酬,4107929.025500001400

夏普值報酬,0.402092902550
夏普值風險,0.107881660338
夏普值,3.727166427465

預期報酬,14715.863358091252
風險,380303.244876256850
起點值,0.038695077037
找到最佳解世代,7450
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1326(5),2912(39),8046(47),
Stock#,1326(5),2912(39),8046(47),
張數,70,55,33,
FS( 100 ),3352276.907500000200,3895997.616250000400,3551795.829750000000,10800071.353500001000
FS( 101 ),3285374.267500000100,3865333.906250000500,3406909.799999999800,10557618.973749999000
FS( 102 ),3352276.907500000200,3965538.530000000300,3551795.829750000000,10869612.267250000000
FS( 103 ),3342520.272500000000,3952396.940000000400,3578407.549500000200,10873325.762000000000
FS( 104 ),3265860.997500000100,3939255.349999999600,3420051.390000000100,10625168.737500001000
FS( 105 ),3323703.905000000300,3965538.530000000300,3459476.159999999700,10748719.595000001000
FS( 106 ),3318825.587499999900,4117761.947500000700,3538654.239750000200,10975242.774750000000
FS( 107 ),3347398.589999999900,4091478.767500000100,3657585.629249999800,11096463.986749999000
FS( 108 ),3414301.230000000000,4161019.681250000400,3670727.219250000100,11246049.130500000000
FS( 109 ),3457509.185000000100,4213038.474999998700,3657585.629249999800,11328134.289249998000
FS( 110 ),3477022.455000000100,4139117.031250000500,3630973.909500000100,11247114.395750001000
FS( 111 ),3596192.782500000200,4186755.295000000400,3710151.989250000100,11493101.066750001000
FS( 112 ),3500717.139999999700,4134736.501249999700,3697010.399249999800,11332465.040500000000
FS( 113 ),3505595.457500000000,4195516.354999999500,3710151.989250000100,11411264.801750001000
FS( 114 ),3529290.142500000100,4256296.208750000200,3710151.989250000100,11495739.340500001000
FS( 115 ),3519533.507499999400,4243702.184999999600,3683868.809249999900,11447105.501750000000
FS( 116 ),3514655.189999999900,4221799.535000000100,3617832.319500000200,11354288.044500001000
FS( 117 ),3495838.822499999800,4161019.681250000400,3604690.729499999900,11261550.233250000000
FS( 118 ),3534168.460000000000,4117761.947500000700,3723293.579249999500,11375224.986749999000
FS( 119 ),3514655.189999999900,4021937.853750000200,3617832.319500000200,11154426.363250000000
FS( 120 ),3562741.462499999900,4143497.561250000300,3538654.239750000200,11244894.263499999000
FS( 121 ),3510473.774999999900,4008796.263749999900,3486087.879749999800,11005358.918500001000
FS( 122 ),3534168.460000000000,4056434.527499999900,3551795.829750000000,11142399.817250000000
FS( 123 ),3615706.052499999800,4035079.443749999600,3538654.239750000200,11189440.736000000000
FS( 124 ),3725816.647500000000,4030698.913749999400,3604690.729499999900,11361207.290749999000
FS( 125 ),3682608.692500000800,4073956.647500000400,3789330.069000000100,11545896.409000002000
FS( 126 ),3687487.009999999800,4182922.331250000300,3868508.148749999700,11738918.490000000000
FS( 127 ),3667276.837499999900,4248082.714999999900,3868508.148749999700,11783868.701250000000
FS( 128 ),3616402.955000000100,4243702.184999999600,4079759.208000000100,11939865.347999999000
FS( 129 ),3601071.100000000600,4195516.354999999500,4040005.898249999600,11836594.353250001000
FS( 130 ),3718150.720000000200,4308862.568749998700,3996310.111499999600,12023324.400249999000
FS( 131 ),3687487.009999999800,4356500.832500000500,4010108.780999999500,12054097.623500001000
FS( 132 ),3636613.127499999900,4617142.367500000600,3804771.437249999500,12058527.932250001000
FS( 133 ),3636613.127499999900,4508176.683749999900,3941443.973249999800,12086234.784499999000
FS( 134 ),3697940.547499999900,4508176.683749999900,3941443.973249999800,12147562.204499999000
FS( 135 ),3707697.182500000100,4508176.683749999900,3941443.973249999800,12157318.839499999000
FS( 136 ),3687487.009999999800,4486821.599999998700,3845838.905999999500,12020148.515999999000
FS( 137 ),3702818.864999999800,4464918.950000000200,3873107.705249999600,12040846.520250000000
FS( 138 ),3636613.127499999900,4530079.333750000200,3763703.968499999500,11930397.429749999000
FS( 139 ),3555075.535000000100,4530079.333750000200,3749905.298999999600,11835061.167750001000
FS( 140 ),3642188.347500000100,4573337.067500001800,3736435.169250000300,11951961.584250003000
FS( 141 ),3601071.100000000600,4595239.717500000300,3722636.499749999500,11918948.317250000000
FS( 142 ),3560650.755000000800,4573337.067500001800,3654300.231750000300,11788289.054250002000
FS( 143 ),3611524.637499999700,4573337.067500001800,3763703.968499999500,11948566.673500001000
FS( 144 ),3631734.810000000100,4638497.451250000900,3777502.638000000300,12047735.899250001000
FS( 145 ),3656823.299999999800,4665875.763750000900,3722636.499749999500,12045336.563500000000
FS( 146 ),3693062.230000000000,4733226.412499998700,3626702.892749999600,12052992.535249997000
FS( 147 ),3702818.864999999800,4755676.628750000100,3708837.830249999600,12167334.324000001000
FS( 148 ),3707697.182500000100,5025626.790000000000,3749905.298999999600,12483230.271499999000
FS( 149 ),3672155.155000000300,5160328.087499999400,3667770.361499999600,12500254.603999998000
FS( 150 ),3667276.837499999900,4935278.358750000600,3462433.017749999600,12064989.214000002000
FS( 151 ),3611524.637499999700,4823027.277499999900,3229826.874749999500,11664379.789749999000
FS( 152 ),3651944.982499999500,4778126.844999999700,3202558.075500000300,11632630.902999999000
FS( 153 ),3636613.127499999900,5025626.790000000000,3243625.544250000300,11905866.461750001000
FS( 154 ),3601071.100000000600,5160328.087499999400,3216356.745000000100,11977756.932500001000
FS( 155 ),3636613.127499999900,5160328.087499999400,3270894.343499999500,12067836.558499999000
FS( 156 ),3601071.100000000600,5092977.438749999700,3325760.481750000300,12019810.020500001000
FS( 157 ),3601071.100000000600,5070527.222500000100,3298491.682500000100,11970091.005000003000
FS( 158 ),3642188.347500000100,5092977.438749999700,3325760.481750000300,12060927.267999999000
FS( 159 ),3601071.100000000600,5317479.601250000300,3325760.481750000300,12244312.183000002000
FS( 160 ),3575982.609999999900,5160328.087499999400,3120423.138000000300,11856734.835500000000
FS( 161 ),3585739.245000000100,4980178.791250000700,2942683.133250000000,11508602.169500001000
FS( 162 ),3616402.955000000100,4912828.142500001000,3011019.401250000100,11540251.498750001000
FS( 163 ),3601071.100000000600,5092977.438749999700,2846749.526250000100,11540799.065000001000
FS( 164 ),3636613.127499999900,5339929.817500001800,2887816.995000000100,11864360.940000001000
FS( 165 ),3626856.492500000200,5205228.520000000500,3011019.401250000100,11843105.413750000000
FS( 166 ),3656823.299999999800,5115427.655000000300,2942683.133250000000,11714935.088250000000
FS( 167 ),3682608.692500000800,5272579.168750000200,2997220.731750000300,11952409.593000002000
FS( 168 ),3713272.402499999900,5362380.033750000400,3038288.200500000300,12113941.636750001000
FS( 169 ),3743936.112499999800,5384830.250000000000,3052086.870000000100,12180854.232500002000
FS( 170 ),3738360.892500000100,5272579.168750000200,3065556.999749999500,12076498.061000001000
FS( 171 ),3707697.182500000100,5295029.385000000700,3011019.401250000100,12013746.968750000000
FS( 172 ),3753692.747500000100,5317479.601250000300,3065556.999749999500,12136730.348500000000
FS( 173 ),3835230.339999999900,5632330.195000000300,3188759.405999999500,12656320.941000000000
FS( 174 ),3819898.484999999900,5542529.330000001000,3147691.937249999500,12510120.752250001000
FS( 175 ),3865894.049999999800,5609879.978750000700,3106624.468499999500,12582399.497250000000
FS( 176 ),3824776.802499999800,5520079.113750000500,3065556.999749999500,12410413.915999999000
FS( 177 ),3850562.194999999400,5677230.627500000400,3079355.669250000300,12607149.491750000000
FS( 178 ),3875650.685000000100,5722131.059999999600,3093154.338750000100,12690937.083749998000
FS( 179 ),3875650.685000000100,5811931.924999999800,3038288.200500000300,12725871.810500000000
FS( 180 ),3881225.905000000300,6216583.383750000000,3052086.870000000100,13149897.158750001000
FS( 181 ),3881225.905000000300,6104332.302500000200,3079355.669250000300,13064914.876750000000
FS( 182 ),3911192.712499999900,6081882.086250000600,3093154.338750000100,13086230.137499999000
FS( 183 ),3886104.222500000100,6059431.870000001000,3243625.544250000300,13189162.636750001000
FS( 184 ),3896557.759999999800,5924730.572500000700,3462433.017749999600,13283722.350249998000
FS( 185 ),3855440.512499999700,6059431.870000001000,3380626.620000000100,13295500.002500001000
FS( 186 ),3881225.905000000300,5947180.788750000300,3476231.687249999500,13304639.381000001000
FS( 187 ),3906314.395000000000,6081882.086250000600,3448962.888000000300,13437160.369250001000
FS( 188 ),3881225.905000000300,5947180.788750000300,3353029.280999999500,13181436.974750001000
FS( 189 ),3881225.905000000300,6014531.437500000000,3448962.888000000300,13344721.230500001000
FS( 190 ),3936978.105000000000,6059431.870000001000,3380626.620000000100,13377037.595000003000
FS( 191 ),3926524.567500000800,5902280.356250000200,3353029.280999999500,13181835.204750001000
FS( 192 ),3896557.759999999800,5677230.627500000400,3202558.075500000300,12776347.463000000000
FS( 193 ),3855440.512499999700,5722131.059999999600,3216356.745000000100,12793929.317499999000
FS( 194 ),3881225.905000000300,5924730.572500000700,3202558.075500000300,13008515.553000001000
FS( 195 ),4063814.359999999900,5924730.572500000700,3257424.213750000100,13245970.146250002000
FS( 196 ),4145351.952500000100,5722131.059999999600,3202558.075500000300,13070042.088000000000
FS( 197 ),4160683.807500000100,5587429.762500000200,3202558.075500000300,12950672.645500001000
FS( 198 ),4135595.317500000800,5384830.250000000000,3257424.213750000100,12777850.781250000000
FS( 199 ),4155805.490000000200,5475178.681249999400,3229826.874749999500,12860812.046000000000
FS( 200 ),4191347.517500000100,5587429.762500000200,3229826.874749999500,13008605.154750001000
FS( 201 ),4211557.689999999500,5564979.546250000600,3243625.544250000300,13020163.780500000000
FS( 202 ),4404599.682499999200,5542529.330000001000,3270894.343499999500,13218024.355999999000
FS( 203 ),4532132.839999999900,5430278.248750000300,3394096.749749999500,13356508.838500001000
FS( 204 ),4527254.522500000000,5475178.681249999400,3339559.151250000100,13341993.355000000000
FS( 205 ),4613670.432499998200,5430278.248750000300,3421365.548999999600,13465315.230249997000
FS( 206 ),4481258.957499999600,5475178.681249999400,3490030.356750000300,13446468.995499998000
FS( 207 ),4542586.377499999500,5520079.113750000500,3490030.356750000300,13552696.848000001000
FS( 208 ),4542586.377499999500,5475178.681249999400,3270894.343499999500,13288660.402249999000
FS( 209 ),4521679.302500001200,5609879.978750000700,3052086.870000000100,13183647.151250001000
FS( 210 ),4537011.157499999700,5722131.059999999600,3079355.669250000300,13338498.886750000000
FS( 211 ),4760716.860000000300,5677230.627500000400,3120423.138000000300,13558371.625500001000
FS( 212 ),4837376.134999999800,5699680.843750000000,3120423.138000000300,13657481.116750000000
FS( 213 ),4847829.672500000300,5744581.276250001000,3147691.937249999500,13740103.886000000000
FS( 214 ),4857586.307499998200,5677230.627500000400,3161490.606750000300,13696308.541749999000
FS( 215 ),4725174.832499999600,5677230.627500000400,3106624.468499999500,13509030.928500000000
FS( 216 ),4613670.432499998200,5587429.762500000200,3106624.468499999500,13307725.663499998000
FS( 217 ),4578128.405000000300,5430278.248750000300,3120423.138000000300,13128830.791750001000
FS( 218 ),4695208.025000000400,5452728.464999999900,3106624.468499999500,13254561.958500000000
FS( 219 ),4638758.922500000300,5362380.033750000400,3120423.138000000300,13121563.094250001000
FS( 220 ),4644334.142500000100,5520079.113750000500,3106624.468499999500,13271038.724750001000
FS( 221 ),4593460.259999999800,5632330.195000000300,3120423.138000000300,13346214.593000000000
FS( 222 ),4593460.259999999800,5609879.978750000700,3065556.999749999500,13268898.238499999000
FS( 223 ),4552343.012500000200,5542529.330000001000,3052086.870000000100,13146960.212500002000
FS( 224 ),4572553.184999999600,5497628.897500000000,3038288.200500000300,13108471.283000000000
FS( 225 ),4567674.867499998800,5452728.464999999900,3024489.530999999500,13044893.863499999000
FS( 226 ),4557221.330000000100,5362380.033750000400,3052086.870000000100,12971689.233750001000
FS( 227 ),4557221.330000000100,5452728.464999999900,3038288.200500000300,13048238.995500000000
FS( 228 ),4608095.212500000400,5542529.330000001000,3024489.530999999500,13175115.073500000000
FS( 229 ),4638758.922500000300,5632330.195000000300,3052086.870000000100,13323176.987500001000
FS( 230 ),4664544.314999999500,5767031.492500000600,3052086.870000000100,13483663.677500002000
FS( 231 ),4709842.977500001000,5744581.276250001000,3038288.200500000300,13492713.454250002000
FS( 232 ),4750960.225000000600,5969631.005000001800,3079355.669250000300,13799947.899250003000
