代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12059450.110000001266599
真實報酬,2059450.110000001266599

夏普值報酬,0.197245011000000
夏普值風險,0.061095255409557
夏普值,3.228483286922262

二次趨勢線,13.262818493832668 x^2 + 35407.645703031754238 x + 10000000.000000000000000
二次平均預期報酬,36256.466086637046828
風險,92789.522594986934564
二次平均趨勢值,0.390738793267548
一次趨勢線,36039.248271934753575 x + 10000000.000000000000000
一次預期報酬,36039.248271934753575
一次風險,92983.389152024217765
一次趨勢值,0.387588026211994
找到最佳解世代,2469
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](3),CSCO[4](5),DIS[6](1),MCD[15](4),
FS( 23 ),2760198.729999999981374,2744168.919999999459833,2758298.400000000372529,2482000.660000000149012,10744666.710000000894070
FS( 24 ),2797032.669999999925494,2772765.279999999795109,2813345.600000000093132,2491391.620000000111759,10874535.169999998062849
FS( 25 ),2781921.309999999590218,2873952.399999999441206,2810804.959999999962747,2548128.669999999925494,11014807.339999997988343
FS( 26 ),2794671.520000000018626,2873952.399999999441206,2820967.520000000484288,2547346.089999999850988,11036937.530000001192093
FS( 27 ),2775782.319999999832362,2845356.040000000037253,2822661.280000000260770,2541085.449999999720603,10984885.089999999850988
FS( 28 ),2781449.079999999608845,2856354.639999999664724,2863311.520000000484288,2551650.279999999795109,11052765.519999997690320
FS( 29 ),2850394.659999999683350,2846455.899999999441206,2853148.959999999962747,2564171.560000000055879,11114171.080000000074506
FS( 30 ),2808366.189999999944121,2868453.099999999627471,2855689.600000000093132,2579823.160000000149012,11112332.049999998882413
FS( 31 ),2807421.729999999981374,2876152.119999999646097,2858230.240000000223517,2585301.219999999739230,11127105.309999998658895
FS( 32 ),2843783.439999999944121,2888250.580000000074506,2858230.240000000223517,2597431.209999999962747,11187695.469999998807907
FS( 33 ),2822533.089999999850988,2897049.459999999497086,2860770.880000000353903,2609169.910000000149012,11189523.339999999850988
FS( 34 ),2803643.889999999664724,2876152.119999999646097,2848914.560000000055879,2603300.560000000055879,11132011.130000000819564
FS( 35 ),2831033.229999999981374,2890450.299999999813735,2875167.840000000316650,2622082.479999999981374,11218733.849999999627471
FS( 36 ),2947201.809999999590218,2930045.259999999776483,2880249.120000000111759,2635386.339999999850988,11392882.529999999329448
FS( 37 ),2930673.759999999776483,2909147.919999999459833,2912430.560000000055879,2613865.389999999664724,11366117.629999998956919
FS( 38 ),2934451.600000000093132,2906948.199999999720603,2971712.160000000614673,2617778.290000000037253,11430890.250000000000000
FS( 39 ),2948618.500000000000000,2911347.639999999664724,2990343.520000000484288,2631864.729999999981374,11482174.390000000596046
FS( 40 ),2997730.419999999925494,2915747.080000000074506,2977640.319999999832362,2624430.219999999739230,11515548.039999999105930
FS( 41 ),2982619.059999999590218,2931145.119999999646097,2972559.040000000502914,2631082.149999999906868,11517405.370000001043081
FS( 42 ),2967979.930000000167638,2862953.799999999813735,2956468.319999999832362,2610735.069999999832362,11398137.120000001043081
FS( 43 ),3021814.149999999906868,2840956.599999999627471,3010668.640000000130385,2644386.009999999776483,11517825.400000000372529
FS( 44 ),3069037.149999999441206,2878351.839999999850988,2982721.600000000093132,2661994.060000000055879,11592104.650000000372529
FS( 45 ),3083204.050000000279397,2883851.139999999664724,3003893.600000000093132,2653385.680000000167638,11624334.469999998807907
FS( 46 ),3044481.189999999944121,2897049.459999999497086,2991190.400000000372529,2649081.490000000223517,11581802.540000000968575
FS( 47 ),3044953.419999999925494,2890450.299999999813735,3020831.200000000186265,2690558.229999999981374,11646793.150000000372529
FS( 48 ),3082259.589999999850988,2925645.819999999832362,3067409.600000000093132,2687427.910000000149012,11762742.919999999925494
FS( 49 ),3151205.169999999925494,2917946.799999999813735,3039462.560000000055879,2681558.560000000055879,11790173.089999999850988
FS( 50 ),3125704.750000000000000,2908048.060000000055879,3035228.160000000614673,2696818.870000000111759,11765799.839999999850988
FS( 51 ),3177177.819999999832362,2956441.899999999441206,3065715.840000000316650,2716383.370000000111759,11915718.929999999701977
FS( 52 ),3221567.439999999944121,2992737.279999999795109,3082653.439999999944121,2706209.829999999608845,12003167.990000000223517
FS( 53 ),3158288.619999999646097,2967440.500000000000000,3034381.280000000260770,2701123.060000000055879,11861233.459999999031425
FS( 54 ),3163483.149999999441206,2977339.239999999757856,3063175.200000000186265,2735947.870000000111759,11939945.460000000894070
FS( 55 ),3187566.879999999888241,2989437.699999999720603,3094509.760000000242144,2752382.050000000279397,12023896.390000000596046
FS( 56 ),3199372.629999999888241,2996036.859999999403954,3096203.520000000484288,2753164.629999999888241,12044777.640000000596046
FS( 57 ),3188039.110000000335276,3004835.739999999757856,3114834.880000000353903,2779381.060000000055879,12087090.790000000968575
FS( 58 ),3248012.319999999832362,3021333.639999999664724,3115681.760000000242144,2784076.540000000037253,12169104.259999997913837
FS( 59 ),3383542.330000000074506,3032332.239999999757856,3136853.760000000242144,2778989.770000000018626,12331718.099999999627471
FS( 60 ),3236206.569999999832362,2970740.080000000074506,3075878.400000000372529,2759816.560000000055879,12042641.610000001266599
FS( 61 ),3256984.689999999944121,2974039.659999999683350,3073337.760000000242144,2752382.050000000279397,12056744.160000000149012
FS( 62 ),3341041.629999999888241,3027932.799999999813735,3152097.600000000093132,2798554.270000000018626,12319626.299999998882413
FS( 63 ),3215428.450000000186265,2961941.199999999720603,3119916.160000000614673,2762164.300000000279397,12059450.110000001266599
