代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11344803.910000000149012
真實報酬,1344803.910000000149012

夏普值報酬,0.125780391000000
夏普值風險,0.038597846373446
夏普值,3.258741168692092

二次趨勢線,384.212264602719358 x^2 + -4964.149863275816642 x + 10000000.000000000000000
二次平均預期報酬,20393.859600503659749
風險,46057.299641066732875
二次平均趨勢值,0.442793211053120
一次趨勢線,13909.177791063890254 x + 10000000.000000000000000
一次預期報酬,13909.177791063890254
一次風險,190603.839306171663338
一次趨勢值,0.072974279225935
找到最佳解世代,2176
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,6
AXP[1](2),CAT[3](1),IBM[10](14),INTC[11](3),MCD[15](17),V[25](4),
FS( 43 ),1768727.439999999944121,1837750.959999999962747,1664142.599999999860302,1745986.500000000000000,1695228.160000000149012,1727962.619999999878928,10439802.279999999329448
FS( 44 ),1770291.600000000093132,1837898.320000000065193,1682265.199999999720603,1790002.500000000000000,1698257.479999999981374,1742171.539999999804422,10520890.639999998733401
FS( 45 ),1787692.880000000121072,1849539.760000000242144,1683641.599999999860302,1805591.500000000232831,1697175.580000000074506,1744649.839999999850988,10568295.160000000149012
FS( 46 ),1779481.040000000037253,1867665.040000000037253,1680200.599999999627471,1803757.500000000232831,1700962.229999999981374,1740023.679999999934807,10572094.089999999850988
FS( 47 ),1782413.839999999850988,1862654.800000000279397,1682953.399999999674037,1812469.000000000000000,1718164.440000000176951,1755389.139999999897555,10614048.620000001043081
FS( 48 ),1790039.119999999878928,1870464.880000000353903,1680200.599999999627471,1817054.000000000232831,1726819.639999999897555,1763484.919999999925494,10648067.160000000149012
FS( 49 ),1792776.399999999906868,1869728.080000000074506,1690638.299999999580905,1827599.500000000000000,1732445.520000000018626,1768111.079999999841675,10681302.879999998956919
FS( 50 ),1796686.800000000046566,1889032.239999999990687,1703369.999999999767169,1817971.000000000000000,1737422.260000000242144,1773067.679999999934807,10717553.980000000447035
FS( 51 ),1798055.439999999944121,1895074.000000000000000,1693276.399999999906868,1801923.499999999767169,1765227.090000000083819,1791737.539999999804422,10745297.969999998807907
FS( 52 ),1791212.239999999990687,1915557.040000000270084,1686509.099999999860302,1796880.000000000000000,1773449.530000000027940,1786285.279999999795109,10749897.189999999478459
FS( 53 ),1815652.239999999990687,1926166.960000000195578,1687311.999999999767169,1818888.000000000000000,1789245.270000000018626,1795372.379999999888241,10832640.850000001490116
FS( 54 ),1798055.439999999944121,1937366.320000000065193,1684215.099999999860302,1823014.500000000000000,1785350.429999999934807,1789424.459999999729916,10817430.249999998137355
FS( 55 ),1792776.399999999906868,1923661.840000000083819,1680888.799999999580905,1824390.000000000000000,1789569.840000000083819,1776867.739999999990687,10788158.620000001043081
FS( 56 ),1800401.679999999934807,1934713.840000000083819,1829884.099999999860302,1845481.000000000000000,1793572.870000000111759,1781163.459999999729916,10985220.949999999254942
FS( 57 ),1796882.320000000065193,1938545.200000000419095,1845597.999999999767169,1838145.000000000232831,1801470.739999999990687,1768276.299999999813735,10988921.559999998658895
FS( 58 ),1800597.200000000186265,1935745.360000000335276,1859017.899999999674037,1853734.000000000000000,1799306.940000000176951,1777032.959999999729916,11025438.359999999403954
FS( 59 ),1806267.280000000027940,1940460.880000000353903,1830113.500000000000000,1872074.000000000000000,1767282.699999999953434,1776702.519999999785796,10992904.879999998956919
FS( 60 ),1835204.239999999990687,2037129.040000000270084,1788018.599999999627471,1877576.000000000232831,1773124.959999999962747,1791241.879999999888241,11102298.719999998807907
FS( 61 ),1828752.080000000074506,2016498.640000000130385,1760719.999999999767169,1869781.500000000000000,1769879.260000000242144,1809085.639999999897555,11054721.120000001043081
FS( 62 ),1870984.399999999906868,2017972.239999999990687,1761866.999999999767169,1895916.000000000000000,1774531.429999999934807,1814207.459999999729916,11135482.529999999329448
FS( 63 ),1872939.600000000093132,2030792.560000000288710,1762784.599999999860302,2035758.500000000000000,1789461.649999999906868,1812720.479999999748543,11304461.390000000596046
FS( 64 ),1858862.159999999916181,2011341.040000000270084,1770584.199999999953434,2034382.999999999767169,1798549.609999999869615,1818172.739999999990687,11291896.750000000000000
FS( 65 ),1867660.560000000055879,2001173.200000000419095,1767143.199999999720603,2085735.000000000000000,1805906.530000000027940,1817181.419999999925494,11344803.910000000149012
