代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12183300.009999997913837
真實報酬,2183300.009999997913837

夏普值報酬,0.209630001000000
夏普值風險,0.063348930908057
夏普值,3.309132419365576

二次趨勢線,504.199037661929538 x^2 + 6524.430808920605159 x + 10000000.000000000000000
二次平均預期報酬,37784.771143960235349
風險,74212.112687325046863
二次平均趨勢值,0.509145606771193
一次趨勢線,29779.074228889076039 x + 10000000.000000000000000
一次預期報酬,29779.074228889076039
一次風險,226524.256675977230771
一次趨勢值,0.131460862805017
找到最佳解世代,2076
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),HD[9](3),IBM[10](22),MSFT[18](2),V[25](6),
FS( 26 ),2174305.040000000037253,2197759.819999999366701,1917029.840000000083819,2194617.979999999515712,2044189.820000000065193,10527902.500000000000000
FS( 27 ),2181883.520000000018626,2213011.219999999739230,1914074.160000000149012,2202529.279999999795109,2041734.829999999841675,10553233.009999999776483
FS( 28 ),2178274.720000000204891,2209452.559999999590218,1924735.719999999972060,2193035.719999999739230,2027823.219999999972060,10533321.939999999478459
FS( 29 ),2172500.640000000130385,2205893.899999999441206,1906051.600000000093132,2215187.359999999869615,2073649.699999999953434,10573283.199999997392297
FS( 30 ),2164200.399999999906868,2211994.459999999962747,1891378.760000000009313,2234965.609999999869615,2061374.750000000000000,10563913.979999998584390
FS( 31 ),2189462.000000000000000,2223687.200000000186265,1900245.800000000046566,2235756.740000000223517,2097381.270000000018626,10646533.009999999776483
FS( 32 ),2212197.439999999944121,2281642.519999999552965,1911540.719999999972060,2233383.350000000093132,2123567.830000000074506,10762331.859999999403954
FS( 33 ),2205340.720000000204891,2308586.659999999217689,1905734.920000000158325,2224680.919999999925494,2094107.949999999953434,10738451.169999998062849
FS( 34 ),2166726.560000000055879,2262832.459999999962747,1990182.920000000158325,2350470.589999999850988,2058101.429999999934807,10828313.959999999031425
FS( 35 ),2203536.320000000298023,2281642.519999999552965,2005594.679999999934807,2352052.850000000093132,2037643.179999999934807,10880469.549999998882413
FS( 36 ),2167448.320000000298023,2285709.559999999590218,2026178.880000000121072,2321198.779999999795109,2066284.729999999981374,10866820.269999999552965
FS( 37 ),2302778.320000000298023,2300960.959999999962747,2024067.679999999934807,2338603.639999999664724,2057283.100000000093132,11023693.699999999254942
FS( 38 ),2292312.800000000279397,2285201.179999999701977,2016150.679999999934807,2333856.859999999869615,2063829.739999999990687,10991351.259999999776483
FS( 39 ),2306026.239999999757856,2281134.139999999664724,2010661.560000000055879,2312496.350000000093132,2067103.060000000055879,10977421.349999999627471
FS( 40 ),2335618.399999999906868,2276050.339999999850988,2032195.800000000046566,2342559.290000000037253,2043371.489999999990687,11029795.320000000298023
FS( 41 ),2353301.520000000018626,2256731.899999999441206,2033251.399999999906868,2336230.250000000000000,2058919.760000000009313,11038434.830000000074506
FS( 42 ),2351858.000000000000000,2260798.939999999478459,2033462.520000000018626,2364710.929999999701977,2097381.270000000018626,11108211.659999998286366
FS( 43 ),2346444.799999999813735,2260290.559999999590218,2021956.479999999981374,2369457.709999999962747,2170212.640000000130385,11168362.190000001341105
FS( 44 ),2369902.000000000000000,2296385.540000000037253,2044229.639999999897555,2392400.479999999515712,2189852.560000000055879,11292770.220000000670552
FS( 45 ),2391915.680000000167638,2297910.679999999701977,2035573.719999999972060,2389235.959999999962747,2196399.200000000186265,11311035.239999998360872
FS( 46 ),2417177.280000000260770,2311128.559999999590218,2041168.399999999906868,2401102.910000000149012,2189034.229999999981374,11359611.380000000819564
FS( 47 ),2457595.839999999850988,2296385.540000000037253,2036946.000000000000000,2425627.939999999944121,2216857.450000000186265,11433412.769999999552965
FS( 48 ),2542402.640000000130385,2301469.339999999850988,2038846.080000000074506,2434330.369999999646097,2300327.109999999869615,11617375.539999999105930
FS( 49 ),2543846.159999999683350,2304519.620000000111759,2031351.319999999832362,2412969.859999999869615,2330605.319999999832362,11623292.279999999329448
FS( 50 ),2591121.439999999944121,2335022.419999999925494,2033462.520000000018626,2419298.899999999906868,2306055.419999999925494,11684960.699999999254942
FS( 51 ),2626487.680000000167638,2341631.360000000335276,2029240.120000000111759,2393191.609999999869615,2357610.209999999962747,11748160.980000000447035
FS( 52 ),2565859.839999999850988,2323838.059999999590218,2029556.800000000046566,2377369.009999999776483,2355155.220000000204891,11651778.929999999701977
FS( 53 ),2588956.159999999683350,2335022.419999999925494,2037684.920000000158325,2475469.129999999888241,2328150.330000000074506,11765282.959999999031425
FS( 54 ),2588595.280000000260770,2374676.059999999590218,2041907.319999999832362,2472304.609999999869615,2352700.229999999981374,11830183.500000000000000
FS( 55 ),2654275.439999999944121,2385352.040000000037253,2041590.639999999897555,2487336.080000000074506,2336333.629999999888241,11904887.829999998211861
FS( 56 ),2644892.560000000055879,2367558.740000000223517,2046657.520000000018626,2473886.869999999646097,2380523.450000000186265,11913519.140000000596046
FS( 57 ),2662214.799999999813735,2386877.179999999701977,2086136.960000000195578,2481798.169999999925494,2382978.439999999944121,12000005.549999998882413
FS( 58 ),2693250.479999999981374,2388402.319999999366701,2087720.359999999869615,2490500.600000000093132,2405073.350000000093132,12064947.109999997541308
FS( 59 ),2710572.720000000204891,2385860.419999999925494,2085292.479999999981374,2480215.910000000149012,2391161.739999999757856,12053103.270000001415610
FS( 60 ),2760374.159999999683350,2401111.819999999366701,2090042.679999999934807,2521354.669999999925494,2433714.899999999906868,12206598.229999998584390
FS( 61 ),2796462.159999999683350,2418396.740000000223517,2076847.679999999934807,2511069.979999999515712,2380523.450000000186265,12183300.009999997913837
