代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11998983.730000000447035
真實報酬,1998983.730000000447035

夏普值報酬,0.191198373000000
夏普值風險,0.051875535407809
夏普值,3.685713728001684

二次趨勢線,252.678125293034356 x^2 + 18154.409637395408936 x + 10000000.000000000000000
二次平均預期報酬,33567.775280270507210
風險,108089.095044372908887
二次平均趨勢值,0.310556539181776
一次趨勢線,29618.896479203347553 x + 10000000.000000000000000
一次預期報酬,29618.896479203347553
一次風險,149861.304448403679999
一次趨勢值,0.197642057022138
找到最佳解世代,2046
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),BA[2](4),V[25](2),
FS( 25 ),3589671.479999999981374,3480100.830000000074506,3632947.979999999515712,10702721.289999999105930
FS( 26 ),3622551.000000000000000,3463039.890000000130385,3612620.119999999646097,10698212.009999999776483
FS( 27 ),3626204.279999999795109,3479444.640000000130385,3593176.079999999608845,10698826.000000000000000
FS( 28 ),3645688.439999999944121,3486662.730000000447035,3614829.669999999459833,10747181.839999999850988
FS( 29 ),3630466.439999999944121,3462383.700000000186265,3595827.540000000037253,10688678.679999999701977
FS( 30 ),3624073.200000000186265,3474195.120000000577420,3586989.339999999850988,10685258.660000000149012
FS( 31 ),3653299.439999999944121,3448822.439999999944121,3590966.529999999795109,10693089.410000000149012
FS( 32 ),3652995.000000000000000,3463039.890000000130385,3605549.559999999590218,10721585.449999999254942
FS( 33 ),3646601.759999999776483,3477913.530000000260770,3611736.299999999813735,10736252.589999999850988
FS( 34 ),3653299.439999999944121,3489506.220000000204891,3616597.309999999590218,10759403.969999998807907
FS( 35 ),3655734.959999999962747,3452540.850000000558794,3630296.520000000018626,10738573.330000000074506
FS( 36 ),3652386.120000000111759,3511816.680000000633299,3678022.799999999813735,10842226.600000001490116
FS( 37 ),3710534.159999999683350,3660771.810000000521541,3707630.770000000018626,11078937.740000000223517
FS( 38 ),3712360.799999999813735,3699268.290000000502914,3678464.709999999497086,11090094.799999998882413
FS( 39 ),3712665.240000000223517,3668208.629999999888241,3701885.939999999478459,11082760.809999998658895
FS( 40 ),3702923.159999999683350,3621619.140000000130385,3698792.569999999832362,11023335.869999999180436
FS( 41 ),3694398.839999999850988,3574592.189999999944121,3655043.479999999515712,10924035.509999997913837
FS( 42 ),3919684.439999999944121,3586622.340000000316650,3643111.909999999683350,11149419.689999999478459
FS( 43 ),3912986.759999999776483,3549219.510000000242144,3636925.169999999459833,11099132.439999999478459
FS( 44 ),3929730.960000000428408,3552281.730000000447035,3803967.149999999441206,11285980.839999999850988
FS( 45 ),3966568.199999999720603,3586841.069999999832362,3792919.399999999441206,11346329.669999998062849
FS( 46 ),4004318.759999999776483,3641961.030000000260770,3790709.849999999627471,11436990.640000000596046
FS( 47 ),4019845.199999999720603,3583122.660000000149012,3760218.059999999590218,11363186.919999998062849
FS( 48 ),4031413.919999999459833,3593402.970000000204891,3781871.649999999441206,11406689.539999999105930
FS( 49 ),4022280.720000000204891,3636055.319999999832362,3796012.770000000018626,11454349.810000000521541
FS( 50 ),4057900.199999999720603,3675426.720000000204891,3819875.909999999683350,11553203.830000000074506
FS( 51 ),4110568.320000000298023,3685707.030000000260770,3837994.219999999273568,11634270.570000000298023
FS( 52 ),4125485.879999999888241,3703205.430000000633299,3868486.009999999776483,11697178.320000000298023
FS( 53 ),4120614.839999999850988,3736233.660000000149012,3862741.179999999701977,11719590.679999999701977
FS( 54 ),4131879.120000000111759,3777792.360000000335276,3864950.729999999515712,11774623.210000000894070
FS( 55 ),4161714.239999999757856,3840130.410000000149012,3885278.589999999850988,11887124.240000000223517
FS( 56 ),4174196.280000000260770,3835755.810000000521541,3879975.669999999459833,11889928.759999999776483
FS( 57 ),4156538.759999999776483,3868565.310000000521541,3896768.250000000000000,11921873.320000000298023
FS( 58 ),4160496.479999999981374,3881251.650000000372529,3907816.000000000000000,11949565.130000000819564
FS( 59 ),4168716.360000000335276,3924778.920000000391155,3888813.869999999646097,11982310.150000000372529
FS( 60 ),4170543.000000000000000,3942277.319999999832362,3886162.409999999683350,11998983.730000000447035
