代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11911015.550000000745058
真實報酬,1911015.550000000745058

夏普值報酬,0.182401555000000
夏普值風險,0.055567762875351
夏普值,3.282506719033490

二次趨勢線,-8.272206109097397 x^2 + 31280.577718586748233 x + 10000000.000000000000000
二次平均預期報酬,30742.884321495414042
風險,109116.556647313918802
二次平均趨勢值,0.281743534309486
一次趨勢線,30880.433795169927180 x + 10000000.000000000000000
一次預期報酬,30880.433795169927180
一次風險,109184.868676429163315
一次趨勢值,0.282827045262879
找到最佳解世代,1946
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DIS[6](3),WMT[28](1),
FS( 32 ),5387073.589999999850988,5724561.199999999254942,11111634.789999999105930
FS( 33 ),5376797.299999999813735,5734718.599999999627471,11111515.899999998509884
FS( 34 ),5377939.110000000335276,5766037.250000000000000,11143976.359999999403954
FS( 35 ),5424753.319999999366701,5739797.299999999813735,11164550.619999999180436
FS( 36 ),5449873.139999999664724,5799895.249999999068677,11249768.389999998733401
FS( 37 ),5412193.409999999217689,5730486.349999999627471,11142679.759999997913837
FS( 38 ),5420186.080000000074506,5696628.349999999627471,11116814.429999999701977
FS( 39 ),5332266.709999999962747,5771115.950000000186265,11103382.660000000149012
FS( 40 ),5400775.309999999590218,5804973.949999999254942,11205749.259999997913837
FS( 41 ),5465858.479999999515712,5805820.400000000372529,11271678.879999998956919
FS( 42 ),5460149.429999999701977,5781273.349999999627471,11241422.779999999329448
FS( 43 ),5537792.509999999776483,5901469.249999999068677,11439261.759999997913837
FS( 44 ),5562912.330000000074506,5870150.599999998696148,11433062.929999999701977
FS( 45 ),5548068.799999999813735,5988653.599999999627471,11536722.399999998509884
FS( 46 ),5493261.919999999925494,6016586.449999999254942,11509848.369999999180436
FS( 47 ),5485269.250000000000000,6040287.049999999813735,11525556.300000000745058
FS( 48 ),5480702.009999999776483,6074145.049999999813735,11554847.059999998658895
FS( 49 ),5407626.169999999925494,6103770.799999999813735,11511396.969999998807907
FS( 50 ),5397349.879999999888241,6116467.549999999813735,11513817.429999999701977
FS( 51 ),5413335.219999999739230,6120699.799999999813735,11534035.019999999552965
FS( 52 ),5502396.399999999441206,6194340.950000000186265,11696737.349999999627471
FS( 53 ),5464716.669999999925494,6177411.950000000186265,11642128.620000001043081
FS( 54 ),5634846.360000000335276,6187569.349999998696148,11822415.709999999031425
FS( 55 ),5634846.360000000335276,6166408.099999998696148,11801254.459999999031425
FS( 56 ),5593741.200000000186265,6054676.700000000186265,11648417.900000000372529
FS( 57 ),5548068.799999999813735,6115621.099999999627471,11663689.899999998509884
FS( 58 ),5478418.389999999664724,6081763.099999998696148,11560181.489999998360872
FS( 59 ),5498970.969999999739230,6106310.149999999441206,11605281.119999999180436
FS( 60 ),5514956.309999999590218,6101231.449999999254942,11616187.759999997913837
FS( 61 ),5675951.519999999552965,6235817.000000000000000,11911768.519999999552965
FS( 62 ),5702213.149999999441206,6307765.249999999068677,12009978.399999998509884
FS( 63 ),5686227.809999999590218,6346701.950000000186265,12032929.759999999776483
FS( 64 ),5610868.349999999627471,6300147.200000000186265,11911015.550000000745058
