代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11947360.519999999552965
真實報酬,1947360.519999999552965

夏普值報酬,0.186036052000000
夏普值風險,0.056236548703264
夏普值,3.308098670521781

二次趨勢線,315.439404895913185 x^2 + 13687.450337098229284 x + 10000000.000000000000000
二次平均預期報酬,33560.132845540763810
風險,69236.147026034901501
二次平均趨勢值,0.484719821756129
一次趨勢線,28472.726123379405180 x + 10000000.000000000000000
一次預期報酬,28472.726123379405180
一次風險,154644.742031625035452
一次趨勢值,0.184117001000633
找到最佳解世代,2851
找到最佳解實驗#,3
找到最佳解次數,15

stock[index](rank)
投資組合檔數,7
BA[2](1),CAT[3](8),CVX[5](14),MSFT[18](6),NKE[19](5),TRV[22](23),WMT[28](10),
FS( 7 ),1451780.199999999953434,1418614.050000000046566,1445086.500000000000000,1444199.340000000083819,1456068.459999999962747,1439916.180000000167638,1466906.840000000083819,10122574.570000000298023
FS( 8 ),1441557.100000000093132,1430562.389999999897555,1444347.000000000000000,1440421.060000000055879,1455030.820000000065193,1450726.209999999962747,1476978.120000000111759,10139625.700000002980232
FS( 9 ),1450232.920000000158325,1431086.439999999944121,1444963.250000000000000,1441451.500000000000000,1450361.439999999711290,1426965.550000000046566,1478115.199999999953434,10123179.299999998882413
FS( 10 ),1446585.760000000009313,1441672.250000000000000,1441142.500000000000000,1443512.379999999888241,1452177.309999999823049,1432745.170000000158325,1479739.600000000093132,10137577.969999998807907
FS( 11 ),1452664.360000000102445,1405617.609999999869615,1435349.750000000000000,1425136.199999999953434,1469038.959999999962747,1431139.720000000204891,1459272.160000000149012,10078221.759999999776483
FS( 12 ),1457306.199999999953434,1429304.670000000158325,1412178.750000000000000,1428914.479999999981374,1484603.559999999823049,1400101.020000000018626,1618300.920000000158325,10230712.599999999627471
FS( 13 ),1449348.760000000009313,1426894.040000000037253,1413904.250000000000000,1415175.280000000027940,1535447.919999999925494,1390575.349999999860302,1583376.320000000065193,10214724.919999999925494
FS( 14 ),1462445.379999999888241,1435069.219999999972060,1414027.500000000000000,1417407.899999999906868,1537004.379999999888241,1388969.900000000139698,1583538.760000000242144,10238466.039999999105930
FS( 15 ),1475486.739999999990687,1442301.109999999869615,1419573.750000000000000,1437844.959999999962747,1540636.119999999878928,1398174.479999999981374,1567944.520000000018626,10281964.679999999701977
FS( 16 ),1465318.899999999906868,1446598.319999999832362,1428694.250000000000000,1427368.819999999832362,1532335.000000000000000,1391538.619999999878928,1566157.680000000167638,10258014.589999997988343
FS( 17 ),1469352.879999999888241,1440100.099999999860302,1436089.250000000000000,1429944.919999999925494,1538820.250000000000000,1389612.080000000307336,1569568.920000000158325,10273491.400000000372529
FS( 18 ),1467695.079999999841675,1438003.899999999906868,1424750.250000000000000,1440421.060000000055879,1546861.959999999962747,1396569.030000000027940,1569568.920000000158325,10283873.199999999254942
FS( 19 ),1481012.739999999990687,1456869.700000000186265,1435349.750000000000000,1457766.799999999813735,1545564.909999999916181,1423647.619999999878928,1572005.520000000018626,10372220.039999999105930
FS( 20 ),1488251.800000000046566,1447122.370000000111759,1444347.000000000000000,1431318.840000000083819,1565798.889999999897555,1439916.180000000167638,1584838.280000000260770,10401596.359999999403954
FS( 21 ),1529696.800000000046566,1479508.660000000149012,1466655.250000000000000,1445573.260000000009313,1567355.349999999860302,1451047.300000000046566,1579477.760000000242144,10519317.379999998956919
FS( 22 ),1499745.879999999888241,1483386.630000000121072,1473064.250000000000000,1447118.919999999925494,1553347.209999999962747,1457897.220000000204891,1581427.040000000037253,10495990.149999998509884
FS( 23 ),1536162.220000000204891,1483177.010000000009313,1489456.500000000000000,1392505.599999999860302,1559054.229999999981374,1459502.670000000158325,1575904.080000000307336,10495765.310000000521541
FS( 24 ),1522734.040000000037253,1468922.849999999860302,1483910.250000000000000,1401264.340000000083819,1567355.349999999860302,1448371.550000000046566,1589224.160000000149012,10481785.539999999105930
FS( 25 ),1537820.019999999785796,1471019.050000000046566,1474296.750000000000000,1421701.399999999906868,1549196.649999999906868,1448799.670000000158325,1580289.960000000195578,10483126.500000001862645
FS( 26 ),1558266.220000000204891,1497745.599999999860302,1474543.250000000000000,1416720.939999999944121,1572024.729999999981374,1436491.220000000204891,1572167.960000000195578,10527962.920000001788139
FS( 27 ),1579983.399999999906868,1507912.170000000158325,1478117.500000000000000,1445401.519999999785796,1590183.429999999701977,1431567.840000000083819,1568431.840000000083819,10601600.699999999254942
FS( 28 ),1564842.160000000149012,1506968.880000000121072,1484280.000000000000000,1463777.699999999953434,1606007.439999999711290,1425253.070000000065193,1574604.560000000288710,10625736.810000000521541
FS( 29 ),1602308.439999999944121,1503300.529999999795109,1475159.500000000000000,1469788.599999999860302,1612752.099999999860302,1437989.640000000130385,1570868.440000000176951,10672170.249999998137355
FS( 30 ),1612807.839999999850988,1557277.679999999934807,1478240.750000000000000,1465838.579999999841675,1668006.429999999701977,1429534.270000000018626,1588087.080000000307336,10799795.629999998956919
FS( 31 ),1624080.879999999888241,1533276.189999999944121,1473310.750000000000000,1454503.739999999990687,1673972.859999999869615,1419045.330000000307336,1577853.360000000102445,10756046.109999999403954
FS( 32 ),1624412.439999999944121,1537573.399999999906868,1475775.750000000000000,1491599.579999999841675,1680717.520000000018626,1443769.260000000009313,1577528.480000000214204,10831379.429999999701977
FS( 33 ),1636569.639999999897555,1569854.880000000121072,1475406.000000000000000,1483527.799999999813735,1681236.339999999850988,1447194.220000000204891,1590361.240000000223517,10884153.119999999180436
FS( 34 ),1642703.500000000000000,1581803.219999999972060,1477131.500000000000000,1474082.099999999860302,1666449.969999999739230,1450726.209999999962747,1604980.840000000083819,10897880.339999999850988
FS( 35 ),1646295.399999999906868,1598677.630000000121072,1490072.750000000000000,1468758.159999999916181,1649588.320000000065193,1447729.369999999878928,1604168.640000000130385,10905293.270000001415610
FS( 36 ),1630435.779999999795109,1620897.349999999860302,1538510.000000000000000,1468414.679999999934807,1680198.699999999720603,1438952.910000000149012,1592960.280000000260770,10970372.699999999254942
FS( 37 ),1630822.600000000093132,1632531.260000000009313,1540482.000000000000000,1468586.419999999925494,1641806.019999999785796,1438417.760000000009313,1595396.880000000121072,10948045.940000001341105
FS( 38 ),1632259.360000000102445,1639763.149999999906868,1552807.000000000000000,1466697.280000000027940,1651144.779999999795109,1442591.930000000167638,1610828.680000000167638,10996095.179999999701977
FS( 39 ),1633696.120000000111759,1651082.630000000121072,1547507.250000000000000,1472021.219999999739230,1632986.080000000074506,1442484.900000000139698,1612453.080000000307336,10992234.279999999329448
FS( 40 ),1637730.100000000093132,1660515.529999999795109,1547877.000000000000000,1472192.959999999962747,1632986.080000000074506,1452010.570000000065193,1614727.240000000223517,11018042.480000000447035
FS( 41 ),1629772.660000000149012,1651711.490000000223517,1543070.250000000000000,1469101.640000000130385,1622609.679999999701977,1451796.510000000009313,1604168.640000000130385,10972233.870000001043081
FS( 42 ),1640437.839999999850988,1646051.750000000000000,1572527.000000000000000,1476142.979999999981374,1646994.219999999972060,1412623.530000000027940,1601569.600000000093132,10996349.919999999925494
FS( 43 ),1645742.800000000046566,1648567.189999999944121,1583989.250000000000000,1483012.579999999841675,1646734.809999999823049,1417118.790000000037253,1615539.440000000176951,11040707.859999999403954
FS( 44 ),1639498.420000000158325,1671206.149999999906868,1579059.250000000232831,1496064.819999999832362,1645697.169999999925494,1417118.790000000037253,1617001.400000000139698,11065649.000000001862645
FS( 45 ),1706749.839999999850988,1697618.270000000018626,1576471.000000000000000,1514612.739999999990687,1659705.309999999823049,1414550.070000000065193,1626585.360000000102445,11196295.589999997988343
FS( 46 ),1713988.899999999906868,1740275.939999999944121,1584235.750000000000000,1516158.399999999906868,1674491.679999999701977,1406950.939999999944121,1650626.480000000214204,11286731.089999999850988
FS( 47 ),1759744.179999999934807,1744468.340000000083819,1575731.500000000000000,1515127.959999999962747,1662558.820000000065193,1417868.000000000000000,1630808.800000000046566,11306310.600000001490116
FS( 48 ),1769856.760000000009313,1738598.979999999981374,1585838.000000000000000,1508258.359999999869615,1665931.149999999906868,1414014.920000000158325,1619113.120000000111759,11301614.289999999105930
FS( 49 ),1813291.120000000111759,1773500.709999999962747,1634028.750000000000000,1512723.599999999860302,1667747.020000000018626,1416476.610000000102445,1624798.520000000018626,11442569.329999998211861
FS( 50 ),1857996.459999999962747,1785029.810000000055879,1646723.500000000000000,1538828.079999999841675,1677604.599999999860302,1442056.780000000027940,1638605.920000000158325,11586848.149999998509884
FS( 51 ),1852194.160000000149012,1774653.620000000111759,1627126.750000000000000,1517360.579999999841675,1645178.349999999860302,1450512.150000000139698,1635682.000000000000000,11502710.610000001266599
FS( 52 ),1939781.260000000009313,1766164.010000000009313,1631440.500000000232831,1548102.040000000037253,1655295.339999999850988,1464854.170000000158325,1668332.440000000176951,11673972.759999999776483
FS( 53 ),1879824.160000000149012,1769622.740000000223517,1621950.250000000000000,1547415.079999999841675,1663077.639999999897555,1469991.610000000102445,1694322.840000000083819,11646207.320000000298023
FS( 54 ),1866395.980000000214204,1786182.719999999972060,1618376.000000000232831,1545697.679999999934807,1743494.739999999757856,1475450.140000000130385,1699033.600000000093132,11734633.859999999403954
FS( 55 ),1867888.000000000000000,1791213.599999999860302,1633905.500000000000000,1573347.819999999832362,1722223.119999999878928,1491504.640000000130385,1713003.440000000176951,11793089.119999999180436
FS( 56 ),1854570.339999999850988,1775911.340000000083819,1614925.000000000232831,1578328.280000000027940,1741678.869999999878928,1565462.369999999878928,1720313.240000000223517,11851192.439999999478459
FS( 57 ),1849596.939999999944121,1764487.050000000046566,1619485.249999999767169,1576954.359999999869615,1763988.129999999888241,1580018.450000000186265,1718526.400000000139698,11873059.580000000074506
FS( 58 ),1896125.860000000102445,1775282.479999999981374,1610364.750000000000000,1585713.099999999860302,1756465.239999999757856,1589116.000000000000000,1731684.040000000037253,11944754.469999998807907
FS( 59 ),1896733.720000000204891,1751071.370000000111759,1617020.250000000000000,1615424.119999999878928,1765025.770000000018626,1599283.849999999860302,1760760.800000000046566,12005322.880000000819564
FS( 60 ),1883471.320000000065193,1704116.490000000223517,1583619.499999999767169,1613019.760000000009313,1753092.909999999916181,1594360.470000000204891,1779603.840000000083819,11911287.290000000968575
FS( 61 ),1866285.459999999962747,1716484.069999999832362,1543563.250000000000000,1592754.439999999944121,1746607.659999999916181,1591791.750000000000000,1750039.760000000242144,11807529.389999998733401
FS( 62 ),1958348.620000000111759,1706212.689999999944121,1545042.250000000000000,1631739.419999999925494,1769695.149999999906868,1604635.349999999860302,1731684.040000000037253,11947360.519999999552965
