代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10969059.240000000223517
真實報酬,969059.240000000223517

夏普值報酬,0.088205924000000
夏普值風險,0.026406923853254
夏普值,3.340257444985628

二次趨勢線,-78.885767946944469 x^2 + 20801.413099429784779 x + 10000000.000000000000000
二次平均預期報酬,15910.495486719226392
風險,53464.204067849335843
二次平均趨勢值,0.297591552406314
一次趨勢線,17163.047558267018758 x + 10000000.000000000000000
一次預期報酬,17163.047558267018758
一次風險,63084.866159786179196
一次趨勢值,0.272062835400096
找到最佳解世代,1868
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CVX[5](2),INTC[11](3),KO[14](12),MCD[15](9),PG[21](6),UNH[23](18),
FS( 17 ),1732198.520000000018626,1725816.649999999906868,1696683.339999999850988,1718087.790000000270084,1714220.560000000055879,1792005.200000000186265,10379016.059999998658895
FS( 18 ),1734897.800000000046566,1723033.090000000083819,1705643.739999999757856,1703575.020000000018626,1721485.840000000083819,1791062.800000000046566,10379702.290000000968575
FS( 19 ),1729499.239999999990687,1723033.090000000083819,1711468.000000000000000,1704829.210000000195578,1731833.359999999869615,1820512.800000000046566,10421179.700000001117587
FS( 20 ),1722151.200000000186265,1704939.949999999953434,1707883.839999999850988,1689958.100000000093132,1705854.480000000214204,1816507.599999999860302,10347299.169999999925494
FS( 21 ),1729349.280000000027940,1712594.739999999990687,1716396.219999999972060,1701783.320000000298023,1727210.000000000000000,1840774.399999999906868,10428111.960000000894070
FS( 22 ),1716002.840000000083819,1704939.949999999953434,1718188.299999999813735,1702500.000000000000000,1713339.919999999925494,1837476.000000000000000,10392451.009999999776483
FS( 23 ),1722301.159999999916181,1713986.519999999785796,1723564.539999999804422,1712533.520000000018626,1718623.760000000009313,1829230.000000000000000,10420243.500000000000000
FS( 24 ),1725750.239999999990687,1714682.409999999916181,1727148.699999999720603,1711100.160000000149012,1725668.879999999888241,1823575.600000000325963,10427929.990000000223517
FS( 25 ),1737147.200000000186265,1728600.209999999962747,1731628.899999999906868,1705725.060000000288710,1728971.280000000027940,1834884.399999999906868,10466961.050000000745058
FS( 26 ),1717202.520000000018626,1720945.419999999925494,1738349.199999999720603,1769867.920000000158325,1738218.000000000000000,1832528.400000000139698,10517115.459999999031425
FS( 27 ),1734297.960000000195578,1723033.090000000083819,1723564.539999999804422,1768613.729999999981374,1744602.639999999897555,1828287.599999999860302,10522403.560000000521541
FS( 28 ),1716302.760000000009313,1709811.179999999934807,1701163.539999999804422,1744604.950000000186265,1743501.840000000083819,1814387.200000000186265,10429775.469999998807907
FS( 29 ),1711054.159999999916181,1704939.949999999953434,1710123.939999999944121,1748367.520000000018626,1738878.480000000214204,1783523.600000000093132,10396891.650000000372529
FS( 30 ),1725600.280000000027940,1718857.750000000000000,1714604.139999999897555,1748725.860000000102445,1757812.240000000223517,1808497.200000000186265,10474101.469999998807907
FS( 31 ),1743145.600000000093132,1727208.429999999934807,1720428.399999999906868,1743529.930000000167638,1756271.119999999878928,1837711.600000000093132,10528299.079999998211861
FS( 32 ),1727549.760000000009313,1741126.229999999981374,1708779.879999999888241,1721850.360000000102445,1734475.280000000027940,1883889.199999999953434,10517674.709999999031425
FS( 33 ),1732198.520000000018626,1769657.719999999972060,1722668.500000000000000,1730808.860000000102445,1724347.919999999925494,1920878.400000000139698,10600563.919999999925494
FS( 34 ),1733998.040000000037253,1751564.580000000074506,1722220.479999999748543,1710562.650000000139698,1714660.879999999888241,1916402.000000000232831,10549412.629999998956919
FS( 35 ),1737297.159999999916181,1748085.130000000121072,1720428.399999999906868,1723283.720000000204891,1745923.600000000093132,1914988.400000000139698,10590010.410000000149012
FS( 36 ),1755892.200000000186265,1771745.389999999897555,1730284.839999999850988,1718446.130000000121072,1757151.760000000009313,1910747.599999999860302,10644271.919999999925494
FS( 37 ),1765189.719999999972060,1766178.269999999785796,1729836.819999999832362,1717191.940000000176951,1750326.800000000046566,1921114.000000000232831,10649841.550000000745058
FS( 38 ),1764589.880000000121072,1761307.039999999804422,1739245.239999999757856,1722925.380000000121072,1753629.200000000186265,1908862.800000000046566,10650563.540000000968575
FS( 39 ),1777036.560000000055879,1782879.630000000121072,1745069.500000000000000,1742275.739999999990687,1756050.960000000195578,1922998.800000000279397,10726315.190000001341105
FS( 40 ),1783184.919999999925494,1796101.539999999804422,1732076.919999999692664,1756430.170000000158325,1774544.399999999906868,1931716.000000000000000,10774057.949999999254942
FS( 41 ),1784534.560000000055879,1808627.559999999823049,1720876.419999999692664,1754100.960000000195578,1768820.240000000223517,1928182.000000000232831,10765145.740000000223517
FS( 42 ),1789783.159999999916181,1801668.659999999916181,1717292.259999999776483,1748546.690000000176951,1764196.879999999888241,1922763.200000000186265,10744254.850000001490116
FS( 43 ),1785134.400000000139698,1837854.939999999944121,1705643.739999999757856,1749800.880000000121072,1763536.399999999906868,1937841.600000000093132,10779815.959999999031425
FS( 44 ),1781535.360000000102445,1820457.689999999944121,1712364.039999999804422,1753563.450000000186265,1756271.119999999878928,1920878.400000000139698,10745074.060000000521541
FS( 45 ),1759641.200000000186265,1843422.059999999823049,1730284.839999999850988,1738154.830000000307336,1772122.639999999897555,1910276.400000000139698,10753905.970000000670552
FS( 46 ),1766539.360000000102445,1872649.439999999944121,1742829.399999999906868,1757326.020000000018626,1791056.399999999906868,1900381.199999999953434,10830785.819999998435378
FS( 47 ),1786034.159999999916181,1877520.669999999925494,1746861.579999999841675,1762163.610000000102445,1794138.639999999897555,1917580.000000000000000,10884302.660000000149012
FS( 48 ),1749893.800000000046566,1839246.719999999972060,1742381.379999999888241,1781513.970000000204891,1785332.240000000223517,1884596.000000000000000,10782968.110000001266599
FS( 49 ),1754992.440000000176951,1821849.469999999972060,1730732.859999999869615,1779005.590000000316650,1778066.960000000195578,1860093.600000000093132,10724744.919999999925494
FS( 50 ),1780035.760000000009313,1848293.289999999804422,1735213.059999999823049,1793697.530000000027940,1779167.760000000009313,1865512.400000000139698,10801923.800000000745058
FS( 51 ),1804029.360000000102445,1862906.979999999981374,1800175.959999999962747,1806597.770000000018626,1779828.240000000223517,1873287.200000000186265,10926829.510000001639128
FS( 52 ),1826973.239999999990687,1874041.219999999972060,1818544.780000000027940,1806597.770000000018626,1797661.200000000186265,1842188.000000000000000,10966010.210000000894070
FS( 53 ),1854715.840000000083819,1881696.010000000009313,1824369.039999999804422,1796205.910000000149012,1800082.960000000195578,1785408.400000000139698,10942482.160000000149012
FS( 54 ),1863113.600000000093132,1875433.000000000000000,1825713.099999999860302,1785814.050000000279397,1795679.760000000009313,1765853.600000000093132,10911611.109999999403954
FS( 55 ),1859514.560000000055879,1867778.209999999962747,1823921.019999999785796,1779543.100000000093132,1788854.800000000046566,1784937.200000000186265,10904552.890000000596046
FS( 56 ),1869861.800000000046566,1861515.199999999953434,1824817.059999999823049,1776138.870000000111759,1769260.560000000055879,1774806.400000000139698,10876403.890000000596046
FS( 57 ),1864013.360000000102445,1861515.199999999953434,1823473.000000000000000,1788859.940000000176951,1786653.200000000186265,1804492.000000000232831,10929010.700000001117587
FS( 58 ),1859364.600000000093132,1827416.590000000083819,1837361.619999999878928,1804806.070000000298023,1792377.359999999869615,1782581.199999999953434,10903911.439999999478459
FS( 59 ),1885457.640000000130385,1832287.819999999832362,1838257.659999999916181,1797280.930000000167638,1826061.840000000083819,1784466.000000000000000,10963815.890000000596046
FS( 60 ),1889056.679999999934807,1842726.169999999925494,1817648.739999999757856,1818602.160000000149012,1815053.840000000083819,1771743.600000000093132,10954835.189999999478459
FS( 61 ),1882308.479999999981374,1857339.860000000102445,1827505.179999999934807,1816452.120000000111759,1817475.600000000093132,1767974.000000000232831,10969059.240000000223517
