代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11064970.220000000670552
真實報酬,1064970.220000000670552

夏普值報酬,0.097797022000000
夏普值風險,0.027596463582728
夏普值,3.543824436302391

二次趨勢線,-271.788425258529685 x^2 + 32860.595483100463753 x + 10000000.000000000000000
二次平均預期報酬,15194.347841296033948
風險,57479.717543514700083
二次平均趨勢值,0.264342771514026
一次趨勢線,19713.620493850619823 x + 10000000.000000000000000
一次預期報酬,19713.620493850619823
一次風險,139290.907963855657727
一次趨勢值,0.141528408293283
找到最佳解世代,1892
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
CVX[5](2),IBM[10](10),JNJ[12](3),KO[14](21),PFE[20](4),XOM[29](1),
FS( 12 ),1846040.500000000000000,1795905.259999999776483,1669619.360000000102445,1718545.919999999925494,1611185.000000000000000,1699268.949999999953434,10340568.989999998360872
FS( 13 ),1874872.000000000000000,1823812.009999999776483,1659204.879999999888241,1746011.760000000242144,1627829.300000000046566,1724490.099999999627471,10456224.050000000745058
FS( 14 ),1890352.000000000000000,1824432.159999999916181,1671018.320000000065193,1739526.770000000018626,1633932.209999999962747,1726540.599999999860302,10485806.060000000521541
FS( 15 ),1866164.500000000000000,1843532.779999999795109,1667598.640000000130385,1742197.060000000055879,1668330.429999999934807,1714647.699999999953434,10502475.109999999403954
FS( 16 ),1847975.500000000000000,1836959.189999999711290,1669153.040000000037253,1735712.070000000065193,1685529.540000000037253,1724900.199999999953434,10500233.539999999105930
FS( 17 ),1811017.000000000000000,1803471.090000000083819,1686562.320000000065193,1734186.190000000176951,1674988.150000000139698,1717313.349999999860302,10427542.099999999627471
FS( 18 ),1835398.000000000000000,1835098.739999999757856,1683608.960000000195578,1738763.830000000074506,1668885.239999999990687,1722029.500000000000000,10483788.269999999552965
FS( 19 ),1832108.500000000232831,1840680.090000000083819,1682365.440000000176951,1747156.169999999925494,1652240.940000000176951,1726950.699999999720603,10481505.839999999850988
FS( 20 ),1844492.499999999767169,1852214.880000000121072,1696510.479999999981374,1773096.129999999888241,1667220.810000000055879,1733307.250000000000000,10566846.049999998882413
FS( 21 ),1843138.000000000000000,1840804.119999999878928,1694023.440000000176951,1776910.830000000074506,1668330.429999999934807,1733102.199999999720603,10556313.019999999552965
FS( 22 ),1846040.500000000000000,1878509.239999999757856,1681899.120000000111759,1769662.900000000139698,1644473.600000000093132,1714032.550000000046566,10534621.910000000149012
FS( 23 ),1823981.500000000000000,1891780.449999999953434,1697287.679999999934807,1786447.580000000074506,1666666.000000000000000,1701114.399999999674037,10567281.610000001266599
FS( 24 ),1807921.000000000232831,1886199.099999999860302,1687961.280000000027940,1788736.400000000139698,1704393.079999999841675,1705215.399999999674037,10580430.259999999776483
FS( 25 ),1793215.000000000000000,1860524.889999999897555,1693557.120000000111759,1775003.480000000214204,1739900.919999999925494,1685735.649999999674037,10547941.060000000521541
FS( 26 ),1835204.500000000000000,1860772.949999999953434,1700862.800000000046566,1781869.940000000176951,1827006.090000000083819,1708291.149999999906868,10714011.430000001564622
FS( 27 ),1834237.000000000232831,1838819.639999999897555,1698531.199999999953434,1768518.489999999990687,1817574.319999999832362,1689016.449999999953434,10646701.099999999627471
FS( 28 ),1864036.000000000000000,1852462.939999999711290,1695888.719999999972060,1787973.459999999962747,1803149.260000000009313,1706240.649999999674037,10709755.029999999329448
FS( 29 ),1842944.500000000000000,1851222.639999999897555,1693868.000000000000000,1771570.250000000000000,1769305.850000000093132,1708496.199999999720603,10637411.439999999478459
FS( 30 ),1886869.000000000000000,1855935.779999999795109,1703660.719999999972060,1779581.120000000111759,1773189.520000000018626,1729616.349999999627471,10728856.490000000223517
FS( 31 ),1888610.500000000000000,1875780.579999999841675,1707857.600000000093132,1756311.449999999953434,1805368.500000000000000,1739458.749999999767169,10773391.379999998956919
FS( 32 ),1895963.500000000000000,1874912.369999999878928,1707391.280000000027940,1748300.580000000074506,1811471.409999999916181,1751761.750000000000000,10789804.890000000596046
FS( 33 ),1881451.000000000000000,1881858.049999999813735,1712676.240000000223517,1758600.270000000018626,1803149.260000000009313,1742329.449999999720603,10780068.269999999552965
FS( 34 ),1909895.500000000000000,1891904.479999999981374,1724334.240000000223517,1763177.909999999916181,1809252.169999999925494,1758938.500000000000000,10857506.800000000745058
FS( 35 ),1944725.500000000000000,1786106.889999999897555,1751536.240000000223517,1777673.770000000018626,1824786.850000000093132,1767755.649999999674037,10852588.900000000372529
FS( 36 ),1967752.000000000000000,1812277.219999999972060,1765525.840000000083819,1692605.959999999962747,1843650.389999999897555,1779853.599999999860302,10861669.009999999776483
FS( 37 ),1962140.500000000000000,1851842.790000000037253,1765370.399999999906868,1665521.589999999850988,1844205.200000000186265,1779648.550000000046566,10868733.030000001192093
FS( 38 ),1973944.000000000000000,1841920.389999999897555,1761484.399999999906868,1699090.949999999953434,1845869.630000000121072,1794822.250000000000000,10917135.619999999180436
FS( 39 ),1964269.000000000000000,1845765.319999999832362,1764437.760000000242144,1705575.940000000176951,1842540.770000000018626,1790721.249999999767169,10913314.040000000968575
FS( 40 ),1979362.000000000232831,1849114.130000000121072,1755111.360000000102445,1698709.480000000214204,1833663.809999999823049,1796872.749999999767169,10912837.530000001192093
FS( 41 ),2009548.000000000000000,1866354.299999999813735,1752935.199999999953434,1704431.530000000027940,1830889.760000000009313,1813891.899999999674037,10978054.690000001341105
FS( 42 ),1981490.500000000000000,1824184.099999999860302,1748427.440000000176951,1702524.180000000167638,1825896.469999999739230,1805074.750000000000000,10887601.440000001341105
FS( 43 ),1977233.500000000232831,1810168.709999999962747,1742209.840000000083819,1709009.169999999925494,1814800.270000000018626,1812661.600000000093132,10866087.089999999850988
FS( 44 ),1999099.000000000000000,1801858.699999999953434,1752624.320000000065193,1715875.629999999888241,1819793.559999999823049,1827630.249999999767169,10916885.460000000894070
FS( 45 ),1960592.499999999767169,1787719.279999999795109,1751691.679999999934807,1710535.050000000279397,1869726.460000000195578,1806715.149999999906868,10886984.120000001043081
FS( 46 ),1946467.000000000000000,1789207.639999999897555,1744386.000000000000000,1715875.629999999888241,1853082.159999999916181,1803229.299999999813735,10852251.730000000447035
FS( 47 ),1962527.500000000000000,1816742.299999999813735,1754645.040000000037253,1718927.390000000130385,1862513.929999999934807,1805279.800000000046566,10920639.960000000894070
FS( 48 ),1971041.500000000000000,1826912.759999999776483,1752468.879999999888241,1728845.610000000102445,1863068.739999999990687,1814917.149999999906868,10957258.640000000596046
FS( 49 ),1941823.000000000000000,1827532.909999999916181,1767702.000000000000000,1725793.850000000093132,1876384.179999999934807,1816147.449999999720603,10955387.389999998733401
FS( 50 ),1959625.000000000000000,1860152.799999999813735,1782468.800000000046566,1745248.820000000065193,1875274.559999999823049,1845264.549999999813735,11068038.530000001192093
FS( 51 ),1957109.500000000000000,1847501.739999999757856,1777805.600000000093132,1734186.190000000176951,1839766.719999999739230,1821068.649999999906868,10977442.400000000372529
FS( 52 ),1976072.500000000000000,1846137.409999999916181,1775629.440000000176951,1748300.580000000074506,1841431.149999999906868,1838702.949999999953434,11026278.029999999329448
FS( 53 ),1949369.500000000000000,1832246.049999999813735,1765214.960000000195578,1729990.020000000018626,1841431.149999999906868,1817992.899999999674037,10936248.580000000074506
FS( 54 ),1979362.000000000232831,1853827.270000000018626,1778893.679999999934807,1740289.709999999962747,1851972.540000000037253,1836652.449999999720603,11041001.649999998509884
FS( 55 ),1949563.000000000000000,1835718.889999999897555,1769411.840000000083819,1707101.820000000065193,1832554.190000000176951,1835832.250000000000000,10930185.990000000223517
FS( 56 ),1936211.500000000000000,1827532.909999999916181,1765681.280000000027940,1696802.129999999888241,1840321.530000000027940,1832141.349999999627471,10898694.699999999254942
FS( 57 ),1932148.000000000000000,1797641.679999999934807,1754178.719999999972060,1690698.610000000102445,1851972.540000000037253,1847725.149999999906868,10874368.700000001117587
FS( 58 ),1930987.000000000232831,1826416.639999999897555,1750914.479999999981374,1676584.220000000204891,1871945.700000000186265,1840138.299999999813735,10896990.339999999850988
FS( 59 ),1923053.500000000000000,1820463.199999999953434,1743453.360000000102445,1677347.159999999916181,1868062.030000000027940,1837267.599999999627471,10869650.849999999627471
FS( 60 ),1938727.000000000000000,1839563.819999999832362,1751691.679999999934807,1692605.959999999962747,1891918.860000000102445,1838702.949999999953434,10953214.269999999552965
FS( 61 ),1969300.000000000000000,1881485.959999999962747,1761950.719999999972060,1692987.430000000167638,1905789.110000000102445,1850800.899999999906868,11062318.119999999180436
FS( 62 ),1964075.500000000000000,1890788.209999999962747,1754955.920000000158325,1704813.000000000000000,1910227.590000000083819,1841368.599999999860302,11066232.820000000298023
FS( 63 ),1974137.500000000000000,1895749.409999999916181,1757442.960000000195578,1708246.230000000214204,1920214.169999999925494,1845674.649999999906868,11101468.919999999925494
FS( 64 ),1954400.500000000000000,1906912.110000000102445,1751691.679999999934807,1701379.770000000018626,1925207.460000000195578,1825374.699999999720603,11064970.220000000670552
