代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11158225.379999998956919
真實報酬,1158225.379999998956919

夏普值報酬,0.107122538000000
夏普值風險,0.032996050436267
夏普值,3.246526071564525

二次趨勢線,-239.488163124210217 x^2 + 33663.900805429620959 x + 10000000.000000000000000
二次平均預期報酬,18576.146528604374907
風險,62174.446097383086453
二次平均趨勢值,0.298774620356228
一次趨勢線,22438.611623471584608 x + 10000000.000000000000000
一次預期報酬,22438.611623471584608
一次風險,122014.424914203991648
一次趨勢值,0.183901302155459
找到最佳解世代,2122
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](9),DIS[6](1),MMM[16](12),NKE[19](11),UNH[23](6),
FS( 15 ),2004305.120000000111759,2113430.279999999795109,2088519.520000000018626,2066907.959999999962747,2157497.120000000111759,10430660.000000000000000
FS( 16 ),2005560.780000000027940,2115162.039999999571592,2093268.159999999916181,2084239.540000000037253,2184033.519999999552965,10482264.039999999105930
FS( 17 ),1995336.120000000111759,2127067.890000000130385,2097408.000000000000000,2069326.320000000065193,2202393.839999999850988,10491532.169999999925494
FS( 18 ),2005381.400000000139698,2139190.209999999962747,2112506.240000000223517,2076581.400000000139698,2191922.719999999739230,10525581.970000000670552
FS( 19 ),2001435.040000000037253,2142437.259999999776483,2100452.000000000000000,2056025.339999999850988,2181881.919999999925494,10482231.559999998658895
FS( 20 ),1999461.860000000102445,2157590.160000000149012,2103739.520000000018626,2040709.060000000055879,2260487.040000000037253,10561987.640000000596046
FS( 21 ),1982600.140000000130385,2145684.310000000055879,2091198.240000000223517,2018137.699999999953434,2270958.160000000149012,10508578.550000000745058
FS( 22 ),1964124.000000000000000,2141787.850000000093132,2102034.879999999888241,2041515.179999999934807,2308539.439999999478459,10558001.349999999627471
FS( 23 ),1971478.580000000307336,2132263.169999999925494,2099599.680000000167638,2033857.040000000037253,2305527.199999999254942,10542725.669999998062849
FS( 24 ),1957307.560000000055879,2163867.789999999571592,2089737.120000000111759,2089882.380000000121072,2261060.799999999813735,10561855.649999998509884
FS( 25 ),1972375.480000000214204,2179020.689999999944121,2091928.800000000046566,2038290.699999999953434,2256614.160000000149012,10538229.830000000074506
FS( 26 ),1991748.520000000251457,2207811.199999999720603,2143676.800000000279397,2099958.879999999888241,2286449.679999999701977,10729645.079999998211861
FS( 27 ),2011300.940000000176951,2237900.529999999795109,2141606.879999999888241,2077790.579999999841675,2285302.160000000149012,10753901.089999999850988
FS( 28 ),2044127.480000000214204,2269938.089999999850988,2173386.240000000223517,2084642.600000000093132,2296777.360000000335276,10868871.769999999552965
FS( 29 ),2032467.780000000027940,2252620.489999999757856,2187388.639999999664724,2077387.520000000018626,2287740.639999999664724,10837605.070000000298023
FS( 30 ),2066370.600000000093132,2248074.619999999646097,2177526.080000000074506,2108020.080000000074506,2302801.839999999850988,10902793.219999998807907
FS( 31 ),2066370.600000000093132,2252404.020000000018626,2150373.600000000093132,2087464.020000000018626,2293047.919999999925494,10849660.160000000149012
FS( 32 ),2077671.540000000037253,2259764.000000000000000,2143311.520000000018626,2067311.020000000018626,2303949.360000000335276,10852007.440000001341105
FS( 33 ),2080362.239999999990687,2249373.439999999944121,2160723.199999999720603,2052397.800000000046566,2351571.439999999478459,10894428.119999999180436
FS( 34 ),2092380.700000000186265,2279462.770000000018626,2169368.160000000149012,2049576.380000000121072,2317145.839999999850988,10907933.850000001490116
FS( 35 ),2097941.480000000447035,2282926.289999999571592,2175334.399999999906868,2087464.020000000018626,2317863.040000000037253,10961529.230000000447035
FS( 36 ),2099914.660000000149012,2285090.989999999757856,2172655.680000000167638,2108020.080000000074506,2314133.599999999627471,10979815.009999999776483
FS( 37 ),2086102.400000000139698,2282060.410000000149012,2182031.199999999720603,2101571.120000000111759,2317719.599999999627471,10969484.729999998584390
FS( 38 ),2090228.140000000130385,2276215.720000000204891,2176552.000000000000000,2092300.739999999990687,2338518.399999999441206,10973815.000000000000000
FS( 39 ),2103502.259999999776483,2276648.660000000149012,2178621.919999999925494,2067311.020000000018626,2332924.239999999292195,10959008.099999997764826
FS( 40 ),2094533.260000000242144,2257815.770000000018626,2168394.080000000074506,2056428.400000000139698,2315711.439999999478459,10892882.949999999254942
FS( 41 ),2093995.120000000111759,2263443.989999999757856,2172412.160000000149012,2058040.640000000130385,2309973.839999999850988,10897865.750000000000000
FS( 42 ),2077671.540000000037253,2256084.009999999776483,2174360.319999999832362,2048770.260000000009313,2295629.839999999850988,10852515.969999998807907
FS( 43 ),2083591.080000000307336,2296347.429999999701977,2168028.800000000279397,2095122.159999999916181,2315854.879999999888241,10958944.350000001490116
FS( 44 ),2081259.140000000130385,2325787.350000000093132,2171316.319999999832362,2139055.700000000186265,2322453.120000000111759,11039871.630000002682209
FS( 45 ),2091842.560000000055879,2324488.529999999795109,2163888.959999999962747,2138652.639999999664724,2326326.000000000000000,11045198.689999999478459
FS( 46 ),2115161.959999999962747,2359123.729999999981374,2170220.479999999981374,2172912.740000000223517,2329625.120000000111759,11147044.030000001192093
FS( 47 ),2134535.000000000000000,2345702.589999999850988,2158531.520000000018626,2151550.560000000521541,2323026.879999999888241,11113346.550000000745058
FS( 48 ),2136687.560000000521541,2346135.529999999795109,2150130.080000000074506,2140667.940000000409782,2317719.599999999627471,11091340.709999999031425
FS( 49 ),2148167.879999999888241,2369081.350000000093132,2166080.639999999664724,2123739.419999999925494,2322166.239999999292195,11129235.529999997466803
FS( 50 ),2139198.879999999888241,2327735.580000000074506,2160601.439999999944121,2112050.679999999701977,2328907.919999999925494,11068494.500000000000000
FS( 51 ),2135431.900000000372529,2339208.489999999757856,2159992.639999999664724,2133009.799999999813735,2320875.280000000260770,11088518.109999999403954
FS( 52 ),2152652.379999999888241,2337260.259999999776483,2158409.759999999776483,2162433.179999999701977,2304523.120000000111759,11115278.699999999254942
FS( 53 ),2152473.000000000000000,2341373.189999999944121,2173386.240000000223517,2147116.900000000372529,2262638.639999999664724,11076987.969999998807907
FS( 54 ),2148706.020000000484288,2322323.830000000074506,2175699.680000000167638,2133412.860000000335276,2276408.879999999888241,11056551.269999999552965
FS( 55 ),2152652.379999999888241,2330549.689999999944121,2173386.240000000223517,2144295.480000000447035,2275835.120000000111759,11076718.910000000149012
FS( 56 ),2154087.419999999925494,2318860.310000000055879,2173629.759999999776483,2145907.719999999739230,2281716.160000000149012,11074201.370000001043081
FS( 57 ),2152114.240000000223517,2335744.970000000204891,2142702.720000000204891,2154371.980000000447035,2301224.000000000000000,11086157.910000002011657
FS( 58 ),2186375.820000000298023,2338775.550000000279397,2151956.479999999981374,2170897.440000000409782,2312842.639999999664724,11160847.930000003427267
FS( 59 ),2187452.099999999627471,2339208.489999999757856,2153052.319999999832362,2162433.179999999701977,2334502.080000000074506,11176648.169999999925494
FS( 60 ),2187631.480000000447035,2366050.770000000018626,2161088.479999999981374,2143892.419999999925494,2337944.639999999664724,11196607.789999999105930
FS( 61 ),2181891.320000000298023,2401551.850000000093132,2136005.919999999925494,2139458.759999999776483,2325035.040000000037253,11183942.890000000596046
FS( 62 ),2176868.679999999701977,2395274.220000000204891,2128700.319999999832362,2132203.679999999701977,2325178.479999999515712,11158225.379999998956919
