代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10997176.209999999031425
真實報酬,997176.209999999031425

夏普值報酬,0.091017621000000
夏普值風險,0.030468559996627
夏普值,2.987263625523386

二次趨勢線,279.468619689376055 x^2 + -1964.746927818829590 x + 10000000.000000000000000
二次平均預期報酬,16200.713351990616502
風險,39650.387596157852386
二次平均趨勢值,0.408589028611677
一次趨勢線,11553.735140876564401 x + 10000000.000000000000000
一次預期報酬,11553.735140876564401
一次風險,136355.576688918663422
一次趨勢值,0.084732399080642
找到最佳解世代,2646
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](13),KO[14](2),MCD[15](1),WMT[28](3),
FS( 17 ),2541175.360000000335276,2500592.970000000204891,2499031.399999999906868,2479063.259999999776483,10019862.990000000223517
FS( 18 ),2532698.080000000540167,2497628.119999999646097,2505617.879999999888241,2470191.759999999776483,10006135.839999999850988
FS( 19 ),2539156.959999999962747,2509487.520000000018626,2508523.680000000167638,2471966.059999999590218,10029134.219999998807907
FS( 20 ),2536331.200000000186265,2516010.189999999944121,2507748.799999999813735,2495386.819999999366701,10055477.009999999776483
FS( 21 ),2521395.040000000502914,2515417.220000000204891,2495931.879999999888241,2510290.939999999478459,10043035.080000000074506
FS( 22 ),2516147.200000000186265,2526090.680000000167638,2505230.439999999944121,2540454.040000000037253,10087922.359999999403954
FS( 23 ),2513926.959999999962747,2516603.159999999683350,2510848.320000000298023,2557842.179999999701977,10099220.619999999180436
FS( 24 ),2516752.720000000204891,2514824.250000000000000,2510848.320000000298023,2548970.679999999701977,10091395.970000000670552
FS( 25 ),2516550.880000000353903,2530834.439999999944121,2504649.279999999795109,2555358.160000000149012,10107392.759999999776483
FS( 26 ),2518972.959999999962747,2524311.770000000018626,2526345.919999999925494,2542583.200000000186265,10112213.850000001490116
FS( 27 ),2524018.959999999962747,2530241.470000000204891,2521309.200000000186265,2534776.280000000260770,10110345.910000000149012
FS( 28 ),2521395.040000000502914,2526683.649999999906868,2517628.520000000018626,2586940.700000000186265,10152647.910000000149012
FS( 29 ),2509688.320000000298023,2531427.409999999683350,2518015.959999999497086,2592618.459999999962747,10151750.149999998509884
FS( 30 ),2507266.240000000223517,2529648.500000000000000,2541649.799999999813735,2605748.280000000260770,10184312.820000000298023
FS( 31 ),2531083.360000000335276,2546251.659999999683350,2542812.119999999646097,2606103.139999999664724,10226250.279999997466803
FS( 32 ),2522807.919999999925494,2537357.109999999869615,2533126.119999999646097,2595812.200000000186265,10189103.349999997764826
FS( 33 ),2537542.240000000223517,2553960.270000000018626,2544555.599999999627471,2607877.439999999478459,10243935.549999998882413
FS( 34 ),2458824.640000000130385,2578272.039999999571592,2562959.000000000000000,2622071.839999999850988,10222127.519999999552965
FS( 35 ),2449741.840000000316650,2563447.789999999571592,2569545.479999999515712,2628459.319999999366701,10211194.429999999701977
FS( 36 ),2459833.840000000316650,2555146.209999999962747,2581749.840000000316650,2654364.099999999627471,10251093.990000000223517
FS( 37 ),2457613.600000000558794,2553960.270000000018626,2584461.919999999925494,2659332.139999999664724,10255367.929999999701977
FS( 38 ),2480421.520000000484288,2566412.640000000130385,2600346.959999999497086,2653654.379999999888241,10300835.500000000000000
FS( 39 ),2491320.880000000353903,2556332.149999999906868,2745055.799999999813735,2663235.599999999627471,10455944.429999999701977
FS( 40 ),2492935.600000000558794,2564040.760000000242144,2728395.879999999888241,2676720.280000000260770,10462092.520000001415610
FS( 41 ),2497577.919999999925494,2550402.449999999720603,2728977.040000000037253,2677075.139999999664724,10454032.549999998882413
FS( 42 ),2492128.240000000223517,2558704.029999999795109,2710767.359999999869615,2667848.780000000260770,10429448.410000000149012
FS( 43 ),2489504.320000000298023,2562854.819999999832362,2734401.200000000186265,2669623.080000000074506,10456383.420000001788139
FS( 44 ),2496770.560000000521541,2572935.310000000055879,2735950.959999999497086,2679914.019999999552965,10485570.849999999627471
FS( 45 ),2489302.479999999981374,2568784.520000000018626,2762878.040000000037253,2688430.660000000149012,10509395.699999999254942
FS( 46 ),2501816.560000000521541,2588945.500000000000000,2778956.799999999813735,2709012.540000000037253,10578731.400000000372529
FS( 47 ),2492935.600000000558794,2590724.409999999683350,2788836.520000000018626,2714690.299999999813735,10587186.829999998211861
FS( 48 ),2487687.760000000242144,2602583.810000000055879,2794260.680000000167638,2701205.620000000111759,10585737.870000001043081
FS( 49 ),2486880.399999999906868,2580050.949999999720603,2796585.320000000298023,2722497.219999999739230,10586013.890000000596046
FS( 50 ),2478806.800000000279397,2583608.770000000018626,2799684.840000000316650,2721787.500000000000000,10583887.910000000149012
FS( 51 ),2486678.560000000521541,2589538.470000000204891,2793679.520000000018626,2701560.479999999515712,10571457.030000001192093
FS( 52 ),2495559.520000000484288,2584794.709999999962747,2815957.320000000298023,2686656.359999999403954,10582967.910000000149012
FS( 53 ),2563175.919999999925494,2593096.289999999571592,2833779.560000000055879,2707238.240000000223517,10697290.009999999776483
FS( 54 ),2578919.439999999944121,2600211.930000000167638,2853345.279999999795109,2665364.759999999776483,10697841.410000000149012
FS( 55 ),2556717.040000000502914,2604955.689999999944121,2836297.919999999925494,2665719.620000000111759,10663690.269999999552965
FS( 56 ),2562772.240000000223517,2597247.079999999608845,2847921.119999999646097,2751595.740000000223517,10759536.179999999701977
FS( 57 ),2563377.760000000242144,2603176.779999999795109,2870005.200000000186265,2795243.519999999552965,10831803.259999999776483
FS( 58 ),2568625.600000000558794,2619779.939999999944121,2870780.080000000074506,2787436.599999999627471,10846622.220000000670552
FS( 59 ),2573873.439999999944121,2632232.310000000055879,2863612.439999999944121,2785307.439999999478459,10855025.629999998956919
FS( 60 ),2573671.600000000558794,2670182.390000000130385,2896157.399999999906868,2773242.200000000186265,10913253.589999999850988
FS( 61 ),2574075.280000000260770,2692715.250000000000000,2901581.560000000055879,2778919.959999999962747,10947292.050000000745058
FS( 62 ),2561763.040000000502914,2691529.310000000055879,2903131.320000000298023,2772532.479999999515712,10928956.150000000372529
FS( 63 ),2565598.000000000000000,2693901.189999999944121,2904487.359999999869615,2773242.200000000186265,10937228.750000000000000
FS( 64 ),2588607.760000000242144,2696273.069999999832362,2923084.479999999515712,2789210.899999999441206,10997176.209999999031425
