代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10433280.679999999701977
真實報酬,433280.679999999701977

夏普值報酬,0.034628068000000
夏普值風險,0.025963550347853
夏普值,1.333718522161323

二次趨勢線,593.212270868047767 x^2 + -32702.567924155056971 x + 10000000.000000000000000
二次平均預期報酬,5263.017411400001947
風險,159222.814871089765802
二次平均趨勢值,0.033054417582437
一次趨勢線,-4452.585135100298430 x + 10000000.000000000000000
一次預期報酬,-4452.585135100298430
一次風險,312092.755793780554086
一次趨勢值,-1389619565.219874858856201
找到最佳解世代,1909
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](2),VZ[26](1),
FS( 39 ),4674480.750000000000000,4873995.650000000372529,9548476.400000000372529
FS( 40 ),4750745.259999999776483,4901387.899999999441206,9652133.160000000149012
FS( 41 ),4681921.190000000409782,4886778.700000000186265,9568699.890000000596046
FS( 42 ),4661459.980000000447035,4784514.299999999813735,9445974.280000001192093
FS( 43 ),4654019.540000000037253,4802775.799999999813735,9456795.339999999850988
FS( 44 ),4655879.650000000372529,4895909.449999999254942,9551789.099999999627471
FS( 45 ),4691221.740000000223517,4859386.449999999254942,9550608.189999999478459
FS( 46 ),4787947.459999999962747,4842951.099999999627471,9630898.559999998658895
FS( 47 ),4875372.630000000819564,4890431.000000000000000,9765803.630000000819564
FS( 48 ),4873512.520000000484288,4866691.049999999813735,9740203.570000000298023
FS( 49 ),4879092.850000000558794,4837472.649999999441206,9716565.500000000000000
FS( 50 ),4903274.280000000260770,4910518.650000000372529,9813792.929999999701977
FS( 51 ),4912574.830000000074506,4901387.899999999441206,9813962.730000000447035
FS( 52 ),4916295.049999999813735,4894083.299999999813735,9810378.349999999627471
FS( 53 ),4871652.410000000149012,4873995.650000000372529,9745648.060000000521541
FS( 54 ),4862351.860000000335276,4879474.099999999627471,9741825.960000000894070
FS( 55 ),4951637.140000000596046,4870343.350000000558794,9821980.490000002086163
FS( 56 ),5029761.759999999776483,4842951.099999999627471,9872712.859999999403954
FS( 57 ),5046502.750000000000000,4930606.299999999813735,9977109.050000000745058
FS( 58 ),5093005.500000000000000,5116873.599999999627471,10209879.099999999627471
FS( 59 ),5109746.490000000223517,5164353.500000000000000,10274099.990000000223517
FS( 60 ),5120907.150000000372529,5220964.149999999441206,10341871.300000000745058
FS( 61 ),5104166.160000000149012,5279400.950000000186265,10383567.109999999403954
FS( 62 ),5115326.820000000298023,5273922.500000000000000,10389249.320000000298023
FS( 63 ),5126487.480000000447035,5306793.199999999254942,10433280.679999999701977
