代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12103861.440000001341105
真實報酬,2103861.440000001341105

夏普值報酬,0.201686144000000
夏普值風險,0.061935458482101
夏普值,3.256392201541346

二次趨勢線,-58.485173127009659 x^2 + 39727.988767488015583 x + 10000000.000000000000000
二次平均預期報酬,35984.937687359408301
風險,185559.730064694624161
二次平均趨勢值,0.193926439076051
一次趨勢線,36942.805089754416258 x + 10000000.000000000000000
一次預期報酬,36942.805089754416258
一次風險,187437.315901716792723
一次趨勢值,0.197094185392227
找到最佳解世代,1476
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](4),HD[9](8),MSFT[18](2),NKE[19](10),
FS( 14 ),2597979.699999999720603,2577606.100000000093132,2636896.199999999720603,2682251.080000000074506,10494733.080000000074506
FS( 15 ),2574866.540000000037253,2560360.300000000279397,2624342.399999999906868,2668904.410000000149012,10428473.650000000372529
FS( 16 ),2551753.379999999888241,2568541.000000000465661,2622548.999999999534339,2656478.200000000186265,10399321.580000001937151
FS( 17 ),2527886.530000000260770,2572299.700000000186265,2624940.199999999720603,2641750.839999999850988,10366877.269999999552965
FS( 18 ),2519847.169999999925494,2581143.700000000186265,2626733.599999999627471,2876468.140000000130385,10604192.609999999403954
FS( 19 ),2474374.540000000037253,2522773.300000000279397,2587876.599999999627471,2810655.250000000000000,10395679.689999999478459
FS( 20 ),2497738.930000000167638,2496462.400000000372529,2596843.599999999627471,2754046.960000000428408,10345091.890000000596046
FS( 21 ),2567580.870000000111759,2553506.200000000186265,2645863.199999999720603,2829984.910000000149012,10596935.179999999701977
FS( 22 ),2579388.680000000167638,2587555.600000000093132,2666786.199999999720603,2849774.800000000279397,10683505.280000001192093
FS( 23 ),2587679.270000000018626,2604801.400000000372529,2724175.000000000000000,2881530.669999999925494,10798186.339999999850988
FS( 24 ),2609033.819999999832362,2635534.300000000279397,2787541.800000000279397,2859899.860000000335276,10892009.780000001192093
FS( 25 ),2607023.979999999981374,2624037.100000000558794,2794715.399999999906868,2835047.440000000409782,10860823.920000001788139
FS( 26 ),2597477.240000000223517,2645483.800000000279397,2797704.399999999906868,2809734.790000000037253,10850400.230000000447035
FS( 27 ),2628127.299999999813735,2676658.900000000372529,2836561.399999999906868,2874627.220000000204891,11015974.820000000298023
FS( 28 ),2651994.149999999906868,2682628.600000000093132,2816236.199999999720603,2875087.450000000186265,11025946.399999998509884
FS( 29 ),2671841.319999999832362,2695231.300000000279397,2809660.399999999906868,2909604.700000000186265,11086337.719999998807907
FS( 30 ),2677870.840000000316650,2688819.400000000372529,2803084.600000000093132,2895337.569999999832362,11065112.410000000149012
FS( 31 ),2656265.060000000055879,2659192.000000000000000,2790530.799999999813735,2895797.800000000279397,11001785.660000000149012
FS( 32 ),2710530.740000000223517,2693241.400000000372529,2810258.199999999720603,2963911.840000000316650,11177942.179999999701977
FS( 33 ),2719323.790000000037253,2713803.700000000186265,2840148.199999999720603,3002571.159999999683350,11275846.849999999627471
FS( 34 ),2750225.080000000074506,2721763.300000000279397,2846723.999999999534339,3065622.669999999925494,11384335.050000000745058
FS( 35 ),2759520.590000000316650,2716235.800000000279397,2855691.000000000000000,3046293.010000000242144,11377740.400000000372529
FS( 36 ),2765801.340000000316650,2726185.300000000279397,2821616.399999999906868,3048594.159999999683350,11362197.200000001117587
FS( 37 ),2845190.020000000018626,2749621.900000000372529,2871233.799999999813735,3047213.469999999739230,11513259.189999997615814
FS( 38 ),2841170.340000000316650,2755149.400000000372529,3160568.999999999534339,3003951.850000000093132,11760840.589999999850988
FS( 39 ),2851973.229999999981374,2763993.400000000372529,3243065.399999999906868,3023281.510000000242144,11882313.540000000968575
FS( 40 ),2858253.979999999981374,2752054.000000000465661,3209588.599999999627471,3010395.069999999832362,11830291.650000000372529
FS( 41 ),2872574.090000000316650,2737682.500000000000000,3226924.799999999813735,3021440.590000000316650,11858621.980000000447035
FS( 42 ),2890160.189999999944121,2733481.600000000093132,3189861.199999999720603,3017298.520000000018626,11830801.509999999776483
FS( 43 ),2857500.290000000037253,2733702.700000000186265,3146819.600000000093132,3015457.600000000093132,11753480.189999999478459
FS( 44 ),2890160.189999999944121,2750727.400000000372529,3182687.600000000093132,3019139.439999999944121,11842714.629999998956919
FS( 45 ),2902721.689999999944121,2778364.900000000372529,3237087.399999999906868,3023741.740000000223517,11941915.730000000447035
FS( 46 ),2845190.020000000018626,2772174.100000000093132,3252032.399999999906868,2999809.780000000260770,11869206.300000000745058
FS( 47 ),2838909.270000000018626,2779691.500000000465661,3250836.800000000279397,3034327.030000000260770,11903764.600000001490116
FS( 48 ),2905987.680000000167638,2785440.100000000558794,3283118.000000000000000,3032486.110000000335276,12007031.890000000596046
FS( 49 ),2924829.930000000167638,2752717.300000000279397,3237685.199999999720603,3002571.159999999683350,11917803.589999999850988
FS( 50 ),2949952.930000000167638,2769520.900000000372529,3198828.199999999720603,2991525.640000000130385,11909827.669999999925494
FS( 51 ),2927342.229999999981374,2757360.400000000372529,3207197.399999999906868,2932155.970000000204891,11824056.000000001862645
FS( 52 ),2919554.100000000093132,2737461.400000000372529,3187470.000000000000000,2899019.410000000149012,11743504.910000000149012
FS( 53 ),2885135.590000000316650,2653222.300000000279397,3158775.600000000093132,2804212.030000000260770,11501345.519999999552965
FS( 54 ),2912268.430000000167638,2671794.700000000186265,3214371.000000000000000,2841030.430000000167638,11639464.560000000521541
FS( 55 ),2917544.259999999776483,2789862.100000000558794,3166547.000000000000000,2820780.310000000055879,11694733.669999999925494
FS( 56 ),2968041.490000000223517,2797821.700000000186265,3219153.399999999906868,2894417.110000000335276,11879433.699999999254942
FS( 57 ),2982361.600000000093132,2804896.900000000372529,3224533.599999999627471,2894417.110000000335276,11906209.210000000894070
FS( 58 ),3016528.879999999888241,2878965.400000000372529,3239478.599999999627471,3052736.229999999981374,12187709.109999999403954
FS( 59 ),3000198.930000000167638,2929597.300000000279397,3239478.599999999627471,3048133.930000000167638,12217408.759999999776483
FS( 60 ),2963268.120000000111759,2953918.300000000279397,3243065.399999999906868,3049514.620000000577420,12209766.440000001341105
FS( 61 ),2981356.680000000167638,2977133.800000000279397,3209588.599999999627471,3086793.250000000000000,12254872.330000000074506
FS( 62 ),2892421.259999999776483,2979123.700000000651926,3223935.799999999813735,3091395.550000000279397,12186876.310000002384186
FS( 63 ),2850717.080000000074506,2960109.100000000093132,3249043.399999999906868,3043991.860000000335276,12103861.440000001341105
