訓練日期,20170131 - 20170503
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10729808.309999998658895
真實報酬,729808.309999998658895

夏普值報酬,0.064280831000000
夏普值風險,0.019189939803113
夏普值,3.349715093403891

預期報酬,10654.040267976297400
風險,47494.950016893511929
趨勢值,0.224319433206831
找到最佳解世代,2377
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](6),DIS[6](16),KO[14](7),MSFT[18](23),WMT[28](1),XOM[29](28),
20170328,1970439.340000000083819,1698364.530000000027940,1708956.850000000093132,1670760.240000000223517,1764524.799999999813735,1607353.200000000186265,10420402.960000000894070
20170329,1974823.979999999981374,1690552.570000000065193,1708554.080000000074506,1675366.260000000242144,1775063.439999999711290,1610888.399999999906868,10435252.730000000447035
20170330,1972220.600000000093132,1700317.520000000251457,1715803.939999999944121,1681507.620000000111759,1796391.639999999897555,1643883.600000000093132,10510128.919999999925494
20170331,1968521.060000000055879,1703472.350000000093132,1709359.619999999878928,1685345.970000000204891,1808686.719999999739230,1610692.000000000232831,10486081.719999998807907
20170403,1969069.139999999897555,1700617.980000000214204,1708151.309999999823049,1677413.380000000121072,1802413.719999999739230,1611870.399999999906868,10469539.929999999701977
20170404,1983730.280000000027940,1698214.300000000279397,1719026.100000000093132,1682019.400000000372529,1806930.280000000027940,1617762.400000000139698,10507686.759999999776483
20170405,1973453.780000000027940,1697613.380000000121072,1714595.629999999888241,1677669.270000000251457,1797897.159999999916181,1620904.800000000046566,10482138.020000001415610
20170406,1968521.060000000055879,1698364.530000000027940,1718623.330000000074506,1682019.400000000372529,1792376.919999999925494,1630332.000000000232831,10490241.240000000223517
20170407,1964136.419999999925494,1691303.720000000204891,1716206.709999999962747,1680739.950000000419095,1829262.159999999916181,1625422.000000000232831,10507074.959999999031425
20170410,1961807.079999999841675,1689050.270000000251457,1719428.869999999878928,1676901.600000000093132,1833276.879999999888241,1632688.800000000046566,10513157.500000000000000
20170411,1940706.000000000000000,1698664.989999999990687,1718220.559999999823049,1675622.150000000372529,1842560.919999999925494,1626993.200000000186265,10502771.820000000298023
20170412,1943035.340000000083819,1698214.300000000279397,1729498.119999999878928,1669224.900000000372529,1842811.839999999850988,1629546.400000000139698,10512334.900000000372529
20170413,1932758.840000000083819,1700617.980000000214204,1723456.570000000065193,1662059.980000000214204,1835535.159999999916181,1604407.199999999953434,10458839.730000000447035
20170417,1943446.400000000139698,1709331.320000000065193,1734734.129999999888241,1675622.150000000372529,1844066.439999999711290,1602246.800000000046566,10509451.240000000223517
20170418,1934814.139999999897555,1715490.750000000000000,1751247.699999999953434,1673319.140000000130385,1854103.239999999990687,1591837.600000000093132,10520816.570000000298023
20170419,1927689.100000000093132,1708580.170000000158325,1741178.449999999953434,1664362.990000000223517,1858619.799999999813735,1580839.199999999953434,10481273.710000000894070
20170420,1951804.619999999878928,1724504.550000000279397,1735539.670000000158325,1676133.930000000167638,1876936.959999999729916,1591052.000000000232831,10555975.729999998584390
20170421,1949475.280000000027940,1719246.500000000000000,1734734.129999999888241,1699164.030000000260770,1880449.839999999850988,1584767.199999999953434,10567840.980000000447035
20170424,1968247.019999999785796,1708129.480000000214204,1743192.300000000046566,1728079.600000000093132,1876435.119999999878928,1593016.000000000000000,10617103.519999999552965
20170425,1980441.800000000046566,1730363.520000000251457,1736345.209999999962747,1738059.310000000288710,1883209.959999999729916,1605192.800000000279397,10673616.600000001490116
20170426,1968795.100000000093132,1736372.720000000204891,1741581.219999999972060,1735756.300000000046566,1892744.919999999925494,1598711.600000000093132,10673965.859999999403954
20170427,1970302.319999999832362,1740278.700000000186265,1732317.510000000009313,1747015.459999999962747,1892995.839999999850988,1595962.000000000232831,10678875.830000000074506
20170428,1968384.040000000037253,1736673.179999999934807,1737956.290000000037253,1751877.370000000111759,1886471.919999999925494,1603621.600000000093132,10684988.400000000372529
20170501,2008530.900000000139698,1723603.170000000158325,1740775.679999999934807,1776186.920000000158325,1887726.520000000018626,1611674.000000000232831,10748501.189999999478459
20170502,2021273.759999999776483,1718194.890000000130385,1747622.770000000018626,1773372.130000000121072,1895003.199999999720603,1611477.600000000093132,10766948.349999999627471
20170503,2015107.860000000102445,1676881.640000000130385,1744803.379999999888241,1767742.550000000046566,1901025.280000000027940,1624243.600000000093132,10729808.309999998658895
