代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10858389.160000000149012
真實報酬,858389.160000000149012

夏普值報酬,0.077138916000000
夏普值風險,0.029196917205664
夏普值,2.642022630561675

二次趨勢線,142.160843039957257 x^2 + 6749.667475039832425 x + 10000000.000000000000000
二次加權預期報酬,18785.952185756217659
風險,59600.725624885817524
二次加權趨勢值,0.315196702536660
一次趨勢線,13519.657858548933291 x + 10000000.000000000000000
一次預期報酬,13519.657858548933291
一次風險,87693.133910160220694
一次趨勢值,0.154170084426445
找到最佳解世代,2042
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](3),JNJ[12](1),JPM[13](14),KO[14](8),MCD[15](6),TRV[22](4),
FS( 32 ),1686760.419999999925494,1693130.679999999934807,1604776.250000000000000,1726398.959999999962747,1882697.199999999720603,1664866.150000000139698,10258633.660000000149012
FS( 33 ),1673741.500000000000000,1697140.479999999981374,1598872.919999999925494,1721290.219999999972060,1890412.599999999627471,1673588.500000000000000,10255050.219999998807907
FS( 34 ),1705439.739999999757856,1697541.459999999962747,1614488.180000000167638,1725220.020000000018626,1905071.859999999869615,1672342.450000000186265,10320107.710000000894070
FS( 35 ),1732892.679999999701977,1701016.620000000111759,1612964.740000000223517,1736223.459999999962747,1905586.219999999739230,1684249.150000000139698,10372936.869999999180436
FS( 36 ),1731194.560000000055879,1704491.779999999795109,1633150.320000000298023,1744476.040000000037253,1900828.389999999664724,1684387.600000000093132,10398532.689999999478459
FS( 37 ),1747798.399999999906868,1704358.120000000111759,1632198.169999999925494,1769626.760000000009313,1922431.509999999776483,1689787.150000000139698,10466204.109999999403954
FS( 38 ),1764968.279999999795109,1704625.439999999944121,1625342.689999999944121,1784560.000000000000000,1926032.029999999795109,1712908.300000000046566,10518440.740000000223517
FS( 39 ),1760439.959999999962747,1696472.179999999934807,1625533.120000000111759,1783774.040000000037253,1927060.750000000000000,1712077.600000000093132,10505361.650000000372529
FS( 40 ),1763175.819999999832362,1699011.719999999972060,1597730.340000000316650,1785345.959999999962747,1927960.879999999888241,1713046.750000000232831,10486275.470000000670552
FS( 41 ),1770251.319999999832362,1714248.959999999962747,1564405.090000000316650,1786917.880000000121072,1940305.519999999552965,1728553.150000000139698,10504685.919999999925494
FS( 42 ),1767326.779999999795109,1721332.939999999944121,1581734.220000000204891,1799493.239999999990687,1959594.019999999552965,1736167.900000000139698,10565653.099999999627471
FS( 43 ),1794779.719999999739230,1738708.740000000223517,1573736.160000000149012,1803423.040000000037253,1976953.669999999925494,1732706.650000000139698,10620311.980000000447035
FS( 44 ),1782704.199999999720603,1742451.220000000204891,1576592.610000000335276,1807352.840000000083819,1964737.619999999646097,1735891.000000000000000,10609733.490000000223517
FS( 45 ),1761949.399999999906868,1748733.240000000223517,1579829.919999999925494,1806959.859999999869615,1944677.579999999608845,1717200.250000000232831,10559354.250000000000000
FS( 46 ),1774685.299999999813735,1747663.959999999962747,1597920.770000000018626,1788489.800000000046566,1953807.469999999739230,1709862.400000000139698,10572433.699999999254942
FS( 47 ),1791949.520000000018626,1744990.760000000009313,1617725.490000000223517,1773556.560000000055879,1947249.379999999888241,1713739.000000000232831,10589214.710000000894070
FS( 48 ),1792892.919999999925494,1758089.439999999944121,1656001.919999999925494,1781023.180000000167638,1947892.329999999608845,1733814.250000000232831,10669718.039999999105930
FS( 49 ),1792609.899999999906868,1761965.579999999841675,1656382.780000000260770,1781416.159999999916181,1909186.739999999757856,1739906.050000000279397,10641471.210000000894070
FS( 50 ),1802892.959999999962747,1764638.780000000027940,1661905.250000000000000,1769626.760000000009313,1926546.389999999664724,1745859.400000000139698,10671473.540000000968575
FS( 51 ),1815062.819999999832362,1774663.280000000027940,1658477.510000000242144,1780237.219999999972060,1937605.129999999888241,1771611.100000000093132,10737661.059999998658895
FS( 52 ),1844025.199999999720603,1778272.099999999860302,1648575.149999999906868,1778272.320000000065193,1943906.039999999571592,1786286.800000000279397,10779341.609999999403954
FS( 53 ),1853364.859999999869615,1795781.559999999823049,1641148.380000000353903,1780630.200000000186265,1954450.419999999925494,1792101.700000000186265,10817481.120000001043081
FS( 54 ),1878270.620000000111759,1792039.079999999841675,1677139.649999999906868,1783381.060000000055879,1969238.269999999552965,1775903.050000000279397,10875975.730000000447035
FS( 55 ),1871195.120000000111759,1794043.979999999981374,1666666.000000000000000,1792419.600000000093132,1981197.139999999664724,1782548.650000000139698,10888074.490000000223517
FS( 56 ),1879119.679999999701977,1803266.520000000018626,1659048.800000000279397,1777093.380000000121072,1976825.079999999608845,1780195.000000000232831,10875552.459999999031425
FS( 57 ),1881666.859999999869615,1818503.760000000009313,1657144.500000000000000,1771198.680000000167638,1990584.209999999962747,1776456.850000000093132,10895558.860000001266599
FS( 58 ),1907987.719999999739230,1823582.840000000083819,1654097.620000000111759,1778272.320000000065193,1988526.769999999552965,1767457.600000000093132,10919928.869999999180436
FS( 59 ),1886761.219999999739230,1822379.899999999906868,1661333.959999999962747,1785345.959999999962747,1979782.649999999906868,1771472.650000000139698,10907080.339999999850988
FS( 60 ),1876478.159999999683350,1804603.119999999878928,1676758.790000000037253,1770412.719999999972060,1976696.489999999757856,1763581.000000000000000,10868534.279999999329448
FS( 61 ),1883364.979999999981374,1788697.579999999841675,1710464.899999999906868,1781023.180000000167638,1984154.709999999962747,1769119.000000000232831,10916828.349999997764826
FS( 62 ),1862987.540000000037253,1772925.699999999720603,1735792.090000000316650,1761767.159999999916181,1969109.679999999701977,1749874.450000000186265,10852460.620000001043081
FS( 63 ),1865723.399999999906868,1768247.599999999860302,1740552.840000000316650,1762553.120000000111759,1969495.449999999720603,1751812.750000000232831,10858389.160000000149012
