代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12352339.929999999701977
真實報酬,2352339.929999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13513.272171694070494
風險,296843.361380823771469
起點值,0.045523241984710
找到最佳解世代,2273
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
FS( 50 ),10433907.279999999329448,10433907.279999999329448
FS( 51 ),10423863.130000000819564,10423863.130000000819564
FS( 52 ),10381677.699999999254942,10381677.699999999254942
FS( 53 ),10502207.500000000000000,10502207.500000000000000
FS( 54 ),10522295.800000000745058,10522295.800000000745058
FS( 55 ),10646843.259999999776483,10646843.259999999776483
FS( 56 ),10701081.669999999925494,10701081.669999999925494
FS( 57 ),10727196.459999999031425,10727196.459999999031425
FS( 58 ),10767373.060000000521541,10767373.060000000521541
FS( 59 ),10668940.389999998733401,10668940.389999998733401
FS( 60 ),10568498.889999998733401,10568498.889999998733401
FS( 61 ),11020485.639999998733401,11020485.639999998733401
FS( 62 ),10815584.980000000447035,10815584.980000000447035
FS( 63 ),10849735.089999999850988,10849735.089999999850988
FS( 64 ),10992362.019999999552965,10992362.019999999552965
FS( 65 ),11036556.279999999329448,11036556.279999999329448
FS( 66 ),11032538.620000001043081,11032538.620000001043081
FS( 67 ),11179183.209999999031425,11179183.209999999031425
FS( 68 ),10976291.380000000819564,10976291.380000000819564
FS( 69 ),10992362.019999999552965,10992362.019999999552965
FS( 70 ),11100838.839999999850988,11100838.839999999850988
FS( 71 ),11291677.689999999478459,11291677.689999999478459
FS( 72 ),11283642.370000001043081,11283642.370000001043081
FS( 73 ),11239448.110000001266599,11239448.110000001266599
FS( 74 ),11283642.370000001043081,11283642.370000001043081
FS( 75 ),11329845.459999999031425,11329845.459999999031425
FS( 76 ),11363995.570000000298023,11363995.570000000298023
FS( 77 ),11349933.759999999776483,11349933.759999999776483
FS( 78 ),11460419.409999998286366,11460419.409999998286366
FS( 79 ),11450375.259999999776483,11450375.259999999776483
FS( 80 ),11349933.759999999776483,11349933.759999999776483
FS( 81 ),11223377.469999998807907,11223377.469999998807907
FS( 82 ),11398145.679999999701977,11398145.679999999701977
FS( 83 ),11542781.439999999478459,11542781.439999999478459
FS( 84 ),11552825.589999999850988,11552825.589999999850988
FS( 85 ),11572913.889999998733401,11572913.889999998733401
FS( 86 ),11534746.120000001043081,11534746.120000001043081
FS( 87 ),11629161.130000000819564,11629161.130000000819564
FS( 88 ),11727593.800000000745058,11727593.800000000745058
FS( 89 ),11562869.740000000223517,11562869.740000000223517
FS( 90 ),11502604.839999999850988,11502604.839999999850988
FS( 91 ),11586975.699999999254942,11586975.699999999254942
FS( 92 ),11496578.349999999627471,11496578.349999999627471
FS( 93 ),11355960.250000000000000,11355960.250000000000000
FS( 94 ),11410198.659999998286366,11410198.659999998286366
FS( 95 ),11486534.199999999254942,11486534.199999999254942
FS( 96 ),11548807.929999999701977,11548807.929999999701977
FS( 97 ),11532737.289999999105930,11532737.289999999105930
FS( 98 ),11546799.099999999627471,11546799.099999999627471
FS( 99 ),11279624.709999999031425,11279624.709999999031425
FS( 100 ),10735231.779999999329448,10735231.779999999329448
FS( 101 ),10433907.279999999329448,10433907.279999999329448
FS( 102 ),10399757.169999999925494,10399757.169999999925494
FS( 103 ),10924061.800000000745058,10924061.800000000745058
FS( 104 ),11311765.990000000223517,11311765.990000000223517
FS( 105 ),11299713.009999999776483,11299713.009999999776483
FS( 106 ),11225386.300000000745058,11225386.300000000745058
FS( 107 ),10912008.820000000298023,10912008.820000000298023
FS( 108 ),11118918.310000000521541,11118918.310000000521541
FS( 109 ),11134988.949999999254942,11134988.949999999254942
FS( 110 ),11018476.810000000521541,11018476.810000000521541
FS( 111 ),11225386.300000000745058,11225386.300000000745058
FS( 112 ),11034547.449999999254942,11034547.449999999254942
FS( 113 ),11086777.029999999329448,11086777.029999999329448
FS( 114 ),11231412.789999999105930,11231412.789999999105930
FS( 115 ),11239448.110000001266599,11239448.110000001266599
FS( 116 ),11434304.620000001043081,11434304.620000001043081
FS( 117 ),11609072.830000000074506,11609072.830000000074506
FS( 118 ),11578940.380000000819564,11578940.380000000819564
FS( 119 ),11556843.250000000000000,11556843.250000000000000
FS( 120 ),11707505.500000000000000,11707505.500000000000000
FS( 121 ),11649249.429999999701977,11649249.429999999701977
FS( 122 ),11595011.019999999552965,11595011.019999999552965
FS( 123 ),11530728.459999999031425,11530728.459999999031425
FS( 124 ),12555231.759999999776483,12555231.759999999776483
FS( 125 ),12267969.070000000298023,12267969.070000000298023
FS( 126 ),12020882.980000000447035,12020882.980000000447035
FS( 127 ),12352339.929999999701977,12352339.929999999701977
