代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12963215.070000000298023
真實報酬,2963215.070000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,24638.357644189440180
風險,210787.009555551718222
起點值,0.116887457610124
找到最佳解世代,1915
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),UNH[23](2),
FS( 61 ),5787096.419999999925494,5403590.879999998956919,11190687.299999998882413
FS( 62 ),5909090.500000000000000,5492618.279999999329448,11401708.779999999329448
FS( 63 ),6049852.900000000372529,5603690.559999999590218,11653543.460000000894070
FS( 64 ),6008210.689999999478459,5551969.879999999888241,11560180.570000000298023
FS( 65 ),6055131.489999999292195,5564688.079999999143183,11619819.569999998435378
FS( 66 ),5951319.219999999739230,5534164.399999999441206,11485483.619999999180436
FS( 67 ),6034603.639999999664724,5557057.160000000149012,11591660.800000000745058
FS( 68 ),6111436.450000000186265,5610473.599999999627471,11721910.050000000745058
FS( 69 ),6121407.120000000111759,5728328.919999999925494,11849736.039999999105930
FS( 70 ),6139588.930000000633299,5763092.000000000000000,11902680.929999999701977
FS( 71 ),6187682.750000000000000,5739351.359999999403954,11927034.109999999403954
FS( 72 ),6268621.129999999888241,5796159.319999999366701,12064780.449999999254942
FS( 73 ),5974779.620000000111759,5765635.639999999664724,11740415.259999999776483
FS( 74 ),6197066.910000000149012,5733416.200000000186265,11930483.109999999403954
FS( 75 ),6113195.980000000447035,5673216.719999999739230,11786412.699999999254942
FS( 76 ),6146040.540000000037253,5615560.879999999888241,11761601.419999999925494
FS( 77 ),6312609.379999999888241,5981845.039999999105930,12294454.419999998062849
FS( 78 ),6273313.209999999962747,6058154.240000000223517,12331467.449999999254942
FS( 79 ),6267448.110000000335276,6120049.480000000447035,12387497.589999999850988
FS( 80 ),6321993.540000000037253,6163291.359999999403954,12485284.899999998509884
FS( 81 ),6272726.700000000186265,6149725.279999999329448,12422451.980000000447035
FS( 82 ),6258063.950000000186265,6157356.200000000186265,12415420.150000000372529
FS( 83 ),6193547.849999999627471,6122593.119999999180436,12316140.969999998807907
FS( 84 ),6147213.560000000521541,6171770.160000000149012,12318983.720000000670552
FS( 85 ),6201172.480000000447035,6127680.399999999441206,12328852.879999998956919
FS( 86 ),6164222.349999999627471,6176857.439999999478459,12341079.789999999105930
FS( 87 ),6258063.950000000186265,6203141.719999999739230,12461205.669999999925494
FS( 88 ),6328445.150000000372529,6126832.520000000484288,12455277.670000001788139
FS( 89 ),6304984.750000000000000,6218403.559999999590218,12523388.309999998658895
FS( 90 ),6278005.290000000037253,6209924.759999998845160,12487930.049999998882413
FS( 91 ),6241641.669999999925494,6182792.599999999627471,12424434.269999999552965
FS( 92 ),6207624.089999999850988,6204837.480000000447035,12412461.570000000298023
FS( 93 ),6177712.080000000074506,6183640.480000000447035,12361352.560000000521541
FS( 94 ),6113782.489999999292195,6137854.959999999962747,12251637.449999999254942
FS( 95 ),6230497.980000000447035,6219251.439999999478459,12449749.419999999925494
FS( 96 ),6109090.410000000149012,6146333.759999998845160,12255424.169999998062849
FS( 97 ),6025219.480000000447035,6053914.839999999850988,12079134.320000000298023
FS( 98 ),6068621.219999999739230,6056458.480000000447035,12125079.699999999254942
FS( 99 ),6141934.969999999739230,6080199.119999999180436,12222134.089999999850988
FS( 100 ),6136656.379999999888241,6143790.119999999180436,12280446.500000000000000
FS( 101 ),6094427.660000000149012,6092069.439999999478459,12186497.099999999627471
FS( 102 ),6166568.389999999664724,6102244.000000000000000,12268812.390000000596046
FS( 103 ),6186509.730000000447035,6150573.160000000149012,12337082.890000000596046
FS( 104 ),6189442.280000000260770,6137007.079999999143183,12326449.359999999403954
FS( 105 ),6053371.959999999962747,6064089.399999999441206,12117461.359999999403954
FS( 106 ),6056891.019999999552965,6065785.160000000149012,12122676.179999999701977
FS( 107 ),6154251.680000000633299,6142094.359999999403954,12296346.039999999105930
FS( 108 ),6095014.169999999925494,6082742.759999998845160,12177756.929999999701977
FS( 109 ),6158943.760000000707805,6152268.919999999925494,12311212.679999999701977
FS( 110 ),6238709.120000000111759,6219251.439999999478459,12457960.559999998658895
FS( 111 ),6255131.400000000372529,6277755.160000000149012,12532886.560000000521541
FS( 112 ),6221113.819999999366701,6279450.919999999925494,12500564.739999998360872
FS( 113 ),6286802.939999999478459,6295560.639999999664724,12582363.579999998211861
FS( 114 ),6344280.919999999925494,6327780.079999999143183,12672061.000000000000000
FS( 115 ),6406450.980000000447035,6374413.480000000447035,12780864.460000000894070
FS( 116 ),6439882.049999999813735,6337106.759999998845160,12776988.809999998658895
FS( 117 ),6529618.080000000074506,6315061.879999999888241,12844679.960000000894070
FS( 118 ),6784163.419999999925494,6369326.200000000186265,13153489.620000001043081
FS( 119 ),6868620.860000000335276,6300647.919999999925494,13169268.780000001192093
FS( 120 ),6944280.650000000372529,6192967.160000000149012,13137247.810000000521541
FS( 121 ),6981817.290000000037253,6006433.559999999590218,12988250.849999999627471
FS( 122 ),6840468.379999999888241,5983540.799999998882413,12824009.179999999701977
FS( 123 ),6892081.260000000707805,6089525.799999998882413,12981607.059999998658895
FS( 124 ),6979471.250000000000000,6131919.799999998882413,13111391.049999998882413
FS( 125 ),6950732.260000000707805,6103091.879999999888241,13053824.140000000596046
FS( 126 ),7001758.629999999888241,6118353.719999999739230,13120112.349999999627471
FS( 127 ),6964221.989999999292195,6103939.759999998845160,13068161.749999998137355
FS( 128 ),6891494.750000000000000,6071720.319999999366701,12963215.070000000298023
