代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12511504.760000001639128
真實報酬,2511504.760000001639128

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21110.443710582432686
風險,171668.717461946158437
起點值,0.122971989438099
找到最佳解世代,2375
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,4
BA[2](15),MCD[15](3),PG[21](4),UNH[23](1),
FS( 107 ),3258964.500000000465661,2805335.800000000279397,2812168.779999999795109,3402580.650000000372529,12279049.730000000447035
FS( 108 ),3225861.749999999534339,2869222.800000000279397,2790091.779999999795109,3338038.570000000298023,12223214.900000000372529
FS( 109 ),3252248.000000000465661,2868341.599999999627471,2794948.719999999739230,3336021.629999999888241,12251559.949999999254942
FS( 110 ),3358752.500000000465661,2861292.000000000000000,2782144.060000000055879,3352157.150000000372529,12354345.710000000894070
FS( 111 ),3361630.999999999534339,2873188.199999999720603,2789208.700000000186265,3378377.370000000111759,12402405.269999999552965
FS( 112 ),3350117.000000000000000,2887287.400000000372529,2795831.799999999813735,3318877.639999999664724,12352113.839999999850988
FS( 113 ),3329487.750000000465661,2904911.400000000372529,2812610.320000000298023,3280555.780000000260770,12327565.250000000000000
FS( 114 ),3296864.750000000000000,2911079.799999999813735,2805104.140000000130385,3332996.219999999739230,12346044.910000000149012
FS( 115 ),3328528.250000000000000,2924738.399999999906868,2826298.060000000055879,3302742.120000000111759,12382306.830000001937151
FS( 116 ),3400011.000000000000000,2937956.400000000372529,2813934.939999999944121,3387453.600000000558794,12539355.940000001341105
FS( 117 ),3392814.750000000000000,2931347.400000000372529,2818791.880000000353903,3468131.200000000186265,12611085.230000000447035
FS( 118 ),3449905.000000000000000,2952496.200000000186265,2820558.040000000037253,3358207.969999999739230,12581167.210000000894070
FS( 119 ),3462858.250000000465661,2967476.599999999627471,2849258.140000000130385,3344089.389999999664724,12623682.379999998956919
FS( 120 ),3469574.749999999534339,2943243.600000000093132,2808636.459999999962747,3299716.709999999962747,12521171.519999999552965
FS( 121 ),3477730.499999999534339,2947649.600000000558794,2809078.000000000000000,3340055.509999999776483,12574513.609999999403954
FS( 122 ),3482528.000000000000000,2963511.200000000186265,2812168.779999999795109,3290640.480000000447035,12548848.460000000894070
FS( 123 ),3555450.000000000000000,2955139.799999999813735,2813934.939999999944121,3311818.350000000558794,12636343.089999999850988
FS( 124 ),3527624.500000000000000,2962630.000000000000000,2810844.159999999683350,3334004.690000000409782,12635103.350000001490116
FS( 125 ),3483487.500000000000000,2939718.799999999813735,2793624.100000000093132,3294674.360000000335276,12511504.760000001639128
