代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13874986.070000000298023
真實報酬,3874986.070000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,31097.134657833426900
風險,196362.723546664317837
起點值,0.158365773789257
找到最佳解世代,2474
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](26),HD[9](1),MCD[15](21),MRK[17](8),
FS( 19 ),2700896.000000000465661,2957417.639999999664724,2717681.870000000577420,2716977.860000000335276,11092973.370000001043081
FS( 20 ),2702764.800000000279397,2858495.139999999664724,2711288.010000000242144,2780329.060000000055879,11052877.009999999776483
FS( 21 ),2701830.400000000372529,2833170.979999999981374,2698500.290000000037253,2732023.770000000018626,10965525.440000001341105
FS( 22 ),2646233.600000000093132,2812595.100000000093132,2671181.070000000298023,2697180.610000000335276,10827190.380000000819564
FS( 23 ),2652307.200000000651926,2848207.200000000186265,2689200.130000000353903,2707475.179999999701977,10897189.710000000894070
FS( 24 ),2690150.400000000372529,2884610.680000000167638,2702859.740000000223517,2734399.439999999944121,11012020.259999999776483
FS( 25 ),2671462.400000000372529,2879862.399999999906868,2726400.770000000484288,2694013.050000000279397,10971738.620000001043081
FS( 26 ),2667724.800000000279397,2955043.500000000465661,2749941.800000000279397,2717769.750000000000000,11090479.850000001490116
FS( 27 ),2711174.400000000372529,3002526.299999999813735,2749360.540000000037253,2729648.100000000093132,11192709.339999999850988
FS( 28 ),2638291.200000000186265,2940798.659999999683350,2692687.690000000409782,2675799.580000000074506,10947577.129999998956919
FS( 29 ),2571014.400000000372529,2943964.180000000167638,2710416.120000000577420,2769242.600000000093132,10994637.300000000745058
FS( 30 ),2567276.800000000279397,3012022.860000000335276,2754010.620000000577420,2848431.600000000093132,11181741.880000000819564
FS( 31 ),2531302.400000000372529,3027059.080000000074506,2733666.520000000484288,2824674.900000000372529,11116702.900000002235174
FS( 32 ),2595308.800000000279397,3012814.240000000223517,2745582.350000000093132,2829426.239999999757856,11183131.630000000819564
FS( 33 ),2568211.200000000186265,2994612.500000000465661,2707219.190000000409782,2778745.280000000260770,11048788.170000001788139
FS( 34 ),2519155.200000000186265,2977202.139999999664724,2682225.010000000242144,2758948.030000000260770,10937530.379999998956919
FS( 35 ),2502336.000000000465661,2997778.020000000484288,2695303.359999999869615,2767658.820000000298023,10963076.200000001117587
FS( 36 ),2463091.200000000186265,2932884.860000000335276,2681934.380000000353903,2703515.729999999981374,10781426.170000001788139
FS( 37 ),2513081.600000000093132,2936050.380000000353903,2692687.690000000409782,2677383.360000000335276,10819203.030000001192093
FS( 38 ),2449542.400000000372529,2890150.340000000316650,2670018.550000000279397,2628286.179999999701977,10637997.470000000670552
FS( 39 ),2426649.600000000093132,2886193.439999999944121,2676703.040000000037253,2625910.509999999776483,10615456.589999999850988
FS( 40 ),2510278.399999999906868,2951877.979999999981374,2724947.620000000577420,2713018.409999999683350,10900122.410000000149012
FS( 41 ),2490656.000000000465661,3083247.060000000055879,2716228.720000000204891,2730439.989999999757856,11020571.770000001415610
FS( 42 ),2550924.800000000279397,3103822.939999999944121,2776098.500000000000000,2831010.020000000018626,11261856.259999999776483
FS( 43 ),2589235.200000000186265,3113319.500000000465661,2775517.240000000223517,2825466.790000000037253,11303538.730000000447035
FS( 44 ),2600915.200000000186265,3160802.299999999813735,2781329.840000000316650,2809628.989999999757856,11352676.330000000074506
FS( 45 ),2622873.600000000093132,3183752.319999999832362,2771157.790000000037253,2792207.409999999683350,11369991.120000001043081
FS( 46 ),2609324.800000000279397,3190874.740000000223517,2790339.370000000577420,2803293.870000000111759,11393832.780000001192093
FS( 47 ),2596710.400000000372529,3223321.319999999832362,2803127.090000000316650,2819923.560000000055879,11443082.370000001043081
FS( 48 ),2607456.000000000465661,3158428.159999999683350,2816786.700000000186265,2786664.179999999701977,11369335.039999999105930
FS( 49 ),2627078.399999999906868,3183752.319999999832362,2849046.630000000353903,2825466.790000000037253,11485344.140000000596046
FS( 50 ),2615398.399999999906868,3169507.479999999981374,2862124.980000000447035,2804085.759999999776483,11451116.619999999180436
FS( 51 ),2594841.600000000093132,3126772.959999999962747,2848174.740000000223517,2770826.380000000353903,11340615.680000001564622
FS( 52 ),2537376.000000000465661,3097491.899999999906868,2836840.170000000391155,2815964.110000000335276,11287672.179999999701977
FS( 53 ),2528966.400000000372529,3119650.540000000037253,2852243.560000000055879,2879315.310000000055879,11380175.810000000521541
FS( 54 ),2542982.400000000372529,3198788.540000000037253,2833352.609999999869615,2870604.520000000018626,11445728.070000000298023
FS( 55 ),2550924.800000000279397,3181378.180000000167638,2826086.859999999869615,2888026.100000000093132,11446415.939999999478459
FS( 56 ),2642496.000000000465661,3319869.680000000167638,2872006.399999999906868,2935539.500000000000000,11769911.580000000074506
FS( 57 ),2646233.600000000093132,3323826.580000000074506,2883050.340000000316650,2956128.639999999664724,11809239.160000000149012
FS( 58 ),2660249.600000000093132,3317495.540000000037253,2865612.540000000037253,2974342.110000000335276,11817699.789999999105930
FS( 59 ),2692019.200000000186265,3330949.000000000465661,2910660.190000000409782,3001266.370000000111759,11934894.760000001639128
FS( 60 ),2713510.400000000372529,3341236.939999999944121,2922285.390000000130385,2989388.020000000018626,11966420.750000000000000
FS( 61 ),2687347.200000000651926,3286631.720000000204891,2894094.280000000260770,2964047.540000000037253,11832120.740000002086163
FS( 62 ),2703699.200000000186265,3324617.959999999962747,2929841.770000000484288,2987804.239999999757856,11945963.169999999925494
FS( 63 ),2703232.000000000465661,3326992.100000000093132,2915891.530000000260770,2985428.570000000298023,11931544.200000001117587
FS( 64 ),2744812.800000000279397,3334905.899999999906868,2872587.660000000149012,3032941.969999999739230,11985248.329999998211861
FS( 65 ),2759296.000000000465661,3382388.700000000186265,2888572.310000000055879,3036109.530000000260770,12066366.540000002831221
FS( 66 ),2790131.200000000186265,3410087.000000000465661,2901360.030000000260770,3067785.130000000353903,12169363.360000001266599
FS( 67 ),2819097.600000000558794,3418792.180000000167638,2923738.540000000037253,3046404.100000000093132,12208032.419999999925494
FS( 68 ),2814892.800000000279397,3421166.319999999832362,2895838.060000000055879,3040068.979999999981374,12171966.160000000149012
FS( 69 ),2824704.000000000465661,3444907.720000000204891,2897581.840000000316650,3050363.550000000279397,12217557.110000001266599
FS( 70 ),2820032.000000000465661,3439368.060000000055879,2904266.330000000540167,3041652.759999999776483,12205319.150000000372529
FS( 71 ),2812556.800000000279397,3433828.399999999906868,2922866.649999999906868,3057490.560000000055879,12226742.410000000149012
FS( 72 ),2801811.200000000186265,3443324.959999999962747,2916472.790000000037253,3034525.750000000000000,12196134.699999999254942
FS( 73 ),2834515.200000000186265,3461526.700000000186265,2922285.390000000130385,3074120.250000000000000,12292447.540000000968575
FS( 74 ),2863948.800000000279397,3551744.020000000484288,2951639.020000000484288,3078079.699999999720603,12445411.539999999105930
FS( 75 ),2855072.000000000465661,3593687.159999999683350,2942920.120000000577420,3108963.409999999683350,12500642.690000001341105
FS( 76 ),2805081.600000000093132,3522462.959999999962747,2956870.359999999869615,3104212.070000000298023,12388626.990000000223517
FS( 77 ),2852736.000000000465661,3551744.020000000484288,2933910.590000000316650,3070160.800000000279397,12408551.410000002011657
FS( 78 ),2806016.000000000465661,3558075.060000000055879,2869971.990000000223517,3070952.689999999944121,12305015.740000000223517
FS( 79 ),2981216.000000000465661,3581816.459999999962747,2883922.230000000447035,3063033.790000000037253,12509988.480000000447035
FS( 80 ),2967667.200000000651926,3557283.680000000167638,2882469.080000000540167,3070952.689999999944121,12478372.650000000372529
FS( 81 ),2985420.800000000279397,3550952.639999999664724,2868228.209999999962747,3050363.550000000279397,12454965.199999999254942
FS( 82 ),3023731.200000000186265,3543038.840000000316650,2868228.209999999962747,3079663.479999999981374,12514661.730000000447035
FS( 83 ),3046624.000000000000000,3512966.399999999906868,2878690.890000000130385,3030566.300000000279397,12468847.590000001713634
FS( 84 ),3044755.200000000186265,3519297.439999999944121,2859799.940000000409782,3059074.340000000316650,12482926.920000001788139
FS( 85 ),3037747.200000000186265,3518506.060000000055879,2866193.800000000279397,3044028.429999999701977,12466475.490000000223517
FS( 86 ),3068115.200000000186265,3574694.040000000037253,2906591.370000000577420,3038485.199999999720603,12587885.810000000521541
FS( 87 ),3096614.400000000372529,3577068.180000000167638,2891478.609999999869615,3040860.870000000111759,12606022.059999998658895
FS( 88 ),3129318.400000000372529,3597644.060000000055879,2932748.070000000298023,3059074.340000000316650,12718784.870000001043081
FS( 89 ),3181644.799999999813735,3574694.040000000037253,2907753.890000000130385,3042444.650000000372529,12706537.380000000819564
FS( 90 ),3291436.800000000279397,3582607.840000000316650,2906010.109999999869615,3021063.620000000111759,12801118.370000001043081
FS( 91 ),3293305.600000000093132,3587356.120000000111759,2890897.350000000093132,3002058.259999999776483,12773617.330000000074506
FS( 92 ),3354508.800000000279397,3634838.919999999925494,2896128.690000000409782,3017896.060000000055879,12903372.470000000670552
FS( 93 ),3400294.400000000372529,3645126.860000000335276,2893222.390000000130385,3025814.959999999962747,12964458.609999999403954
FS( 94 ),3321804.799999999813735,3617428.560000000055879,2865903.170000000391155,3010769.050000000279397,12815905.580000000074506
FS( 95 ),3351705.600000000093132,3634838.919999999925494,2884794.120000000577420,3020271.729999999981374,12891610.370000001043081
FS( 96 ),3351238.400000000372529,3696566.560000000055879,2906010.109999999869615,3053531.110000000335276,13007346.179999999701977
FS( 97 ),3436268.800000000279397,3713185.540000000037253,2920541.609999999869615,3019479.840000000316650,13089475.789999999105930
FS( 98 ),3424121.600000000558794,3685487.240000000223517,2925482.320000000298023,3026606.850000000093132,13061698.009999999776483
FS( 99 ),3446547.200000000186265,3715559.680000000167638,2929841.770000000484288,3049571.659999999683350,13141520.310000002384186
FS( 100 ),3486726.399999999906868,3717933.819999999832362,2915600.899999999906868,3025023.070000000298023,13145284.189999999478459
FS( 101 ),3509152.000000000465661,3713976.919999999925494,2916763.420000000391155,3021063.620000000111759,13160955.960000000894070
FS( 102 ),3573625.600000000093132,3737718.319999999832362,2899906.880000000353903,3039277.090000000316650,13250527.890000000596046
FS( 103 ),3620345.600000000093132,3764625.240000000223517,2885375.380000000353903,3022647.400000000372529,13292993.620000001043081
FS( 104 ),3633894.400000000372529,3755920.060000000055879,2884503.490000000223517,2992555.580000000074506,13266873.530000001192093
FS( 105 ),3638566.399999999906868,3751963.159999999683350,2891769.240000000223517,3003642.040000000037253,13285940.839999999850988
FS( 106 ),3558675.200000000186265,3750380.399999999906868,2904556.959999999962747,3044820.320000000298023,13258432.879999998956919
FS( 107 ),3539052.800000000279397,3671242.399999999906868,2903103.810000000055879,2964839.429999999701977,13078238.439999999478459
FS( 108 ),3541856.000000000465661,3750380.399999999906868,2911532.080000000540167,2954544.860000000335276,13158313.339999999850988
FS( 109 ),3617542.400000000372529,3784409.740000000223517,2817949.220000000204891,2961671.870000000111759,13181573.230000000447035
FS( 110 ),3638566.399999999906868,3806568.380000000353903,2814461.660000000149012,2977509.669999999925494,13237106.110000001266599
FS( 111 ),3684352.000000000465661,3845346.000000000465661,2809230.320000000298023,3017104.169999999925494,13356032.490000000223517
FS( 112 ),3791808.000000000000000,3888871.899999999906868,2812717.880000000353903,3031358.189999999944121,13524755.970000000670552
FS( 113 ),3935238.400000000372529,3914987.439999999944121,2827540.010000000242144,3026606.850000000093132,13704372.699999999254942
FS( 114 ),3908140.800000000745058,3893620.180000000167638,2849337.260000000242144,3013936.610000000335276,13665034.850000001490116
FS( 115 ),3908140.800000000745058,3881749.479999999981374,2838293.320000000298023,3011560.939999999944121,13639744.540000000968575
FS( 116 ),4011859.200000000651926,3864339.120000000111759,2840327.730000000447035,3000474.479999999981374,13717000.530000001192093
FS( 117 ),4044563.200000000186265,3907865.020000000484288,2838002.690000000409782,2990179.909999999683350,13780610.820000000298023
FS( 118 ),4021203.200000000186265,3940311.600000000093132,2810974.100000000093132,2985428.570000000298023,13757917.470000000670552
FS( 119 ),4000179.200000000651926,3931606.419999999925494,2784236.140000000130385,2977509.669999999925494,13693531.430000001564622
FS( 120 ),3978220.800000000745058,3920527.100000000093132,2776970.390000000130385,3009977.159999999683350,13685695.450000001117587
FS( 121 ),4051104.000000000000000,3967218.520000000484288,2818239.850000000093132,3061450.009999999776483,13898012.380000000819564
FS( 122 ),4101094.400000000372529,3960096.100000000093132,2828993.160000000149012,3072536.469999999739230,13962720.129999998956919
FS( 123 ),4122118.400000000372529,3949808.159999999683350,2821436.780000000260770,3033733.860000000335276,13927097.199999999254942
FS( 124 ),4070259.200000000651926,3949808.159999999683350,2837712.060000000055879,3009977.159999999683350,13867756.580000000074506
FS( 125 ),4001580.800000000745058,3981463.360000000335276,2851081.040000000037253,3040860.870000000111759,13874986.070000000298023
