代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11709618.439999999478459
真實報酬,1709618.439999999478459

夏普值報酬,0.162261844000000
夏普值風險,0.044516163979319
夏普值,3.645009576193132

預期報酬,29001.858441077816678
風險,134337.612127742613666
趨勢值,0.215887851374787
找到最佳解世代,2506
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),BA[2](7),DD[7](1),NKE[19](11),
20130722,2687552.500000000000000,2607865.680000000167638,2688276.849999999627471,2485081.770000000018626,10468776.799999998882413
20130723,2641657.299999999813735,2630561.400000000372529,2685002.469999999739230,2481155.920000000391155,10438377.089999999850988
20130724,2777136.399999999906868,2610062.040000000502914,2671359.219999999739230,2459171.160000000149012,10517728.820000000298023
20130725,2764338.700000000186265,2603961.040000000502914,2719383.459999999497086,2453674.970000000204891,10541358.169999999925494
20130726,2780225.500000000000000,2577116.640000000130385,2697008.529999999795109,2455245.310000000055879,10509595.980000000447035
20130729,2823031.600000000093132,2557837.480000000447035,2719929.189999999944121,2462311.840000000316650,10563110.109999999403954
20130730,2857894.300000000279397,2580289.160000000149012,2724840.759999999776483,2467808.030000000260770,10630832.250000000000000
20130731,2853040.000000000465661,2564914.640000000130385,2723203.569999999366701,2470163.540000000502914,10611321.750000000000000
20130801,2879076.699999999720603,2603961.040000000502914,2751035.799999999348074,2590294.550000000279397,10824368.089999999850988
20130802,2916145.899999999906868,2633245.840000000316650,2814886.209999999497086,2602857.270000000018626,10967135.219999998807907
20130805,2959393.300000000279397,2623484.240000000223517,2835078.219999999739230,2606783.120000000577420,11024738.880000002682209
20130806,2932915.299999999813735,2612258.400000000372529,2802334.419999999925494,2612279.310000000521541,10959787.429999999701977
20130807,2931591.400000000372529,2597127.920000000391155,2820343.509999999776483,2576946.660000000149012,10926009.490000000223517
20130808,2906437.299999999813735,2582973.600000000093132,2868367.750000000000000,2593435.230000000447035,10951213.880000000819564
20130809,2864955.100000000093132,2570527.560000000055879,2956230.279999999795109,2603642.439999999944121,10995355.379999998956919
20130812,2946595.599999999627471,2543927.200000000186265,2912571.879999999422580,2611494.140000000130385,11014588.820000000298023
20130813,3086487.699999999720603,2592491.160000000149012,2943678.489999999292195,2584013.189999999944121,11206670.539999997243285
20130814,3142532.799999999813735,2541974.880000000353903,2933855.349999999627471,2525910.610000000335276,11144273.640000000596046
20130815,3139002.399999999906868,2507077.160000000149012,2887468.299999999348074,2492933.470000000204891,11026481.330000000074506
20130816,3166804.300000000279397,2525136.120000000111759,2866730.559999999590218,2499214.830000000074506,11057885.810000000521541
20130819,3200784.399999999906868,2555641.120000000111759,2846538.549999999348074,2540043.670000000391155,11143007.739999998360872
20130820,3158860.899999999906868,2553444.760000000242144,2871642.129999999422580,2537688.160000000149012,11121635.949999999254942
20130821,3167245.599999999627471,2535873.880000000353903,2886376.839999999850988,2518058.910000000149012,11107555.230000000447035
20130822,3170775.999999999534339,2565890.800000000279397,2890196.949999999720603,2546325.030000000260770,11173188.780000001192093
20130823,3158419.599999999627471,2574188.160000000149012,3010803.279999999795109,2520414.420000000391155,11263825.459999999031425
20130826,3170775.999999999534339,2575408.360000000335276,3003708.789999999571592,2509422.040000000502914,11259315.189999999478459
20130827,3080309.500000000000000,2518791.080000000074506,2919120.639999999664724,2466237.690000000409782,10984458.910000000149012
20130828,3094872.399999999906868,2520255.320000000298023,2910388.959999999497086,2488222.450000000186265,11013739.129999998956919
20130829,3099726.699999999720603,2560765.960000000428408,2915846.259999999776483,2492148.300000000279397,11068487.220000000670552
20130830,3071483.499999999534339,2536117.920000000391155,2906568.849999999627471,2466237.690000000409782,10980407.960000000894070
20130903,3080309.500000000000000,2562718.280000000260770,2909843.229999999515712,2524340.270000000018626,11077211.279999999329448
20130904,3143856.699999999720603,2595907.720000000204891,2936038.269999999552965,2557317.410000000149012,11233120.099999999627471
20130905,3122233.000000000000000,2602740.840000000316650,2985153.969999999739230,2566739.450000000186265,11276867.259999997913837
20130906,3140767.600000000093132,2588586.520000000018626,2996614.299999999348074,2551036.050000000279397,11277004.470000000670552
20130909,3191075.800000000279397,2615919.000000000000000,3016260.579999999608845,2567524.620000000577420,11390780.000000001862645
20130910,3118261.299999999813735,2639834.920000000391155,3107397.489999999292195,2623271.689999999944121,11488765.400000000372529
20130911,2948802.099999999627471,2665703.160000000149012,3097028.619999999646097,2653893.319999999832362,11365427.199999999254942
20130912,2980134.399999999906868,2679613.439999999944121,3020080.689999999944121,2672737.399999999906868,11352565.929999999701977
20130913,2930708.799999999813735,2716951.560000000055879,3098665.809999999590218,2666456.040000000502914,11412782.209999999031425
20130916,2837594.500000000000000,2822864.920000000391155,3093208.509999999776483,2677448.420000000391155,11431116.349999999627471
20130917,2870692.000000000000000,2858006.680000000167638,3086114.019999999552965,2682159.439999999944121,11496972.139999998733401
20130918,2929384.899999999906868,2889487.840000000316650,3175613.739999999292195,2727699.300000000279397,11722185.780000001192093
20130919,2977486.600000000093132,2905106.400000000372529,3155967.459999999497086,2728484.470000000204891,11767044.929999999701977
20130920,2946595.599999999627471,2846292.760000000242144,3085568.289999999571592,2723773.450000000186265,11602230.099999997764826
20130923,3093107.200000000186265,2867768.280000000260770,3049550.109999999869615,2708070.050000000279397,11718495.640000000596046
20130924,3083398.600000000093132,2904130.240000000223517,3039726.969999999739230,2726128.959999999962747,11753384.769999999552965
20130925,3035738.200000000186265,2892172.280000000260770,3097574.349999999627471,2705714.540000000502914,11731199.370000001043081
20130926,3065305.299999999813735,2913403.760000000242144,3107943.219999999739230,2761461.610000000335276,11848113.890000000596046
20130927,3043240.299999999813735,2897785.200000000186265,3032632.479999999515712,2891014.660000000149012,11864672.640000000596046
20130930,3005729.799999999813735,2867524.240000000223517,2984608.239999999292195,2851756.160000000149012,11709618.439999999478459
