代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12074958.660000000149012
真實報酬,2074958.660000000149012

夏普值報酬,0.198795866000000
夏普值風險,0.052059368608913
夏普值,3.818637669108488

預期報酬,33866.444211075169733
風險,146202.770157404156635
趨勢值,0.231640236191243
找到最佳解世代,1813
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,4
AAPL[0](3),JNJ[12](18),MSFT[18](2),PFE[20](20),
20090421,2894472.280000000260770,2493346.079999999608845,2581654.600000000093132,2481644.700000000186265,10451117.660000000149012
20090422,2889478.959999999962747,2432510.239999999757856,2555797.310000000055879,2393539.259999999776483,10271325.769999999552965
20090423,2981023.160000000149012,2442966.399999999441206,2574850.050000000279397,2437591.979999999981374,10436431.589999999850988
20090424,2946069.919999999925494,2420152.959999999962747,2845671.140000000130385,2417401.149999999906868,10629295.169999999925494
20090427,2966043.200000000186265,2417301.279999999795109,2776264.729999999981374,2476138.110000000335276,10635747.320000000298023
20090428,2946069.919999999925494,2407320.399999999441206,2712301.959999999962747,2457782.810000000055879,10523475.089999999850988
20090429,2976029.839999999850988,2425381.039999999571592,2755851.080000000074506,2465124.930000000167638,10622386.889999998733401
20090430,2992674.240000000223517,2488593.279999999795109,2757211.990000000223517,2452276.220000000204891,10690755.730000000447035
20090501,3025963.040000000037253,2499524.719999999739230,2754490.169999999925494,2492657.880000000353903,10772635.810000000521541
20090504,3140809.400000000372529,2555132.479999999515712,2747685.620000000111759,2566079.080000000074506,11009706.580000000074506
20090505,3155789.360000000335276,2583649.279999999795109,2693249.219999999739230,2621144.979999999981374,11053832.839999999850988
20090506,3150796.040000000037253,2576520.079999999608845,2693249.219999999739230,2553230.370000000111759,10973795.710000000894070
20090507,3069238.480000000447035,2608839.119999999646097,2629286.450000000186265,2599118.620000000111759,10906482.669999999925494
20090508,3072567.360000000335276,2613116.639999999664724,2642895.550000000279397,2643171.340000000316650,10971750.890000000596046
20090511,3080889.560000000521541,2571767.279999999795109,2629286.450000000186265,2597283.090000000316650,10879226.380000000819564
20090512,2957721.000000000000000,2614067.199999999720603,2706858.320000000298023,2740454.430000000167638,11019100.949999999254942
20090513,2841210.200000000186265,2621196.399999999441206,2687805.580000000074506,2802862.450000000186265,10953074.629999998956919
20090514,2922767.759999999776483,2615017.759999999776483,2729993.790000000037253,2815711.160000000149012,11083490.469999998807907
20090515,2911116.679999999701977,2633553.679999999701977,2751768.350000000093132,2755138.669999999925494,11051577.379999998956919
20090518,3010983.080000000074506,2663971.599999999627471,2803482.930000000167638,2788178.209999999962747,11266615.820000000298023
20090519,3030956.360000000335276,2656367.119999999646097,2764016.540000000037253,2771658.439999999944121,11222998.459999999031425
20090520,2992674.240000000223517,2655416.559999999590218,2773542.910000000149012,2773493.970000000204891,11195127.680000001564622
20090521,2952727.679999999701977,2613591.919999999925494,2697331.950000000186265,2722099.130000000353903,10985750.679999999701977
20090522,2912781.120000000111759,2603135.759999999776483,2687805.580000000074506,2745961.020000000484288,10949683.480000000447035
20090526,3109185.040000000037253,2626424.479999999515712,2768099.270000000018626,2756974.200000000186265,11260682.989999998360872
20090527,3164111.560000000521541,2576995.359999999869615,2739520.160000000149012,2690895.120000000111759,11171522.199999999254942
20090528,3212380.320000000298023,2591729.039999999571592,2783069.279999999795109,2696401.709999999962747,11283580.349999997764826
20090529,3229024.719999999739230,2621671.679999999701977,2842949.320000000298023,2788178.209999999962747,11481823.929999999701977
20090601,3313911.160000000149012,2651139.039999999571592,2912355.729999999981374,2709250.419999999925494,11586656.349999999627471
20090602,3317240.040000000037253,2671576.079999999608845,2912355.729999999981374,2749632.080000000074506,11650803.929999999701977
20090603,3352193.280000000260770,2669199.679999999701977,2957265.760000000242144,2733112.310000000055879,11711771.030000001192093
20090604,3417106.440000000409782,2653990.719999999739230,2970874.859999999869615,2687224.060000000055879,11729196.080000000074506
20090605,3440408.600000000558794,2658268.239999999757856,3013063.070000000298023,2663362.169999999925494,11775102.080000000074506
20090608,3420435.320000000298023,2644009.839999999850988,3000814.880000000353903,2626651.570000000298023,11691911.610000001266599
20090609,3393804.280000000260770,2647336.799999999813735,3004897.609999999869615,2593612.030000000260770,11639650.719999998807907
20090610,3335548.879999999888241,2645435.679999999701977,3068860.380000000353903,2578927.790000000037253,11628772.730000000447035
20090611,3327226.679999999701977,2663971.599999999627471,3106965.859999999869615,2685388.530000000260770,11783552.669999998062849
20090612,3257320.200000000186265,2664446.879999999888241,3175011.359999999869615,2709250.419999999925494,11806028.859999999403954
20090615,3235682.480000000447035,2602185.199999999720603,3187259.550000000279397,2593612.030000000260770,11618739.260000001639128
20090616,3242340.240000000223517,2596006.559999999590218,3191342.279999999795109,2599118.620000000111759,11628807.699999999254942
20090617,3224031.400000000372529,2623572.799999999813735,3222643.209999999962747,2676210.880000000353903,11746458.290000000968575
20090618,3230689.160000000149012,2651614.319999999832362,3198146.830000000074506,2738618.899999999906868,11819069.210000000894070
20090619,3317240.040000000037253,2665872.719999999739230,3275718.700000000186265,2753303.140000000130385,12012134.600000001490116
20090622,3265642.400000000372529,2637355.919999999925494,3168206.810000000055879,2714757.009999999776483,11785962.140000000596046
20090623,3185749.280000000260770,2614542.479999999515712,3176372.270000000018626,2703743.830000000074506,11680407.859999999403954
20090624,3239011.360000000335276,2635930.079999999608845,3194064.100000000093132,2701908.300000000279397,11770913.839999999850988
20090625,3325562.240000000223517,2674427.759999999776483,3237613.219999999739230,2813875.630000000353903,12051478.849999999627471
20090626,3387146.520000000484288,2690112.000000000000000,3177733.180000000167638,2788178.209999999962747,12043169.910000000149012
20090629,3375495.440000000409782,2707222.079999999608845,3247139.589999999850988,2801026.919999999925494,12130884.029999999329448
20090630,3387146.520000000484288,2699617.599999999627471,3234891.399999999906868,2753303.140000000130385,12074958.660000000149012
