代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13238796.439999999478459
真實報酬,3238796.439999999478459

夏普值報酬,0.315179644000000
夏普值風險,0.089691251994061
夏普值,3.514051114158477

預期報酬,12409.669766790959329
風險,306392.864632142474875
趨勢值,0.040502476393143
找到最佳解世代,1941
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
AAPL[0](2),MCD[15](9),VZ[26](12),WMT[28](3),
20110901,2837847.759999999776483,2670476.000000000000000,2409347.500000000000000,2476947.950000000186265,10394619.210000000894070
20110902,2786232.129999999422580,2641420.960000000428408,2387859.500000000000000,2447780.050000000279397,10263292.640000000596046
20110906,2828463.099999999627471,2633416.000000000000000,2365028.500000000000000,2431314.300000000279397,10258221.900000000372529
20110907,2859745.299999999813735,2647350.560000000521541,2391888.500000000000000,2466127.600000000093132,10365111.960000000894070
20110908,2861309.409999999683350,2627189.919999999925494,2375772.500000000000000,2456248.150000000372529,10320519.980000000447035
20110909,2811779.259999999776483,2521050.080000000074506,2366371.500000000000000,2416259.900000000372529,10115460.740000000223517
20110912,2830027.209999999497086,2555441.760000000242144,2367043.000000000000000,2437900.600000000093132,10190412.570000000298023
20110913,2864959.000000000000000,2553366.400000000372529,2383830.500000000000000,2427080.250000000465661,10229236.150000000372529
20110914,2899369.419999999459833,2572044.640000000130385,2390545.500000000000000,2455777.700000000186265,10317737.259999999776483
20110915,2927002.029999999795109,2611180.000000000000000,2430164.000000000000000,2470361.649999999906868,10438707.679999999701977
20110916,2982788.619999999646097,2617702.560000000521541,2465753.500000000000000,2476947.950000000186265,10543192.629999998956919
20110919,3065686.449999999254942,2633119.520000000018626,2436207.500000000000000,2467538.950000000186265,10602552.419999998062849
20110920,3079242.069999999832362,2647943.520000000018626,2444937.000000000000000,2460011.750000000000000,10632134.339999999850988
20110921,3069857.409999999683350,2594873.600000000093132,2406661.500000000000000,2414378.100000000093132,10485770.609999999403954
20110922,2992694.649999999441206,2549512.160000000149012,2389874.000000000000000,2365451.300000000279397,10297532.109999999403954
20110923,3011463.969999999739230,2590426.400000000372529,2409347.500000000000000,2389914.700000000186265,10401152.570000000298023
20110926,3003122.049999999813735,2648832.960000000428408,2441579.500000000000000,2438371.050000000279397,10531905.560000000521541
20110927,2973925.329999999608845,2660692.160000000149012,2477169.000000000000000,2447780.050000000279397,10559566.540000000968575
20110928,2957241.489999999757856,2609994.080000000074506,2473811.500000000000000,2413907.650000000372529,10454954.720000000670552
20110929,2909275.449999999254942,2632230.080000000074506,2494628.000000000000000,2443075.550000000279397,10479209.080000000074506
20110930,2839933.239999999757856,2603768.000000000000000,2471125.500000000000000,2441664.200000000186265,10356490.940000001341105
20111003,2789881.719999999739230,2550401.600000000093132,2440236.500000000000000,2444486.900000000372529,10225006.720000000670552
20111004,2774240.619999999646097,2564039.680000000167638,2444265.500000000000000,2487768.300000000279397,10270314.099999999627471
20111005,2817514.329999999608845,2544768.479999999981374,2401961.000000000000000,2476947.950000000186265,10241191.759999999776483
20111006,2810736.519999999552965,2582717.919999999925494,2411362.000000000000000,2481652.450000000186265,10286468.890000000596046
20111007,2754428.559999999590218,2585386.240000000223517,2428149.500000000000000,2526345.200000000186265,10294309.500000000000000
20111010,2895719.829999999608845,2624225.120000000111759,2477840.500000000000000,2578565.150000000372529,10576350.599999999627471
20111011,2981224.509999999776483,2648832.960000000428408,2450980.500000000000000,2574331.100000000093132,10655369.070000000298023
20111012,2995822.869999999646097,2619777.919999999925494,2462396.000000000000000,2596912.700000000186265,10674909.489999998360872
20111013,3042224.799999999813735,2647943.520000000018626,2485898.500000000000000,2588444.600000000558794,10764511.420000001788139
20111014,3143370.579999999608845,2666621.760000000242144,2506715.000000000000000,2609144.400000000372529,10925851.740000000223517
20111017,3128250.849999999627471,2628672.319999999832362,2480526.500000000000000,2577153.800000000279397,10814603.470000000670552
20111018,3144934.689999999478459,2657727.360000000335276,2500671.500000000000000,2629373.750000000000000,10932707.300000000745058
20111019,2969233.000000000000000,2657134.400000000372529,2487913.000000000000000,2646309.950000000186265,10760590.350000001490116
20111020,2944207.239999999757856,2639049.120000000111759,2491270.500000000000000,2651955.350000000093132,10726482.209999999031425
20111021,2925959.289999999571592,2737184.000000000000000,2512758.500000000000000,2677830.100000000093132,10853731.889999998733401
20111024,3022412.739999999757856,2727993.120000000111759,2479855.000000000000000,2671243.800000000279397,10901504.660000000149012
20111025,2962455.189999999478459,2720877.600000000093132,2430164.000000000000000,2667950.650000000372529,10781447.439999999478459
20111026,2983831.359999999403954,2721174.080000000074506,2471797.000000000000000,2699000.350000000093132,10875802.789999999105930
20111027,3014070.819999999832362,2772465.120000000111759,2528874.500000000000000,2719700.150000000372529,11035110.589999999850988
20111028,3016156.299999999813735,2765942.560000000521541,2526860.000000000000000,2688650.450000000186265,10997609.310000000521541
20111031,3015113.559999999590218,2752897.439999999944121,2483212.500000000000000,2668421.100000000093132,10919644.599999999627471
20111101,2953070.529999999795109,2725028.319999999832362,2448966.000000000000000,2645369.049999999813735,10772433.899999998509884
20111102,2959848.339999999850988,2743410.080000000074506,2471125.500000000000000,2675007.400000000372529,10849391.320000000298023
20111103,3002079.309999999590218,2757344.640000000130385,2514773.000000000000000,2701352.600000000093132,10975549.549999998882413
20111104,2981224.509999999776483,2781359.520000000018626,2495971.000000000000000,2705116.200000000186265,10963671.230000000447035
20111107,2977053.549999999813735,2805374.400000000372529,2507386.500000000000000,2725816.000000000000000,11015630.449999999254942
20111108,3025540.959999999497086,2804781.439999999944121,2519473.500000000000000,2790738.100000000093132,11140534.000000000000000
20111109,2944207.239999999757856,2746967.840000000316650,2477169.000000000000000,2730990.950000000186265,10899335.030000001192093
20111110,2869129.959999999497086,2765053.120000000111759,2506715.000000000000000,2734754.550000000279397,10875652.630000000819564
20111111,2864959.000000000000000,2809525.120000000111759,2519473.500000000000000,2785092.700000000186265,10979050.320000000298023
20111114,2824813.509999999776483,2788771.520000000018626,2484555.500000000000000,2770508.750000000000000,10868649.279999999329448
20111115,2896241.199999999254942,2800927.200000000186265,2500671.500000000000000,2703234.400000000372529,10901074.300000000745058
20111116,2866001.739999999757856,2761791.840000000316650,2461053.000000000000000,2666539.300000000279397,10755385.880000000819564
20111117,2811257.889999999664724,2736294.560000000521541,2464410.500000000000000,2668891.549999999813735,10680854.500000000000000
20111118,2792488.569999999832362,2749636.160000000149012,2448294.500000000000000,2692414.049999999813735,10682833.280000001192093
20111121,2748693.489999999757856,2735998.080000000074506,2422106.000000000000000,2665598.399999999906868,10572395.970000000670552
20111122,2804480.079999999608845,2746967.840000000316650,2430164.000000000000000,2674536.950000000186265,10656148.870000001043081
20111123,2733573.759999999776483,2723842.400000000372529,2373758.000000000000000,2664657.500000000000000,10495831.660000000149012
20111125,2708026.629999999422580,2730661.439999999944121,2373758.000000000000000,2676418.750000000000000,10488864.820000000298023
20111128,2801351.859999999403954,2779877.120000000111759,2434193.000000000000000,2693354.950000000186265,10708776.929999999701977
20111129,2779454.319999999832362,2770982.719999999739230,2459710.000000000000000,2736636.350000000093132,10746783.389999998733401
20111130,2846711.049999999813735,2832057.600000000093132,2533575.000000000000000,2770979.200000000186265,10983322.850000001490116
20111201,2889463.389999999664724,2831464.640000000130385,2536261.000000000000000,2757336.150000000372529,11014525.179999999701977
20111202,2902497.639999999664724,2837394.240000000223517,2541633.000000000000000,2732872.750000000465661,11014397.630000000819564
20111205,2927002.029999999795109,2827017.439999999944121,2555063.000000000000000,2744634.000000000465661,11053716.470000000670552
20111206,2911882.299999999813735,2846585.120000000111759,2573193.500000000000000,2765333.800000000279397,11096994.720000000670552
20111207,2897805.309999999590218,2859630.240000000223517,2572522.000000000000000,2752631.649999999906868,11082589.199999999254942
20111208,2909796.819999999832362,2873564.800000000279397,2538947.000000000000000,2727697.799999999813735,11050006.419999999925494
20111209,2931694.359999999403954,2906474.080000000074506,2580580.000000000000000,2743693.100000000093132,11162441.539999999105930
20111212,2918660.109999999403954,2919815.680000000167638,2575208.000000000000000,2732872.750000000465661,11146556.539999999105930
20111213,2895719.829999999608845,2905584.640000000130385,2569164.500000000000000,2709820.700000000186265,11080289.669999999925494
20111214,2831591.319999999832362,2894021.919999999925494,2569164.500000000000000,2712172.950000000186265,11006950.690000001341105
20111215,2822206.659999999683350,2909735.360000000335276,2579908.500000000000000,2726286.450000000186265,11038136.969999998807907
20111216,2837847.759999999776483,2890464.160000000149012,2604082.500000000000000,2741340.850000000558794,11073735.269999999552965
20111219,2846711.049999999813735,2883052.160000000149012,2594010.000000000000000,2718288.800000000279397,11042062.009999999776483
20111220,2948899.569999999832362,2929896.000000000000000,2632957.000000000000000,2784622.250000000000000,11296374.820000000298023
20111221,2953070.529999999795109,2941162.240000000223517,2634300.000000000000000,2794031.250000000000000,11322564.019999999552965
20111222,2968711.629999999422580,2923373.439999999944121,2638329.000000000000000,2784622.250000000000000,11315036.320000000298023
20111223,3004164.789999999571592,2969327.840000000316650,2684662.500000000000000,2822258.250000000465661,11480413.379999998956919
20111227,3028147.809999999590218,2981187.040000000037253,2685334.000000000000000,2814731.050000000279397,11509399.900000000372529
20111228,2998951.089999999850988,2952428.479999999981374,2669889.500000000000000,2810026.549999999813735,11431295.620000001043081
20111229,3017199.039999999571592,2988895.520000000018626,2689363.000000000000000,2822258.250000000465661,11517715.809999998658895
20111230,3016677.669999999459833,2974664.479999999981374,2694063.500000000000000,2811437.899999999906868,11496843.549999998882413
20120103,3063079.599999999627471,2930488.960000000428408,2667875.000000000000000,2838253.550000000279397,11499697.110000001266599
20120104,3079242.069999999832362,2946795.360000000335276,2632957.000000000000000,2809085.650000000372529,11468080.080000000074506
20120105,3113652.489999999757856,2959840.479999999981374,2614826.500000000000000,2795442.600000000093132,11483762.069999998435378
20120106,3145977.429999999701977,2982669.439999999944121,2573865.000000000000000,2775683.700000000186265,11478195.570000000298023
20120109,3141285.099999999627471,2954207.360000000335276,2576551.000000000000000,2784151.800000000279397,11456195.260000001639128
20120110,3152233.869999999646097,2955986.240000000223517,2589981.000000000000000,2777565.500000000000000,11475766.609999999403954
20120111,3147020.169999999459833,2962805.280000000260770,2612140.500000000000000,2794501.700000000186265,11516467.649999998509884
20120112,3138678.250000000000000,2981780.000000000000000,2613483.500000000000000,2799206.200000000186265,11533147.949999999254942
20120113,3126686.739999999757856,2975257.439999999944121,2613483.500000000000000,2801088.000000000000000,11516515.679999999701977
20120117,3163182.639999999664724,2981187.040000000037253,2620198.500000000000000,2815671.950000000186265,11580240.129999998956919
20120118,3196028.949999999254942,3011131.520000000018626,2619527.000000000000000,2823199.149999999906868,11649886.619999999180436
20120119,3186122.919999999459833,3002237.120000000111759,2618855.500000000000000,2851426.150000000372529,11658641.689999999478459
20120120,3130336.329999999608845,3016468.160000000149012,2616841.000000000000000,2870244.149999999906868,11633889.640000000596046
20120123,3183516.069999999832362,2993046.240000000223517,2578565.500000000000000,2865539.649999999906868,11620667.460000000894070
20120124,3131379.069999999832362,2927820.640000000130385,2537604.000000000000000,2888121.250000000000000,11484924.960000000894070
20120125,3326892.819999999832362,2942051.680000000167638,2530889.000000000000000,2891884.850000000093132,11691718.349999999627471
20120126,3311773.089999999850988,2940569.280000000260770,2507386.500000000000000,2868362.350000000093132,11628091.220000000670552
20120127,3331585.149999999441206,2926041.760000000242144,2498657.000000000000000,2856130.650000000372529,11612414.560000000521541
20120130,3374337.489999999757856,2926041.760000000242144,2525517.000000000000000,2883887.200000000186265,11709783.449999999254942
20120131,3399884.619999999180436,2936715.040000000037253,2528874.500000000000000,2886709.900000000372529,11752184.060000000521541
20120201,3397799.139999999664724,2917443.840000000316650,2538275.500000000000000,2925286.800000000279397,11778805.280000001192093
20120202,3389978.589999999385327,2923966.400000000372529,2522159.500000000000000,2913996.000000000000000,11750100.490000000223517
20120203,3423867.639999999664724,2965177.120000000111759,2540961.500000000000000,2918230.050000000279397,11848236.310000000521541
20120206,3455671.209999999497086,2949760.160000000149012,2561106.500000000000000,2911173.300000000279397,11877711.169999999925494
20120207,3492167.109999999869615,2991860.319999999832362,2546333.500000000000000,2902234.750000000000000,11932595.679999999701977
20120208,3550560.549999999348074,2966363.040000000037253,2546333.500000000000000,2898941.600000000093132,11962198.689999999478459
20120209,3673082.500000000000000,2964584.160000000149012,2546333.500000000000000,2914936.900000000372529,12098937.060000000521541
20120210,3675167.979999999515712,2949167.200000000186265,2530889.000000000000000,2912114.200000000186265,12067338.379999998956919
20120213,3743467.449999999254942,2954503.840000000316650,2560435.000000000000000,2906939.250000000000000,12165345.539999999105930
20120214,3794561.709999999497086,2951539.040000000037253,2554391.500000000000000,2927168.600000000093132,12227660.849999999627471
20120215,3706971.549999999348074,2923669.919999999925494,2540290.000000000000000,2905527.899999999906868,12076459.369999999180436
20120216,3740339.229999999515712,2942941.120000000111759,2555063.000000000000000,2918700.500000000000000,12157043.849999999627471
20120217,3739817.859999999869615,2964584.160000000149012,2582594.500000000000000,2939400.299999999813735,12226396.820000000298023
20120221,3834707.199999999254942,2979408.160000000149012,2584609.000000000000000,2826021.850000000093132,12224746.209999999031425
20120222,3821151.580000000074506,2984448.319999999832362,2565807.000000000000000,2756865.700000000186265,12128272.600000001490116
20120223,3846177.339999999385327,2988895.520000000018626,2560435.000000000000000,2754043.000000000000000,12149550.859999999403954
20120224,3891015.159999999217689,2974368.000000000000000,2561106.500000000000000,2765804.250000000000000,12192293.910000000149012
20120227,3916040.919999999459833,2975553.919999999925494,2560435.000000000000000,2750279.400000000372529,12202309.240000000223517
20120228,3987989.979999999515712,2958358.080000000074506,2561778.000000000000000,2772390.550000000279397,12280516.609999999403954
20120229,4040126.979999999515712,2943534.080000000074506,2559092.000000000000000,2779447.300000000279397,12322200.359999999403954
20120301,4055246.709999999497086,2942644.640000000130385,2580580.000000000000000,2767215.600000000093132,12345686.949999999254942
20120302,4060460.409999999217689,2950056.640000000130385,2596696.000000000000000,2776154.149999999906868,12383367.199999999254942
20120305,3971306.139999999664724,2963101.760000000242144,2618855.500000000000000,2794501.700000000186265,12347765.100000001490116
20120306,3949408.599999999627471,2961619.360000000335276,2598039.000000000000000,2774272.350000000093132,12283339.310000000521541
20120307,3952536.819999999832362,2970217.280000000260770,2610126.000000000000000,2816142.400000000372529,12349022.500000000000000
20120308,4036998.759999999776483,2874750.719999999739230,2633628.500000000000000,2811908.350000000558794,12357286.330000001937151
20120309,4060460.409999999217689,2871192.960000000428408,2625570.500000000000000,2826492.300000000279397,12383716.169999999925494
20120312,4111554.669999999459833,2865856.319999999832362,2640343.500000000000000,2854719.300000000279397,12472473.789999999105930
20120313,4231469.769999999552965,2869414.080000000074506,2651087.500000000000000,2869773.700000000186265,12621745.050000000745058
20120314,4391530.359999999403954,2884534.560000000521541,2650416.000000000000000,2873537.300000000279397,12800018.220000000670552
20120315,4361290.900000000372529,2906770.560000000521541,2655116.500000000000000,2880594.049999999813735,12803772.010000001639128
20120316,4361290.900000000372529,2895504.319999999832362,2657131.000000000000000,2862246.500000000465661,12776172.720000000670552
20120319,4477035.040000000037253,2897579.680000000167638,2662503.000000000000000,2857542.000000000465661,12894659.720000000670552
20120320,4513530.939999999478459,2895207.840000000316650,2661160.000000000000000,2850955.700000000186265,12920854.480000000447035
20120321,4487462.439999999478459,2867635.200000000186265,2671232.500000000000000,2849073.900000000372529,12875404.040000000968575
20120322,4464000.790000000037253,2840359.040000000037253,2663174.500000000000000,2853307.950000000186265,12820842.280000001192093
20120323,4439496.400000000372529,2832947.040000000037253,2647058.500000000000000,2858012.450000000186265,12777514.390000000596046
20120326,4520830.119999999180436,2875047.200000000186265,2641015.000000000000000,2879182.700000000186265,12916075.019999999552965
20120327,4576616.709999999962747,2886016.960000000428408,2596024.500000000000000,2874007.750000000465661,12932665.919999999925494
20120328,4600078.359999999403954,2878308.479999999981374,2569164.500000000000000,2878712.250000000000000,12926263.589999999850988
20120329,4542206.290000000037253,2894911.360000000335276,2556406.000000000000000,2861305.600000000093132,12854829.250000000000000
20120330,4465564.900000000372529,2908549.439999999944121,2567150.000000000000000,2879182.700000000186265,12820447.039999999105930
20120402,4607898.909999999217689,2916257.919999999925494,2586623.500000000000000,2886709.900000000372529,12997490.229999998584390
20120403,4687147.150000000372529,2947091.840000000316650,2582594.500000000000000,2853307.950000000186265,13070141.440000001341105
20120404,4650129.879999999888241,2890167.680000000167638,2577894.000000000000000,2834960.399999999906868,12953151.960000000894070
20120405,4719993.459999999962747,2923966.400000000372529,2528874.500000000000000,2854248.850000000093132,13027083.209999999031425
20120409,4738762.779999999329448,2931674.879999999888241,2515444.500000000000000,2828844.550000000279397,13014726.710000000894070
20120410,4680890.709999999962747,2895800.800000000279397,2471125.500000000000000,2819435.550000000279397,12867252.560000000521541
20120411,4664206.869999999180436,2922187.520000000018626,2510072.500000000000000,2813319.700000000186265,12909786.589999999850988
20120412,4638659.739999999292195,2894911.360000000335276,2521488.000000000000000,2829315.000000000000000,12884374.099999999627471
20120413,4507795.869999999180436,2875047.200000000186265,2502014.500000000000000,2811908.350000000558794,12696765.920000001788139
20120416,4321145.409999999217689,2863484.479999999981374,2513430.000000000000000,2850014.800000000279397,12548074.689999999478459
20120417,4541163.549999998882413,2879197.919999999925494,2534246.500000000000000,2910702.850000000093132,12865310.819999998435378
20120418,4531257.519999999552965,2886016.960000000428408,2528874.500000000000000,2919641.400000000372529,12865790.380000000819564
20120419,4375367.889999999664724,2824942.080000000074506,2561778.000000000000000,2905057.450000000186265,12667145.419999998062849
20120420,4267444.299999998882413,2844509.760000000242144,2600725.000000000000000,2937988.950000000186265,12650668.009999997913837
20120423,4258059.639999999664724,2822273.760000000242144,2589981.000000000000000,2801088.000000000000000,12471402.400000000372529
20120424,4173076.330000000074506,2804484.960000000428408,2652430.500000000000000,2717818.350000000558794,12347810.140000000596046
20120425,4543249.029999999329448,2823163.200000000186265,2651087.500000000000000,2698529.900000000372529,12716029.630000000819564
20120426,4526043.819999999366701,2841248.479999999981374,2695406.500000000000000,2773331.450000000186265,12836030.250000000000000
20120427,4491112.029999999329448,2887202.879999999888241,2701450.000000000000000,2777095.050000000279397,12856859.960000000894070
20120430,4349820.759999999776483,2889278.240000000223517,2711522.500000000000000,2771449.649999999906868,12722071.150000000372529
20120501,4335743.769999999552965,2881866.240000000223517,2723609.500000000000000,2778976.850000000093132,12720196.359999999403954
20120502,4364419.119999999180436,2891057.120000000111759,2726295.500000000000000,2776154.149999999906868,12757925.889999998733401
20120503,4333658.290000000037253,2877122.560000000521541,2728981.500000000000000,2775213.250000000465661,12714975.600000001490116
20120504,4210093.599999999627471,2842434.400000000372529,2703464.500000000000000,2761570.200000000186265,12517562.699999999254942
20120507,4241375.799999998882413,2831761.120000000111759,2721595.000000000000000,2784622.250000000000000,12579354.169999998062849
20120508,4231991.139999999664724,2773651.040000000037253,2722938.000000000000000,2778035.950000000186265,12506616.129999998956919
20120509,4239290.319999999366701,2725621.280000000260770,2702793.000000000000000,2777095.050000000279397,12444799.650000000372529
20120510,4249196.349999999627471,2723842.400000000372529,2722938.000000000000000,2784622.250000000000000,12480599.000000000000000
20120511,4221042.369999999180436,2724731.840000000316650,2763899.500000000000000,2795442.600000000093132,12505116.309999998658895
20120514,4157956.599999999627471,2694490.879999999888241,2745769.000000000000000,2778976.850000000093132,12377193.330000000074506
20120515,4119896.589999999385327,2698345.120000000111759,2756513.000000000000000,2792149.450000000186265,12366904.160000000149012
20120516,4067238.219999999739230,2710797.280000000260770,2745097.500000000000000,2784622.250000000000000,12307755.250000000000000
20120517,3948365.859999999869615,2657134.400000000372529,2778001.000000000000000,2901764.300000000279397,12285265.560000000521541
20120518,3950451.339999999385327,2663953.439999999944121,2788745.000000000000000,2937048.050000000279397,12340197.830000000074506
20120521,4180375.509999999776483,2706053.600000000093132,2775986.500000000000000,2965745.500000000000000,12628161.109999999403954
20120522,4148571.939999999478459,2708128.960000000428408,2779344.000000000000000,2998206.549999999813735,12634251.449999999254942
20120523,4249717.719999999739230,2708128.960000000428408,2779344.000000000000000,2998206.549999999813735,12735397.230000000447035
20120524,4210614.969999999739230,2713762.080000000074506,2779344.000000000000000,3061246.850000000093132,12764967.900000000372529
20120525,4188196.059999999590218,2699531.040000000037253,2783373.000000000000000,3072537.650000000372529,12743637.750000000000000
20120529,4262230.599999999627471,2695083.840000000316650,2803518.000000000000000,3089944.300000000279397,12850776.740000000223517
20120530,4313846.229999999515712,2671661.919999999925494,2781358.500000000000000,3078653.500000000000000,12845520.149999998509884
20120531,4302897.459999999962747,2648832.960000000428408,2796131.500000000000000,3096530.600000000093132,12844392.519999999552965
20120601,4178290.029999999795109,2570858.719999999739230,2755170.000000000000000,3083828.450000000186265,12588147.199999999254942
20120604,4202794.419999999925494,2559296.000000000000000,2775986.500000000000000,3104528.250000000000000,12642605.169999999925494
20120605,4191845.649999999906868,2581828.479999999981374,2766585.500000000000000,3081476.200000000186265,12621735.829999998211861
20120606,4256495.529999999329448,2628672.319999999832362,2804861.000000000000000,3101705.550000000279397,12791734.400000000372529
20120607,4258059.639999999664724,2620370.879999999888241,2796131.500000000000000,3098882.850000000558794,12773444.870000001043081
20120608,4322188.150000000372529,2601692.640000000130385,2849851.500000000000000,3209438.600000000093132,12983170.890000000596046
20120611,4254410.049999998882413,2567300.960000000428408,2857909.500000000000000,3176977.550000000279397,12856598.060000000521541
20120612,4291427.319999999366701,2594577.120000000111759,2883426.500000000000000,3185916.100000000093132,12955347.039999999105930
20120613,4261709.229999999515712,2608215.200000000186265,2886784.000000000000000,3155336.850000000093132,12912045.279999999329448
20120614,4257016.900000000372529,2660099.200000000186265,2937818.000000000000000,3181682.049999999813735,13036616.150000002235174
20120615,4276307.589999999850988,2683224.640000000130385,2924388.000000000000000,3187327.450000000186265,13071247.679999999701977
20120618,4362855.009999999776483,2675516.160000000149012,2942518.500000000000000,3204734.100000000558794,13185623.769999999552965
20120619,4375367.889999999664724,2656541.439999999944121,2936475.000000000000000,3190150.150000000372529,13158534.480000000447035
20120620,4362855.009999999776483,2628375.840000000316650,2907600.500000000000000,3223552.100000000093132,13122383.449999999254942
20120621,4302376.089999999850988,2598431.360000000335276,2909615.000000000000000,3184975.200000000186265,12995397.649999998509884
20120622,4335743.769999999552965,2619481.439999999944121,2951248.000000000000000,3166157.200000000186265,13072630.410000000149012
