代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15268946.900000000372529
真實報酬,5268946.900000000372529

夏普值報酬,0.518194690000000
夏普值風險,0.113044128128142
夏普值,4.584003597361527

預期報酬,21217.307922191757825
風險,363706.245475582953077
趨勢值,0.058336385987675
找到最佳解世代,2941
找到最佳解實驗#,1
找到最佳解次數,25

stock[index](rank)
投資組合檔數,1
MRK[17](1),
Stock#,MRK[17](1),
張數,183587,
分配資金,10000000.000000000000000,
剩餘資金,16.109999999403954,
20190212,14415267.349999997764826,14415267.349999997764826
20190213,14507060.849999997764826,14507060.849999997764826
20190214,14492373.889999998733401,14492373.889999998733401
20190215,14652094.580000000074506,14652094.580000000074506
20190219,14547449.989999998360872,14547449.989999998360872
20190220,14582331.520000001415610,14582331.520000001415610
20190221,14655766.319999998435378,14655766.319999998435378
20190222,14828338.099999997764826,14828338.099999997764826
20190225,14756739.169999998062849,14756739.169999998062849
20190226,14822830.489999998360872,14822830.489999998360872
20190227,14800800.050000000745058,14800800.050000000745058
20190228,14923803.339999999850988,14923803.339999999850988
20190301,14989894.660000000149012,14989894.660000000149012
20190304,14938490.300000000745058,14938490.300000000745058
20190305,14999074.009999999776483,14999074.009999999776483
20190306,14826502.230000000447035,14826502.230000000447035
20190307,14769590.259999999776483,14769590.259999999776483
20190308,14650258.709999999031425,14650258.709999999031425
20190311,14846696.800000000745058,14846696.800000000745058
20190312,14912788.120000001043081,14912788.120000001043081
20190313,14980715.309999998658895,14980715.309999998658895
20190314,14960520.739999998360872,14960520.739999998360872
20190315,14975207.699999997392297,14975207.699999997392297
20190318,14934818.559999998658895,14934818.559999998658895
20190319,15037627.279999999329448,15037627.279999999329448
20190320,15068837.069999998435378,15068837.069999998435378
20190321,15228557.759999999776483,15228557.759999999776483
20190322,15107390.339999999850988,15107390.339999999850988
20190325,15118405.559999998658895,15118405.559999998658895
20190326,15223050.150000000372529,15223050.150000000372529
20190327,15107390.339999999850988,15107390.339999999850988
20190328,15169809.919999998062849,15169809.919999998062849
20190329,15268946.900000000372529,15268946.900000000372529
