代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13953124.030000001192093
真實報酬,3953124.030000001192093

夏普值報酬,0.386612403000000
夏普值風險,0.095705343230469
夏普值,4.039611477793841

預期報酬,16532.518237969601614
風險,195805.573935641063144
趨勢值,0.084433338161270
找到最佳解世代,1644
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](5),DD[7](1),MRK[17](14),UNH[23](9),V[25](6),
20130628,2386480.639999999664724,2020732.169999999925494,2101808.000000000000000,2289102.660000000149012,2152142.689999999478459,10950266.159999998286366
20130701,2405117.440000000409782,2041464.339999999850988,2095925.760000000009313,2294346.360000000335276,2181346.549999999813735,11018200.449999999254942
20130702,2363883.520000000484288,2037935.459999999962747,2106332.799999999813735,2281761.479999999515712,2181346.549999999813735,10971259.809999998658895
20130703,2396963.839999999850988,2037053.239999999757856,2106332.799999999813735,2291200.140000000596046,2202542.899999999441206,11034092.919999998062849
20130705,2427481.600000000558794,2053374.309999999590218,2133934.079999999608845,2313223.679999999701977,2246819.719999999739230,11174833.390000000596046
20130708,2431441.919999999925494,2078517.579999999608845,2145246.079999999608845,2361815.299999999813735,2215260.709999999962747,11232281.589999999850988
20130709,2438663.680000000633299,2137185.209999999962747,2154748.159999999683350,2376148.080000000074506,2204427.019999999552965,11311172.150000000372529
20130710,2457766.400000000372529,2122628.579999999608845,2170132.479999999981374,2366359.839999999850988,2198774.660000000149012,11315661.960000000894070
20130711,2489914.879999999888241,2148212.959999999962747,2185969.279999999795109,2389781.700000000186265,2236928.089999999850988,11450806.910000000149012
20130712,2373201.919999999925494,2143360.750000000000000,2196376.319999999832362,2377196.820000000298023,2245877.660000000149012,11336013.470000000670552
20130715,2461493.759999999776483,2161005.149999999906868,2195471.359999999869615,2363912.780000000260770,2240225.299999999813735,11422108.350000001490116
20130716,2428180.480000000447035,2134097.439999999944121,2182349.439999999944121,2339092.599999999627471,2230333.669999999925494,11314053.629999998956919
20130717,2441226.240000000223517,2181737.319999999832362,2177824.640000000130385,2315321.160000000149012,2233159.849999999627471,11349269.210000000894070
20130718,2507386.879999999888241,2172474.009999999776483,2144793.599999999627471,2466339.719999999739230,2249174.870000000111759,11540169.079999998211861
20130719,2491778.559999999590218,2177767.329999999608845,2162440.319999999832362,2497801.919999999925494,2236457.059999999590218,11566245.189999997615814
20130722,2489448.959999999962747,2172915.119999999646097,2159272.959999999962747,2523321.260000000707805,2252001.049999999813735,11596959.350000001490116
20130723,2511114.240000000223517,2170268.459999999962747,2168775.040000000037253,2541149.839999999850988,2220913.069999999366701,11612220.649999998509884
20130724,2491545.600000000558794,2159240.709999999962747,2161535.359999999869615,2535556.560000000521541,2199245.689999999478459,11547123.919999999925494
20130725,2485721.600000000558794,2198058.389999999664724,2179634.560000000055879,2538702.780000000260770,2291567.569999999366701,11693684.900000002235174
20130726,2460096.000000000000000,2179972.879999999888241,2194113.919999999925494,2524370.000000000000000,2275081.519999999552965,11633634.320000000298023
20130729,2441692.160000000149012,2198499.500000000000000,2187326.720000000204891,2544645.640000000596046,2260479.589999999850988,11632643.610000001266599
20130730,2463124.480000000447035,2202469.489999999757856,2174204.799999999813735,2526467.479999999515712,2254356.200000000186265,11620622.449999999254942
20130731,2448448.000000000000000,2201146.159999999683350,2179634.560000000055879,2546743.120000000111759,2084314.369999999878928,11460286.209999999031425
20130801,2485721.600000000558794,2223642.769999999552965,2198186.239999999757856,2557580.099999999627471,2109749.990000000223517,11574880.699999999254942
20130802,2513676.799999999813735,2275252.639999999664724,2196376.319999999832362,2526117.900000000372529,2166744.620000000111759,11678168.280000001192093
20130805,2504358.400000000372529,2291573.709999999962747,2195923.839999999850988,2563872.540000000037253,2173339.040000000037253,11729067.530000001192093
20130806,2493642.240000000223517,2265107.109999999869615,2191851.520000000018626,2560376.740000000223517,2153555.780000000260770,11664533.390000000596046
20130807,2479198.719999999739230,2279663.739999999757856,2196828.799999999813735,2549190.179999999701977,2136127.669999999925494,11641009.109999997541308
20130808,2465687.040000000037253,2318481.419999999925494,2193208.959999999962747,2558279.260000000707805,2129062.219999999739230,11664718.899999998509884
20130809,2453806.080000000074506,2389500.129999999888241,2189589.120000000111759,2549539.760000000707805,2117286.469999999739230,11699721.559999998658895
20130812,2428413.440000000409782,2354211.329999999608845,2193208.959999999962747,2530662.440000000409782,2116815.439999999478459,11623311.609999999403954
20130813,2474772.480000000447035,2379354.599999999627471,2191399.040000000037253,2564222.120000000111759,2110692.049999999813735,11720440.289999999105930
20130814,2426549.759999999776483,2371414.619999999646097,2197733.759999999776483,2534158.240000000223517,2100329.389999999664724,11630185.769999999552965
20130815,2393236.480000000447035,2333920.269999999552965,2170584.959999999962747,2496054.020000000484288,2048045.059999999823049,11441840.790000000968575
20130816,2410475.520000000484288,2317158.089999999850988,2158368.000000000000000,2497102.760000000707805,2038624.459999999962747,11421728.830000001937151
20130819,2439595.520000000484288,2300837.019999999552965,2152938.239999999757856,2506891.000000000000000,2060762.869999999878928,11461024.649999998509884
20130820,2437498.879999999888241,2321128.079999999608845,2152033.279999999795109,2533109.500000000000000,2040037.550000000046566,11483807.289999999105930
20130821,2420725.759999999776483,2333038.049999999813735,2147508.479999999981374,2511785.120000000111759,2100800.419999999925494,11513857.830000000074506
20130822,2449379.839999999850988,2336125.819999999832362,2163345.279999999795109,2515980.080000000074506,2106923.809999999590218,11571754.829999998211861
20130823,2457300.480000000447035,2433611.129999999888241,2159725.439999999944121,2535906.140000000596046,2109278.959999999962747,11695822.150000002235174
20130826,2458465.280000000260770,2427876.699999999720603,2154748.159999999683350,2530312.860000000335276,2060762.869999999878928,11632165.869999999180436
20130827,2404418.559999999590218,2359504.649999999906868,2131671.679999999701977,2500248.979999999515712,2050871.239999999757856,11446715.109999997541308
20130828,2405816.320000000298023,2352446.889999999664724,2130766.720000000204891,2500948.140000000596046,2063118.019999999785796,11453096.089999999850988
20130829,2444487.680000000633299,2356857.989999999757856,2131219.200000000186265,2532410.339999999850988,2065002.140000000130385,11529977.350000001490116
20130830,2420958.719999999739230,2349359.119999999646097,2139816.319999999832362,2507939.740000000223517,2054168.449999999953434,11472242.349999999627471
20130903,2446351.360000000335276,2352005.779999999795109,2136196.479999999981374,2536605.299999999813735,2084785.399999999674037,11555944.320000002160668
20130904,2478033.919999999925494,2373179.059999999590218,2157463.040000000037253,2564222.120000000111759,2074893.769999999785796,11647791.910000000149012
20130905,2484556.799999999813735,2412878.959999999962747,2149770.879999999888241,2588343.140000000596046,2074893.769999999785796,11710443.550000000745058
20130906,2471045.120000000111759,2422142.269999999552965,2148865.919999999925494,2589042.299999999813735,2080546.129999999888241,11711641.739999998360872
20130909,2497136.639999999664724,2438022.229999999981374,2160177.919999999925494,2595684.320000000298023,2102684.540000000037253,11793705.649999998509884
20130910,2519966.719999999739230,2511687.599999999627471,2171037.439999999944121,2608968.360000000335276,2173810.069999999366701,11985470.190000001341105
20130911,2544660.480000000447035,2503306.509999999776483,2178277.120000000111759,2628195.260000000707805,2194064.359999999403954,12048503.730000000447035
20130912,2557939.200000000186265,2441110.000000000000000,2165155.200000000186265,2612813.740000000223517,2179462.429999999701977,11956480.570000000298023
20130913,2593582.080000000074506,2504629.839999999850988,2162440.319999999832362,2603724.660000000149012,2225623.370000000111759,12090000.269999999552965
20130916,2694686.719999999739230,2500218.739999999757856,2180539.520000000018626,2626097.780000000260770,2230333.669999999925494,12231876.429999997839332
20130917,2728232.959999999962747,2494484.309999999590218,2172394.879999999888241,2597781.799999999813735,2256240.319999999366701,12249134.269999999552965
20130918,2758284.799999999813735,2566826.349999999627471,2190041.599999999627471,2553385.140000000596046,2280262.849999999627471,12348800.740000000223517
20130919,2773194.240000000223517,2550946.389999999664724,2183706.879999999888241,2476477.540000000037253,2292980.660000000149012,12277305.710000000894070
20130920,2717050.879999999888241,2494043.199999999720603,2172394.879999999888241,2467038.879999999888241,2341496.750000000000000,12192024.589999999850988
20130923,2737551.360000000335276,2464929.939999999944121,2157463.040000000037253,2510736.379999999888241,2310879.799999999813735,12181560.519999999552965
20130924,2772262.400000000372529,2456989.959999999962747,2150675.839999999850988,2528215.379999999888241,2276965.639999999664724,12185109.219999998807907
20130925,2760847.360000000335276,2503747.619999999646097,2157010.560000000055879,2516329.660000000149012,2255769.290000000037253,12193704.490000002086163
20130926,2781114.879999999888241,2512128.709999999962747,2157463.040000000037253,2522622.099999999627471,2279320.790000000037253,12252649.519999999552965
20130927,2766205.440000000409782,2451255.529999999795109,2162440.319999999832362,2516679.240000000223517,2273197.399999999441206,12169777.929999999701977
20130930,2737318.400000000372529,2412437.849999999627471,2154295.679999999701977,2503395.200000000186265,2250587.959999999962747,12058035.089999999850988
20131001,2743142.400000000372529,2406703.419999999925494,2205425.919999999925494,2537304.459999999962747,2275552.549999999813735,12168128.750000000000000
20131002,2745239.040000000037253,2430964.469999999739230,2188684.159999999683350,2536954.879999999888241,2259066.500000000000000,12160909.050000000745058
20131003,2684669.440000000409782,2435375.569999999832362,2188231.679999999701977,2535206.979999999515712,2221384.099999999627471,12064867.769999997690320
20131004,2730329.600000000558794,2512128.709999999962747,2182349.439999999944121,2551637.240000000223517,2243051.479999999515712,12219496.469999998807907
20131007,2718448.639999999664724,2471987.699999999720603,2166965.120000000111759,2522971.679999999701977,2194064.359999999403954,12074437.500000000000000
20131008,2689328.639999999664724,2419936.719999999739230,2160630.399999999906868,2498850.660000000149012,2149316.509999999776483,11918062.929999999701977
20131009,2666731.520000000484288,2445079.989999999757856,2138911.359999999869615,2495354.860000000335276,2164860.500000000000000,11910938.230000000447035
20131010,2769932.799999999813735,2537713.089999999850988,2148865.919999999925494,2586245.660000000149012,2226094.399999999441206,12268851.869999997317791
20131011,2748500.480000000447035,2580059.649999999906868,2139816.319999999832362,2596383.479999999515712,2263305.769999999552965,12328065.699999999254942
20131014,2782978.559999999590218,2564179.689999999944121,2115382.399999999906868,2612114.580000000074506,2277907.700000000186265,12352562.929999999701977
20131015,2753159.680000000633299,2539918.639999999664724,2107237.759999999776483,2582400.280000000260770,2253414.139999999664724,12236130.500000000000000
20131016,2803479.040000000037253,2583588.529999999795109,2134386.560000000055879,2628544.839999999850988,2303814.349999999627471,12453813.320000000298023
20131017,2848906.240000000223517,2599909.599999999627471,2131671.679999999701977,2495005.280000000260770,2334902.330000000074506,12410395.130000000819564
20131018,2854264.320000000298023,2595057.389999999664724,2109047.679999999701977,2403764.900000000372529,2360337.950000000186265,12322472.239999998360872
20131021,2829803.520000000484288,2598145.159999999683350,2104522.879999999888241,2384188.419999999925494,2355627.649999999441206,12272287.629999998956919
20131022,2853332.480000000447035,2610055.129999999888241,2102712.959999999962747,2407260.700000000186265,2355156.620000000111759,12328517.890000000596046
20131023,3005688.320000000298023,2577854.099999999627471,2106785.279999999795109,2377546.400000000372529,2341967.780000000260770,12409841.879999998956919
20131024,3004756.479999999515712,2551828.609999999869615,2091400.959999999962747,2363563.200000000186265,2389541.809999999590218,12401091.059999998658895
20131025,3056240.639999999664724,2482574.339999999850988,2105880.319999999832362,2363912.780000000260770,2391425.929999999701977,12400034.009999997913837
20131028,3025722.879999999888241,2456989.959999999962747,2052035.199999999953434,2340141.339999999850988,2391425.929999999701977,12266315.309999998658895
20131029,3020597.759999999776483,2478604.349999999627471,2062442.239999999757856,2379993.459999999962747,2405085.799999999813735,12346723.609999999403954
20131030,3021063.680000000633299,2466253.269999999552965,2047057.919999999925494,2377546.400000000372529,2400375.500000000000000,12312296.769999999552965
20131031,3040166.400000000372529,2479486.569999999832362,2040270.719999999972060,2386285.900000000372529,2316061.129999999888241,12262270.719999998807907
20131101,3099105.280000000260770,2446844.429999999701977,2046605.439999999711290,2399220.360000000335276,2345264.990000000223517,12337040.500000000000000
20131104,3093514.240000000223517,2412437.849999999627471,2068776.959999999962747,2410406.919999999925494,2313234.950000000186265,12298370.919999998062849
20131105,3111685.120000000111759,2432287.799999999813735,2052487.679999999934807,2402366.580000000074506,2324068.639999999664724,12322895.820000000298023
20131106,3100503.040000000037253,2466253.269999999552965,2079636.479999999981374,2457250.640000000596046,2343851.899999999441206,12447495.329999998211861
20131107,3063695.360000000335276,2429200.029999999795109,2073301.760000000009313,2438722.900000000372529,2309466.709999999962747,12314386.760000001639128
20131108,3109821.440000000409782,2491837.649999999906868,2117644.799999999813735,2464591.820000000298023,2334902.330000000074506,12518798.040000000968575
20131111,3087457.280000000260770,2491396.539999999571592,2126694.399999999906868,2464591.820000000298023,2346678.080000000074506,12516818.120000001043081
20131112,3082798.080000000074506,2471105.479999999981374,2153390.720000000204891,2445364.919999999925494,2334902.330000000074506,12487561.530000001192093
20131113,3102366.719999999739230,2487426.549999999813735,2142078.720000000204891,2482420.400000000372529,2352801.469999999739230,12567093.859999999403954
20131114,3147095.040000000037253,2519186.469999999739230,2163797.759999999776483,2497452.339999999850988,2357040.740000000223517,12684572.349999999627471
20131115,3170158.080000000074506,2527126.449999999720603,2175109.759999999776483,2512484.280000000260770,2378708.120000000111759,12763586.690000001341105
20131118,3223272.960000000894070,2504629.839999999850988,2172394.879999999888241,2505842.260000000707805,2354214.559999999590218,12760354.500000000000000
20131119,3191124.479999999515712,2494043.199999999720603,2175109.759999999776483,2503395.200000000186265,2324539.669999999925494,12688212.310000000521541
20131120,3085593.599999999627471,2466253.269999999552965,2177824.640000000130385,2516329.660000000149012,2333018.209999999962747,12579019.379999998956919
20131121,3096775.680000000633299,2489632.099999999627471,2199996.159999999683350,2548840.599999999627471,2373997.819999999366701,12709242.359999999403954
20131122,3167595.520000000484288,2491396.539999999571592,2214475.520000000018626,2577855.740000000223517,2380121.209999999962747,12831444.530000001192093
20131125,3098406.400000000372529,2450373.309999999590218,2247054.079999999608845,2589391.879999999888241,2377766.059999999590218,12762991.729999996721745
20131126,3139873.280000000260770,2436698.899999999906868,2243434.239999999757856,2605122.979999999515712,2396607.259999999776483,12821736.659999998286366
20131127,3138475.520000000484288,2456107.739999999757856,2254746.239999999757856,2599529.700000000186265,2402259.620000000111759,12851118.820000000298023
20131129,3127526.400000000372529,2453902.189999999944121,2254746.239999999757856,2603724.660000000149012,2396136.229999999515712,12836035.719999998807907
20131202,3125429.759999999776483,2511687.599999999627471,2270583.040000000037253,2592538.099999999627471,2415448.459999999962747,12915686.960000000894070
20131203,3075110.400000000372529,2432287.799999999813735,2251578.879999999888241,2577506.160000000149012,2375881.939999999478459,12712365.179999999701977
20131204,3063462.400000000372529,2442874.439999999944121,2231217.279999999795109,2574709.520000000484288,2387657.689999999478459,12699921.330000000074506
20131205,3092116.479999999515712,2425230.039999999571592,2208593.279999999795109,2543247.320000000298023,2375410.910000000149012,12644598.029999999329448
20131206,3149191.680000000633299,2466694.379999999888241,2234837.120000000111759,2569465.820000000298023,2377295.030000000260770,12797484.030000001192093
20131209,3137543.680000000633299,2562856.359999999869615,2242529.279999999795109,2577156.580000000074506,2373997.819999999366701,12894083.719999998807907
20131210,3114713.599999999627471,2624611.759999999776483,2236647.040000000037253,2588692.719999999739230,2348562.200000000186265,12913227.320000000298023
20131211,3088156.160000000149012,2578736.319999999832362,2214928.000000000000000,2521922.940000000409782,2422042.879999999888241,12825786.300000000745058
20131212,3097474.560000000521541,2560650.809999999590218,2186421.759999999776483,2482420.400000000372529,2395665.200000000186265,12722632.730000000447035
20131213,3117742.080000000074506,2608290.689999999944121,2189136.640000000130385,2463892.660000000149012,2441826.139999999664724,12820888.210000000894070
20131216,3138475.520000000484288,2613142.899999999906868,2176014.720000000204891,2484168.299999999813735,2446536.439999999478459,12858337.880000000819564
20131217,3165498.879999999888241,2651078.359999999869615,2167417.599999999627471,2472632.160000000149012,2511067.549999999813735,12967694.550000000745058
20131218,3156413.440000000409782,2733124.819999999832362,2212665.599999999627471,2530312.860000000335276,2536032.139999999664724,13168548.859999999403954
20131219,3148958.719999999739230,2757826.979999999981374,2207688.319999999832362,2530662.440000000409782,2544510.679999999701977,13189647.140000000596046
20131220,3183902.719999999739230,2750328.109999999869615,2231669.759999999776483,2564222.120000000111759,2543097.589999999850988,13273220.300000000745058
20131223,3177612.799999999813735,2756503.649999999906868,2233479.679999999701977,2599180.120000000111759,2567591.149999999441206,13334367.399999998509884
20131224,3187630.080000000074506,2790469.119999999646097,2235742.079999999608845,2591489.360000000335276,2575598.660000000149012,13380929.300000000745058
20131226,3221176.320000000298023,2817817.939999999944121,2249768.959999999962747,2616659.120000000111759,2593026.769999999552965,13498449.109999999403954
20131227,3189260.799999999813735,2801496.869999999646097,2252936.319999999832362,2611065.839999999850988,2586903.379999999888241,13441663.210000000894070
20131230,3166430.719999999739230,2801496.869999999646097,2259723.520000000018626,2614212.060000000521541,2601505.309999999590218,13443368.480000000447035
20131231,3179709.440000000409782,2789145.789999999571592,2264700.799999999813735,2632390.219999999739230,2622230.629999999888241,13488176.879999998956919
20140102,3183902.719999999739230,2755621.429999999701977,2239361.919999999925494,2606870.879999999888241,2602447.370000000111759,13388204.320000000298023
20140103,3206033.919999999925494,2743270.349999999627471,2250221.439999999944121,2625398.620000000111759,2604331.490000000223517,13429255.819999998435378
20140106,3224437.759999999776483,2738418.139999999664724,2250673.919999999925494,2595334.740000000223517,2588787.500000000000000,13397652.059999998658895
20140107,3273359.360000000335276,2707981.549999999813735,2267415.679999999701977,2674689.400000000372529,2608570.759999999776483,13532016.750000000000000
20140108,3280581.120000000111759,2711069.319999999832362,2252936.319999999832362,2643576.780000000260770,2617049.299999999813735,13505212.839999999850988
20140109,3311098.879999999888241,2676221.629999999888241,2240719.359999999869615,2659657.459999999962747,2613281.059999999590218,13500978.389999996870756
20140110,3305740.799999999813735,2682838.279999999795109,2257008.640000000130385,2611415.419999999925494,2603860.459999999962747,13460863.600000001490116
20140113,3277785.599999999627471,2631669.519999999552965,2403612.159999999683350,2584847.339999999850988,2577953.809999999590218,13475868.429999999701977
20140114,3261711.360000000335276,2679309.399999999906868,2398182.399999999906868,2587643.979999999515712,2621759.599999999627471,13548606.740000000223517
20140115,3275921.919999999925494,2704452.669999999925494,2376463.359999999869615,2616309.540000000037253,2634948.439999999478459,13608095.929999997839332
20140116,3266370.560000000521541,2706658.219999999739230,2375558.399999999906868,2543596.900000000372529,2611396.939999999478459,13503581.019999999552965
20140117,3272194.560000000521541,2705776.000000000000000,2350672.000000000000000,2535206.979999999515712,2734335.769999999552965,13598185.309999998658895
20140121,3300382.719999999739230,2885307.769999999552965,2345242.239999999757856,2557580.099999999627471,2731038.559999999590218,13819551.389999996870756
20140122,3363281.919999999925494,2869427.809999999590218,2323523.200000000186265,2565970.020000000484288,2743756.370000000111759,13865959.320000000298023
20140123,3291996.160000000149012,2809436.849999999627471,2334835.200000000186265,2558978.419999999925494,2687703.799999999813735,13682950.429999999701977
20140124,3183436.799999999813735,2726949.279999999795109,2352029.439999999944121,2503045.620000000111759,2605273.549999999813735,13370734.690000001341105
