代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13675685.699999999254942
真實報酬,3675685.699999999254942

夏普值報酬,0.358868570000000
夏普值風險,0.094007104358466
夏普值,3.817462227445795

預期報酬,15998.449903643428115
風險,176000.654959450534079
趨勢值,0.090899945271961
找到最佳解世代,2786
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PG[21](5),V[25](1),
20121114,5431016.959999999962747,5659976.719999999739230,11090993.679999999701977
20121115,5413874.239999999292195,5661594.309999999590218,11075468.549999998882413
20121116,5454690.239999999292195,5771590.429999999701977,11226280.669999998062849
20121119,5544485.440000000409782,5889674.499999999068677,11434159.939999999478459
20121120,5575505.599999999627471,5918791.120000000111759,11494296.719999998807907
20121121,5589383.040000000037253,5931731.839999999850988,11521114.879999998956919
20121123,5680810.879999999888241,5989965.080000000074506,11670775.960000000894070
20121126,5671831.360000000335276,5954378.099999999627471,11626209.460000000894070
20121127,5631831.679999999701977,5936584.610000000335276,11568416.289999999105930
20121128,5668566.080000000074506,5955995.689999999478459,11624561.769999999552965
20121129,5673464.000000000000000,5993200.259999998845160,11666664.259999997913837
20121130,5700402.559999999590218,6054668.679999999701977,11755071.239999998360872
20121203,5679994.559999999590218,6010993.749999999068677,11690988.309999998658895
20121204,5657953.919999999925494,5968936.409999999217689,11626890.329999998211861
20121205,5666117.120000000111759,5988347.490000000223517,11654464.609999999403954
20121206,5710198.400000000372529,6004523.389999998733401,11714721.789999999105930
20121207,5737953.280000000260770,6007758.569999999366701,11745711.849999999627471
20121210,5732239.040000000037253,6012611.339999999850988,11744850.379999998956919
20121211,5768157.120000000111759,6022316.879999998956919,11790474.000000000000000
20121212,5776320.320000000298023,5980259.539999999105930,11756579.859999999403954
20121213,5724892.159999999217689,5952760.509999998845160,11677652.669999998062849
20121214,5708565.760000000707805,5938202.200000000186265,11646767.960000000894070
20121217,5708565.760000000707805,6030404.830000000074506,11738970.589999999850988
20121218,5711831.040000000037253,6095108.429999999701977,11806939.469999998807907
20121219,5660402.879999999888241,6032022.419999998994172,11692425.299999998882413
20121220,5699586.239999999292195,6166282.389999998733401,11865868.629999998956919
20121221,5609791.040000000037253,6096726.019999999552965,11706517.059999998658895
20121224,5593464.639999999664724,6114519.509999998845160,11707984.149999998509884
20121226,5551016.000000000000000,6056286.269999999552965,11607302.269999999552965
20121227,5548567.040000000037253,6041727.959999999962747,11590295.000000000000000
20121228,5481628.800000000745058,6010993.749999999068677,11492622.550000000745058
20121231,5542036.480000000447035,6130695.409999999217689,11672731.890000000596046
20130102,5664484.480000000447035,6284366.459999999962747,11948850.940000001341105
20130103,5628566.400000000372529,6289219.230000000447035,11917785.630000000819564
20130104,5639994.879999999888241,6339364.519999999552965,11979359.399999998509884
20130107,5601627.840000000782311,6384657.039999999105930,11986284.879999998956919
20130108,5592648.320000000298023,6444507.870000000111759,12037156.190000001341105
20130109,5622852.159999999217689,6543180.860000000335276,12166033.019999999552965
20130110,5654688.639999999664724,6491417.980000000447035,12146106.620000001043081
20130111,5650607.040000000037253,6517299.419999998994172,12167906.459999999031425
20130114,5684076.159999999217689,6496270.749999999068677,12180346.909999998286366
20130115,5704484.159999999217689,6488182.799999999813735,12192666.959999999031425
20130116,5660402.879999999888241,6478477.259999998845160,12138880.139999998733401
20130117,5687341.440000000409782,6465536.539999999105930,12152877.980000000447035
20130118,5709382.080000000074506,6400832.939999999478459,12110215.019999999552965
20130122,5710198.400000000372529,6431567.149999999441206,12141765.550000000745058
20130123,5770606.080000000074506,6431567.149999999441206,12202173.230000000447035
20130124,5748565.440000000409782,6452595.819999999366701,12201161.259999999776483
20130125,5979584.000000000000000,6463918.950000000186265,12443502.949999999254942
20130128,6022032.639999999664724,6323188.620000000111759,12345221.259999999776483
20130129,6122440.000000000000000,6336129.339999999850988,12458569.339999999850988
20130130,6128970.559999999590218,6268190.559999999590218,12397161.119999999180436
20130131,6135501.120000000111759,6386274.629999998956919,12521775.750000000000000
20130201,6197541.440000000409782,6412156.069999999366701,12609697.509999999776483
20130204,6142848.000000000000000,6334511.749999999068677,12477359.750000000000000
20130205,6179582.400000000372529,6450978.230000000447035,12630560.630000000819564
20130206,6216316.800000000745058,6504358.700000000186265,12720675.500000000000000
20130207,6216316.800000000745058,6352305.240000000223517,12568622.040000000968575
20130208,6183664.000000000000000,6381421.860000000335276,12565085.859999999403954
20130211,6188561.919999999925494,6321571.029999999329448,12510132.949999999254942
20130212,6202439.360000000335276,6340982.110000000335276,12543421.470000000670552
20130213,6249785.919999999925494,6258485.019999999552965,12508270.939999999478459
20130214,6267744.959999999962747,6307012.719999999739230,12574757.679999999701977
20130215,6248153.280000000260770,6389509.809999999590218,12637663.089999999850988
20130219,6316724.159999999217689,6373333.909999999217689,12690058.069999998435378
20130220,6292234.559999999590218,6284366.459999999962747,12576601.019999999552965
20130221,6288969.280000000260770,6366863.549999999813735,12655832.830000000074506
20130222,6284887.679999999701977,6447743.049999999813735,12732630.730000000447035
20130225,6197541.440000000409782,6303777.539999999105930,12501318.980000000447035
20130226,6210602.559999999590218,6383039.450000000186265,12593642.009999999776483
20130227,6265296.000000000000000,6465536.539999999105930,12730832.539999999105930
20130228,6218765.760000000707805,6415391.249999999068677,12634157.009999999776483
20130301,6244071.679999999701977,6392744.990000000223517,12636816.669999999925494
20130304,6259581.760000000707805,6450978.230000000447035,12710559.990000002086163
20130305,6289785.599999999627471,6481712.439999999478459,12771498.039999999105930
20130306,6302030.400000000372529,6514064.240000000223517,12816094.640000000596046
20130307,6277540.800000000745058,6491417.980000000447035,12768958.780000001192093
20130308,6300397.760000000707805,6497888.339999999850988,12798286.100000001490116
20130311,6314275.199999999254942,6518917.009999998845160,12833192.209999997168779
20130312,6299581.440000000409782,6462301.360000000335276,12761882.800000000745058
20130313,6269377.599999999627471,6444507.870000000111759,12713885.469999998807907
20130314,6317540.480000000447035,6497888.339999999850988,12815428.820000000298023
20130315,6231826.879999999888241,6412156.069999999366701,12643982.949999999254942
20130318,6217133.120000000111759,6392744.990000000223517,12609878.109999999403954
20130319,6294683.519999999552965,6308630.309999999590218,12603313.829999998211861
20130320,6333050.559999999590218,6442890.279999999329448,12775940.839999999850988
20130321,6302846.719999999739230,6381421.860000000335276,12684268.580000000074506
20130322,6307744.639999999664724,6473624.490000000223517,12781369.129999998956919
20130325,6259581.760000000707805,6632148.309999999590218,12891730.070000000298023
20130326,6318356.800000000745058,6772878.639999998733401,13091235.439999999478459
20130327,6290601.919999999925494,6821406.339999999850988,13112008.259999999776483
20130328,6290601.919999999925494,6868316.450000000186265,13158918.370000001043081
20130401,6342846.400000000372529,6768025.870000000111759,13110872.269999999552965
20130402,6445702.719999999739230,6792289.719999999739230,13237992.439999999478459
20130403,6377131.840000000782311,6662882.519999999552965,13040014.359999999403954
20130404,6411417.280000000260770,6732438.889999998733401,13143856.169999998062849
20130405,6386111.360000000335276,6679058.419999998994172,13065169.779999999329448
20130408,6431825.280000000260770,6724350.939999999478459,13156176.219999998807907
20130409,6388560.320000000298023,6662882.519999999552965,13051442.839999999850988
20130410,6468559.679999999701977,6753467.559999999590218,13222027.239999998360872
20130411,6503661.440000000409782,6779348.999999999068677,13283010.439999999478459
20130412,6537130.559999999590218,6703322.269999999552965,13240452.829999998211861
20130415,6502028.800000000745058,6522152.189999999478459,13024180.990000000223517
20130416,6538763.199999999254942,6661264.929999999701977,13200028.129999998956919
20130417,6453865.919999999925494,6560974.349999999627471,13014840.269999999552965
20130418,6519987.840000000782311,6527004.959999999962747,13046992.800000000745058
20130419,6647333.760000000707805,6630530.719999999739230,13277864.480000000447035
20130422,6644884.800000000745058,6612737.230000000447035,13257622.030000001192093
20130423,6737945.280000000260770,6700087.089999999850988,13438032.370000001043081
20130424,6295499.840000000782311,6756702.740000000223517,13052202.580000001937151
20130425,6251418.559999999590218,6824641.519999999552965,13076060.079999998211861
20130426,6293867.199999999254942,6763173.099999999627471,13057040.299999998882413
20130429,6341213.760000000707805,6790672.129999998956919,13131885.890000000596046
20130430,6266928.639999999664724,6813318.389999998733401,13080247.029999997466803
20130501,6284887.679999999701977,6714645.399999999441206,12999533.079999998211861
20130502,6347744.320000000298023,7093161.459999999962747,13440905.780000001192093
20130503,6382846.080000000074506,7261390.819999999366701,13644236.899999998509884
20130506,6346928.000000000000000,7233891.789999999105930,13580819.789999999105930
20130507,6362438.080000000074506,7271096.360000000335276,13633534.440000001341105
20130508,6403254.080000000074506,7250067.689999999478459,13653321.769999999552965
20130509,6384478.719999999739230,7222568.659999999217689,13607047.379999998956919
20130510,6429376.320000000298023,7229039.019999999552965,13658415.339999999850988
20130513,6415498.879999999888241,7235509.379999998956919,13651008.259999997913837
20130514,6487335.040000000037253,7292125.029999999329448,13779460.070000000298023
20130515,6586109.760000000707805,7350358.269999999552965,13936468.030000001192093
20130516,6546926.400000000372529,7271096.360000000335276,13818022.760000001639128
20130517,6532232.639999999664724,7463589.569999999366701,13995822.209999999031425
20130520,6456314.879999999888241,7343887.909999999217689,13800202.789999999105930
20130521,6432641.599999999627471,7342270.319999999366701,13774911.919999998062849
20130522,6434274.239999999292195,7285654.669999998994172,13719928.909999998286366
20130523,6424478.400000000372529,7203157.580000000074506,13627635.980000000447035
20130524,6684068.159999999217689,7296977.799999999813735,13981045.959999999031425
20130528,6600803.519999999552965,7280801.899999999441206,13881605.419999998062849
20130529,6440804.800000000745058,7204775.169999998994172,13645579.969999998807907
20130530,6456314.879999999888241,7321241.649999999441206,13777556.529999999329448
20130531,6266112.320000000298023,7204775.169999998994172,13470887.489999998360872
20130603,6339581.120000000111759,7287272.259999998845160,13626853.379999998956919
20130604,6315907.840000000782311,7287272.259999998845160,13603180.099999999627471
20130605,6257949.120000000111759,7167570.599999999627471,13425519.719999998807907
20130606,6271010.239999999292195,7253302.870000000111759,13524313.109999999403954
20130607,6346928.000000000000000,7277566.719999999739230,13624494.719999998807907
20130610,6373050.239999999292195,7373004.529999999329448,13746054.769999999552965
20130611,6377131.840000000782311,7266243.589999999850988,13643375.429999999701977
20130612,6334683.199999999254942,7245214.919999998994172,13579898.119999997317791
20130613,6402437.760000000707805,7369769.349999999627471,13772207.109999999403954
20130614,6369784.959999999962747,7316388.879999998956919,13686173.839999999850988
20130617,6445702.719999999739230,7374622.120000000111759,13820324.839999999850988
20130618,6452233.280000000260770,7440943.309999999590218,13893176.589999999850988
20130619,6335499.519999999552965,7385945.249999999068677,13721444.769999999552965
20130620,6142848.000000000000000,7217715.889999998733401,13360563.889999998733401
20130621,6320805.760000000707805,7259773.230000000447035,13580578.990000002086163
20130624,6251418.559999999590218,7209627.939999999478459,13461046.500000000000000
20130625,6260398.080000000074506,7298595.389999998733401,13558993.469999998807907
20130626,6318356.800000000745058,7385945.249999999068677,13704302.050000000745058
20130627,6340397.440000000409782,7452266.439999999478459,13792663.879999998956919
20130628,6284887.679999999701977,7390798.019999999552965,13675685.699999999254942
