代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11066338.740000000223517
真實報酬,1066338.740000000223517

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,24670.956628316427668
風險,315894.197370119858533
起點值,0.078098796475867
找到最佳解世代,2151
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),CSCO[4](1),INTC[11](8),
FS( 44 ),3918139.320000000298023,3799102.110000000335276,3607968.140000000130385,11325210.570000000298023
FS( 45 ),3897028.800000000279397,3791382.180000000633299,3651369.030000000260770,11339781.010000001639128
FS( 46 ),3916005.810000000521541,3803390.960000000428408,3610102.610000000335276,11329500.380000002682209
FS( 47 ),3981021.719999999739230,3891741.270000000018626,3713268.660000000149012,11586032.650000000372529
FS( 48 ),3865026.149999999906868,3907181.129999999888241,3665598.830000000540167,11437807.109999999403954
FS( 49 ),3803042.070000000298023,3873728.100000000093132,3684097.570000000298023,11360868.740000000223517
FS( 50 ),3708606.180000000167638,3884021.340000000316650,3689789.490000000223517,11282418.010000001639128
FS( 51 ),3705462.060000000521541,3888310.189999999944121,3620063.470000000204891,11213836.720000000670552
FS( 52 ),3710964.270000000484288,3860861.550000000279397,3640696.680000000167638,11212523.500000000000000
FS( 53 ),3725449.680000000167638,3797386.570000000298023,3616506.020000000018626,11139343.269999999552965
FS( 54 ),3791363.910000000149012,3805964.270000000018626,3667733.299999999813735,11265062.480000000447035
FS( 55 ),3785412.540000000502914,3800817.650000000372529,3668444.790000000037253,11254675.980000000447035
FS( 56 ),3589017.330000000074506,3694454.170000000391155,3616506.020000000018626,10899978.519999999552965
FS( 57 ),3604625.640000000130385,3638699.120000000577420,3511916.990000000223517,10755242.750000000000000
FS( 58 ),3694120.770000000484288,3779373.400000000372529,3733901.869999999646097,11207397.040000000968575
FS( 59 ),3605973.120000000111759,3661001.140000000130385,3642119.660000000149012,10909094.919999999925494
FS( 60 ),3593621.219999999739230,3573508.600000000093132,3528992.750000000000000,10696123.570000000298023
FS( 61 ),3681881.160000000149012,3679014.310000000521541,3705442.270000000018626,11066338.740000000223517
