代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11062114.679999999701977
真實報酬,1062114.679999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,8244.349446826079657
風險,106074.790374373667873
起點值,0.077722043265219
找到最佳解世代,2325
找到最佳解實驗#,3
找到最佳解次數,33

stock[index](rank)
投資組合檔數,4
AAPL[0](3),BA[2](6),CVX[5](17),PG[21](8),
FS( 31 ),2508379.030000000260770,2601648.640000000130385,2637690.399999999906868,2624709.279999999795109,10372427.349999999627471
FS( 32 ),2508125.120000000111759,2618260.479999999515712,2645848.000000000000000,2628988.520000000018626,10401222.119999999180436
FS( 33 ),2534785.669999999925494,2638827.520000000018626,2622611.200000000186265,2626543.240000000223517,10422767.629999998956919
FS( 34 ),2535801.310000000055879,2663152.000000000000000,2621375.200000000186265,2633879.080000000074506,10454207.589999999850988
FS( 35 ),2538086.500000000000000,2664338.560000000055879,2610251.200000000186265,2607897.979999999515712,10420574.240000000223517
FS( 36 ),2524629.270000000484288,2640805.119999999646097,2605307.199999999720603,2606064.020000000018626,10376805.609999999403954
FS( 37 ),2505078.200000000186265,2639618.560000000055879,2611981.599999999627471,2620124.379999999888241,10376802.739999998360872
FS( 38 ),2471562.080000000074506,2629137.279999999795109,2547956.799999999813735,2622569.659999999683350,10271225.819999998435378
FS( 39 ),2454550.110000000335276,2666909.439999999944121,2538316.000000000000000,2606369.679999999701977,10266145.230000000447035
FS( 40 ),2614005.590000000316650,2688860.799999999813735,2527933.600000000093132,2581611.219999999739230,10412411.210000000894070
FS( 41 ),2649299.080000000074506,2630521.599999999627471,2516315.200000000186265,2592309.319999999832362,10388445.199999999254942
FS( 42 ),2645998.250000000000000,2643376.000000000000000,2533372.000000000000000,2616150.799999999813735,10438897.050000000745058
FS( 43 ),2692717.689999999944121,2634476.799999999813735,2450065.600000000093132,2641214.919999999925494,10418475.009999999776483
FS( 44 ),2652853.820000000298023,2602637.439999999944121,2461931.200000000186265,2651913.020000000018626,10369335.480000000447035
FS( 45 ),2686116.030000000260770,2607976.959999999962747,2487145.600000000093132,2627765.879999999888241,10409004.469999998807907
FS( 46 ),2688147.310000000055879,2594924.799999999813735,2481707.199999999720603,2630211.159999999683350,10394990.469999998807907
FS( 47 ),2729026.820000000298023,2605208.319999999832362,2484673.600000000093132,2621958.339999999850988,10440867.080000000074506
FS( 48 ),2751624.810000000055879,2614305.279999999795109,2501730.399999999906868,2621347.020000000018626,10489007.509999999776483
FS( 49 ),2762796.850000000093132,2622808.959999999962747,2504696.799999999813735,2628377.199999999720603,10518679.810000000521541
FS( 50 ),2742230.140000000130385,2616085.119999999646097,2475527.199999999720603,2638158.319999999832362,10472000.779999999329448
FS( 51 ),2740452.770000000484288,2630323.839999999850988,2506674.399999999906868,2650996.040000000037253,10528447.050000000745058
FS( 52 ),2746800.520000000484288,2632301.439999999944121,2525461.599999999627471,2660471.500000000000000,10565035.060000000521541
FS( 53 ),2779808.820000000298023,2663152.000000000000000,2540540.799999999813735,2659860.179999999701977,10643361.800000000745058
FS( 54 ),2777269.720000000204891,2669875.839999999850988,2536832.799999999813735,2646411.139999999664724,10630389.500000000000000
FS( 55 ),2773207.160000000149012,2664338.560000000055879,2526944.799999999813735,2658026.219999999739230,10622516.740000000223517
FS( 56 ),2769652.419999999925494,2669875.839999999850988,2559822.399999999906868,2672697.899999999906868,10672048.560000000521541
FS( 57 ),2776761.899999999906868,2658801.279999999795109,2529416.799999999813735,2668724.319999999832362,10633704.299999998882413
FS( 58 ),2755179.550000000279397,2669678.080000000074506,2520023.199999999720603,2654663.959999999497086,10599544.789999999105930
FS( 59 ),2763812.489999999757856,2652868.479999999515712,2513596.000000000000000,2671475.260000000242144,10601752.229999998584390
FS( 60 ),2742991.870000000111759,2636058.879999999888241,2526450.399999999906868,2668724.319999999832362,10574225.470000000670552
FS( 61 ),2731312.009999999776483,2629928.319999999832362,2518787.199999999720603,2686758.260000000242144,10566785.789999999105930
FS( 62 ),2715315.680000000167638,2615096.319999999832362,2504696.799999999813735,2676977.139999999664724,10512085.939999999478459
FS( 63 ),2712268.759999999776483,2628346.239999999757856,2522742.399999999906868,2698984.659999999683350,10562342.060000000521541
FS( 64 ),2691448.140000000130385,2587014.399999999906868,2514090.399999999906868,2675754.500000000000000,10468307.439999999478459
FS( 65 ),2693987.239999999757856,2560119.039999999571592,2486404.000000000000000,2668724.319999999832362,10409234.599999999627471
FS( 66 ),2709983.570000000298023,2569018.239999999757856,2477257.599999999627471,2699290.319999999832362,10455549.730000000447035
FS( 67 ),2735374.570000000298023,2593936.000000000000000,2495056.000000000000000,2695928.060000000055879,10520294.630000000819564
FS( 68 ),2734612.840000000316650,2630126.080000000074506,2532136.000000000000000,2709377.100000000093132,10606252.019999999552965
FS( 69 ),2751370.899999999906868,2623204.479999999515712,2543260.000000000000000,2688286.560000000055879,10606121.939999999478459
FS( 70 ),2679260.459999999962747,2628346.239999999757856,2573912.799999999813735,2683090.339999999850988,10564609.839999999850988
FS( 71 ),2618575.970000000204891,2541925.119999999646097,2503460.799999999813735,2636018.699999999720603,10299980.589999999850988
FS( 72 ),2677229.180000000167638,2573368.959999999962747,2527686.399999999906868,2697456.359999999869615,10475740.900000000372529
FS( 73 ),2740960.590000000316650,2546473.599999999627471,2457976.000000000000000,2660777.159999999683350,10406187.349999999627471
FS( 74 ),2837954.209999999962747,2524917.759999999776483,2433008.799999999813735,2659554.520000000018626,10455435.289999999105930
FS( 75 ),2934440.009999999776483,2526895.359999999869615,2459706.399999999906868,2691648.819999999832362,10612690.589999999850988
FS( 76 ),2917935.860000000335276,2505735.040000000037253,2418671.200000000186265,2691343.159999999683350,10533685.259999999776483
FS( 77 ),2883911.919999999925494,2521160.319999999832362,2423615.200000000186265,2701124.279999999795109,10529811.720000000670552
FS( 78 ),2883658.009999999776483,2527290.879999999888241,2415210.399999999906868,2707543.139999999664724,10533702.429999999701977
FS( 79 ),2883150.189999999944121,2582070.399999999906868,2462920.000000000000000,2683701.659999999683350,10611842.250000000000000
FS( 80 ),2910318.560000000055879,2607976.959999999962747,2471572.000000000000000,2720075.199999999720603,10709942.719999998807907
FS( 81 ),2861821.750000000000000,2606197.119999999646097,2452784.799999999813735,2682479.020000000018626,10603282.689999999478459
FS( 82 ),2866138.220000000204891,2582268.159999999683350,2441908.000000000000000,2685229.959999999497086,10575544.339999999850988
FS( 83 ),2871470.330000000074506,2597100.159999999683350,2446852.000000000000000,2700818.619999999646097,10616241.109999999403954
FS( 84 ),2893306.590000000316650,2615096.319999999832362,2525214.399999999906868,2734441.219999999739230,10768058.530000001192093
FS( 85 ),2848364.520000000484288,2591365.119999999646097,2503460.799999999813735,2696845.040000000037253,10640035.480000000447035
FS( 86 ),2870454.689999999944121,2605406.080000000074506,2544248.799999999813735,2743305.359999999869615,10763414.929999999701977
FS( 87 ),2856997.459999999962747,2618062.719999999739230,2532630.399999999906868,2709988.419999999925494,10717679.000000000000000
FS( 88 ),2869185.140000000130385,2615491.839999999850988,2503460.799999999813735,2700512.959999999497086,10688650.740000000223517
FS( 89 ),2870454.689999999944121,2663152.000000000000000,2527192.000000000000000,2715795.959999999497086,10776594.649999998509884
FS( 90 ),2891783.130000000353903,2658405.759999999776483,2525956.000000000000000,2727105.379999999888241,10803250.269999999552965
FS( 91 ),2896099.600000000093132,2647133.439999999944121,2528180.799999999813735,2750946.859999999869615,10822360.699999999254942
FS( 92 ),2946627.689999999944121,2686487.679999999701977,2570452.000000000000000,2722214.819999999832362,10925782.189999999478459
FS( 93 ),2952975.439999999944121,2644958.080000000074506,2547215.200000000186265,2706320.500000000000000,10851469.219999998807907
FS( 94 ),2979382.080000000074506,2633488.000000000000000,2525214.399999999906868,2707237.479999999515712,10845321.960000000894070
FS( 95 ),2970241.320000000298023,2637838.719999999739230,2491595.200000000186265,2697150.699999999720603,10796825.939999999478459
FS( 96 ),2986745.470000000204891,2640211.839999999850988,2498764.000000000000000,2702958.240000000223517,10828679.550000000745058
FS( 97 ),2984714.189999999944121,2650099.839999999850988,2505685.600000000093132,2684618.639999999664724,10825118.269999999552965
FS( 98 ),2982682.910000000149012,2671853.439999999944121,2516315.200000000186265,2673003.560000000055879,10843855.109999999403954
FS( 99 ),2973796.060000000055879,2693211.520000000018626,2528180.799999999813735,2614622.500000000000000,10809810.879999998956919
FS( 100 ),2972272.600000000093132,2686487.679999999701977,2518292.799999999813735,2595977.240000000223517,10773030.320000000298023
FS( 101 ),2960592.739999999757856,2682334.719999999739230,2504202.399999999906868,2577637.639999999664724,10724767.500000000000000
FS( 102 ),2987253.290000000502914,2718327.039999999571592,2488381.599999999627471,2570607.459999999497086,10764569.389999998733401
FS( 103 ),3002487.890000000130385,2749375.359999999869615,2491100.799999999813735,2658331.879999999888241,10901295.929999999701977
FS( 104 ),2934947.830000000074506,2878314.879999999888241,2501483.199999999720603,2671475.260000000242144,10986221.169999999925494
FS( 105 ),2906763.820000000298023,2834214.399999999906868,2470088.799999999813735,2646411.139999999664724,10857478.160000000149012
FS( 106 ),2887466.660000000149012,2828281.599999999627471,2566496.799999999813735,2654358.299999999813735,10936603.359999999403954
FS( 107 ),2882896.280000000260770,2816811.520000000018626,2589486.399999999906868,2653135.659999999683350,10942329.860000001266599
FS( 108 ),2830844.729999999981374,2816416.000000000000000,2632252.000000000000000,2654663.959999999497086,10934176.689999999478459
FS( 109 ),2833383.830000000074506,2783587.839999999850988,2605307.199999999720603,2651301.699999999720603,10873580.569999998435378
FS( 110 ),2788695.669999999925494,2769151.359999999869615,2605307.199999999720603,2647022.459999999497086,10810176.689999997615814
FS( 111 ),2763558.580000000074506,2759658.879999999888241,2590228.000000000000000,2600562.139999999664724,10714007.599999999627471
FS( 112 ),2803422.450000000186265,2828677.119999999646097,2641398.399999999906868,2645799.819999999832362,10919297.790000000968575
FS( 113 ),2819926.600000000093132,2812263.039999999571592,2652275.200000000186265,2673309.219999999739230,10957774.059999998658895
FS( 114 ),2815356.220000000204891,2869415.679999999701977,2660927.199999999720603,2626543.240000000223517,10972242.339999999850988
FS( 115 ),2736898.030000000260770,2920833.279999999795109,2664635.200000000186265,2535762.219999999739230,10858128.730000000447035
FS( 116 ),2753148.270000000484288,2937247.359999999869615,2636207.199999999720603,2554713.139999999664724,10881315.969999998807907
FS( 117 ),2684084.750000000000000,2966318.080000000074506,2634971.200000000186265,2536984.859999999869615,10822358.890000000596046
FS( 118 ),2719632.149999999906868,2929139.200000000186265,2693557.599999999627471,2555935.779999999795109,10898264.729999998584390
FS( 119 ),2792758.229999999981374,2896113.279999999795109,2678478.399999999906868,2542792.399999999906868,10910142.310000000521541
FS( 120 ),2791742.590000000316650,2874161.919999999925494,2672792.799999999813735,2539124.479999999515712,10877821.789999999105930
FS( 121 ),2794535.600000000093132,2894333.439999999944121,2699490.399999999906868,2506418.859999999869615,10894778.299999998882413
FS( 122 ),2836938.570000000298023,2907583.359999999869615,2723716.000000000000000,2525981.100000000093132,10994219.029999999329448
FS( 123 ),2838715.939999999944121,2957023.359999999869615,2734592.799999999813735,2529649.020000000018626,11059981.119999999180436
FS( 124 ),2824243.070000000298023,2961374.080000000074506,2743986.399999999906868,2527203.740000000223517,11056807.290000000968575
FS( 125 ),2838462.030000000260770,2967306.879999999888241,2743986.399999999906868,2551045.219999999739230,11100800.530000001192093
FS( 126 ),2832876.009999999776483,2961967.359999999869615,2731626.399999999906868,2539124.479999999515712,11065594.250000000000000
FS( 127 ),2830083.000000000000000,2998948.479999999515712,2702951.200000000186265,2533622.600000000093132,11065605.279999999329448
FS( 128 ),2806215.459999999962747,2977590.399999999906868,2757829.600000000093132,2520479.219999999739230,11062114.679999999701977
