代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11459459.769999999552965
真實報酬,1459459.769999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14228.925699912733762
風險,167897.321024933306035
起點值,0.084747782829719
找到最佳解世代,2326
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](10),MCD[15](1),UNH[23](2),
FS( 22 ),3609429.740000000223517,3459005.129999999422580,3548846.759999999776483,10617282.629999998956919
FS( 23 ),3594187.260000000242144,3449477.639999999664724,3521907.540000000037253,10565573.440000001341105
FS( 24 ),3568552.180000000633299,3461273.580000000074506,3451390.169999999925494,10481216.929999999701977
FS( 25 ),3594880.100000000093132,3427246.830000000074506,3472783.079999999608845,10494911.009999999776483
FS( 26 ),3538413.640000000130385,3438135.389999999664724,3525076.859999999869615,10501626.889999998733401
FS( 27 ),3432409.120000000111759,3478967.490000000223517,3469613.759999999776483,10380991.370000001043081
FS( 28 ),3461854.820000000298023,3481235.939999999944121,3453767.160000000149012,10396858.919999999925494
FS( 29 ),3491993.360000000335276,3433144.799999999813735,3419696.969999999739230,10344836.129999998956919
FS( 30 ),3506889.420000000391155,3408191.850000000093132,3390380.759999999776483,10305463.030000001192093
FS( 31 ),3447305.180000000633299,3329249.789999999571592,3316694.069999999832362,10093250.040000000968575
FS( 32 ),3541877.839999999850988,3330157.169999999925494,3349179.600000000093132,10221215.609999999403954
FS( 33 ),3561277.360000000335276,3311555.879999999422580,3375326.490000000223517,10248160.730000000447035
FS( 34 ),3644071.740000000223517,3346490.010000000242144,3422073.959999999962747,10412636.710000000894070
FS( 35 ),3645457.420000000391155,3351480.600000000093132,3386419.109999999869615,10383358.130000000819564
FS( 36 ),3654117.920000000391155,3381424.139999999664724,3387211.439999999944121,10422754.500000000000000
FS( 37 ),3650653.720000000204891,3399571.740000000223517,3470406.089999999850988,10520632.550000000745058
FS( 38 ),3699152.520000000484288,3414089.819999999832362,3466444.439999999944121,10579687.779999999329448
FS( 39 ),3673517.440000000409782,3402747.569999999832362,3475952.399999999906868,10552218.410000000149012
FS( 40 ),3719591.300000000279397,3419534.100000000093132,3524284.529999999795109,10663410.929999999701977
FS( 41 ),3741762.180000000633299,3439496.459999999962747,3597178.889999999664724,10778438.530000001192093
FS( 42 ),3723748.339999999850988,3452199.779999999795109,3581332.290000000037253,10757281.410000000149012
FS( 43 ),3752501.200000000186265,3447662.879999999422580,3613817.819999999832362,10813982.900000000372529
FS( 44 ),3749383.420000000391155,3465810.479999999981374,3613025.490000000223517,10828220.390000000596046
FS( 45 ),3787489.620000000111759,3475337.969999999739230,3572616.660000000149012,10835445.250000000000000
FS( 46 ),3764279.479999999981374,3480782.250000000000000,3562316.370000000111759,10807379.100000001490116
FS( 47 ),3773979.240000000223517,3448570.260000000242144,3520322.879999999888241,10742873.379999998956919
FS( 48 ),3798921.479999999981374,3449931.330000000074506,3516361.229999999981374,10765215.040000000968575
FS( 49 ),3733794.520000000484288,3459458.819999999832362,3511607.250000000000000,10704861.589999999850988
FS( 50 ),3609083.320000000298023,3478060.109999999869615,3550431.419999999925494,10637575.849999999627471
FS( 51 ),3596265.780000000260770,3488494.979999999981374,3512399.579999999608845,10597161.339999999850988
FS( 52 ),3633332.720000000204891,3496661.399999999441206,3551223.750000000000000,10681218.869999999180436
FS( 53 ),3680445.839999999850988,3510725.789999999571592,3563901.029999999795109,10755073.659999998286366
FS( 54 ),3620168.760000000242144,3493485.569999999832362,3450597.839999999850988,10564253.169999999925494
FS( 55 ),3651346.560000000521541,3475337.969999999739230,3483083.370000000111759,10609768.900000000372529
FS( 56 ),3734833.780000000260770,3557002.169999999925494,3505268.609999999869615,10797105.560000000521541
FS( 57 ),3745919.220000000204891,3489402.359999999869615,3788130.419999999925494,11023453.000000000000000
FS( 58 ),3721323.400000000372529,3499383.539999999571592,3780207.120000000111759,11000915.059999998658895
FS( 59 ),3767397.260000000242144,3490763.429999999701977,3751683.240000000223517,11009844.929999999701977
FS( 60 ),3775018.500000000000000,3532956.600000000093132,3819823.620000000111759,11127799.719999998807907
FS( 61 ),3769475.780000000260770,3540215.639999999664724,3890340.990000000223517,11200033.410000000149012
FS( 62 ),3791300.240000000223517,3552918.959999999962747,3900641.279999999795109,11244861.480000000447035
FS( 63 ),3747651.320000000298023,3567890.729999999981374,3952142.729999999981374,11267685.780000001192093
FS( 64 ),3678020.900000000372529,3581501.429999999701977,3936296.129999999888241,11195819.460000000894070
FS( 65 ),3626404.320000000298023,3587399.399999999441206,3926788.169999999925494,11140592.890000000596046
FS( 66 ),3555041.800000000279397,3566075.969999999739230,3928372.829999999608845,11049491.599999999627471
FS( 67 ),3564048.720000000204891,3570612.870000000111759,3971158.649999999906868,11105821.240000000223517
FS( 68 ),3605965.540000000502914,3598287.959999999962747,3998890.199999999720603,11203144.699999999254942
FS( 69 ),3615318.880000000353903,3616435.559999999590218,4002059.520000000018626,11233814.959999999031425
FS( 70 ),3542570.680000000633299,3607361.760000000242144,3963235.350000000093132,11113168.790000000968575
FS( 71 ),3559891.680000000633299,3659536.109999999869615,3967989.329999999608845,11187418.120000001043081
FS( 72 ),3547074.140000000130385,3663165.629999999422580,3957689.040000000037253,11167929.809999998658895
FS( 73 ),3521439.060000000521541,3681313.229999999981374,3975120.300000000279397,11177873.590000001713634
FS( 74 ),3478482.979999999981374,3671785.740000000223517,3960858.359999999869615,11111128.080000000074506
FS( 75 ),3563355.880000000353903,3697646.069999999832362,4009982.819999999832362,11270985.769999999552965
FS( 76 ),3598344.300000000279397,3743468.760000000242144,4005228.839999999850988,11347042.900000000372529
FS( 77 ),3553309.700000000186265,3735302.339999999850988,3941050.109999999869615,11229663.150000000372529
FS( 78 ),3511739.300000000279397,3743015.069999999832362,3895094.969999999739230,11149850.339999999850988
FS( 79 ),3542917.100000000093132,3749366.729999999981374,3800015.370000000111759,11092300.199999999254942
FS( 80 ),3576866.260000000242144,3752996.250000000000000,3792884.399999999906868,11122747.910000000149012
FS( 81 ),3580676.880000000353903,3739839.240000000223517,3779414.790000000037253,11099931.910000000149012
FS( 82 ),3575480.580000000074506,3703090.350000000093132,3826954.589999999850988,11105526.519999999552965
FS( 83 ),3634371.979999999981374,3699460.830000000074506,3878456.040000000037253,11212289.850000001490116
FS( 84 ),3550538.339999999850988,3674054.189999999944121,3830916.240000000223517,11055509.769999999552965
FS( 85 ),3503078.800000000279397,3663619.319999999832362,3913318.560000000055879,11080017.679999999701977
FS( 86 ),3498921.760000000242144,3654091.830000000074506,3870532.740000000223517,11023547.330000000074506
FS( 87 ),3453194.320000000298023,3661350.870000000111759,3815069.639999999664724,10929615.830000000074506
FS( 88 ),3445919.500000000000000,3681313.229999999981374,3800807.699999999720603,10928041.429999999701977
FS( 89 ),3462547.660000000149012,3681766.919999999925494,3819031.290000000037253,10963346.870000001043081
FS( 90 ),3506889.420000000391155,3686757.510000000242144,4009190.490000000223517,11202838.420000001788139
FS( 91 ),3452847.900000000372529,3645925.409999999683350,3914903.219999999739230,11013677.530000001192093
FS( 92 ),3427212.820000000298023,3662711.939999999944121,3891133.319999999832362,10981059.080000000074506
FS( 93 ),3485064.959999999962747,3696285.000000000000000,3929957.490000000223517,11111308.449999999254942
FS( 94 ),3409198.979999999981374,3685850.129999999422580,3910149.240000000223517,11005199.349999999627471
FS( 95 ),3444533.820000000298023,3711710.459999999962747,3934711.469999999739230,11090956.750000000000000
FS( 96 ),3435526.900000000372529,3743922.449999999720603,3958481.370000000111759,11137931.719999998807907
FS( 97 ),3461161.979999999981374,3751635.179999999701977,4062276.600000000093132,11275074.759999999776483
FS( 98 ),3519360.540000000502914,3756625.769999999552965,4137547.949999999720603,11413535.259999999776483
FS( 99 ),3501346.700000000186265,3749820.419999999925494,4102685.430000000167638,11353853.550000000745058
FS( 100 ),3442108.880000000353903,3733487.580000000074506,4052768.639999999664724,11228366.100000001490116
FS( 101 ),3391531.560000000521541,3713071.529999999795109,3998097.870000000111759,11102701.960000000894070
FS( 102 ),3426173.560000000521541,3734848.649999999441206,4043260.680000000167638,11204283.890000000596046
FS( 103 ),3476404.459999999962747,3826947.719999999739230,4101893.100000000093132,11405246.279999999329448
FS( 104 ),3508621.520000000484288,3836928.899999999441206,4083669.509999999776483,11429220.929999999701977
FS( 105 ),3562663.040000000502914,3825586.649999999441206,4086838.829999999608845,11475089.519999999552965
FS( 106 ),3605965.540000000502914,3885927.419999999925494,4209649.980000000447035,11701543.940000001341105
FS( 107 ),3641646.800000000279397,3885473.729999999981374,4187464.740000000223517,11714586.269999999552965
FS( 108 ),3640261.120000000111759,3895454.909999999683350,4209649.980000000447035,11745367.009999999776483
FS( 109 ),3692570.540000000502914,3904528.709999999962747,4170033.479999999981374,11767133.730000000447035
FS( 110 ),3668321.140000000130385,3883658.969999999739230,4126455.329999999608845,11678436.439999999478459
FS( 111 ),3617050.979999999981374,3872316.719999999739230,4036129.709999999962747,11525498.410000000149012
FS( 112 ),3616358.140000000130385,3855983.879999999422580,4073369.219999999739230,11545712.239999998360872
FS( 113 ),3640607.540000000502914,3854622.809999999590218,4098723.779999999795109,11593955.129999998956919
FS( 114 ),3626057.900000000372529,3893186.459999999962747,4141509.600000000093132,11660754.960000000894070
FS( 115 ),3678713.740000000223517,3878214.689999999944121,4117739.699999999720603,11674669.129999998956919
FS( 116 ),3680099.420000000391155,3874585.169999999925494,4116155.040000000037253,11670840.629999998956919
FS( 117 ),3723401.920000000391155,3911334.059999999590218,4076538.540000000037253,11711275.519999999552965
FS( 118 ),3710237.959999999962747,3914056.199999999720603,4081292.520000000018626,11705587.679999999701977
FS( 119 ),3790953.820000000298023,3926305.830000000074506,4132001.639999999664724,11849262.289999999105930
FS( 120 ),3775018.500000000000000,4017951.209999999962747,4179541.439999999944121,11972512.150000000372529
FS( 121 ),3744879.959999999962747,3997988.850000000093132,4090800.479999999981374,11833670.290000000968575
FS( 122 ),3726519.700000000186265,3993451.949999999720603,4061484.270000000018626,11781456.919999999925494
FS( 123 ),3659314.220000000204891,3951258.779999999795109,3952935.060000000055879,11563509.060000000521541
FS( 124 ),3638529.020000000484288,3937194.389999999664724,3955312.050000000279397,11531036.460000000894070
FS( 125 ),3603540.600000000093132,3923583.689999999944121,3932334.479999999981374,11459459.769999999552965
