代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11838089.290000000968575
真實報酬,1838089.290000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15020.385642269735399
風險,115871.328124183361069
起點值,0.129629873804259
找到最佳解世代,2299
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,4
CAT[3](1),CSCO[4](5),DD[7](2),MCD[15](14),
FS( 87 ),3000286.779999999795109,2708628.640000000596046,2997004.600000000558794,2512952.000000000000000,11218872.019999999552965
FS( 88 ),3038268.220000000204891,2719297.150000000372529,3005785.600000000093132,2540669.279999999795109,11304020.250000000000000
FS( 89 ),3056072.020000000018626,2740634.170000000391155,3061984.000000000000000,2547663.359999999869615,11406353.550000000745058
FS( 90 ),3034410.729999999981374,2684920.839999999850988,2982515.950000000651926,2575639.680000000167638,11277487.200000001117587
FS( 91 ),3010375.600000000093132,2662398.430000000167638,2935537.600000000093132,2572013.120000000111759,11180324.750000000000000
FS( 92 ),3049840.689999999944121,2708628.640000000596046,2969783.500000000465661,2593254.399999999906868,11321507.230000000447035
FS( 93 ),3041532.250000000000000,2713370.200000000186265,2974174.000000000000000,2611905.279999999795109,11340981.729999998584390
FS( 94 ),3054291.640000000130385,2729965.660000000149012,3032567.649999999906868,2611905.279999999795109,11428730.230000000447035
FS( 95 ),3051324.339999999850988,2751302.680000000167638,3046178.200000000186265,2596880.959999999962747,11445686.179999999701977
FS( 96 ),3045686.470000000204891,2773825.089999999850988,3047934.400000000372529,2581856.640000000130385,11449302.600000001490116
FS( 97 ),3076843.120000000111759,2788049.770000000018626,3060227.800000000279397,2572790.239999999757856,11497910.930000001564622
FS( 98 ),3067644.489999999757856,2785678.990000000223517,3087009.850000000558794,2567868.479999999981374,11508201.810000002384186
FS( 99 ),3124023.189999999944121,2765527.359999999869615,3078667.900000000372529,2586260.319999999832362,11554478.769999999552965
FS( 100 ),3106516.120000000111759,2726409.490000000223517,3032567.649999999906868,2609314.879999999888241,11474808.140000000596046
FS( 101 ),3093756.729999999981374,2728780.270000000018626,2957051.049999999813735,2598435.200000000186265,11378023.250000000000000
FS( 102 ),3124616.649999999906868,2745375.730000000447035,3044861.049999999813735,2629260.959999999962747,11544114.390000000596046
FS( 103 ),3127583.950000000186265,2739448.780000000260770,3119938.600000000558794,2626152.479999999981374,11613123.810000002384186
FS( 104 ),3117791.859999999869615,2727594.880000000353903,3045739.150000000372529,2615272.799999999813735,11506398.690000001341105
FS( 105 ),3116011.479999999981374,2719297.150000000372529,3044422.000000000465661,2627447.680000000167638,11507178.310000000521541
FS( 106 ),3101471.709999999962747,2721667.930000000167638,3086131.750000000465661,2619935.520000000018626,11529206.910000000149012
FS( 107 ),3082184.260000000242144,2693218.570000000298023,3070765.000000000000000,2615013.760000000242144,11461181.589999999850988
FS( 108 ),3104439.010000000242144,2710999.420000000391155,3096229.899999999906868,2641176.799999999813735,11552845.129999998956919
FS( 109 ),3113934.370000000111759,2728780.270000000018626,3076911.700000000186265,2640917.760000000242144,11560544.099999999627471
FS( 110 ),3117495.129999999888241,2728780.270000000018626,3080863.150000000372529,2666303.680000000167638,11593442.230000000447035
FS( 111 ),3151322.350000000093132,2748931.900000000372529,3133988.200000000186265,2664490.399999999906868,11698732.849999999627471
FS( 112 ),3179511.700000000186265,2709814.030000000260770,3129597.700000000186265,2681846.080000000074506,11700769.509999999776483
FS( 113 ),3161114.439999999944121,2703887.080000000074506,3138817.750000000000000,2668894.080000000074506,11672713.349999999627471
FS( 114 ),3115418.020000000018626,2866285.510000000242144,3039592.450000000651926,2655164.959999999962747,11676460.940000001341105
FS( 115 ),3146277.939999999944121,2888807.920000000391155,3062423.050000000279397,2671743.520000000018626,11769252.429999999701977
FS( 116 ),3127287.220000000204891,2886437.140000000596046,3084814.600000000558794,2644544.319999999832362,11743083.280000001192093
FS( 117 ),3013639.629999999888241,2859173.170000000391155,3109840.450000000186265,2630038.080000000074506,11612691.330000000074506
FS( 118 ),3052807.989999999757856,2901847.210000000428408,3122572.900000000372529,2656719.200000000186265,11733947.300000000745058
FS( 119 ),3058742.589999999850988,2889993.310000000055879,3112474.750000000465661,2653869.760000000242144,11715080.410000000149012
FS( 120 ),3086931.939999999944121,2906588.770000000018626,3168673.150000000372529,2642212.959999999962747,11804406.820000000298023
FS( 121 ),3076546.390000000130385,2929111.180000000167638,3184478.950000000186265,2651538.399999999906868,11841674.919999999925494
FS( 122 ),3053698.179999999701977,2942150.470000000204891,3237164.950000000651926,2624080.159999999683350,11857093.760000001639128
FS( 123 ),3074172.549999999813735,2925555.010000000242144,3280630.900000000372529,2625116.319999999832362,11905474.780000001192093
FS( 124 ),3033520.540000000037253,2918442.670000000391155,3258678.400000000372529,2627447.680000000167638,11838089.290000000968575
