代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12305768.320000000298023
真實報酬,2305768.320000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16266.147674350670059
風險,151070.964465439930791
起點值,0.107672230278717
找到最佳解世代,2089
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
TRV[22](2),V[25](1),
FS( 21 ),5135369.299999999813735,5074604.839999999850988,10209974.140000000596046
FS( 22 ),5083972.400000000372529,5261848.359999999403954,10345820.759999999776483
FS( 23 ),5039814.500000000931323,5244294.280000000260770,10284108.780000001192093
FS( 24 ),5002895.600000000558794,5175540.799999999813735,10178436.400000000372529
FS( 25 ),5079629.000000000000000,5261848.359999999403954,10341477.359999999403954
FS( 26 ),4973939.599999999627471,5213574.639999999664724,10187514.239999998360872
FS( 27 ),4994932.700000000186265,5196020.560000000521541,10190953.260000001639128
FS( 28 ),4993484.900000000372529,5226740.199999999254942,10220225.099999999627471
FS( 29 ),4953670.400000000372529,5238442.919999999925494,10192113.320000000298023
FS( 30 ),4939192.400000000372529,5209186.120000000111759,10148378.519999999552965
FS( 31 ),4927610.000000000000000,5118490.040000000037253,10046100.039999999105930
FS( 32 ),4945707.500000000000000,5119952.879999999888241,10065660.379999998956919
FS( 33 ),4969596.200000000186265,5219426.000000000000000,10189022.199999999254942
FS( 34 ),5034023.300000000745058,5326213.319999999366701,10360236.620000001043081
FS( 35 ),5041262.299999999813735,5352544.440000000409782,10393806.740000000223517
FS( 36 ),5083248.500000000000000,5364247.160000000149012,10447495.660000000149012
FS( 37 ),5159258.000000000000000,5416909.400000000372529,10576167.400000000372529
FS( 38 ),5129578.100000000558794,5384726.919999999925494,10514305.019999999552965
FS( 39 ),5127406.400000000372529,5368635.680000000633299,10496042.080000001937151
FS( 40 ),5136817.099999999627471,5386189.759999999776483,10523006.859999999403954
FS( 41 ),5152742.900000000372529,5419835.079999999143183,10572577.980000000447035
FS( 42 ),5126682.500000000000000,5475423.000000000000000,10602105.500000000000000
FS( 43 ),5136093.200000000186265,5435926.319999999366701,10572019.519999999552965
FS( 44 ),5105689.400000000372529,5397892.479999999515712,10503581.879999998956919
FS( 45 ),5356882.700000000186265,5415446.560000000521541,10772329.260000001639128
FS( 46 ),5295351.200000000186265,5430074.959999999962747,10725426.160000000149012
FS( 47 ),5312724.799999999813735,5433000.639999999664724,10745725.439999999478459
FS( 48 ),5309105.300000000745058,5437389.160000000149012,10746494.460000000894070
FS( 49 ),5315620.400000000372529,5446166.199999999254942,10761786.599999999627471
FS( 50 ),5306933.600000000558794,5408132.359999999403954,10715065.960000000894070
FS( 51 ),5301142.400000000372529,5383264.079999999143183,10684406.480000000447035
FS( 52 ),5311277.000000000931323,5370098.519999999552965,10681375.519999999552965
FS( 53 ),5370636.799999999813735,5453480.400000000372529,10824117.199999999254942
FS( 54 ),5380771.400000000372529,5511994.000000000000000,10892765.400000000372529
FS( 55 ),5315620.400000000372529,5454943.240000000223517,10770563.640000000596046
FS( 56 ),5343852.500000000000000,5576358.959999999962747,10920211.460000000894070
FS( 57 ),5271462.500000000000000,5513456.839999999850988,10784919.339999999850988
FS( 58 ),5238163.100000000558794,5529548.079999999143183,10767711.179999999701977
FS( 59 ),5231648.000000000000000,5476885.839999999850988,10708533.839999999850988
FS( 60 ),5199072.500000000000000,5463720.280000000260770,10662792.780000001192093
FS( 61 ),5157086.299999999813735,5435926.319999999366701,10593012.619999999180436
FS( 62 ),5199072.500000000000000,5544176.479999999515712,10743248.980000000447035
FS( 63 ),5274358.100000000558794,5683146.280000000260770,10957504.380000000819564
FS( 64 ),5314896.500000000000000,5687534.799999999813735,11002431.300000000745058
FS( 65 ),5361226.100000000558794,5732882.839999999850988,11094108.940000001341105
FS( 66 ),5288836.100000000558794,5773842.359999999403954,11062678.460000000894070
FS( 67 ),5298246.799999999813735,5827967.440000000409782,11126214.240000000223517
FS( 68 ),5352539.299999999813735,5917200.680000000633299,11269739.980000000447035
FS( 69 ),5389458.200000000186265,5870389.799999999813735,11259848.000000000000000
FS( 70 ),5418414.200000000186265,5893795.240000000223517,11312209.440000001341105
FS( 71 ),5425653.200000000186265,5874778.319999999366701,11300431.519999999552965
FS( 72 ),5469811.100000000558794,5867464.120000000111759,11337275.220000000670552
FS( 73 ),5469087.200000000186265,5858687.079999999143183,11327774.279999999329448
FS( 74 ),5494423.700000000186265,5846984.359999999403954,11341408.059999998658895
FS( 75 ),5524103.600000000558794,5788470.759999999776483,11312574.359999999403954
FS( 76 ),5642823.200000000186265,5816264.719999999739230,11459087.919999999925494
FS( 77 ),5620382.299999999813735,5816264.719999999739230,11436647.019999999552965
FS( 78 ),5652957.800000000745058,5835281.639999999664724,11488239.440000001341105
FS( 79 ),5671779.200000000186265,5845521.519999999552965,11517300.719999998807907
FS( 80 ),5599389.200000000186265,5718254.440000000409782,11317643.640000000596046
FS( 81 ),5632688.600000000558794,5729957.160000000149012,11362645.760000001639128
FS( 82 ),5616038.900000000372529,5668517.879999999888241,11284556.780000001192093
FS( 83 ),5679742.099999999627471,5775305.199999999254942,11455047.299999998882413
FS( 84 ),5783259.799999999813735,5798710.639999999664724,11581970.439999999478459
FS( 85 ),5646442.700000000186265,5728494.319999999366701,11374937.019999999552965
FS( 86 ),5693496.200000000186265,5833818.799999999813735,11527315.000000000000000
FS( 87 ),5715937.099999999627471,5882092.519999999552965,11598029.619999999180436
FS( 88 ),5727519.500000000931323,5744585.560000000521541,11472105.060000002384186
FS( 89 ),5708698.100000000558794,5770916.680000000633299,11479614.780000001192093
FS( 90 ),5734034.599999999627471,5716791.599999999627471,11450826.199999999254942
FS( 91 ),5783983.700000000186265,5734345.680000000633299,11518329.380000000819564
FS( 92 ),5790498.799999999813735,5659740.839999999850988,11450239.640000000596046
FS( 93 ),5815835.300000000745058,5703626.040000000037253,11519461.339999999850988
FS( 94 ),5819454.799999999813735,5778230.879999999888241,11597685.679999999701977
FS( 95 ),5834656.700000000186265,5763602.479999999515712,11598259.179999999701977
FS( 96 ),5799185.600000000558794,5683146.280000000260770,11482331.880000000819564
FS( 97 ),5818730.899999999441206,5757751.120000000111759,11576482.019999999552965
FS( 98 ),5864336.600000000558794,5830893.120000000111759,11695229.720000000670552
FS( 99 ),5736930.200000000186265,5700700.359999999403954,11437630.559999998658895
FS( 100 ),5794118.300000000745058,5772379.519999999552965,11566497.820000000298023
FS( 101 ),5847686.900000000372529,5846984.359999999403954,11694671.259999999776483
FS( 102 ),5821626.500000000000000,5801636.319999999366701,11623262.820000000298023
FS( 103 ),5841171.799999999813735,5781156.560000000521541,11622328.359999999403954
FS( 104 ),5828865.500000000000000,5833818.799999999813735,11662684.300000000745058
FS( 105 ),5896912.099999999627471,5861612.759999999776483,11758524.859999999403954
FS( 106 ),5868680.000000000000000,5890869.560000000521541,11759549.560000000521541
FS( 107 ),5878090.700000000186265,5870389.799999999813735,11748480.500000000000000
FS( 108 ),5910666.200000000186265,5876241.160000000149012,11786907.359999999403954
FS( 109 ),5917905.200000000186265,5895258.079999999143183,11813163.279999999329448
FS( 110 ),5917181.299999999813735,5844058.680000000633299,11761239.980000000447035
FS( 111 ),5944689.500000000931323,5827967.440000000409782,11772656.940000001341105
FS( 112 ),5962063.100000000558794,5876241.160000000149012,11838304.260000001639128
FS( 113 ),5956271.900000000372529,5798710.639999999664724,11754982.539999999105930
FS( 114 ),5974369.400000000372529,5781156.560000000521541,11755525.960000000894070
FS( 115 ),6022146.799999999813735,5705088.879999999888241,11727235.679999999701977
FS( 116 ),6069200.300000000745058,5826504.599999999627471,11895704.900000000372529
FS( 117 ),6062685.200000000186265,5770916.680000000633299,11833601.880000000819564
FS( 118 ),6058341.799999999813735,5854298.560000000521541,11912640.359999999403954
FS( 119 ),6035177.000000000931323,5997656.879999999888241,12032833.880000000819564
FS( 120 ),6034453.100000000558794,6124923.959999999962747,12159377.060000000521541
FS( 121 ),6035177.000000000931323,6168809.160000000149012,12203986.160000000149012
FS( 122 ),6094536.799999999813735,6211231.519999999552965,12305768.320000000298023
