訓練日期,20180806 - 20181105
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11254498.320000000298023
真實報酬,1254498.320000000298023

夏普值報酬,0.116749832000000
夏普值風險,0.032258231729459
夏普值,3.619226031332049

預期報酬,16964.148629263865587
風險,108272.830211127991788
趨勢值,0.156679645264508
找到最佳解世代,2224
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MCD[15](3),MRK[17](1),PFE[20](4),WBA[27](2),
FS( 12 ),2568912.640000000130385,2611368.399999999906868,2568225.919999999459833,2604936.399999999906868,10353443.359999999403954
FS( 13 ),2561096.160000000149012,2606460.640000000130385,2562743.479999999981374,2582317.600000000093132,10312617.880000000819564
FS( 14 ),2537168.160000000149012,2603818.000000000000000,2570662.560000000055879,2568968.799999999813735,10280617.519999999552965
FS( 15 ),2542432.319999999832362,2606460.640000000130385,2582845.759999999776483,2566373.199999999720603,10298111.919999999925494
FS( 16 ),2559979.520000000018626,2604573.040000000037253,2532894.639999999664724,2574901.599999999627471,10272348.800000000745058
FS( 17 ),2578483.839999999850988,2590982.319999999832362,2528021.359999999869615,2568968.799999999813735,10266456.320000000298023
FS( 18 ),2601933.280000000260770,2597777.680000000167638,2528021.359999999869615,2545979.199999999720603,10273711.519999999552965
FS( 19 ),2596988.160000000149012,2587584.640000000130385,2528021.359999999869615,2514090.399999999906868,10226684.560000000521541
FS( 20 ),2587895.520000000018626,2589472.240000000223517,2529239.680000000167638,2542271.200000000186265,10248878.640000000596046
FS( 21 ),2579760.000000000000000,2565310.959999999962747,2520102.279999999795109,2507416.000000000000000,10172589.240000000223517
FS( 22 ),2604007.040000000037253,2590604.800000000279397,2549341.959999999962747,2530405.599999999627471,10274359.399999998509884
FS( 23 ),2611983.040000000037253,2619296.319999999832362,2545077.839999999850988,2522618.799999999813735,10298976.000000000000000
FS( 24 ),2614535.360000000335276,2630244.399999999906868,2570662.560000000055879,2528551.599999999627471,10343993.919999999925494
FS( 25 ),2633199.199999999720603,2626091.680000000167638,2562134.319999999832362,2551170.399999999906868,10372595.599999999627471
FS( 26 ),2626020.800000000279397,2607970.720000000204891,2577363.319999999832362,2548945.599999999627471,10360300.439999999478459
FS( 27 ),2627935.040000000037253,2637417.280000000260770,2583454.919999999459833,2609756.799999999813735,10458564.039999999105930
FS( 28 ),2590607.360000000335276,2674036.720000000204891,2610257.959999999962747,2613464.800000000279397,10488366.839999999850988
FS( 29 ),2565722.240000000223517,2641947.520000000018626,2616958.719999999739230,2606048.799999999813735,10430677.279999999329448
FS( 30 ),2522651.839999999850988,2658558.399999999906868,2620004.519999999552965,2612352.399999999906868,10413567.160000000149012
FS( 31 ),2516749.600000000093132,2658558.399999999906868,2650462.519999999552965,2628296.799999999813735,10454067.320000000298023
FS( 32 ),2539241.920000000391155,2641947.520000000018626,2635233.519999999552965,2643128.799999999813735,10459551.759999999776483
FS( 33 ),2564924.640000000130385,2672149.120000000111759,2665082.359999999869615,2702827.600000000093132,10604983.719999998807907
FS( 34 ),2636868.160000000149012,2684229.759999999776483,2683966.319999999832362,2706906.399999999906868,10711970.640000000596046
FS( 35 ),2605123.680000000167638,2672149.120000000111759,2676047.239999999757856,2677242.399999999906868,10630562.440000001341105
FS( 36 ),2654574.879999999888241,2667241.360000000335276,2667519.000000000000000,2677613.199999999720603,10666948.439999999478459
FS( 37 ),2644206.080000000074506,2655160.720000000204891,2660818.239999999757856,2705423.199999999720603,10665608.240000000223517
FS( 38 ),2656489.120000000111759,2669884.000000000000000,2674219.759999999776483,2736941.200000000186265,10737534.080000000074506
FS( 39 ),2668612.640000000130385,2678189.439999999944121,2684575.479999999981374,2703198.399999999906868,10734575.960000000894070
FS( 40 ),2658722.399999999906868,2700463.120000000111759,2696758.680000000167638,2686883.199999999720603,10742827.399999998509884
FS( 41 ),2634953.920000000391155,2708768.560000000055879,2693712.879999999888241,2725075.599999999627471,10762510.960000000894070
FS( 42 ),2626658.879999999888241,2694422.800000000279397,2729653.319999999832362,2736570.399999999906868,10787305.400000000372529
FS( 43 ),2644844.160000000149012,2688760.000000000000000,2722952.560000000055879,2719513.600000000093132,10776070.320000000298023
FS( 44 ),2657127.199999999720603,2681587.120000000111759,2735744.919999999459833,2688737.200000000186265,10763196.440000001341105
FS( 45 ),2676269.600000000093132,2697820.479999999981374,2758283.839999999850988,2749548.399999999906868,10881922.320000000298023
FS( 46 ),2709130.720000000204891,2731042.240000000223517,2769857.879999999888241,2727671.200000000186265,10937702.040000000968575
FS( 47 ),2685840.800000000279397,2659690.959999999962747,2711378.519999999552965,2681321.200000000186265,10738231.480000000447035
FS( 48 ),2599700.000000000000000,2581166.800000000279397,2607821.319999999832362,2629038.399999999906868,10417726.520000001415610
FS( 49 ),2613259.199999999720603,2635529.680000000167638,2666909.839999999850988,2725446.399999999906868,10641145.119999999180436
FS( 50 ),2610866.399999999906868,2622316.479999999981374,2626705.279999999795109,2770684.000000000000000,10630572.160000000149012
FS( 51 ),2617247.199999999720603,2688760.000000000000000,2676047.239999999757856,2828528.799999999813735,10810583.239999998360872
FS( 52 ),2660317.600000000093132,2711411.199999999720603,2715033.479999999981374,2854484.800000000279397,10941247.080000000074506
FS( 53 ),2660955.680000000167638,2726134.479999999981374,2680311.359999999869615,2839652.799999999813735,10907054.320000000298023
FS( 54 ),2671803.040000000037253,2731419.759999999776483,2710769.359999999869615,2868204.399999999906868,10982196.560000000521541
FS( 55 ),2658084.319999999832362,2739725.199999999720603,2702850.279999999795109,2879328.399999999906868,10979988.199999999254942
FS( 56 ),2825899.360000000335276,2721981.759999999776483,2686402.959999999962747,2864867.200000000186265,11099151.280000001192093
FS( 57 ),2829089.759999999776483,2663088.640000000130385,2587719.039999999571592,2751402.399999999906868,10831299.839999999850988
FS( 58 ),2796547.680000000167638,2641192.479999999981374,2644370.919999999459833,2808505.599999999627471,10890616.679999999701977
FS( 59 ),2765122.240000000223517,2657803.360000000335276,2595028.959999999962747,2826674.800000000279397,10844629.360000001266599
FS( 60 ),2763367.520000000018626,2697442.959999999962747,2633406.039999999571592,2848551.999999999534339,10942768.519999999552965
FS( 61 ),2847275.040000000037253,2751050.800000000279397,2612694.600000000093132,2921970.399999999906868,11132990.839999999850988
FS( 62 ),2821911.360000000335276,2778987.280000000260770,2623050.319999999832362,2957937.999999999534339,11181886.960000000894070
FS( 63 ),2789688.319999999832362,2760488.800000000279397,2660209.080000000074506,2962758.399999999906868,11173144.599999999627471
FS( 64 ),2819518.560000000055879,2728399.600000000093132,2615131.239999999757856,2940510.399999999906868,11103559.800000000745058
FS( 65 ),2877583.839999999850988,2760488.800000000279397,2651071.680000000167638,2965354.000000000000000,11254498.320000000298023
