訓練日期,20131010 - 20140113
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11192221.319999998435378
真實報酬,1192221.319999998435378

夏普值報酬,0.110522132000000
夏普值風險,0.033663478123627
夏普值,3.283146548140803

預期報酬,19571.431837612763047
風險,65015.043588718763203
趨勢值,0.301029281183297
找到最佳解世代,2487
找到最佳解實驗#,1
找到最佳解次數,27

stock[index](rank)
投資組合檔數,6
AAPL[0](12),BA[2](7),CAT[3](26),GS[8](2),MRK[17](25),XOM[29](1),
FS( 11 ),1810575.040000000037253,1807957.359999999869615,1662732.000000000000000,1687232.650000000139698,1622095.349999999860302,1712766.600000000093132,10303363.000000000000000
FS( 12 ),1790322.939999999944121,1838934.929999999934807,1667452.799999999813735,1709697.760000000009313,1633325.750000000000000,1704050.099999999860302,10343788.279999999329448
FS( 13 ),1803665.500000000000000,1820572.659999999916181,1657814.500000000000000,1702947.679999999934807,1591562.699999999953434,1709086.300000000046566,10285653.339999999850988
FS( 14 ),1758634.360000000102445,1817488.919999999925494,1653683.799999999813735,1709908.700000000186265,1599634.549999999813735,1722645.300000000046566,10261999.630000000819564
FS( 15 ),1786749.040000000037253,1817769.260000000009313,1642275.199999999720603,1709275.880000000121072,1587702.250000000000000,1720320.899999999906868,10264096.529999999329448
FS( 16 ),1779124.719999999972060,1829263.199999999953434,1639718.099999999860302,1696724.950000000186265,1582438.000000000000000,1736010.600000000093132,10263283.569999998435378
FS( 17 ),1770070.840000000083819,1864726.209999999962747,1644242.199999999953434,1709275.880000000121072,1587351.299999999813735,1739884.599999999860302,10315555.029999999329448
FS( 18 ),1792943.800000000046566,1861362.129999999888241,1650143.199999999953434,1720983.050000000046566,1604547.849999999860302,1784048.199999999953434,10414032.229999998584390
FS( 19 ),1788416.860000000102445,1872295.389999999897555,1653290.399999999906868,1708221.179999999934807,1591913.649999999906868,1781917.499999999767169,10396058.980000000447035
FS( 20 ),1773168.219999999972060,1865567.229999999981374,1656634.299999999813735,1724779.970000000204891,1612970.649999999906868,1805742.599999999860302,10438866.970000000670552
FS( 21 ),1744338.760000000009313,1843420.369999999878928,1645422.399999999906868,1683857.609999999869615,1608057.349999999860302,1781336.399999999906868,10306436.889999998733401
FS( 22 ),1771976.920000000158325,1871174.030000000027940,1657027.699999999720603,1721088.519999999785796,1642450.449999999953434,1796251.300000000046566,10459972.919999999925494
FS( 23 ),1766735.200000000186265,1857717.709999999962747,1655257.399999999906868,1728155.010000000009313,1649469.449999999953434,1800706.399999999906868,10458045.169999999925494
FS( 24 ),1770070.840000000083819,1854914.310000000055879,1649356.399999999906868,1718135.359999999869615,1670175.500000000000000,1795089.100000000093132,10457745.509999999776483
FS( 25 ),1772215.179999999934807,1866688.589999999850988,1656240.899999999906868,1718662.709999999962747,1661401.750000000000000,1793539.500000000000000,10468752.629999998956919
FS( 26 ),1797709.000000000000000,1893601.229999999981374,1647586.100000000093132,1721404.929999999934807,1678247.349999999860302,1805742.599999999860302,10544295.209999999031425
FS( 27 ),1786987.300000000046566,1907478.060000000055879,1647192.699999999720603,1734061.330000000074506,1687021.099999999860302,1845451.099999999860302,10608195.589999999850988
FS( 28 ),1765305.640000000130385,1939436.820000000065193,1653093.699999999953434,1747561.489999999990687,1684915.399999999906868,1848937.699999999953434,10639254.750000000000000
FS( 29 ),1768403.020000000018626,1920093.359999999869615,1645815.800000000046566,1757264.729999999981374,1687021.099999999860302,1848356.600000000093132,10626958.609999999403954
FS( 30 ),1752916.119999999878928,1856596.349999999860302,1626342.500000000000000,1740389.530000000027940,1689126.800000000046566,1834022.800000000046566,10499398.100000001490116
FS( 31 ),1773883.000000000000000,1863324.510000000009313,1615327.300000000046566,1762221.820000000065193,1706323.349999999860302,1834216.500000000000000,10555300.480000000447035
FS( 32 ),1769356.060000000055879,1905936.189999999944121,1630276.499999999767169,1773085.229999999981374,1717553.749999999767169,1840414.900000000139698,10636626.630000000819564
FS( 33 ),1782698.619999999878928,1864305.699999999953434,1660174.899999999906868,1787640.089999999850988,1742822.149999999906868,1841964.500000000000000,10679609.959999999031425
FS( 34 ),1815578.500000000000000,1889255.959999999962747,1659388.099999999860302,1772452.409999999916181,1740014.549999999813735,1826081.099999999860302,10702774.619999999180436
FS( 35 ),1858227.040000000037253,1888414.939999999944121,1665485.800000000046566,1774350.870000000111759,1748788.299999999813735,1816977.199999999953434,10752248.149999998509884
FS( 36 ),1892774.739999999990687,1881826.949999999953434,1664108.899999999906868,1781944.709999999962747,1748788.299999999813735,1810778.800000000046566,10780226.400000000372529
FS( 37 ),1876334.800000000046566,1880565.419999999925494,1657224.399999999906868,1790171.370000000111759,1761071.550000000046566,1811553.599999999860302,10776925.139999998733401
FS( 38 ),1927560.700000000186265,1850288.699999999953434,1649749.800000000046566,1772557.880000000121072,1746331.649999999906868,1828405.500000000000000,10774898.230000000447035
FS( 39 ),1923033.760000000009313,1843280.199999999953434,1651716.799999999813735,1779413.429999999934807,1730538.900000000139698,1833829.100000000093132,10761816.189999999478459
FS( 40 ),1933040.679999999934807,1860521.109999999869615,1660371.599999999860302,1746295.850000000093132,1712991.400000000139698,1823369.299999999813735,10736593.940000001341105
FS( 41 ),1906117.300000000046566,1894862.760000000009313,1681811.899999999906868,1763698.400000000139698,1733346.500000000000000,1852811.699999999953434,10832652.559999998658895
FS( 42 ),1928037.219999999972060,1887854.260000000009313,1693417.199999999953434,1768550.019999999785796,1739312.650000000139698,1856492.000000000000000,10873667.349999999627471
FS( 43 ),1924939.840000000083819,1874117.599999999860302,1699908.300000000046566,1790276.839999999850988,1734750.300000000046566,1853973.899999999906868,10877970.780000001192093
FS( 44 ),1910644.239999999990687,1858138.219999999972060,1677484.500000000000000,1767811.729999999981374,1717904.699999999953434,1825887.400000000139698,10757874.789999999105930
FS( 45 ),1908023.380000000121072,1863745.020000000018626,1683188.799999999813735,1775511.040000000270084,1695794.849999999860302,1847194.399999999906868,10773461.490000000223517
FS( 46 ),1887056.500000000000000,1875939.810000000055879,1692630.399999999906868,1776143.859999999869615,1697900.550000000046566,1846225.899999999906868,10775901.020000001415610
FS( 47 ),1897539.939999999944121,1888414.939999999944121,1718791.499999999767169,1803144.179999999934807,1687723.000000000000000,1883222.599999999860302,10878840.159999998286366
FS( 48 ),1888962.580000000074506,1904674.659999999916181,1709743.300000000046566,1798292.560000000055879,1681054.949999999953434,1874118.699999999953434,10856850.749999998137355
FS( 49 ),1874666.980000000214204,1899208.030000000027940,1734330.800000000046566,1844172.010000000009313,1716149.949999999953434,1928161.000000000000000,10996692.769999999552965
FS( 50 ),1853223.580000000074506,1894722.589999999850988,1721938.699999999953434,1843433.720000000204891,1712289.500000000000000,1926030.300000000046566,10951642.390000000596046
FS( 51 ),1868710.480000000214204,1915748.089999999850988,1749280.000000000000000,1847547.050000000046566,1730889.849999999860302,1911502.800000000046566,11023682.270000001415610
FS( 52 ),1940426.739999999990687,1911963.500000000000000,1769540.099999999860302,1861363.620000000111759,1732293.649999999906868,1908209.900000000139698,11123801.509999999776483
FS( 53 ),1932325.899999999906868,1917990.810000000055879,1788226.599999999860302,1858094.050000000046566,1734048.399999999906868,1921962.599999999860302,11152652.359999999403954
FS( 54 ),1919459.860000000102445,1938175.290000000037253,1792947.399999999906868,1861152.679999999934807,1744927.849999999860302,1954504.199999999953434,11211171.279999999329448
FS( 55 ),1906355.560000000055879,1918972.000000000000000,1787439.800000000046566,1860097.979999999981374,1747384.500000000000000,1966319.900000000139698,11186573.740000000223517
FS( 56 ),1887533.020000000018626,1905235.339999999850988,1787439.800000000046566,1853558.839999999850988,1752648.749999999767169,1943075.899999999906868,11129495.650000000372529
FS( 57 ),1909691.200000000186265,1913225.030000000027940,1786259.599999999860302,1869695.750000000000000,1756509.199999999953434,1960315.199999999953434,11195699.979999998584390
FS( 58 ),1882767.820000000065193,1915748.089999999850988,1767769.800000000046566,1865793.359999999869615,1736856.000000000000000,1932228.699999999953434,11101167.769999999552965
FS( 59 ),1841310.580000000074506,1929064.239999999990687,1766786.299999999813735,1879082.580000000074506,1745278.799999999813735,1927579.900000000139698,11089106.400000000372529
FS( 60 ),1851317.500000000000000,1940137.669999999925494,1743575.699999999953434,1891949.920000000158325,1745629.750000000000000,1930485.399999999906868,11103099.939999999478459
FS( 61 ),1838213.200000000186265,1969573.369999999878928,1749280.000000000000000,1880559.159999999916181,1758614.899999999906868,1957797.099999999860302,11154041.730000000447035
FS( 62 ),1849887.939999999944121,1973918.639999999897555,1753410.699999999953434,1882141.209999999962747,1747384.500000000000000,1951404.999999999767169,11158151.990000000223517
FS( 63 ),1826300.200000000186265,1992280.909999999916181,1764622.599999999860302,1871172.330000000074506,1737908.850000000093132,1932422.400000000139698,11124711.290000000968575
FS( 64 ),1813910.679999999934807,1989057.000000000000000,1780358.600000000093132,1881613.859999999869615,1750543.050000000046566,1947143.599999999860302,11162630.789999999105930
FS( 65 ),1823441.080000000074506,1972236.599999999860302,1768163.199999999953434,1855140.889999999897555,1864250.849999999860302,1908984.699999999953434,11192221.319999998435378
