訓練日期,20180104 - 20180409
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10870948.679999999701977
真實報酬,870948.679999999701977

夏普值報酬,0.078394868000000
夏普值風險,0.036793382811649
夏普值,2.130678453821878

預期報酬,17391.626341322800727
風險,255026.960050164605491
趨勢值,0.068195246251227
找到最佳解世代,1930
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](1),NKE[19](5),
FS( 38 ),5546924.959999999962747,5282942.259999999776483,10829867.219999998807907
FS( 39 ),5383747.760000000707805,5226984.319999999366701,10610732.080000000074506
FS( 40 ),5512038.799999999813735,5193094.299999999813735,10705133.099999999627471
FS( 41 ),5598691.520000000484288,5126890.540000000037253,10725582.060000000521541
FS( 42 ),5706726.080000001005828,5141865.199999999254942,10848591.280000001192093
FS( 43 ),5775373.040000000968575,5057534.219999999739230,10832907.260000001639128
FS( 44 ),5710102.160000001080334,5131619.379999999888241,10841721.540000000968575
FS( 45 ),5873279.360000000335276,5225408.040000000037253,11098687.400000000372529
FS( 46 ),5797880.240000001154840,5266391.319999999366701,11064271.560000000521541
FS( 47 ),5827139.600000000558794,5215162.219999999739230,11042301.820000000298023
FS( 48 ),5836142.480000000447035,5217526.639999999664724,11053669.120000001043081
FS( 49 ),5725857.200000001117587,5232501.299999999813735,10958358.500000000000000
FS( 50 ),5758492.640000000596046,5194670.579999999143183,10953163.219999998807907
FS( 51 ),5720230.400000000372529,5178907.779999999329448,10899138.179999999701977
FS( 52 ),5801256.320000000298023,5264815.040000000037253,11066071.359999999403954
FS( 53 ),5802381.680000000633299,5229348.739999999292195,11031730.419999999925494
FS( 54 ),5720230.400000000372529,5077237.719999999739230,10797468.120000001043081
FS( 55 ),5554802.480000000447035,5093788.659999999217689,10648591.140000000596046
FS( 56 ),5905914.799999999813735,5193882.440000000409782,11099797.240000000223517
FS( 57 ),5760743.360000000335276,5215162.219999999739230,10975905.580000000074506
FS( 58 ),5581811.120000001043081,5157628.000000000000000,10739439.120000001043081
FS( 59 ),5860900.400000000372529,5236442.000000000000000,11097342.400000000372529
FS( 60 ),5505286.640000000596046,5053593.520000000484288,10558880.160000000149012
FS( 61 ),5598691.520000000484288,5256933.639999999664724,10855625.160000000149012
FS( 62 ),5625700.160000001080334,5392493.719999999739230,11018193.880000000819564
FS( 63 ),5669589.200000001117587,5484706.100000000558794,11154295.300000000745058
FS( 64 ),5490656.959999999962747,5323925.540000000037253,10814582.500000000000000
FS( 65 ),5576184.320000000298023,5294764.360000000335276,10870948.679999999701977
