訓練日期,20151002 - 20160105
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11127127.100000001490116
真實報酬,1127127.100000001490116

夏普值報酬,0.104012710000000
夏普值風險,0.032727690897254
夏普值,3.178125530656614

預期報酬,20236.994648160991346
風險,141302.592272463865811
趨勢值,0.143217433754785
找到最佳解世代,2201
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](2),MCD[15](1),MSFT[18](3),PG[21](4),WMT[28](30),
FS( 27 ),2113569.439999999944121,2263351.879999999888241,2376997.919999999925494,2082295.680000000167638,1800250.779999999795109,10636465.699999999254942
FS( 28 ),2126471.200000000186265,2269164.059999999590218,2348470.719999999739230,2092513.599999999860302,1806098.599999999860302,10642718.179999999701977
FS( 29 ),2117134.399999999906868,2281790.519999999552965,2354615.040000000037253,2097760.639999999664724,1772242.799999999813735,10623543.399999998509884
FS( 30 ),2101856.000000000000000,2246917.439999999944121,2340132.000000000000000,2061859.839999999850988,1752852.659999999916181,10503617.939999999478459
FS( 31 ),2037177.439999999944121,2204027.559999999590218,2319065.759999999776483,2042528.639999999897555,1736540.319999999832362,10339339.720000000670552
FS( 32 ),2051437.280000000027940,2225873.339999999850988,2359881.600000000558794,2079534.079999999841675,1781168.419999999692664,10497894.720000000670552
FS( 33 ),2142089.120000000111759,2223468.299999999813735,2324771.200000000186265,2073182.399999999906868,1844263.319999999832362,10607774.339999999850988
FS( 34 ),2148200.479999999981374,2255335.080000000074506,2363392.640000000596046,2096103.680000000167638,1875349.099999999860302,10738380.980000000447035
FS( 35 ),2153632.799999999813735,2270767.419999999925494,2367342.559999999590218,2104940.799999999813735,1868270.159999999916181,10764953.739999998360872
FS( 36 ),2210502.399999999906868,2282993.039999999571592,2378314.559999999590218,2093894.399999999906868,1848880.019999999785796,10814584.419999998062849
FS( 37 ),2249377.439999999944121,2294216.559999999590218,2378314.559999999590218,2098036.799999999813735,1854727.839999999850988,10874673.199999999254942
FS( 38 ),2268051.040000000037253,2290408.580000000074506,2380947.839999999850988,2111292.480000000447035,1844263.319999999832362,10894963.260000001639128
FS( 39 ),2285875.839999999850988,2292813.620000000111759,2356370.559999999590218,2096103.680000000167638,1854112.279999999795109,10885275.979999998584390
FS( 40 ),2287403.680000000167638,2289406.479999999981374,2366903.679999999701977,2090580.480000000214204,1843339.979999999748543,10877634.300000000745058
FS( 41 ),2272804.319999999832362,2288003.539999999571592,2385336.640000000596046,2066830.720000000204891,1811023.079999999841675,10823998.300000000745058
FS( 42 ),2282141.120000000111759,2293815.719999999739230,2423519.200000000186265,2097208.320000000298023,1815639.779999999795109,10912324.139999998733401
FS( 43 ),2271616.000000000000000,2279185.059999999590218,2423080.320000000298023,2093065.920000000158325,1795941.859999999869615,10862889.160000000149012
FS( 44 ),2222725.120000000111759,2272571.199999999720603,2378753.440000000409782,2091685.119999999878928,1817178.679999999701977,10782913.560000000521541
FS( 45 ),2283838.719999999739230,2328889.219999999739230,2453801.919999999925494,2149402.559999999590218,1836261.039999999804422,11052193.459999997168779
FS( 46 ),2273653.120000000111759,2333298.459999999962747,2449413.120000000111759,2164315.200000000186265,1862114.559999999823049,11082794.460000000894070
FS( 47 ),2272125.279999999795109,2335503.080000000074506,2448535.360000000335276,2147193.280000000260770,1834722.139999999897555,11038079.140000000596046
FS( 48 ),2239191.839999999850988,2336505.179999999701977,2412986.080000000074506,2145812.480000000447035,1819948.699999999953434,10954444.279999999329448
FS( 49 ),2250056.479999999981374,2348931.219999999739230,2425713.600000000558794,2148297.919999999925494,1833183.239999999990687,11006182.459999999031425
FS( 50 ),2214406.879999999888241,2326484.179999999701977,2372609.120000000111759,2148021.759999999776483,1827027.639999999897555,10888549.580000000074506
FS( 51 ),2241059.199999999720603,2330091.739999999757856,2420008.160000000149012,2162105.919999999925494,1858728.979999999748543,11011994.000000000000000
FS( 52 ),2228836.479999999981374,2343519.879999999888241,2422641.440000000409782,2200492.160000000149012,1835645.479999999748543,11031135.440000001341105
FS( 53 ),2256167.839999999850988,2361758.100000000093132,2463457.280000000260770,2236669.120000000111759,1855958.959999999729916,11174011.299999998882413
FS( 54 ),2229855.040000000037253,2354943.819999999832362,2444585.440000000409782,2217337.919999999925494,1815331.999999999767169,11062054.219999998807907
FS( 55 ),2211860.479999999981374,2338108.539999999571592,2375681.280000000260770,2157687.360000000335276,1811330.859999999869615,10894668.519999999552965
FS( 56 ),2229176.000000000000000,2358751.799999999813735,2406402.879999999888241,2180332.480000000447035,1832875.459999999729916,11007538.619999999180436
FS( 57 ),2238852.319999999832362,2359353.059999999590218,2429224.640000000596046,2198282.879999999888241,1863345.679999999701977,11089058.579999998211861
FS( 58 ),2259732.800000000279397,2380998.419999999925494,2449852.000000000000000,2207120.000000000000000,1880273.579999999841675,11177976.800000000745058
FS( 59 ),2256167.839999999850988,2376388.759999999776483,2443268.799999999813735,2203529.919999999925494,1872271.299999999813735,11151626.620000001043081
FS( 60 ),2252433.120000000111759,2379996.319999999832362,2455557.440000000409782,2207120.000000000000000,1869809.059999999823049,11164915.939999999478459
FS( 61 ),2269748.639999999664724,2406451.759999999776483,2481890.240000000223517,2219271.040000000037253,1896278.139999999897555,11273639.820000000298023
FS( 62 ),2263807.040000000037253,2393624.879999999888241,2471357.120000000111759,2211262.399999999441206,1898432.599999999860302,11238484.039999999105930
FS( 63 ),2245133.439999999944121,2367770.699999999720603,2434930.080000000074506,2193035.839999999850988,1886736.959999999729916,11127607.019999997690320
FS( 64 ),2225101.759999999776483,2356547.179999999701977,2405086.240000000223517,2164315.200000000186265,1891661.439999999944121,11042711.819999998435378
FS( 65 ),2214237.120000000111759,2389015.219999999739230,2416058.240000000223517,2171219.200000000186265,1936597.319999999832362,11127127.100000001490116
