訓練日期,20111020 - 20120124
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11838752.760000001639128
真實報酬,1838752.760000001639128

夏普值報酬,0.175175276000000
夏普值風險,0.052888951227357
夏普值,3.312133667520884

預期報酬,29711.466871083131991
風險,154586.446645811287453
趨勢值,0.192199688366976
找到最佳解世代,2455
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](2),
FS( 25 ),5110551.020000001415610,5160654.780000000260770,10271205.800000000745058
FS( 26 ),5103554.120000000111759,5173574.569999999366701,10277128.689999999478459
FS( 27 ),5219702.660000000149012,5266821.750000000000000,10486524.410000000149012
FS( 28 ),5451999.740000001154840,5249969.849999999627471,10701969.589999999850988
FS( 29 ),5488383.620000000111759,5365686.229999999515712,10854069.849999999627471
FS( 30 ),5505176.180000001564622,5364562.769999999552965,10869738.950000001117587
FS( 31 ),5589138.980000000447035,5375797.370000000111759,10964936.350000001490116
FS( 32 ),5629721.000000000000000,5356136.819999999366701,10985857.820000000298023
FS( 33 ),5642315.420000000856817,5393211.000000000000000,11035526.420000001788139
FS( 34 ),5699690.000000000000000,5417927.120000000111759,11117617.120000001043081
FS( 35 ),5584940.839999999850988,5444328.429999999701977,11029269.269999999552965
FS( 36 ),5629721.000000000000000,5506680.459999999962747,11136401.460000000894070
FS( 37 ),5604532.160000000149012,5531958.309999999590218,11136490.469999998807907
FS( 38 ),5528965.640000000596046,5504995.269999999552965,11033960.910000000149012
FS( 39 ),5477188.580000001005828,5483087.799999999813735,10960276.380000000819564
FS( 40 ),5516371.220000000670552,5512859.489999999292195,11029230.710000000894070
FS( 41 ),5656309.220000000670552,5476347.039999999105930,11132656.259999999776483
FS( 42 ),5625522.860000001266599,5462303.789999999105930,11087826.650000000372529
FS( 43 ),5870414.360000001266599,5551057.129999998956919,11421471.490000000223517
FS( 44 ),5877411.260000000707805,5572402.870000000111759,11449814.130000000819564
FS( 45 ),5866216.220000000670552,5538699.069999999366701,11404915.289999999105930
FS( 46 ),5890005.680000001564622,5625767.219999999739230,11515772.900000002235174
FS( 47 ),5908197.620000000111759,5648236.419999998994172,11556434.039999999105930
FS( 48 ),5811640.400000001303852,5593748.609999999403954,11405389.010000001639128
FS( 49 ),5878810.640000000596046,5662841.399999999441206,11541652.039999999105930
FS( 50 ),5883008.780000000260770,5635878.359999999403954,11518887.140000000596046
FS( 51 ),5897002.580000001005828,5552180.589999999850988,11449183.170000001788139
FS( 52 ),5980965.380000000819564,5583075.739999999292195,11564041.120000001043081
FS( 53 ),6029943.680000001564622,5607791.859999999403954,11637735.540000000968575
FS( 54 ),6045336.860000001266599,5651045.069999999366701,11696381.929999999701977
FS( 55 ),6049535.000000000000000,5597118.989999999292195,11646653.989999998360872
FS( 56 ),6091516.400000001303852,5600489.370000000111759,11692005.770000001415610
FS( 57 ),6081720.740000001154840,5613409.160000000149012,11695129.900000002235174
FS( 58 ),6071925.080000001005828,5649359.879999998956919,11721284.960000000894070
FS( 59 ),6088717.640000000596046,5637001.819999999366701,11725719.460000000894070
FS( 60 ),6120903.380000000819564,5648236.419999998994172,11769139.800000000745058
FS( 61 ),6280432.700000001117587,5704971.149999999441206,11985403.850000001490116
FS( 62 ),6354599.839999999850988,5688119.250000000000000,12042719.089999999850988
FS( 63 ),6228655.640000000596046,5715082.289999999105930,11943737.929999999701977
FS( 64 ),6280432.700000001117587,5670705.620000000111759,11951138.320000000298023
FS( 65 ),6291627.740000001154840,5547125.019999999552965,11838752.760000001639128
